2012 High-Priority Occupations for Berks County Workforce Investment Area,,,,,,,,,
,,,,,,,,,
,,,Wages (2011),,,Employment,,,
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,57490,39580,66450,110,100,-0.0909,3
25-2053,"Special Education Teachers, Middle School",BD,61110,45820,68760,N/A,N/A,N/A,N/A
25-2054,"Special Education Teachers, Secondary School",BD,63520,48070,71240,N/A,N/A,N/A,N/A
27-1024,Graphic Designers,BD,41500,30270,47110,250,250,N/A,7
27-2012,Producers & Directors,BD+,N/A,N/A,N/A,30,40,0.3333,2
27-2022,Coaches & Scouts,LT OJT,38920,22320,47220,420,430,0.023799999999999998,12
27-4021,Photographers,LT OJT,26390,16590,31290,150,140,-0.0667,3
27-4031,"Camera Operators: TV, Video & Motion Picture",BD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27-4032,Film & Video Editors,BD+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29-1031,Dietitians & Nutritionists,BD,32800,19310,39550,110,110,N/A,3
29-1051,Pharmacists,PROF,114100,96220,123040,220,260,0.1818,8
29-1111,Registered Nurses,AD,61250,44640,69550,2670,3040,0.1386,81
29-1122,Occupational Therapists,MD,68180,53640,75450,240,280,0.16670000000000001,7
29-1126,Respiratory Therapists,AD,54090,49470,56400,120,140,0.16670000000000001,4
29-1127,Speech-Language Pathologists,MD,67350,41260,80400,150,150,N/A,3
29-2011,Medical & Clinical Laboratory Technologists,BD,N/A,N/A,N/A,50,60,0.2,2
29-2012,Medical & Clinical Laboratory Technicians,AD,33110,21040,39150,250,270,0.08,6
29-2021,Dental Hygienists,AD,64750,57630,68310,200,220,0.1,6
29-2031,Cardiovascular Technologists & Technicians,AD,63910,47190,72270,80,100,0.25,3
29-2032,Diagnostic Medical Sonographers,AD,61640,53030,65950,30,30,N/A,0
29-2037,Radiologic Technologists & Technicians,AD,54320,39070,61950,N/A,N/A,N/A,N/A
29-2041,Emergency Medical Technicians & Paramedics,PS,28410,21340,31940,320,330,0.0313,5
29-2052,Pharmacy Technicians,MT OJT,26670,20210,29910,380,480,0.2632,23
29-2055,Surgical Technologists,PS,41850,34780,45390,120,140,0.16670000000000001,6
29-2056,Veterinary Technologists & Technicians,AD,32010,26830,34600,100,110,0.1,4
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,45460,35860,50260,1430,1460,0.021,42
29-2071,Medical Records & Health Information Technicians,PS,32370,21700,37700,100,110,0.1,4
31-1012,"Nursing Aides, Orderlies & Attendants",PS,27300,21440,30230,2390,2580,0.0795,40
31-1013,Psychiatric Aides,ST OJT,N/A,N/A,N/A,100,100,N/A,1
31-2011,Occupational Therapy Assistants,AD,53540,43500,58560,80,100,0.25,3
31-2021,Physical Therapist Assistants,AD,49460,39120,54630,210,250,0.1905,7
31-9091,Dental Assistants,PS,35950,28960,39450,330,370,0.12120000000000002,10
31-9092,Medical Assistants,MT OJT,27900,22420,30640,470,570,0.21280000000000002,16
33-3051,Police & Sheriff's Patrol Officers,MT OJT,59150,44830,66300,760,760,N/A,20
35-1012,Supervisors - Food Preparation & Serving Workers,WK EXP,35970,25500,41200,880,940,0.0682,13
35-2014,"Cooks, Restaurant",MT OJT,27480,18720,31870,780,850,0.0897,28
37-2021,Pest Control Workers,MT OJT,28670,24610,30700,10,10,N/A,0
39-5012,"Hairdressers, Hairstylists & Cosmetologists",PS,27660,19670,31650,990,1190,0.20199999999999999,33
41-1011,Supervisors - Retail Sales Workers,WK EXP,42080,28030,49110,1610,1610,N/A,34
41-2022,Parts Salespersons,MT OJT,39080,27280,44980,280,250,-0.10710000000000001,3
41-3021,Insurance Sales Agents,MT OJT,65360,40740,77670,380,350,-0.07890000000000001,8
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,85410,32340,111940,200,170,-0.15,5
41-4011,"Sales Representatives, Technical & Scientific Products",BD,89530,52500,108050,250,240,-0.04,6
41-4012,Sales Representatives,MT OJT,61100,35870,73720,2620,2500,-0.0458,58
41-9022,Real Estate Sales Agents,LT OJT,46360,27140,55970,540,470,-0.12960000000000002,9
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,52300,35280,60810,1330,1250,-0.060200000000000004,27
43-3011,Bill & Account Collectors,MT OJT,36100,25420,41440,300,340,0.1333,9
43-3021,Billing & Posting Clerks,ST OJT,33300,24500,37710,660,630,-0.0455,8
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,34710,23680,40230,2240,2280,0.0179,39
43-4051,Customer Service Representatives,ST OJT,32980,23410,37760,2780,2870,0.032400000000000005,86
43-4111,Interviewers,ST OJT,29940,21660,34090,40,40,N/A,1
43-4131,Loan Interviewers & Clerks,ST OJT,29580,22750,33000,120,80,-0.3333,2
43-5011,Cargo & Freight Agents,ST OJT,56890,31400,69640,70,80,0.1429,3
43-5061,"Production, Planning & Expediting Clerks",MT OJT,48380,31380,56880,450,430,-0.0444,12
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,34040,23640,39250,1300,1210,-0.0692,31
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,49380,35330,56400,840,820,-0.023799999999999998,13
43-6012,Legal Secretaries,MT OJT,36470,31480,38970,310,300,-0.0323,5
43-6014,Secretaries,ST OJT,31930,23660,36060,2570,2290,-0.10890000000000001,41
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,38740,31400,42410,460,400,-0.13040000000000002,6
43-9061,"Office Clerks, General",ST OJT,29330,20980,33510,4290,4270,-0.0047,79
45-1011,Farm & Forestry Worker Supervisors,WK EXP,42500,34280,46610,100,100,N/A,2
45-2092,"Farmworkers & Laborers, Crop, Nursery & Greenhouse",ST OJT,24800,16500,28940,1680,1780,0.059500000000000004,52
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,62080,46010,70120,680,700,0.0294,13
47-2021,Brickmasons & Blockmasons,LT OJT,45110,29770,52780,130,140,0.07690000000000001,3
47-2031,Carpenters,LT OJT,40300,27830,46530,1460,1530,0.0479,27
47-2051,Cement Masons & Concrete Finishers,MT OJT,42620,31810,48020,220,230,0.0455,7
47-2061,Construction Laborers,ST OJT,32660,24950,36520,910,940,0.033,10
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,41130,32050,45670,420,430,0.023799999999999998,10
47-2111,Electricians,LT OJT,52900,35700,61490,980,980,N/A,26
47-2132,"Insulation Workers, Mechanical",LT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47-2141,"Painters, Construction & Maintenance",MT OJT,38570,32670,41520,380,400,0.0526,9
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,46110,31670,53330,410,430,0.048799999999999996,11
47-2181,Roofers,MT OJT,40160,26370,47060,310,330,0.0645,9
47-2211,Sheet Metal Workers,LT OJT,59110,37650,69840,260,260,N/A,6
47-4011,Construction & Building Inspectors,WK EXP,50520,37280,57130,200,200,N/A,4
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,N/A,N/A,N/A,10,10,N/A,0
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47-5071,"Roustabouts, Oil & Gas",MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,66300,46170,76370,490,460,-0.061200000000000004,11
49-2022,Telecommunications Equipment Installers & Repairers,PS,55580,52290,57230,150,160,0.0667,5
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49-2098,Security & Fire Alarm Systems Installers,MT OJT,47350,31010,55510,110,130,0.1818,4
49-3011,Aircraft Mechanics & Service Technicians,PS,55680,46590,60230,50,60,0.2,2
49-3021,Automotive Body & Related Repairers,MT OJT,38690,28750,43660,610,530,-0.1311,15
49-3023,Automotive Service Technicians & Mechanics,LT OJT,37230,24220,43730,1220,1250,0.0246,27
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,43620,33890,48490,460,430,-0.06520000000000001,10
49-3041,Farm Equipment Mechanics & Service Technicians,LT OJT,36390,25440,41870,30,30,N/A,1
49-9021,"Heating, A/C & Refrigeration Mechanics & Installers",PS,49390,32290,57940,340,340,N/A,6
49-9041,Industrial Machinery Mechanics,LT OJT,45020,33830,50610,1210,1290,0.0661,27
49-9043,"Maintenance Workers, Machinery",MT OJT,36650,28990,40470,80,70,-0.125,1
49-9051,Electrical Power-Line Installers & Repairers,LT OJT,N/A,N/A,N/A,250,250,N/A,8
49-9052,Telecommunications Line Installers & Repairers,LT OJT,57000,39620,65700,160,150,-0.0625,4
49-9064,Watch Repairers,LT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49-9071,"Maintenance & Repair Workers, General",MT OJT,37620,26620,43120,N/A,N/A,N/A,N/A
51-1011,Supervisors - Production & Operating Workers,PS,56200,37440,65570,1370,1230,-0.10220000000000001,23
51-2092,Team Assemblers,MT OJT,28800,20190,33100,4340,4030,-0.0714,90
51-3011,Bakers,LT OJT,27570,19160,31780,210,220,0.047599999999999996,6
51-3021,Butchers & Meat Cutters,LT OJT,33900,23160,39260,200,210,0.05,6
51-3092,Food Batchmakers,ST OJT,28330,19260,32870,380,400,0.0526,12
51-4011,"Computer-Controlled Machine Tool Operators, Metal & Plastic",MT OJT,41000,30880,46060,240,240,N/A,3
51-4012,Computer Numerically Controlled Machine Tool Programmers,MT OJT,50730,39080,56550,40,40,N/A,1
51-4021,"Extruding & Drawing Machine Setters, Oprs & Tenders, Metal & Plastic",MT OJT,40950,29890,46480,260,240,-0.07690000000000001,7
51-4041,Machinists,LT OJT,40070,30810,44710,570,550,-0.0351,9
51-4081,"Multiple Machine Tool Setters, Operators & Tenders, Metal & Plastic",MT OJT,33210,29630,35010,140,140,N/A,3
51-4121,"Welders, Cutters, Solderers & Brazers",MT OJT,37630,28450,42220,750,680,-0.0933,16
51-4191,"Heat Treating Equipment Setters, Operators & Tenders, Metal & Plastic",MT OJT,40550,34740,43460,90,80,-0.11109999999999999,2
51-5112,Printing Press Operators,MT OJT,37990,27860,43060,N/A,N/A,N/A,N/A
51-8013,Power Plant Operators,LT OJT,65200,59760,67920,N/A,N/A,N/A,N/A
51-8031,Water & Wastewater Treatment Plant & System Operators,LT OJT,47480,36340,53050,280,280,N/A,5
51-9061,"Inspectors, Testers, Sorters, Samplers & Weighers",MT OJT,37820,24910,44270,1210,1050,-0.1322,18
51-9111,Packaging & Filling Machine Operators & Tenders,MT OJT,28450,19980,32680,1130,930,-0.177,21
53-1021,"Supervisors - Helpers, Laborers & Material Movers",WK EXP,49130,34010,56690,220,230,0.0455,6
53-1031,Supervisors - Transportation & Vehicle Operators,WK EXP,58910,40330,68190,260,270,0.0385,6
53-3031,Driver/Sales Workers,ST OJT,29090,17410,34930,620,600,-0.0323,11
53-3032,Heavy & Tractor-Trailer Truck Drivers,WK EXP,41870,32370,46630,2820,2990,0.0603,67
53-3033,Light Truck or Delivery Services Drivers,ST OJT,32800,19630,39390,1420,1440,0.0141,27
53-7051,Industrial Truck & Tractor Operators,ST OJT,36390,28590,40290,1290,1150,-0.1085,33
53-7073,Wellhead Pumpers,MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
