,,,,,,,,,,,,,,,,,,,
,Sample #,x (abs.),y (abs),pH,Density,HCO3,SO4,Cl,F,Br,Ca,Mg,Na,K,Sr,Li,B,PO4,SiO2
,129.0,8.2,4.8,7.13,1.214,488.0,10100.0,158000.0,12.0,75.0,380.0,9720.0,78200.0,11100.0,18.0,577.0,291.0,1.7,7.2
,131.0,9.0,8.15,7.24,1.211,376.0,8420.0,158000.0,11.0,66.0,558.0,6410.0,85800.0,7210.0,19.0,343.0,199.0,0.71,9.7
,133.0,9.4,9.9,7.35,1.208,240.0,5430.0,157000.0,9.9,43.0,609.0,4620.0,89700.0,4730.0,18.0,246.0,123.0,0.41,8.3
,146.0,4.7,7.7,7.12,1.213,511.0,10700.0,157000.0,13.0,64.0,393.0,8750.0,80500.0,8860.0,15.0,511.0,270.0,0.98,9.2
SE crustal margins,M-5,,,7.07,1.216,633.0,13400.0,157000.0,8.0,69.0,366.0,9530.0,82300.0,10900.0,5.1,469.0,337.0,2.0,4.4
,M-17,,,5.99,1.279,50.0,46500.0,160000.0,26.0,291.0,80.0,41300.0,28500.0,27400.0,0.5,2060.0,1090.0,5.9,20.0
,M-19,,,7.16,1.131,270.0,5850.0,103000.0,3.0,40.0,1550.0,5480.0,57500.0,3760.0,7.3,221.0,93.0,0.9,15.0
,M-35,,,7.48,1.035,300.0,959.0,30600.0,2.0,18.0,679.0,502.0,18100.0,1450.0,27.0,232.0,108.0,8.0,61.0
,Colchani Salt Works,,,6.37,1.256,1800.0,32600.0,161000.0,17.0,210.0,0.0,36200.0,40600.0,24100.0,25.0,1510.0,722.0,6.4,18.0
,Isla de los Pescadores,,,6.69,1.224,735.0,18100.0,155000.0,4.0,96.0,133.0,12300.0,80400.0,10600.0,25.0,490.0,527.0,0.88,7.9
Rio  Grande,858.0,,,8.07,1.0,225.0,300.0,875.0,1.0,5.0,161.0,45.0,515.0,27.0,2.5,3.1,10.0,0.66,47.0
de Lipez Delta,860.0,,,7.83,1.0,303.0,600.0,3380.0,1.3,5.0,429.0,197.0,1550.0,80.0,5.8,10.0,21.0,0.51,51.0
,862.0,,,7.83,1.019,326.0,2360.0,12300.0,4.9,5.0,1180.0,554.0,6530.0,294.0,23.0,26.0,31.0,0.54,60.0
,862A,,,7.0,1.093,448.0,4680.0,72600.0,6.4,34.0,1780.0,4270.0,36400.0,2930.0,32.0,217.0,229.0,0.23,43.0
,863.0,,,7.56,1.05,589.0,5430.0,38200.0,6.7,19.0,807.0,3240.0,18700.0,1710.0,21.0,142.0,110.0,2.2,61.0
,864.0,,,7.05,1.143,610.0,3150.0,113000.0,7.0,45.0,2340.0,7570.0,54000.0,5380.0,37.0,503.0,421.0,2.8,29.0
,865.0,,,7.13,1.151,800.0,4950.0,117000.0,6.1,64.0,1440.0,8190.0,56500.0,6340.0,21.0,548.0,727.0,7.6,12.0
,866.0,,,7.57,1.164,1100.0,6570.0,126000.0,8.6,79.0,1070.0,9830.0,59500.0,6790.0,12.0,579.0,469.0,3.3,1.9
,867.0,,,7.32,1.213,816.0,10500.0,157000.0,6.6,91.0,418.0,8660.0,82400.0,8570.0,9.1,459.0,317.0,1.7,14.0
,869.0,,,7.3,1.21,744.0,9180.0,157000.0,9.9,72.0,467.0,8420.0,80600.0,8680.0,9.5,445.0,304.0,1.4,5.4
,871.0,,,7.21,1.198,893.0,13000.0,143000.0,10.0,96.0,382.0,11300.0,68400.0,10400.0,6.1,611.0,423.0,2.0,1.8
,873.0,,,7.1,1.215,1000.0,13000.0,156000.0,13.0,123.0,321.0,9350.0,78800.0,9050.0,3.4,521.0,516.0,2.1,1.8
,875.0,,,7.34,1.211,566.0,8430.0,157000.0,12.0,79.0,491.0,6880.0,83000.0,6940.0,9.5,353.0,235.0,1.2,14.0
S. de Coipasa,142.0,,,6.97,1.247,922.0,33300.0,150000.0,30.0,221.0,67.0,21800.0,59600.0,18300.0,18.0,524.0,1300.0,13.0,20.0
,143.0,,,7.37,1.224,678.0,20100.0,151000.0,19.0,88.0,193.0,8990.0,83500.0,7140.0,14.0,251.0,497.0,6.1,4.9
,144.0,,,7.34,1.223,642.0,20500.0,152000.0,20.0,116.0,207.0,9910.0,82100.0,7420.0,18.0,276.0,561.0,7.7,5.6
