,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Price Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,123413.5,-123413.5,,,,,,,,
2000-09-25 00:00:00,,,,,87484.24000000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,
2000-09-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-28 00:00:00,,-28084.3599999994,,,-50549.580000000075,,,350000,,,,,,,,,,,,,,,,,,,,-1180793.81,,,,,
2000-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,-496963,496963,,,-729223.0499999989,,,,,
2000-10-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-09 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-10 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-11 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-12 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-13 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-16 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-17 00:00:00,0,0,84413.16000000015,0,-102442.09,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,-120125.11,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-18 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-19 00:00:00,0,230355.81999999937,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,229939.41,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-20 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-23 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-24 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-25 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,156250,0,0,,0,0,0,450942.51,0,0,0,0,0,0,
2000-10-26 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-27 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-30 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-10-31 00:00:00,0,-202835.56999999937,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,-386189,0,,0,0,0,0,-450943,-1096518.58,0,0,0,0,
2000-11-01 00:00:00,0,0,0,0,-12500003.57,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-02 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-03 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-06 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-07 00:00:00,0,61189.73999999929,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,219340.73,-219340.73,0,,0,0,0,0,0,131253.51,-131253.51,1008138.52,0,0,
2000-11-08 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-09 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-10 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-13 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-14 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-15 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-16 00:00:00,0,0,0,-4970.63,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,-19348.87999999989,,0,0,0,0,0,-369099.93,0,0,0,0,
2000-11-17 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-20 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-21 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,-72043.88999999966,0,0,0,,0,0,0,0,0,-102937.74,-97062.26,0,0,0,
2000-11-22 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-24 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-27 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-28 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,228944.15,-228944.15,21122.86999999918,-21122.87,0,0,0,
2000-11-29 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-11-30 00:00:00,0,0,0,-2676.5,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-01 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-04 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-05 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-06 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-07 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-08 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-11 00:00:00,0,190195.25,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-12 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-13 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-14 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,-44835.12000000011,0,0,0,,0,0,0,0,0,400000,-400000,0,0,0,
2000-12-15 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-18 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,-69762.71,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-19 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-12514787.5,0,0,0,0,
2000-12-20 00:00:00,0,0,-84413.16000000015,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-21 00:00:00,0,0,0,0,0,0,0,-350000,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-22 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-26 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-27 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-28 00:00:00,0,0,0,0,0,0,0,0,0,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2000-12-29 00:00:00,0,0,0,-182250,0,0,0,0,-125000,-3.725290298461914e-09,0,-67554.8600000001,0,0,0,0,0,0,0,0,-2092500,,0,0,0,0,0,-650000,0,0,0,0,
2001-01-02 00:00:00,0,0,0,,0,0,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-03 00:00:00,0,0,0,,0,0,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-04 00:00:00,0,0,0,,0,0,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-05 00:00:00,0,0,0,,0,0,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-08 00:00:00,0,0,0,,0,0,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-09 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-10 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-11 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-12 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-16 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-17 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-18 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-19 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-22 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-23 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-24 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-25 00:00:00,0,68426.54,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,131614,0,0,,,0,0,0,0,0,-600000,-237725.03,0,0,0,
2001-01-26 00:00:00,0,0,0,,,,0,0,,-3.725290298461914e-09,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,600000,0,0,0,0,
2001-01-29 00:00:00,0,0,0,,,,0,0,,0,0,0,0,-1000000,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-30 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-01-31 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-01 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-02 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-05 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-06 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,-230788.389999999,0,0,0,0,
2001-02-07 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-08 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-09 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-12 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-13 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-14 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-15 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-16 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-20 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-21 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,2217.070000000298,0,0,,,0,0,0,0,0,0,0,1030821.38,0,0,
2001-02-22 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-23 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-26 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-27 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-02-28 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-03-01 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-03-02 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-03-05 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-03-06 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,200068.24,0,0,0,0,
2001-03-07 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-03-08 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
2001-03-09 00:00:00,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
