PEAK POWER,Peak Days,Days,Sat,Sun,Holidays,ON-PEAK Hrs,OFF-PEAK Hrs,7x8 Hrs,2x16 Hrs,Peak Contact,Off Peak Contract,Total Hrs,
2004-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2004-07-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2004-08-01 00:00:00,22,31,4,5,0,352,392,248,144,17600,19600,744,
2004-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2004-10-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2004-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2004-12-01 00:00:00,23,31,3,4,1,368,376,248,128,18400,18800,744,
2005-01-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2005-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2005-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2005-04-01 00:00:00,21,30,5,4,0,336,384,240,144,16800,19200,720,
2005-05-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2005-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2005-07-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2005-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2005-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2005-10-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2005-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2005-12-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2006-01-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2006-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2006-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2006-04-01 00:00:00,20,30,5,5,0,320,400,240,160,16000,20000,720,
2006-05-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2006-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2006-07-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2006-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2006-09-01 00:00:00,20,30,5,4,1,320,400,240,160,16000,20000,720,
2006-10-01 00:00:00,22,31,4,5,0,352,392,248,144,17600,19600,744,
2006-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2006-12-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2007-01-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2007-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2007-03-01 00:00:00,22,31,5,4,0,352,392,248,144,17600,19600,744,
2007-04-01 00:00:00,21,30,4,5,0,336,384,240,144,16800,19200,720,
2007-05-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2007-06-01 00:00:00,21,30,5,4,0,336,384,240,144,16800,19200,720,
2007-07-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2007-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2007-09-01 00:00:00,19,30,5,5,1,304,416,240,176,15200,20800,720,
2007-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2007-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2007-12-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2008-01-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2008-02-01 00:00:00,21,29,4,4,0,336,360,232,128,16800,18000,696,
2008-03-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2008-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2008-05-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2008-06-01 00:00:00,21,30,4,5,0,336,384,240,144,16800,19200,720,
2008-07-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2008-08-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2008-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2008-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2008-11-01 00:00:00,19,30,5,5,1,304,416,240,176,15200,20800,720,
2008-12-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2009-01-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2009-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2009-03-01 00:00:00,22,31,4,5,0,352,392,248,144,17600,19600,744,
2009-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2009-05-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2009-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2009-07-01 00:00:00,23,31,3,4,1,368,376,248,128,18400,18800,744,
2009-08-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2009-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2009-10-01 00:00:00,22,31,5,4,0,352,392,248,144,17600,19600,744,
2009-11-01 00:00:00,20,30,4,5,1,320,400,240,160,16000,20000,720,
2009-12-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2010-01-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2010-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2010-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2010-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2010-05-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2010-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2010-07-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2010-08-01 00:00:00,22,31,4,5,0,352,392,248,144,17600,19600,744,
2010-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2010-10-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2010-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2010-12-01 00:00:00,23,31,3,4,1,368,376,248,128,18400,18800,744,
2011-01-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2011-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2011-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2011-04-01 00:00:00,21,30,5,4,0,336,384,240,144,16800,19200,720,
2011-05-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2011-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2011-07-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2011-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2011-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2011-10-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2011-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2011-12-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2012-01-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2012-02-01 00:00:00,21,29,4,4,0,336,360,232,128,16800,18000,696,
2012-03-01 00:00:00,22,31,5,4,0,352,392,248,144,17600,19600,744,
2012-04-01 00:00:00,21,30,4,5,0,336,384,240,144,16800,19200,720,
2012-05-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2012-06-01 00:00:00,21,30,5,4,0,336,384,240,144,16800,19200,720,
2012-07-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2012-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2012-09-01 00:00:00,19,30,5,5,1,304,416,240,176,15200,20800,720,
2012-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2012-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2012-12-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2013-01-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2013-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2013-03-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2013-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2013-05-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2013-06-01 00:00:00,20,30,5,5,0,320,400,240,160,16000,20000,720,
2013-07-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2013-08-01 00:00:00,22,31,5,4,0,352,392,248,144,17600,19600,744,
2013-09-01 00:00:00,20,30,4,5,1,320,400,240,160,16000,20000,720,
2013-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2013-11-01 00:00:00,20,30,5,4,1,320,400,240,160,16000,20000,720,
2013-12-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2014-01-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2014-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2014-03-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2014-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2014-05-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2014-06-01 00:00:00,21,30,4,5,0,336,384,240,144,16800,19200,720,
2014-07-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2014-08-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2014-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2014-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2014-11-01 00:00:00,19,30,5,5,1,304,416,240,176,15200,20800,720,
2014-12-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2015-01-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2015-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2015-03-01 00:00:00,22,31,4,5,0,352,392,248,144,17600,19600,744,
2015-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2015-05-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2015-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2015-07-01 00:00:00,23,31,3,4,1,368,376,248,128,18400,18800,744,
2015-08-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2015-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2015-10-01 00:00:00,22,31,5,4,0,352,392,248,144,17600,19600,744,
2015-11-01 00:00:00,20,30,4,5,1,320,400,240,160,16000,20000,720,
2015-12-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2016-01-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2016-02-01 00:00:00,21,29,4,4,0,336,360,232,128,16800,18000,696,
2016-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2016-04-01 00:00:00,21,30,5,4,0,336,384,240,144,16800,19200,720,
2016-05-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2016-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2016-07-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2016-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2016-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2016-10-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2016-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2016-12-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2017-01-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2017-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2017-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2017-04-01 00:00:00,20,30,5,5,0,320,400,240,160,16000,20000,720,
2017-05-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2017-06-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2017-07-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2017-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2017-09-01 00:00:00,20,30,5,4,1,320,400,240,160,16000,20000,720,
2017-10-01 00:00:00,22,31,4,5,0,352,392,248,144,17600,19600,744,
2017-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2017-12-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2018-01-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2018-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2018-03-01 00:00:00,22,31,5,4,0,352,392,248,144,17600,19600,744,
2018-04-01 00:00:00,21,30,4,5,0,336,384,240,144,16800,19200,720,
2018-05-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2018-06-01 00:00:00,21,30,5,4,0,336,384,240,144,16800,19200,720,
2018-07-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2018-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2018-09-01 00:00:00,19,30,5,5,1,304,416,240,176,15200,20800,720,
2018-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2018-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2018-12-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
,,,,,,,,,,,,,
CALENDARS,,,,,,,,,,,,,
Aug-Dec01,106,153,22,22,3,1696,1976,1224,752,84800,98800,3672,
Cal-02,255,365,52,52,6,4080,4680,2920,1760,204000,234000,8760,
Cal-03,255,365,52,52,6,4080,4680,2920,1760,204000,234000,8760,
Cal-04,257,366,51,52,6,4112,4672,2928,1744,205600,233600,8784,
Cal-05,255,365,52,52,6,4080,4680,2920,1760,204000,234000,8760,
Cal-06,254,365,52,53,6,4064,4696,2920,1776,203200,234800,8760,
Cal-07,255,365,52,52,6,4080,4680,2920,1760,204000,234000,8760,
Cal-08,256,366,52,52,6,4096,4688,2928,1760,204800,234400,8784,
Cal-09,256,365,51,52,6,4096,4664,2920,1744,204800,233200,8760,
Cal-10,256,365,51,52,6,4096,4664,2920,1744,204800,233200,8760,
Cal-11,255,365,52,52,6,4080,4680,2920,1760,204000,234000,8760,
Cal-12,255,366,52,53,6,4080,4704,2928,1776,204000,235200,8784,
Cal-13,255,365,52,52,6,4080,4680,2920,1760,204000,234000,8760,
Cal-14,255,365,52,52,6,4080,4680,2920,1760,204000,234000,8760,
Cal-15,256,365,51,52,6,4096,4664,2920,1744,204800,233200,8760,
Cal-16,255,366,53,52,6,4080,4704,2928,1776,204000,235200,8784,
Cal-17,254,365,52,53,6,4064,4696,2920,1776,203200,234800,8760,
Cal-18,255,365,52,52,6,4080,4680,2920,1760,204000,234000,8760,
,,,,,,,,,,,,,
SUMMERS,,,,,,,,,,,,,
Sum-01,44,62,8,9,1,704,784,496,288,35200,39200,1488,
Sum-02,44,62,9,8,1,704,784,496,288,35200,39200,1488,
Sum-03,43,62,9,9,1,688,800,496,304,34400,40000,1488,
Sum-04,43,62,9,9,1,688,800,496,304,34400,40000,1488,
Sum-05,43,62,9,9,1,688,800,496,304,34400,40000,1488,
Sum-06,43,62,9,9,1,688,800,496,304,34400,40000,1488,
Sum-07,44,62,8,9,1,704,784,496,288,35200,39200,1488,
Sum-08,43,62,9,9,1,688,800,496,304,34400,40000,1488,
Sum-09,44,62,8,9,1,704,784,496,288,35200,39200,1488,
Sum-10,43,62,9,9,1,688,800,496,304,34400,40000,1488,
Sum-11,43,62,,,,,,,,,,,
Sum-12,44,62,,,,,,,,,,,
Sum-13,44,62,,,,,,,,,,,
Sum-14,43,62,,,,,,,,,,,
Sum-15,44,62,,,,,,,,,,,
Sum-16,43,62,,,,,,,,,,,
Sum-17,43,62,,,,,,,,,,,
Sum-18,44,62,,,,,,,,,,,
