,,Reg As,DSRO,A/O,Adjusted,Net Capital,Excess,Customers',Customers',Excess/Deficient,Funds in Separate,Customer,Excess/Deficient,Total Amount
45,ITG DERIVATIVES LLC,FCM BD,NFA,2013-06-30 00:00:00,3905267,1000000,2905267,0,0,0,0,0,0,0
46,JEFFERIES BACHE LLC,FCM,CBOT,2013-06-30 00:00:00,244062000,130468160,113593840,2178598000,2078132000,100466000,196061000,124800000,71261000,0
47,JP MORGAN CLEARING CORP,FCM BD,NFA,2013-06-28 00:00:00,6690730070,1690944668,4999785402,917231039,679504350,237726689,647246164,394555542,252690622,0
48,JP MORGAN SECURITIES LLC,FCM BD,CEI,2013-06-30 00:00:00,13768970971,1808638069,11960332902,18087555511,16127569437,1959986074,3455283785,3073495456,381788329,0
49,KNIGHT CAPITAL AMERICAS LLC,FCM BD,CME,2013-06-30 00:00:00,318684657,21296172,297388485,517503201,501771934,15731267,12053300,7482183,4571117,35923441
50,LEK SECURITIES CORPORATION,FCM BD,NFA,2013-06-30 00:00:00,9050018,1500000,7550018,10389652,8829375,1560277,0,0,0,0
51,LINN GROUP THE,FCM,NFA,2013-06-30 00:00:00,3391175,1934073,1457102,81791016,78236220,3554796,347705,0,347705,0
52,LPL FINANCIAL LLC,FCM BD,NFA,2013-06-30 00:00:00,181089275,5977478,175111797,0,0,0,0,0,0,0
53,MACQUARIE FUTURES USA LLC,FCM,CBOT,2013-06-30 00:00:00,143947852,94454914,49492938,1440568654,1275659952,164908702,33236110,26589989,6646121,0
54,MAREX NORTH AMERICA LLC,FCM,CME,2013-06-30 00:00:00,11886624,7265864,4620760,98966721,92319463,6647258,5902573,5190317,712256,0
55,MB TRADING FUTURES INC,FCMRFD,NFA,2013-06-30 00:00:00,24229467,21532415,2697052,0,0,0,0,0,0,40648295
56,MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2013-06-30 00:00:00,13230247,3548728,9681519,836262778,815230051,21032727,2650556,0,2650556,0
57,MERRILL LYNCH PIERCE FENNER & SMITH,FCM BD,CBOT,2013-06-30 00:00:00,11649158592,793196656,10855961936,8076546948,7692456094,384090854,2710470923,2359388174,351082749,0
58,MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2013-06-30 00:00:00,1829495062,242170081,1587324981,1582111487,813751567,768359920,28741798,749613,27992185,0
59,MID CO COMMODITIES INC,FCM,NFA,2013-06-30 00:00:00,9849970,3587814,6262156,50253684,41168839,9084845,572574,0,572574,0
60,MITSUBISHI UFJ SECURITIES USA INC,FCM BD,NFA,2013-06-30 00:00:00,213567928,1024883,212543045,0,0,0,0,0,0,0
61,MITSUI BUSSAN COMMODITIES USA INC,FCM,NFA,2013-06-30 00:00:00,3382859,1000000,2382859,0,0,0,0,0,0,0
62,MIZUHO SECURITIES USA INC,FCM BD,CME,2013-06-30 00:00:00,434197529,177666239,256531290,2465825905,2273600651,192225254,386960657,302569773,84390884,0
63,MORGAN STANLEY & CO LLC,FCM BD,CME,2013-06-30 00:00:00,6678424724,1441152057,5237272667,7597864467,7389672775,208191692,2122690961,1916312105,206378856,0
64,MORGAN STANLEY SMITH BARNEY LLC,FCM BD,NFA,2013-06-28 00:00:00,3205444631,159003435,3046441196,731471211,636482364,94988847,95402948,66034680,29368268,0
65,NATIXIS SECURITIES AMERICAS LLC,FCM BD,NFA,2013-06-30 00:00:00,303145275,2579717,300565558,0,0,0,0,0,0,0
66,NEUBERGER BERMAN LLC,FCM BD,NFA,2013-06-30 00:00:00,68343914,1500000,66843914,0,0,0,0,0,0,0
67,NEWEDGE USA LLC,FCM BD,NYME,2013-06-30 00:00:00,1973658172,954239751,1019418421,14647712788,14075584466,572128322,3219961451,2868280737,351680714,0
68,NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2013-06-28 00:00:00,2471477151,27071348,2444405803,71712710,55755653,15957057,31625793,7124490,24501303,0
69,OANDA CORPORATION,FCMRFD,NFA,2013-06-30 00:00:00,151949489,26246564,125702925,0,0,0,0,0,0,134931279
70,OPPENHEIMER & CO INC,FCM BD,NFA,2013-06-30 00:00:00,158513177,26077861,132435316,35797340,17594776,18202564,0,0,0,0
71,OPTIONSXPRESS INC,FCM BD,NFA,2013-06-30 00:00:00,92445317,6784254,85661063,113994260,87829919,26164341,3844688,1298371,2546317,0
72,PHILLIP FUTURES INC,FCM,CME,2013-06-30 00:00:00,27600089,20000000,7600089,178325212,155853818,22471394,4126103,1887351,2238752,0
73,PIONEER FUTURES INC,FCM,NFA,2013-06-30 00:00:00,2362692,1000000,1362692,0,0,0,0,0,0,0
74,RAND FINANCIAL SERVICES INC,FCM,CME,2013-06-30 00:00:00,78078416,21208122,56870294,488172900,446029200,42143700,27649100,5639200,22009900,0
75,RAYMOND JAMES & ASSOCIATES INC,FCM BD,NFA,2013-06-28 00:00:00,409708149,37628213,372079936,0,0,0,0,0,0,0
76,RBC CAPITAL MARKETS LLC,FCM BD,CME,2013-06-28 00:00:00,1205507772,103822097,1101685675,855429343,775889988,79539355,133643272,79648370,53994902,0
77,RBS SECURITIES INC,FCM BD,CBOT,2013-06-30 00:00:00,3469994479,141607553,3328386926,1687940182,1546648609,141291573,174280517,55489077,118791440,0
78,RJ OBRIEN ASSOCIATES LLC,FCM,CME,2013-06-30 00:00:00,204250024,131276458,72973566,4002575538,3886400455,116175083,178003322,149754440,28248882,1842555
79,ROSENTHAL COLLINS GROUP LLC,FCM,CME,2013-06-30 00:00:00,83882299,57203884,26678415,1567245820,1547780897,19464923,37268857,27357030,9911827,0
80,SANFORD C BERNSTEIN & CO LLC,FCM BD,NFA,2013-06-30 00:00:00,168289058,20506623,147782435,0,0,0,0,0,0,0
81,SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2013-06-28 00:00:00,518140758,7833120,510307638,645194820,642631224,2563596,0,0,0,0
82,STATE STREET GLOBAL MARKETS LLC,FCM BD,CME,2013-06-30 00:00:00,513834063,20420198,493413865,264873936,177948886,86925050,104980992,64662558,40318434,0
83,STRAITS FINANCIAL LLC,FCM,CME,2013-06-30 00:00:00,9611600,3211333,6400267,119509182,112672585,6836597,22816178,20752702,2063476,0
84,TD AMERITRADE INC,FCM BD,NFA,2013-06-30 00:00:00,250554426,8032395,242522031,177641627,97748149,79893478,0,0,0,0
85,TIMBER HILL LLC,FCM BD,CME,2013-06-30 00:00:00,511164156,43684907,467479249,660872862,658346538,2526324,0,0,0,0
86,TRADELINK LLC,FCM BD,CBOT,2013-06-30 00:00:00,12952189,1000000,11952189,0,0,0,0,0,0,0
87,TRADESTATION SECURITIES INC,FCM BD,NFA,2013-06-30 00:00:00,53346764,2646819,50699945,410208789,399477488,10731301,15265950,14306433,959517,0
88,TULLETT PREBON FINANCIAL SERVICES LLC,FCM BD,NFA,2013-06-30 00:00:00,27240612,1000000,26240612,0,0,0,0,0,0,0
89,UBS FINANCIAL SERVICES INC,FCM BD,NFA,2013-06-30 00:00:00,1455144268,104673102,1350471166,122287759,94760845,27526914,25298139,1194403,24103736,0
90,UBS SECURITIES LLC,FCM BD,CBOT,2013-06-28 00:00:00,9146442488,951813600,8194628888,9519444504,8803314863,716129641,4947071341,4504750072,442321269,0
91,VELOCITY FUTURES LLC,FCM,NFA,2013-06-30 00:00:00,1255833,1000000,255833,60190702,59330445,860257,1530777,987948,542829,0
92,VISION FINANCIAL MARKETS LLC,FCM BD,CME,2013-06-30 00:00:00,35630337,10798791,24831546,494070536,481029750,13040786,14917739,12391583,2526156,0
93,WELLS FARGO ADVISORS FINANCIAL NETWORK LLC,FCM BD,NFA,2013-06-30 00:00:00,47639416,1000000,46639416,0,0,0,0,0,0,0
94,WELLS FARGO ADVISORS LLC,FCM BD,NFA,2013-06-30 00:00:00,1101973043,1500000,1100473043,0,0,0,0,0,0,0
95,WELLS FARGO SECURITIES LLC,FCM BD,CME,2013-06-30 00:00:00,2375889396,14294290,2361595106,10000078,0,10000078,4938690,0,4938690,0
96,WHITE COMMERCIAL CORPORATION,FCM,NFA,2013-06-30 00:00:00,2460762,1000000,1460762,0,0,0,0,0,0,0
97,WHOTRADES FX LLC,FCM,NFA,2013-06-30 00:00:00,2036862,1000000,1036862,0,0,0,0,0,0,0
98,XCHANGE FINANCIAL ACCESS LLC,FCM BD,NFA,2013-06-30 00:00:00,5940872,1000000,4940872,39338555,37182723,2155832,0,0,0,0
99,XPRESSTRADE LLC,RFED,NFA,2013-06-30 00:00:00,22860633,20000000,2860633,0,0,0,0,0,0,385287
100,YORK BUSINESS ASSOCIATES LLC,FCM,NFA,2013-06-30 00:00:00,4366042,1000000,3366042,53997384,51828224,2169160,2424193,1901823,522370,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Totals,,,,,,,153828051697,142259476424,11568575273,39853848217,35025351989,4828496228,635547812
,,,,,,,,,,,,,,
,May Web Page Update,101,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Additions,0,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Deletions,1,,,,,,,,,,,,
,FX SOLUTIONS LLC,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name Changes,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,June Web Page Update,100,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(a):  FCM:         Futures Commission Merchant that is registered with the Commodity Futures Trading Commission;,,,,,,,,,,,,,
,BD:           The FCM is also registered with the Securities and Exchange Commission as a securities broker or dealer;,,,,,,,,,,,,,
,RFED:       Retail Foreign Exchange Dealer that is registered with the Commodity Futures Trading Commission;,,,,,,,,,,,,,
,FCMRFD:  The FCM is also registered with the Commodity Futures Trading Commission as a Retail Foreign Exchange Dealer.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(b):  DSRO: Designated Self-Regulatory Organization.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(c):  A firm's net capital requirement is the greater of:,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"•  FCM minimum dollar amount ($1,000,000); or",,,,,,,,,,,,,
,"•  risk based capital requirement, the sum of 8% of total customer risk maintenance margin and 8% of total non-customer risk maintenance margin; or",,,,,,,,,,,,,
,•  the amount of capital required by a registered futures association (currently NFA is the only such association); or,,,,,,,,,,,,,
,"•  for securities brokers and dealers, the amount of net capital required by Rule 15c3-1(a) of the Securities and Exchange Commission; or",,,,,,,,,,,,,
,"•  minimum dollar amount for FCM’s offering or engaged in retail forex transactions and RFEDs ($20,000,000); or",,,,,,,,,,,,,
,"•  minimum dollar amount for FCM’s offering or engaged in retail forex transactions and RFEDs ($20,000,000) plus five percent of the FCM’s or RFED’s total retail forex obligation in excess of $10,000,000.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(d):  Excess net capital is adjusted net capital, less the firm's net capital requirement.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(e):  This represents the total amount of money, securities, and property held in segregated accounts for futures and options customers in compliance with Section 4d of the Commodity Exchange Act.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(f):  This represents the total amount of funds that an FCM is required to segregate on behalf of customers who are trading on a designated contract market or derivatives transaction execution facility.  This is the sum of all accounts that contain a net liquidating equity.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(g):  Excess/Deficient funds in segregation is customer assets in segregation, less the customer segregation requirement.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(h):  This represents the total amount of money, securities, and property held in secured accounts for futures and options customers who trade on commodity exchanges located outside the United States in compliance with Part 30 of the Commodity Exchange Act.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(i):  This represents the amount of funds an FCM is required to set aside for customers who trade on commodity exchanges located outside of the United States.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(j):  Excess/Deficient funds in separate Section 30.7 accounts is funds in separate Section 30.7 accounts, less the customer amount Part 30 requirement.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(k):  This represents the total amount of funds at an FCM, RFED, or FCMRFD that would be obtained by combining all money, securities and property deposited by a retail forex customer into a retail forex account or accounts, adjusted for the realized and unrealized net profit or loss.",,,,,,,,,,,,,
