Sweden,,,,,,,,,,,,,,,
Basic data for growth accounting,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total hours,Annual hours,Total number,,GDP in,,Share in GDP of,,,,Capital service growth rate of,,,,TFP
1994.0,6409.797525550264,1605.6607027931523,3992.0,,1477150.324407813,,0.7221234652753379,0.0391006068893492,0.2387759278353129,,0.11890842592129655,0.002122096311653278,0.01855535278881974,,0.030798012283394783
1995.0,6543.063603552581,1613.1813618226286,4056.0,,1545386.0,,0.7039155729559924,0.04207597846987465,0.25400844857413296,,0.13339448239471746,0.015429238195582602,0.03219304818272039,,0.02114203847896421
1996.0,6522.837,1623.0,4019.0,,1567936.9652324372,,0.7035089790354034,0.045861425872990434,0.2506295950916061,,0.13261827608382382,0.025499152983736263,0.04206840930607532,,0.0041922264282280505
1997.0,6467.650299131077,1627.9009058975778,3973.0,,1606087.5539817493,,0.711610599148343,0.046686934125737115,0.24170246672591988,,0.13488575172424191,0.026763817558060857,0.044267517774007184,,0.017320348376995802
1998.0,6574.214796820115,1629.7012386762804,4034.0,,1664579.0674710672,,0.7069759513482566,0.048665362587108726,0.24435868606463465,,0.16956413460945405,0.026758828099996943,0.050475898601966405,,0.009426901107967714
1999.0,6736.657223146607,1636.3024588648548,4117.0,,1740724.770708109,,0.6990705870273735,0.05123835685249911,0.24969105612012743,,0.19630806957518643,0.03059953832510395,0.058814237492671055,,0.009966949262349034
2000.0,6873.395498243667,1625.3004252172304,4229.0,,1816585.72894922,,0.7056697190579784,0.052097407732973285,0.24223287320904835,,0.19076762550683032,0.03270796431822743,0.060685033441809456,,0.010615756933777809
2001.0,6910.76280878747,1603.296357921982,4310.346477518634,,1831493.7890429343,,0.7329245720232842,0.05367936956234038,0.21339605841437542,,0.15952868414505483,0.03075257658123159,0.056635228239177535,,-0.010926494634278923
,,,,,,,,,,,,,,,
Average growth rates,,,,,,,,,,,Average growth rates,,,,
80-90,0.009407009527563254,,0.0065706201650999095,,0.02312170024857719,,,,,,0.1490668844789036,0.034747650855382825,0.04467950099941943,,0.0026132097448735786
90-95,-0.0128883381355803,,-0.021352970911196405,,0.006604095802602304,,,,,,0.09089704784193922,0.013200862269791391,0.023907230583109097,,0.0093029812806058
95-01,0.009112421166915985,,0.010136837301865825,,0.02830969911866411,,,,,,0.1639454236074319,0.02884697964439284,0.0521577208092845,,0.006765947912506581
,,,,,,,,,,,,,,,
"Source: Timmer, Ypma and van Ark (2003)",,,,,,,,,,,,,,,
