,,2010/11,,,,,,,,,,,,,,,,,,
,English & Modern Langagues,1561307.4100000001,1878453.29,16737,112.23357172731075,93.28478281651432,195.84564874135256,-0.16883351941106806,23.102357320099255,7.5,180,10435.851611111111,19109.78166666667,40119.80812749867,235.66000000000003,44.28350849151791,81.09047639254294,170.2444544152536,,1
,Pol Science & Criminal Justice,810604.71,762164.38,3441,221.49502470212147,235.5724237140366,494.56977606513544,0.06355627640326089,4.625,10.75,258,2954.125503875969,6096.004224806201,12798.184935323054,235.66000000000003,12.535540625799749,25.86779353647713,54.307837288139915,,1
,History & Political Science,747226.05,692558.3,12762,54.26722300579847,58.55085801598496,122.92391563003555,0.07893595383955399,17.311414392059554,10.625,255,2715.9149019607844,5646.213137254902,11853.876285188446,235.66000000000003,11.524717397779785,23.95914935608462,50.30075653563797,,1
,Mathematics & Computer Science,1641555.22,1448850.49,16717,86.66928814978765,98.19675898785667,206.15803979628788,0.13300525577349243,22.469086021505376,23.5,564,2568.8838475177304,5479.44274822695,11503.752137992116,235.66000000000003,10.90080559924353,23.251475635351564,48.815039200509695,,1
,Physics,699416.9,604948.09,6536,92.55631731946144,107.00992962056304,224.660748039985,0.15616019219103583,10.876759895536978,8,192,3150.771302083333,6793.56765625,14262.676341580256,235.66000000000003,13.369987702976037,28.8278352552406,60.52226233378704,,1
,"Accounting, Economics, & Finance",1231240.44,1169666.86,8211,142.45120691754965,149.9501205699671,314.8110308584044,0.05264198046954993,12.222704714640198,15,360,3249.0746111111116,6669.186944444444,14001.546707582138,235.66000000000003,13.787128113006498,28.30003795486906,59.4141844504037,,1
,Aerospace Studies,45671.08,,276,0,165.4749275362319,347.40440568431586,,0.3709677419354839,,0,,,,235.66000000000003,,,,,1
,Management & marketing,1224074.26,1279505.89,6699,190.9995357516047,182.72492312285416,383.6197076279619,-0.04332268450909582,10.48045905707196,12.625,303,4222.791716171617,8262.640759075908,17346.904724652373,235.66000000000003,17.9190007475669,35.061702279028715,73.60988171370776,,1
,Security Studies & Criminal Justice,0,,4138,0,0,0,,6.757030603804798,,0,,,,235.66000000000003,,,,,1
,Teacher Education,872026.21,750714.67,3348,224.22779868578257,260.4618309438471,546.8235516385616,0.16159473745198016,5.528225806451613,10.67,256.08,2931.563066229304,6336.851296469853,13303.828509475992,235.66000000000003,12.43979914380592,26.889804364210526,56.453485994551436,,1
,Curriculum & Instruction,933895.04,766315.62,4776,160.45134422110553,195.53916247906199,410.5224129146296,0.21868198380192228,17.017990074441688,15.52,372.48,2057.3336018041236,4564.568996993127,9583.031116652037,235.66000000000003,8.730092513808552,19.36929897731107,40.66464871701619,,1
,Kinesiology,836218.02,759352.23,4719,160.91380165289254,177.20237762237764,372.02546391972663,0.10122547477077948,7.722497932175352,10.805,259.32,2928.243984266543,6152.900856085146,12917.63590393323,235.66000000000003,12.42571494639117,26.109228787597154,54.81471570878905,,1
,Nursing,2598646.27,2006062.14,10747,186.66252349492882,241.80201637666326,507.6484216873934,0.29539669693382486,22.692019683894987,30.125,723,2774.6364315352694,6368.8913001383125,13371.094521302028,235.66000000000003,11.773896425083889,27.02576296417853,56.7389226907495,,1
,Athletic Training,0,,0,,,,,0,,0,,,,235.66000000000003,,,,,1
,Physical Therapy,1025297.34,805494.07,0,,,,,0,8,192,4195.281614583333,9535.371927083334,20018.92532378944,235.66000000000003,17.802264340929018,40.46241164000396,84.94833796057642,,1
,"Psychology, Sociology & Social Work",1229276.16,1074004.89,13098,81.99762482821804,93.8522033898305,197.03691324275445,0.1445722188471601,21.251964433416045,17,408,2632.3649264705878,5645.29669117647,11851.952263163117,235.66000000000003,11.170181305569836,23.95526050741097,50.29259213766917,,1
,Academic Affairs,0,60525,1944,31.13425925925926,0,0,-1,2.6129032258064515,5.25,126,480.35714285714283,480.35714285714283,1008.4801982702943,235.66000000000003,2.038348225651968,2.038348225651968,4.279386396801724,,1
,,,,,,,,,,,,,,,,,,,,
,Total,20319210.11,18080602.3,,,,,,,,,,,,,,,,,
