,,,,,,,,,,Libor +,,,Disc,Notional,400 bp
AIGCOMARB,2001-10-25 00:00:00,YE3052.1,NX1,NG,F,2001-12-01 00:00:00,2310000,2307074.1065,0.9987333794372295,2.799464961170147,3.1,2.9250000000162544,-403737.9686,-404249.9999624526,-1131683.7104479193
AARB,2001-10-25 00:00:00,YE3052.2,NX1,NG,F,2001-12-01 00:00:00,690000,689126.0318,0.9987333794202898,2.799464961170147,3.1,2.924999999949211,-120597.0556,-120750.00003504439,-338035.3941594008
,,,,,,,3000000,2996200.1383,,#N/A,,,-524335.0242,-524999.9999974971,
AIGCOMARB,2001-10-25 00:00:00,YE3054.1,NX1,NG,F,2002-01-01 00:00:00,-2310000,-2302968.1034,0.9969558889177489,2.78372231112359,3.2525,3.10499999997894,339687.7953,340725.0000486486,948483.7845930094
AARB,2001-10-25 00:00:00,YE3054.2,NX1,NG,F,2002-01-01 00:00:00,-690000,-687899.5634,0.9969558889855072,2.78372231112359,3.2525,3.1050000000021805,101465.1856,101774.99999849545,283313.3382104151
,,,,,,,-3000000,-2990867.6668,,,,,441152.98089999997,442500.0000471441,
,,,,,,,,,,,,,,,
AIGCOMARB Dec,,,,,,,0,0,,,,,-549852.662,-550549.9999476839,-1541245.4342257672
AARB Dec,,,,,,,0,0,,,,,-164241.7043,-164450.00005131494,-460372.0130080851
,,,,,,,,,,,,,,,
AIGCOMARB Jan,,,,,,,0,9.999983012676239e-05,,,,,688971.291,691075.0000511562,1923760.8963021394
AARB Jan,,,,,,,0,9.999994654208422e-05,,,,,205796.6194,206425.00000100312,574629.8780764794
,,,,,,,,,,,,,,,
Total Dec/Jan,,,,,,,,,,,,,180673.54409999997,182500.00005316045,496773.3271447666
