FTES = Full Time Equiv. Student (525 contact hrs.),CREDIT FTES (1),,,,,,,,,,,,,,,,,
Click Back to Subject Totals,MSJC MVC Total by Course,,,,,,,,,,,,,,,,,
Course,AY07-08,,,AY08-09,,,AY09-10,,,AY10-11,,,AY11-12,,,AY12-13,,
AH-121,,1.3871,1.7339999999999995,,2.722500000000001,2.1935999999999996,,1.067,1.8660000000000003,,2.666000000000001,2.5200000000000014,,2.857500000000001,3.267599999999998,,2.6400000000000015,
AH-122,,,2.1000000000000005,,,,,,,,,,,,,,,
AH-124,,2.0000000000000004,,,,,,,,,,,,,,,,
AH-126,,2.1671000000000005,,,,,,,,,,,,,,,,
AH-127,,2.4384000000000006,1.7416000000000003,,3.3974999999999986,3.535100000000001,,2.0722999999999994,3.1500000000000012,,2.2282,3.9422000000000024,,2.849200000000001,2.849200000000001,1.0284,,2.3996000000000004
AH-149,,0.2002,0.7,,0.5336,1.1332,,0.034600000000000006,0.5345,,0.6665,2.799300000000001,,0.5332,0.7998999999999999,,,
AH-154,,,2.1671000000000005,,,,,,,,,,,,,,,
Click Back to Subject Totals,CREDIT FTES (1),,,,,,,,,,,,,,,,,
Administration of Justice,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
AJ-071,,1.7065999999999995,1.8569999999999995,,2.6818,2.4379999999999997,,,,,,,,,,,,
AJ-101,3.4986,1.6000000000000003,,,2.9000000000000012,,3.5646000000000018,,4.997999999999997,,4.5,,,4.000000000000002,,,,4.000000000000002
AJ-102,,,5.847499999999996,,3.2928,,,4.799999999999999,,,3.900000000000002,,,,,,8.299999999999986,
AJ-103,,,3.4000000000000017,,,3.5000000000000018,,,,,3.4000000000000017,,,,,,,4.000000000000002
AJ-104,,,,,1.7000000000000004,,,,,,,,,,,,,
AJ-105,,3.3000000000000016,,,3.3000000000000016,,,3.2000000000000015,,,2.9000000000000012,,,3.2000000000000015,,,2.9000000000000012,
AJ-106,,2.500000000000001,,,,,,4.300000000000001,,,,4.699999999999999,,,,,4.000000000000002,
AJ-108,,,4.300000000000001,,,4.699999999999999,,,,,,,,,3.900000000000002,,,
AJ-111,,2.700000000000001,,,3.2000000000000015,,,3.3000000000000016,3.900000000000002,,,4.4,,,4.799999999999999,,4.100000000000001,3.900000000000002
AJ-112,,,,,,,,,,,3.800000000000002,,,,,,,
AJ-118,,,,,,4.5,,,7.599999999999989,,,3.800000000000002,,,,,,4.000000000000002
AJ-125,,,2.700000000000001,,,,,4.4,,,,,,4.000000000000002,,,,
AJ-128,,2.2000000000000006,,,,3.600000000000002,,,,,,3.800000000000002,,,3.800000000000002,,,4.000000000000002
AJ-149,,0.4,,,0.1,0.1,,0.1013,,,,,,,0.1,,0.2,0.5
AJ-299,,0.001,,,,,,,,,,,,,0.0003,,,
Anatomy & Physiology,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
ANAT-100,0.9261,3.4000000000000017,5.4999999999999964,1.4623999999999997,4.4,5.1999999999999975,,6.299999999999994,4.300000000000001,,2.3000000000000007,2.2000000000000006,,1.3,3.0000000000000013,,,
ANAT-101,11.529199999999998,32.40000000000005,33.60000000000004,11.246300000000007,33.900000000000034,38.999999999999986,9.051900000000005,32.40000000000005,34.50000000000003,11.418200000000006,32.40000000000005,30.900000000000052,,31.200000000000053,31.200000000000053,6.208800000000006,28.800000000000047,30.60000000000005
ANAT-101H,,0.3,0.8999999999999999,,0.6,0.6,,,,,0.6,,,,,,,
ANAT-102,10.507000000000007,33.00000000000004,30.900000000000052,7.406100000000004,32.10000000000005,28.800000000000047,8.229000000000005,32.10000000000005,30.900000000000052,7.5735,28.500000000000046,27.600000000000044,,28.500000000000046,30.30000000000005,3.980000000000003,29.70000000000005,25.20000000000004
ANAT-102H,,,0.3,,0.6,,,,,,0.3,0.3,,,,,,
ANAT-299,0.0057,0.10089999999999999,0.6021999999999998,0.0133,0.30189999999999995,0.4724,0.10849999999999999,0.6037,1.0816999999999997,,0.045099999999999994,0.0081,,0.2685,0.0049,,,0.035300000000000005
Anthropology,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
ANTH-101,2.7663999999999995,10.699999999999978,17.22899999999998,1.4623999999999997,19.400000000000006,22.692800000000062,,20.40000000000002,25.3102000000001,,19.200000000000003,19.300000000000004,,20.000000000000014,20.50000000000002,,18.9,16.025899999999965
ANTH-101H,,,0.4,,0.5,0.4,,0.1,0.6,,0.4,0.7,,0.5,0.4,,0.8999999999999999,0.6
ANTH-102,0.9430000000000001,9.926099999999984,11.499999999999975,2.3764,24.48930000000009,22.200000000000045,3.4732000000000016,27.49280000000013,16.19999999999996,,19.900000000000013,15.69999999999996,,14.899999999999963,14.999999999999963,,15.199999999999962,14.499999999999964
ANTH-102H,,0.2,0.30000000000000004,,0.5,0.1,,0.2,0.2,,0.30000000000000004,0.30000000000000004,,0.4,0.30000000000000004,,0.4,0.30000000000000004
ANTH-103A,,,,,,,,,,,,,,,,,,
ANTH-104,,3.0000000000000013,1.8000000000000005,,1.2,,,4.000000000000002,,,4.200000000000001,,,3.600000000000002,,,4.000000000000002,
ANTH-104H,,0.5085,,,,,,0.1,,,,,,0.2034,,,,
ANTH-115,,1.3,2.500000000000001,,,3.900000000000002,,,3.900000000000002,,,4.200000000000001,,,4.000000000000002,,,4.100000000000001
ANTH-121,,3.5000000000000018,1.8000000000000005,0.3656,1.7000000000000004,2.9000000000000012,,4.999999999999998,2.700000000000001,,3.0000000000000013,2.800000000000001,,1.9000000000000006,2.3000000000000007,,1.3,2.1000000000000005
ANTH-125,,,,,,,,4.5,4.699999999999999,,4.100000000000001,3.800000000000002,,4.200000000000001,4.100000000000001,,3.800000000000002,
ANTH-145,,,,,,,,,,,,,,,2.2000000000000006,,,
ANTH-145H,,,,,,,,,,,,,,,,,,
ANTH-201,,1.4237999999999995,1.9000000000000006,,,3.4919999999999995,,,4.000000000000002,,,4.000000000000002,,,,,,2.700000000000001
ANTH-205,,,,,,,,,,,,,,,,,,
ANTH-210,,,,,,,,,,,,,,,,,,
ANTH-215,,,,,,,,,,,,,,,,,,
ANTH-299,,,0.003,,,,,0.0333,,,,,,,,,,
Click Back to Subject Totals,CREDIT FTES (1),,,,,,,,,,,,,,,,,
Art,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
ART-093,,,,,,,,,,,1.0999999999999999,1.3,,1.4000000000000001,1.6000000000000003,,1.2,1.6464
ART-095,,,,,,,,,,,1.6000000000000003,2.0000000000000004,,1.3,0.9999999999999999,,1.9000000000000006,1.7493
ART-100,,4.4,3.600000000000002,2.9248000000000007,3.900000000000002,4.300000000000001,,4.799999999999999,5.399999999999997,,4.100000000000001,4.200000000000001,,4.699999999999999,4.100000000000001,,5.099999999999998,4.5
ART-101,,4.100000000000001,4.699999999999999,,4.300000000000001,3.700000000000002,,4.300000000000001,5.399999999999997,,4.5,4.899999999999999,,4.799999999999999,4.6,,4.999999999999998,4.799999999999999
ART-101H,,0.30000000000000004,0.2,,,0.30000000000000004,,0.2,0.1,,0.30000000000000004,,,,,,,
ART-102,2.4696000000000002,7.599999999999989,8.299999999999986,2.7420000000000004,9.299999999999983,8.399999999999986,,8.499999999999986,9.499999999999982,,8.299999999999986,9.399999999999983,,4.100000000000001,9.485399999999984,,9.099999999999984,9.099999999999984
ART-102H,,0.2,0.8999999999999999,,0.1,0.4,,0.7999999999999999,0.4,,0.6,0.1,,,0.1,,0.2,0.2
ART-103,,3.2000000000000015,3.600000000000002,,2.700000000000001,3.600000000000002,,3.0000000000000013,4.000000000000002,,,,,,2.9000000000000012,,4.000000000000002,2.9000000000000012
ART-103H,,0.30000000000000004,0.2,,0.2,,,,0.4,,,,,,0.2,,,0.2
ART-104,,,,,,,,,,,,,,,,,,
ART-105,,,,,,,,,,,,,,,,,,
ART-108,3.693799999999999,25.338399999999947,24.504899999999953,4.480000000000001,25.838499999999943,23.50469999999996,,35.173699999999876,27.50549999999993,,26.671999999999937,27.50549999999993,,26.505299999999938,22.17109999999997,,22.33779999999997,19.337199999999992
ART-109,,2.6672000000000007,2.8339000000000008,,,4.5009,,4.667599999999999,,,3.834100000000001,,,4.834299999999999,4.667599999999999,,4.3342,
ART-112,,2.8339000000000008,3.167300000000001,,1.5003000000000002,,,,5.834499999999997,,,5.167699999999998,,,4.5009,,,4.3342
ART-115,,1.5996,1.7328999999999999,,2.666000000000001,2.666000000000001,,2.2661000000000002,3.332500000000002,,5.501099999999997,6.667999999999995,,4.1675,6.001199999999996,,6.334599999999996,5.834499999999997
ART-116,,0.9330999999999999,0.9330999999999999,,1.0664,1.4663,,1.8661999999999999,0.9330999999999999,,2.3338000000000005,2.5005000000000006,,0.5001,3.000600000000001,,1.8337000000000003,2.8339000000000008
ART-118,,0.7998,2.5327000000000006,,1.0664,,,,,,,,,,,,,
ART-119,,,,,,,,,,,,,,,,,,
ART-120,1.3431999999999997,17.00340000000001,16.336600000000015,2.72,19.003799999999995,20.003999999999987,,17.336800000000007,16.003200000000017,3.0514000000000006,18.337,16.83670000000001,,18.670399999999997,18.003600000000002,,15.336400000000015,14.836300000000014
ART-122,,1.8337000000000003,1.5003000000000002,,2.3338000000000005,3.834100000000001,,3.667400000000001,3.742100000000001,,4.0631999999999975,4.1675,,5.000999999999999,4.000800000000001,,3.834100000000001,3.334000000000001
ART-123,,1.6670000000000003,2.6672000000000007,,2.0004000000000004,1.8337000000000003,,1.1669,,,2.415,2.3338000000000005,,3.000600000000001,1.8337000000000003,,2.5005000000000006,2.8800000000000003
ART-124,,,,,,,,,0.8135000000000001,,1.1851,,,,,,,
ART-125,,2.1671000000000005,1.8337000000000003,,3.000600000000001,2.8339000000000008,,4.000800000000001,3.834100000000001,,3.3810000000000002,3.500700000000001,,3.000600000000001,2.6672000000000007,,3.834100000000001,2.5710000000000006
ART-130A,,2.8037,2.1328,,2.7654000000000005,2.8490000000000006,,2.8037,5.329100000000003,,5.607400000000003,5.729300000000003,,5.607400000000003,5.119800000000002,,5.363600000000003,5.119800000000002
ART-130B,,1.5846999999999996,1.3408999999999998,,2.8911000000000007,3.0162000000000013,,2.742000000000001,4.296300000000002,,3.1843000000000012,3.5345000000000013,,4.372600000000002,3.7017000000000024,,2.8037,3.657000000000001
ART-141,,,,,,,,3.834100000000001,4.1675,,3.000600000000001,2.5005000000000006,,2.8339000000000008,,,3.500700000000001,2.6672000000000007
ART-151,3.0761000000000003,17.670200000000005,17.836900000000004,9.255600000000008,20.670799999999982,21.17089999999998,,20.83749999999998,20.670799999999982,,20.83749999999998,20.003999999999987,,22.837899999999966,18.837099999999996,,22.004399999999972,19.50389999999999
ART-160,,,,,,,,,,,4.1323000000000025,3.9990000000000028,,3.667400000000001,4.000800000000001,,4.3342,4.1675
ART-170,,,,,,,,,,,,,,,,,,
ART-171,,,,,,,,,,,,,,,,,,
ART-223,,0.5001,0.3334,,0.6668,0.1667,,0.1667,,,0.3334,0.5001,,,0.5001,,0.3334,0.5142
ART-299A,,,,0.0057,,,,,,,,,,,,,,
ART-299B,,0.0003,,,,0.0007,,0.0333,,,0.1,0.1,,,,,,
ART-299C,0.0057,0.1013,0.0018999999999999998,0.013300000000000001,0.1342,0.1335,,,0.001,,0.0007,,,,,,,
ART-299D,,,,,0.0003,,,,,,,,,,,,,
ART-299E,,,,,,,,,,,,,,,,,,
ART-299G,,,,,,,,,,,,,,,,,,
ART-299I,,,,0.0019,,,,,,,,,,,,,,
ART-299P,,,0.0007,,0.0003,,,,0.0333,,,,,,,,,0.0006
Click Back to Subject Totals,CREDIT FTES (1),,,,,,,,,,,,,,,,,
American Sign Language,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
ASL-100,7.677600000000009,16.662500000000012,16.982600000000012,7.435900000000005,31.05889999999984,26.92659999999989,2.6818,29.45929999999986,26.793299999999892,,26.1267999999999,25.460299999999908,,25.593599999999906,27.193199999999887,,26.526699999999895,21.327999999999957
ASL-101,2.1936,9.59760000000001,6.467100000000006,2.1941999999999995,7.998000000000008,11.597100000000014,,10.264100000000012,12.396900000000015,,7.598100000000008,9.73090000000001,,7.598100000000008,7.731400000000008,,11.063900000000013,7.464800000000007
ASL-102,,,0.8999999999999999,,,2.1000000000000005,,,2.9000000000000012,,,1.2,,,1.3,,,1.3
ASL-103,,2.5327000000000006,5.172100000000004,,5.4653000000000045,3.599100000000002,,2.666000000000001,4.1323000000000025,,2.932600000000001,3.332500000000002,,3.9990000000000028,3.7324000000000024,,3.1992000000000016,3.8657000000000026
ASL-104,,0.9330999999999999,0.6665,,1.9994999999999998,1.0664,,2.666000000000001,1.7328999999999999,,1.5996,1.8661999999999999,,2.2661000000000002,0.5332,,,0.9330999999999999
ASL-105,,,,,,1.5515999999999999,,0.39990000000000003,,,1.4663,1.0664,,,1.0664,,,
ASL-110,,3.0000000000000013,2.9000000000000012,,2.600000000000001,2.500000000000001,,2.700000000000001,2.9000000000000012,,2.600000000000001,2.700000000000001,,3.1000000000000014,2.700000000000001,,2.9000000000000012,2.700000000000001
ASL-150,,,,,,,,0.5332,,,,,,,0.5332,,,
ASL-299,,,,,,,,,0.1,,,,,0.1333,,,,0.4
Astronomy,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
ASTR-101,,11.199999999999992,11.199999999999992,,12.399999999999988,13.199999999999985,,12.399999999999988,12.799999999999986,,13.999999999999982,13.999999999999982,,16.599999999999973,14.999999999999979,,12.599999999999987,11.199999999999992
ASTR-111,,,2.0000000000000004,,,2.3000000000000007,,,2.2000000000000006,,,2.400000000000001,,,3.0000000000000013,,,
ASTR-299,,,,,,,,,,,,0.1,,,,,,0.1
Audio Technology,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
AUD-140,,,,,,,,,,,,,,,,,,
AUD-141,,,,,,,,,,,,,,,,,,
AUD-142,,,,,,,,,,,,,,,,,,
AUD-143,,,,,,,,,,,,,,,,,,
AUD-145,,,,,,,,,,,,,,,,,,
AUD-146,,,,,,,,,,,,,,,,,,
AUD-147,,,,,,,,,,,,,,,,,,
AUD-148,,,,,,,,,,,,,,,,,,
AUD-152,0.2058,,1.2,0.4116,,0.7999999999999999,,0.9999999999999999,0.5,,2.400000000000001,2.1000000000000005,,2.0000000000000004,1.9000000000000006,,2.3000000000000007,1.6000000000000003
AUD-153,,,,,,,,0.2,0.2,,0.6,0.7,,0.7,0.9999999999999999,,0.30000000000000004,0.5
AUD-299,,,,,,,,,,,,,,,,,,
Click Back to Subject Totals,CREDIT FTES (1),,,,,,,,,,,,,,,,,
Automotive/Transportation,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
AUME-079,,,,,,,,,,,,,,,,,,
AUME-100,,,,,,,,,,,,,,,,,,
AUME-101,,,,,,,,,,,0.8603,1.0968,,2.6049000000000007,,,,
AUME-109,,,,,,,,,,,,,,,,,,
AUME-110,,,,,,,,,,,,,,,,,,
AUME-111,,,,,,,,,,,,,,,,,,
AUME-112,,,,,,,,,,,,,,,,,,
AUME-118,,,,,,,,,,,,,,,,,,
AUME-119,,,,,,,,,,,,,,,,,,
AUME-120,,,,,,,,,,,,,,,,,,
AUME-122,,,,,,,,,,,,,,,,,,
AUME-123,,,,,,,,,,,,,,,,,,
AUME-124,,,,,,,,,,,,,,,,,,
AUME-126,,,,,,,,,,,,,,,,,,
AUME-127,,,,,,,,,,,,,,,,,,
AUME-135,,,,,,,,,,,,,,,,,,
AUME-149,,,,,,,,,,,,,,,,,,
AUME-175,,,,,,,,,,,,,,,,,,
AUME-185,,,,,,,,,,,,,,,,,,
AUME-299,,,,,,,,,,,,,,,,,,
Business Administration,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
BADM-098A,,,,,,,,,,,,,,,,,,
BADM-098B,,,,,,,,,,,,,,,,,,
BADM-098C,,,,,,,,,,,,,,,,,,
BADM-098D,,,,,,,,,,,,,,,,,,
BADM-098E,,,0.1292,,,,,,,,,,,,,,,
BADM-098F,,,0.0912,,,,,,,,,,,,,,,
BADM-098G,,,,,,,,,,,,,,,,,,
BADM-103,,8.199999999999987,8.51399999999999,,7.999999999999988,9.399999999999983,,3.800000000000002,8.20149999999999,,11.860899999999978,4.5,,11.899999999999974,5.099999999999998,,11.299999999999976,9.89999999999998
BADM-103H,,,,,,,,0.1,0.1,,,0.1,,,0.2,,,
BADM-104,,2.1000000000000005,2.800000000000001,,2.3000000000000007,4.817499999999996,,4.6,5.1999999999999975,,3.649300000000001,4.799999999999999,,4.4,4.999999999999998,,4.000000000000002,4.5
BADM-104H,,0.1,,,0.1,0.089,,,,,,,,0.1,,,0.2,0.1
BADM-120,,,,,,,,,,,,,,,,,,
BADM-122,,,,,,,,,,,,,,,,,,
BADM-124,,,,,,,,,,,,,,,,,,
BADM-125,,,,,,,,,,,,,,,,,,
BADM-147,,,,,,,,,,,,,,,,,,
BADM-149,,0.0677,0.1372,,0.0013,0.1,,,0.0007,,,,,,0.1,,,0.30000000000000004
BADM-150,,,3.4000000000000017,,3.0000000000000013,,,,3.5000000000000018,,,2.800000000000001,,,,,,
BADM-157,,,,,,1.3,,,3.5000000000000018,,,3.600000000000002,,,3.0000000000000013,,,1.7000000000000004
BADM-170,,,,,,,,2.600000000000001,,,,,,,,,,
BADM-201,,3.5000000000000018,4.200000000000001,,4.000000000000002,,,3.600000000000002,3.900000000000002,,,3.0000000000000013,,4.5,3.3000000000000016,,4.000000000000002,4.000000000000002
Click Back to Subject Totals,CREDIT FTES (1),,,,,,,,,,,,,,,,,
Biology,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
BIOL-100,,4.000000000000001,4.800000000000002,,6.600000000000003,6.200000000000003,,6.400000000000003,7.600000000000004,,6.000000000000003,6.600000000000003,,6.600000000000003,6.600000000000003,,6.800000000000003,
BIOL-115,8.398900000000005,31.546799999999944,37.636400000000016,8.962100000000001,39.986500000000035,38.2025,5.121200000000001,38.58809999999998,40.76530000000006,,26.799999999999937,27.199999999999935,,26.799999999999937,24.799999999999944,,24.799999999999944,20.39999999999996
BIOL-115H,,1.0057,1.2,,1,0.6000000000000001,,0.4,0.6000000000000001,,0.6000000000000001,,,1,0.4,,,
BIOL-117,,,,,2.9000000000000012,,,3.1000000000000014,,,3.5000000000000018,,,3.800000000000002,,,3.5000000000000018,3.4000000000000017
BIOL-125,10.332,30.00000000000005,31.200000000000053,8.229000000000005,30.00000000000005,27.900000000000045,9.051900000000005,28.800000000000047,19.500000000000025,,26.700000000000042,25.80000000000004,,24.600000000000037,27.600000000000044,7.5735,26.10000000000004,25.50000000000004
BIOL-125H,,0.3,0.3,,,0.3,,0.3,0.8999999999999999,,,,,,0.3,,0.3,
BIOL-130,,6.000000000000003,5.8000000000000025,,5.400000000000002,5.000000000000002,,5.600000000000002,5.400000000000002,,4.800000000000002,5.600000000000002,,,,,,
BIOL-131,,,,,,,,,,,6.000000000000003,,,6.200000000000003,,,6.000000000000003,
BIOL-132,,,,,,,,,,,,2.1,,,4.199999999999999,,,
BIOL-134,,,,,,,,,3.1000000000000014,,,3.0000000000000013,,,3.5000000000000018,,,
BIOL-135,,3.800000000000002,2.700000000000001,,3.5000000000000018,,,2.600000000000001,3.1000000000000014,,3.2000000000000015,2.800000000000001,,,,,,
BIOL-135H,,0.2,0.30000000000000004,,0.1,,,,,,,,,,,,,
BIOL-140,,3.600000000000001,,,6.400000000000003,,,5.200000000000002,,,6.200000000000003,,,6.600000000000003,,,,
BIOL-143,,3.1000000000000014,,,3.5000000000000018,,,3.3000000000000016,,,,,,,,,,
BIOL-144,,,5.600000000000002,,,6.600000000000003,,,7.400000000000004,,,6.200000000000003,,,6.000000000000003,,7.0000000000000036,6.800000000000003
BIOL-146,,,,,,,,,3.4000000000000017,,,2.800000000000001,,,3.5000000000000018,,,
BIOL-150,,7.799999999999997,,,8.099999999999998,,,9,,,9.3,,,9.3,,,8.7,9.600000000000001
BIOL-150H,,1.8,,,2.6999999999999997,,,0.6,,,0.8999999999999999,,,0.8999999999999999,,,1.8,1.2
BIOL-151,,,5.999999999999998,,,7.499999999999997,,,7.799999999999997,,,6.899999999999998,,,7.1999999999999975,,,7.499999999999997
BIOL-151H,,,0.3,,,1.2,,,1.2,,,0.3,,,1.2,,,2.1
BIOL-201,,,,,,4.400000000000001,,,,,,,,,,,,
BIOL-299,,0.1018,0.0009,,0.13390000000000002,0.0673,,0.1005,0.23409999999999997,,0.0012,0.03700000000000001,,0.0012,0.0342,,0.1005,0.0028
Computer Applications,SU07,FA07,SP08,SU08,FA08,SP09,SU09,FA09,SP10,SU10,FA10,SP11,SU11,FA11,SP12,SU12,FA12,SP13
CAPP-039,,,,,,,,,,,,,,,,,,
CAPP-056,,,,,,,,,,,,,,,,,,
CAPP-065,,,,,,0.5831,,0.7202999999999999,,,,,,,,,,
CAPP-080,1.7149999999999999,2.1845000000000003,1.9207999999999998,0.3087,1.029,2.4696,0.34299999999999997,1.1434999999999997,0.5794999999999997,,0.8231999999999999,0.6174,,,,,,
CAPP-081,,,,,,,,0.7888999999999999,0.8574999999999999,,0.8231999999999999,,,,,,,
CAPP-082,,,,,,,,0.7624999999999995,0.34299999999999997,,0.9260999999999999,0.9260999999999999,,,,,,
CAPP-120,,,,,,,,5.599999999999996,5.4999999999999964,,5.4999999999999964,5.699999999999996,,5.699999999999996,5.699999999999996,,5.399999999999997,
CAPP-120C,1.8522,3.700000000000002,,,,,,,,,,,,,,,,
CAPP-120D,,,3.3000000000000016,,5.299999999999997,5.102899999999998,,,,,,,,,,,,
CAPP-120M,,,,,,,,,,,,,,,,,,
CAPP-121,,,,,,,,,,,2.600000000000001,,,,,,,
CAPP-121C,,1.7000000000000004,,,,,,,,,,,,,,,,
CAPP-121D,,,2.1000000000000005,,2.700000000000001,,,,,,,,,,,,,
CAPP-122,,,,,,,,5.699999999999996,6.199999999999994,,5.699999999999996,5.999999999999995,,5.699999999999996,5.599999999999996,,5.899999999999995,5.4999999999999964
CAPP-122C,,3.700000000000002,,,,,,,,,,,,,,,,
CAPP-122D,,,3.2000000000000015,,4.699999999999999,5.299999999999997,,,,,,,,,,,,
CAPP-123,,,,,,,,,3.0000000000000013,,,2.800000000000001,,,5.103799999999999,,,3.0000000000000013
CAPP-123C,,0.9999999999999999,,,,,,,,,,,,,,,,
CAPP-123D,,,,,,,,,,,,,,,,,,
CAPP-124,,,,,,,,,2.6754000000000002,,,,,,1.6464,,,
CAPP-124C,,,,,,,,,,,,,,,,,,
CAPP-124D,,,,,,2.7783,,,,,,,,,,,,
CAPP-125C,,,,,,,,,,,,,,,,,,
CAPP-125C1,,,,,,,,,,,,,,,,,,
CAPP-125C2,,,,,,,,,,,,,,,,,,
