10 Percent Biennial Base Reduction Options Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First 5% Reduction,,,,,,,,,,,,,,,,,,,,,,,,,Second 5% Reduction,,,,,,,,,,,
(priority order),Strategy Name,FY12 Budgeted,,FY13 Budgeted,,FY12-13 Budgeted Base,,Proposed FY14-15 Base,,Proposed FY14-15 Base,First Proposed Reduction,,,Second Proposed Reduction,,,FTE Reductions (FY12-FY13 Base),,First Reduction % of Proposed Base,Second Reduction % of Proposed Base,TOTAL Reduction % of Proposed Base,Running Total,Cumulative %,,(priority order),Strategy Name,Proposed FY14-15 Base,Second Proposed Reduction,Second Reduction % of Proposed Base,,,,,,,
,B.1.1 TEXAS Grants,325164261,,234373565,,559537826,0,600000000,,580782930,0,0,0,40302661,0,40302661,,,0,0.06717110166666666,0.06717110166666666,#REF!,#REF!,,13,B.1.3 Tuition Equalization Grants,168845654,9703951,0.057472317291625406,,,,D.1.5. Joint Admiss Md Pro,,,0.1074723172916254
,B.1.3 Tuition Equalization Grants,12030800,,12030800,,24061600,0,168845954,,168845654,15273669,0,0,15273669,0,15273669,,,0,0.09045919453894644,0.09045919453894644,#REF!,#REF!,,14,B.1.4. Texas Educational Opp. Grnt Prg,65349388,3755781,0.057472320934359784,,,,C.1.2. TX Research Incentive Pro,,,0.1074722668978895
,B.1.4. Texas Educational Opp. Grnt Prg,84422827,,84422827,,168845654,0,58649087,,65349388,,,0,,,0,,,0,,,#REF!,#REF!,,15,B.1.1 TEXAS Grants,580782930,33378940,0.05747231586162493,,,,B.1.3 Tuition Equalization Grants,,,#REF!
,B.1.5 College Work Study,7529639,,7529639,,15059278,0,30000000,,15059278,0,0,0,0,0,0,,,0,0,0,#REF!,#REF!,,,B.1.2 Texas B-On-Time,80557791,0,0,,,,B.1.4. Texas Educational Opp. Grnt Prg,,,#REF!
,B.1.6. License Plate Scholarships,0,542000,,557000,0,1099000,,1099000,1099000,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,B.1.5 College Work Study,15059278,0,0,,,,B.1.1 TEXAS Grants,,,#REF!
,B.1.10. Teach for TX LRP,500000,,500000,,1000000,0,10000000,,1000000,,,0,,,0,,,0,,,#REF!,#REF!,,,B.1.6. License Plate Scholarships,1099000,0,0,,,,B.1.2 Texas B-On-Time,,,0
,B.1.11. Border Faculty LRP,187813,,187813,,375626,0,375626,,375626,0,0,0,375626,0,375626,0,0,0,1,1,#REF!,#REF!,,,B.1.10. Teach for TX LRP,1000000,0,0,,,,B.1.5 College Work Study,,,0
,B.1.12. OAG Lawyers LRP,248036,,248036,,496072,0,496072,,496072,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,B.1.12. OAG Lawyers LRP,496072,0,0,,,,B.1.6. License Plate Scholarships,,,0
,B.1.15. Top 10% Scholarships,21862446,,17762446,,39624892,0,8500000,,8500000,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,B.1.15. Top 10% Scholarships,8500000,0,0,,,,B.1.10. Teach for TX LRP,,,#REF!
,B.1.16.  Armed Services Scholarships,3560000,,3560000,,7120000,0,4220000,,7120000,0,0,0,0,0,0,1.9,1.9,0,0,0,#REF!,#REF!,,,B.1.16.  Armed Services Scholarships,7120000,0,0,,,,B.1.12. OAG Lawyers LRP,,,0
,C.1.1. Advanced Research Pro,1000000,,0,,1000000,0,3000000,,1000000,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,C.1.1. Advanced Research Pro,1000000,0,0,,,,B.1.15. Top 10% Scholarships,,,0
,D.1.1. Family Practice Res Pro,2800000,,2800000,,5600000,0,7600000,,9600000,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,D.1.1. Family Practice Res Pro,9600000,0,0,,,,B.1.16.  Armed Services Scholarships,,,0
,D.1.6. Physician Ed Loan Repay,0,5600000,,,0,5600000,,5600000,5600000,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,D.1.6. Physician Ed Loan Repay,5600000,0,0,,,,C.1.1. Adv Research Pro,,,0
,E.1.1. Baylor Col of Med - UGME,40123625,,35741187,,75864812,0,75864812,,0,,,0,,,0,,,0,,,#REF!,#REF!,,,E.1.1. Baylor Col of Med - UGME,0,,0,,,,D.1.1. Fam Pract Res Pro,,,0
,E.1.2. Baylor Col of Med - GME,5176507,,5176507,,10353014,0,10353014,,0,,,0,,,0,,,0,,,#REF!,#REF!,,,E.1.2. Baylor Col of Med - GME,0,,0,,,,D.1.6. Physician Ed Loan Repay,,,0
,F.1.1. Developmental Ed Program,2000000,,2000000,,4000000,0,4000000,,4000000,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,F.1.1. Developmental Ed Program,4000000,0,0,,,,D.1.11. Alzheimer's Dis Cen,,,0.14821332545427685
,F.1.2. Centers for Teacher Ed,1520353,,1520353,,3040706,0,3040706,,1520353,,,0,,,0,,,0,,,#REF!,#REF!,,,F.1.2. Centers for Teacher Ed,1520353,,0,,,,F.1.1. Developmental Ed Program,,,0
,F.1.7. ABE Community College Grants,2000000,,2000000,,4000000,0,4000000,,4000000,0,0,0,0,0,0,0,0,0,0,0,,,,,F.1.7. ABE Community College Grants,4000000,0,0,,,,F.1.7. ABE Community College Grants,,,0
,F.1.9. College Readiness Grants,,,,,0,0,,,1520353,,,0,,,0,,,0,,,,,,,F.1.9. College Readiness Grants,1520353,0,0,,,,,,,#REF!
,TOTAL FY 14-15 Base,1082726453,92841791,871979237,1114000,1953406690,93955791,2078984391,46398000,1054563383,,,,,,,,,,,,,,,,TOTAL FY 14-15 Base,1054563383,,,,,,,,,#REF!
,"SUBTOTAL, First Proposed Reduction",,,,,,,,,,,,52728278,,,,1.9,1.9,0.050000103218072765,,,,,,,"SUBTOTAL, Second Proposed Reduction",,52728060,0.04999989649744931,,,,,,,
,Target:,,,,,,,,,,,,57038941,,,,,,,,,,,,,,,,,,,,,,,
,Target:,,,,,,,,,,,,,,,57038941,,,,,,,,,,,,,,,,,,,,
,,,,2048661481,2047362481,1299000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 10% Biennial Base Reduction,,,,,,,,,,,,,,,,,,,105456338,,,,,,,0.09999999971552208,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,GR,GR-Dedicated,,TOTAL,,TARGETS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Base,0,0,True,#REF!,,57038941,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,First 5%,#REF!,#REF!,True,#REF!,,57038941,,,,,,,,0.09999999971552208,,,0,,,,,,,,,
,AGENCY Biennial Total,,,,,,,,,,#REF!,#REF!,0,#REF!,114077882,,,,-114077882,,,,,,,,,,,,,,,,,
,,,,,,Second 5%,,,,,,,True,1,,,,,,,,,,,,105456338,,,,,,,,,,
,,,,,,Variance,,,,,#REF!,#REF!,,,,,0,0,,False,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,273669,,,,,,,,,,,,True,,,,,,,,,,
,,,,,,,,,,,,,,0.09987,,,,,,,,,,,,True,,,,,,,,,,
,,,,,,,-78019910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
