2012 High-Priority Occupations for Central Workforce Investment Area,,,,,,,,,
,,,,,,,,,
,,,Wages (2011),,,Employment,,,
43-5061,"Production, Planning & Expediting Clerks",MT OJT,43230,29270,50200,510,470,-0.0784,14
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,31640,22040,36440,1030,910,-0.1165,25
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,44480,28910,52270,1790,1860,0.0391,35
43-6012,Legal Secretaries,MT OJT,34080,28540,36840,350,340,-0.0286,6
43-6014,Secretaries,ST OJT,29650,20480,34240,4590,4210,-0.0828,73
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,43270,30240,49790,80,70,-0.125,1
43-9061,"Office Clerks, General",ST OJT,30160,19710,35380,9260,9530,0.0292,197
45-1011,Farm & Forestry Worker Supervisors,WK EXP,58850,46290,65140,180,190,0.055600000000000004,4
45-4011,Forest & Conservation Workers,MT OJT,N/A,N/A,N/A,30,30,N/A,1
45-4022,Logging Equipment Operators,MT OJT,N/A,N/A,N/A,70,60,-0.1429,1
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,51730,35220,59990,930,900,-0.0323,13
47-2021,Brickmasons & Blockmasons,LT OJT,45280,34130,50860,230,230,N/A,5
47-2031,Carpenters,LT OJT,33600,25810,37490,2800,2410,-0.1393,38
47-2051,Cement Masons & Concrete Finishers,MT OJT,35420,20060,43110,220,220,N/A,7
47-2061,Construction Laborers,ST OJT,29080,18720,34270,2230,2170,-0.0269,17
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,37450,29340,41500,900,940,0.0444,22
47-2111,Electricians,LT OJT,42110,31170,47580,950,920,-0.0316,24
47-2132,"Insulation Workers, Mechanical",LT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47-2141,"Painters, Construction & Maintenance",MT OJT,32970,21020,38950,360,380,0.055600000000000004,8
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,39730,28810,45200,610,640,0.0492,15
47-2181,Roofers,MT OJT,34830,21690,41390,270,280,0.037000000000000005,7
47-2211,Sheet Metal Workers,LT OJT,36710,22910,43610,170,170,N/A,4
47-4011,Construction & Building Inspectors,WK EXP,42560,29590,49040,280,290,0.0357,7
47-5011,"Derrick Operators, Oil & Gas",ST OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47-5071,"Roustabouts, Oil & Gas",MT OJT,N/A,N/A,N/A,10,10,N/A,1
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,56570,40000,64850,590,570,-0.0339,14
49-2022,Telecommunications Equipment Installers & Repairers,PS,53980,36500,62720,110,110,N/A,3
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49-2098,Security & Fire Alarm Systems Installers,MT OJT,31150,22360,35540,N/A,N/A,N/A,N/A
49-3021,Automotive Body & Related Repairers,MT OJT,33860,24780,38410,260,260,N/A,6
49-3023,Automotive Service Technicians & Mechanics,LT OJT,31700,22760,36180,1740,1770,0.0172,38
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,33770,23990,38660,490,530,0.0816,15
49-3042,Mobile Heavy Equipment Mechanics,LT OJT,36890,25470,42600,180,190,0.055600000000000004,5
49-9021,"Heating, A/C & Refrigeration Mechanics & Installers",PS,39160,25780,45850,690,700,0.014499999999999999,14
49-9041,Industrial Machinery Mechanics,LT OJT,43100,32660,48320,660,710,0.0758,16
49-9042,"Maintenance & Repair Workers, General",MT OJT,N/A,N/A,N/A,3190,3160,-0.0094,8
49-9043,"Maintenance Workers, Machinery",MT OJT,41580,32860,45940,230,230,N/A,4
49-9051,Electrical Power-Line Installers & Repairers,LT OJT,N/A,N/A,N/A,90,100,0.11109999999999999,4
49-9052,Telecommunications Line Installers & Repairers,LT OJT,63740,47320,71940,380,370,-0.0263,10
49-9071,"Maintenance & Repair Workers, General",MT OJT,32460,20810,38290,N/A,N/A,N/A,N/A
49-9099,"Installation, Maintenance & Repair Workers, Other",MT OJT,N/A,N/A,N/A,160,170,0.0625,1
51-1011,Supervisors - Production & Operating Workers,PS,51960,34160,60860,1590,1420,-0.1069,27
51-3021,Butchers & Meat Cutters,LT OJT,33120,23380,37980,180,170,-0.055600000000000004,6
51-4011,"Computer-Controlled Machine Tool Operators, Metal & Plastic",MT OJT,35530,27940,39320,370,360,-0.027000000000000003,4
51-4012,Computer Numerically Controlled Machine Tool Programmers,MT OJT,37410,30630,40810,N/A,N/A,N/A,N/A
51-4021,"Extruding & Drawing Machine Setters, Oprs & Tenders, Metal & Plastic",MT OJT,37940,31020,41400,250,230,-0.08,7
51-4022,"Forging Machine Setters, Operators & Tenders, Metal & Plastic",MT OJT,35220,31200,37230,N/A,N/A,N/A,N/A
51-4023,"Rolling Machine Setters, Operators & Tenders, Metal & Plastic",MT OJT,37810,30030,41700,60,60,N/A,1
51-4031,"Cutting, Punching & Press Machine Setters, Operators & Tenders",MT OJT,31490,25590,34450,1110,990,-0.1081,27
51-4032,"Drilling & Boring Machine Tool Setters, Operators & Tenders",MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51-4033,"Grinding, Lapping, Polishing & Buffing Machine Tool Setters",MT OJT,27300,21500,30190,170,150,-0.1176,2
51-4034,Computer Numerically Controlled Machine Tool Programmers,MT OJT,34300,32940,34990,200,150,-0.25,4
51-4035,"Milling & Planing Machine Setters, Operators & Tenders, Metal & Plastic",MT OJT,37940,29720,42060,N/A,N/A,N/A,N/A
51-4041,Machinists,LT OJT,34620,24430,39710,990,960,-0.030300000000000004,15
51-4072,"Molding, Coremaking & Casting Machine Setters, Operators & Tenders",MT OJT,30200,23100,33740,270,260,-0.037000000000000005,6
51-4081,"Multiple Machine Tool Setters, Operators & Tenders, Metal & Plastic",MT OJT,30180,26380,32070,420,410,-0.023799999999999998,9
51-4121,"Welders, Cutters, Solderers & Brazers",MT OJT,35060,25310,39940,1130,1040,-0.0796,24
51-4122,"Welding, Soldering & Brazing Machine Setters, Operators & Tenders",MT OJT,34610,28170,37820,130,120,-0.07690000000000001,3
51-4191,"Heat Treating Equipment Setters, Operators & Tenders, Metal & Plastic",MT OJT,34840,28390,38070,N/A,N/A,N/A,N/A
51-7041,"Sawing Machine Setters, Operators & Tenders, Wood",ST OJT,29400,20430,33880,240,250,0.0417,6
51-7042,"Woodworking Machine Setters, Operators & Tenders",ST OJT,28970,20120,33400,600,450,-0.25,15
51-8013,Power Plant Operators,LT OJT,59190,48630,64470,50,50,N/A,2
51-8031,Water & Wastewater Treatment Plant & System Operators,LT OJT,41420,32000,46130,360,380,0.055600000000000004,8
51-9061,"Inspectors, Testers, Sorters, Samplers & Weighers",MT OJT,35950,25900,40970,1230,1020,-0.1707,18
51-9111,Packaging & Filling Machine Operators & Tenders,MT OJT,33420,25160,37550,880,810,-0.0795,16
53-1021,"Supervisors - Helpers, Laborers & Material Movers",WK EXP,44120,29530,51410,290,270,-0.069,6
53-1031,Supervisors - Transportation & Vehicle Operators,WK EXP,55500,38510,64000,370,380,0.027000000000000003,9
53-3031,Driver/Sales Workers,ST OJT,31090,17070,38090,1220,1140,-0.0656,22
53-3032,Heavy & Tractor-Trailer Truck Drivers,WK EXP,42240,28420,49140,4430,4680,0.0564,103
53-3033,Light Truck or Delivery Services Drivers,ST OJT,30670,18930,36540,2260,2250,-0.0044,40
53-7051,Industrial Truck & Tractor Operators,ST OJT,32260,25020,35880,1550,1360,-0.1226,39
53-7071,Gas Compressor & Gas Pumping Station Operators,MT OJT,N/A,N/A,N/A,40,50,0.25,3
53-7072,Pump Operators,MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53-7073,Wellhead Pumpers,MT OJT,N/A,N/A,N/A,10,10,N/A,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
