Set of 114 aliphatic compounds from Devos et al. 1990,,,,,,,,,,,,,,,,,"This column (sum of squared residues) has been used as a target to be mininized with the optimization tool ""SOLVER""",,,,
ODT in pOL units,,,,,,,,,,,,,k,pOLmax,a,pKref,S res2,,,,
,dodecanoic acid,C12H24O2,8.61,,,14.0,,8.497278236201181,0.11272176379881849,0.012706196033916626,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
esters,methyl formate,C2H4O2,4.03,,,4.0,,3.865201091884357,0.16479890811564335,0.02715868011610826,,,,,,,,,,,
,methyl acetate,C3H6O2,5.21,,,5.0,,4.8474215486334025,0.3625784513665975,0.1314631333954001,,,,,,,,,,,
,ethyl formate,C3H6O2,4.73,,,5.0,,4.8474215486334025,-0.11742154863340204,0.0137878200834664,,,,,,,,,,,
,methyl propanoate,C4H8O2,5.52,,,6.0,,5.719564673954883,-0.19956467395488353,0.03982605909071897,,,,,,,,,,,
,ethyl acetate,C4H8O2,5.58,,,6.0,,5.719564673954883,-0.13956467395488303,0.019478298216132808,,,,,,,,,,,
,propyl formate,C4H8O2,5.47,,,6.0,,5.719564673954883,-0.24956467395488335,0.06228252648620723,,,,,,,,,,,
,methyl butanoate,C5H10O2,8.33,,,7.0,,6.472034548744422,1.8579654512555779,3.4520356180593432,outlier: value excluded for sum of squared residues,,,,,,,,,,
,ethyl propanoate,C5H10O2,7.04,,,7.0,,6.472034548744422,0.5679654512555778,0.32258475381995216,,,,,,,,,,,
,propyl acetate,C5H10O2,6.24,,,7.0,,6.472034548744422,-0.23203454874442198,0.05384003181102754,,,,,,,,,,,
,butyl formate,C5H10O2,5.97,,,7.0,,6.472034548744422,-0.5020345487444224,0.2520386881330159,,,,,,,,,,,
,ethyl butanoate,C6H12O2,7.64,,,8.0,,7.106267716884317,0.5337322831156825,0.2848701500398791,,,,,,,,,,,
,propyl propanoate,C6H12O2,7.3,,,8.0,,7.106267716884317,0.1937322831156827,0.03753219752121503,,,,,,,,,,,
,butyl acetate,C6H12O2,6.71,,,8.0,,7.106267716884317,-0.39626771688431717,0.15702810344470935,,,,,,,,,,,
,ethyl pentanoate,C7H14O2,7.59,,,9.0,,7.6303707745592,-0.04037077455920013,0.0016297994385097603,,,,,,,,,,,
,propyl butanoate,C7H14O2,7.44,,,9.0,,7.6303707745592,-0.1903707745591996,0.03624103180626959,,,,,,,,,,,
,pentyl acetate,C7H14O2,7.51,,,9.0,,7.6303707745592,-0.1203707745592002,0.014489123367981797,,,,,,,,,,,
,methyl heptanoate,C8H16O2,7.16,,,10.0,,8.056057853417721,-0.8960578534177213,0.8029196766715745,,,,,,,,,,,
,ethyl hexanoate,C8H16O2,8.74,,,10.0,,8.056057853417721,0.6839421465822788,0.46777685987157536,,,,,,,,,,,
,propyl pentanoate,C8H16O2,8.35,,,10.0,,8.056057853417721,0.29394214658227824,0.08640198553739754,,,,,,,,,,,
,hexyl acetate,C8H16O2,6.5,,,10.0,,8.056057853417721,-1.5560578534177214,2.421316043182967,outlier: value excluded for sum of squared residues,,,,,,,,,,
,ethyl heptanoate,C9H18O2,7.56,,,11.0,,8.396534784214058,-0.8365347842140585,0.6997904452000614,,,,,,,,,,,
,methyl nonanoate,C10H20O2,8.21,,,12.0,,8.665094113056288,-0.4550941130562869,0.20711065173848844,,,,,,,,,,,
,ethyl octanoate,C10H20O2,9.24,,,12.0,,8.665094113056288,0.5749058869437125,0.3305167788425367,,,,,,,,,,,
,ethyl nonanoate,C11H22O2,8.92,,,13.0,,8.874240990834126,0.04575900916587372,0.002093886919842515,,,,,,,,,,,
,ethyl decanoate,C12H24O2,9.32,,,14.0,,9.035206098962684,0.2847939010373164,0.08110756606805276,,,,,,,,,,,
,methyl dodecanoate,C13H26O2,9.66,,,15.0,,9.157730642828108,0.5022693571718921,0.25227450715386573,,,,,,,,,,,
,ethyl undecanoate,C13H26O2,9.28,,,15.0,,9.157730642828108,0.12226935717189136,0.01494979570322754,,,,,,,,,,,
,ethyl dodecanoate,C14H28O2,9.68,,,16.0,,9.250033397743625,0.42996660225637484,0.18487127905589165,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
aldehydes,methanal,CH2O,6.06,,,2.0,,5.463061325431319,0.5969386745686807,0.3563357811958132,,,,,,,,,,,
,ethanal,C2H4O,6.73,,,3.0,,7.116790059419938,-0.3867900594199378,0.14960655006607904,,,,,,,,,,,
,propanal,C3H6O,7.57,,,4.0,,7.9378865572253625,-0.36788655722536223,0.13534051898712973,,,,,,,,,,,
,butanal,C4H8O,8.05,,,5.0,,8.292382745503602,-0.24238274550360117,0.058749395317863495,,,,,,,,,,,
,pentanal,C5H10O,8.22,,,6.0,,8.42945380337114,-0.20945380337114017,0.043870895746636246,,,,,,,,,,,
,hexanal,C6H12O,7.86,,,7.0,,8.477754563117648,-0.6177545631176473,0.3816207002526753,,,,,,,,,,,
,heptanal,C7H14O,8.32,,,8.0,,8.493446864041928,-0.173446864041928,0.030083814645979055,,,,,,,,,,,
,octanal,C8H16O,8.87,,,9.0,,8.49818705463326,0.3718129453667398,0.13824486634229025,,,,,,,,,,,
,nonanal,C9H18O,8.65,,,10.0,,8.49952694122606,0.15047305877394024,0.022642141416785673,,,,,,,,,,,
,decanal,C10H20O,9.05,,,11.0,,8.499883157417973,0.5501168425820282,0.30262854049242,,,,,,,,,,,
,undecanal,C11H22O,8.78,,,12.0,,8.499972598691688,0.2800274013083115,0.07841534548348614,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2-ketones,2-propanone,C3H6O,4.84,,,4.0,,4.586187863136764,0.2538121368632362,0.06442060081908216,,,,,,,,,,,
,2-butanone,C4H8O,5.11,,,5.0,,5.465884794011865,-0.3558847940118648,0.12665398660886742,,,,,,,,,,,
,2-pentanone,C5H10O,5.81,,,6.0,,6.141013750097661,-0.33101375009766176,0.10957010275371727,,,,,,,,,,,
,2-hexanone,C6H12O,6.78,,,7.0,,6.638879439202574,0.1411205607974262,0.01991501267978006,,,,,,,,,,,
,2-heptanone,C7H14O,6.85,,,8.0,,6.9939521372576445,-0.14395213725764489,0.02072221782104383,,,,,,,,,,,
,2-octanone,C8H16O,7.77,,,9.0,,7.239941927507737,0.5300580724922623,0.2809615602142124,,,,,,,,,,,
,2-nonanone,C9H18O,7.41,,,10.0,,7.40601661654546,0.003983383454539968,1.586734374590277e-05,,,,,,,,,,,
,2-decanone,C10H20O,8.1,,,11.0,,7.5155473927162095,0.5844526072837901,0.3415848501608202,,,,,,,,,,,
,2-undecanone,C11H22O,7.66,,,12.0,,7.586252590077759,0.07374740992224105,0.005438680470239057,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1-alcohols,methanol,CH4O,3.85,,,2.0,,3.157774162207191,0.692225837792809,0.4791766105079563,,,,,,,,,,,
,ethanol,C2H6O,4.54,,,3.0,,4.665298750698403,-0.1252987506984029,0.015699776926580523,,,,,,,,,,,
,1-propanol,C3H8O,5.62,,,4.0,,5.787637425653613,-0.16763742565361284,0.02810230647977057,,,,,,,,,,,
,1-butanol,C4H10O,6.31,,,5.0,,6.552522115334988,-0.2425221153349888,0.05881697642655761,,,,,,,,,,,
,1-pentanol,C5H12O,6.33,,,6.0,,7.040310945441888,-0.7103109454418881,0.504541639214549,,,,,,,,,,,
,1-hexanol,C6H14O,7.36,,,7.0,,7.334996620090413,0.02500337990958723,0.0006251690069031503,,,,,,,,,,,
,1-heptanol,C7H16O,7.6,,,8.0,,7.504972441961821,0.0950275580381783,0.009030236786699347,,,,,,,,,,,
,1-octanol,C8H18O,8.24,,,9.0,,7.599095838094192,0.6409041619058078,0.4107581447481859,,,,,,,,,,,
,1-nonanol,C9H20O,7.15,,,10.0,,7.649336651250707,-0.49933665125070625,0.24933709128226944,,,,,,,,,,,
,1-decanol,C10H22O,7.74,,,11.0,,7.6752684783485625,0.0647315216514377,0.004190169895310548,,,,,,,,,,,
,1-undecanol,C11H24O,7.17,,,12.0,,7.688243956803837,-0.5182439568038371,0.26857679876369733,,,,,,,,,,,
,1-dodecanol,C12H26O,7.9,,,13.0,,7.694551042671337,0.20544895732866308,0.04220927406743483,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
hydrocarbons,ethane,C2H6,2.0,,,2.0,,1.7424775251414524,0.2575224748585476,0.0663178250572713,,,,,,,,,,,
,propane,C3H8,2.57,,,3.0,,2.7242734382398637,-0.15427343823986384,0.02380029374634908,,,,,,,,,,,
,butane,C4H10,3.69,,,4.0,,3.5736528803663092,0.11634711963369071,0.013536652247056339,,,,,,,,,,,
,pentane,C5H12,4.5,,,5.0,,4.259131008320933,0.24086899167906672,0.05801787115249032,,,,,,,,,,,
,hexane,C6H14,4.66,,,6.0,,4.785205519556619,-0.1252055195566193,0.015676422127442975,,,,,,,,,,,
,heptane,C7H16,5.01,,,7.0,,5.17315280976824,-0.1631528097682402,0.026618839335271576,,,,,,,,,,,
,octane,C8H18,5.24,,,8.0,,5.449832834226736,-0.20983283422673615,0.044029818319624936,,,,,,,,,,,
,nonane,C9H20,5.9,,,9.0,,5.641513190265769,0.2584868097342312,0.06681543080658064,,,,,,,,,,,
,decane,C10H22,6.13,,,10.0,,5.770922038866592,0.3590779611334076,0.128936982171725,,,,,,,,,,,
,undecane,C11H24,5.93,,,11.0,,5.85627069562302,0.07372930437697978,0.005436010323913329,,,,,,,,,,,
,dodecane,C12H26,5.69,,,12.0,,5.911365654606046,-0.2213656546060454,0.04900275303916299,,,,,,,,,,,
,tridecane,C13H28,5.67,,,13.0,,5.946230500556792,-0.27623050055679244,0.07630328943785611,,,,,,,,,,,
