#,,,
# station 3,,,
# time 20150330 03:38:13.451 UTC,,,
# unix 1427686693.000451,,,
# tag 1273,,,
# prf 532.0,,,
# len 1400,,,
# maxamp 4537.667237,,,
# snr 15.658653,,,
# peak 560,,,
# infl 544.23,,,
# freq 29850000,,,
# gate 67,,,
# chans 1,,,
# vel 25.25,,,
# idc ,347,,
# qdc ,698,,
# phase +0.00,,,
#,,,
# pulse     i0     q0   amp0   phs0,,,
      0   1085   ,121   1092   ,6.4,
     97   ,200    ,15    201 ,175.7
     98    900   ,519   1039  ,30.0,
     99    578   ,548    796  ,43.5,
    100     13    196    196  +86.2,,,
    101    ,53    415    418  +97.3,,
    102   ,738   ,644    979 ,138.9
    103     90   ,452    461  ,78.7,
    104    712     78    716   +6.3,,,
    105   ,764   ,830   1128 ,132.6
    106   ,202    ,44    207 ,167.7
    107   ,124   ,231    262 ,118.2
    108   ,519    538    748 +134.0,,
    109   ,444   ,383    586 ,139.2
    110     66    864    867  +85.6,,,
    111    829   ,378    911  ,24.5,
    112  ,1298  ,1153   1736 ,138.4
    113   ,919   ,432   1015 ,154.8
    114  ,1245    476   1333 +159.1,,
    115   ,189    204    278 +132.8,,
    116    148    363    392  +67.8,,,
    117   ,312   1096   1140 +105.9,,
    118   ,581     40    582 +176.1,,
    119   ,332    694    769 +115.6,,
    120    631   ,274    688  ,23.5,
    121   ,184    ,39    188 ,168.0
    122   ,300    113    321 +159.4,,
    123   ,708    838   1097 +130.2,,
    124   ,442     11    442 +178.6,,
    125    386    162    419  +22.8,,,
    126   ,454    135    474 +163.4,,
    127   ,303   ,490    576 ,121.7
    128   ,492    844    977 +120.2,,
    129    107    118    159  +47.8,,,
    130   ,446   ,494    666 ,132.1
    131    ,57   ,782    784  ,94.2
    132   ,537   ,843   1000 ,122.5
    133    359  ,1069   1128  ,71.4,
    134    420   ,791    896  ,62.0,
    135    784   1057   1316  +53.4,,,
    136   1091   ,696   1294  ,32.5,
    137   ,257   ,384    462 ,123.8
    138    ,61    ,85    105 ,125.7
    139     28    462    463  +86.5,,,
    140    ,12   ,943    943  ,90.7
    141   ,173     18    174 +174.1,,
    142  ,1644    935   1891 +150.4,,
    143    715    ,47    717   ,3.8,
    144   ,888    232    918 +165.4,,
    145    310   ,185    361  ,30.8,
    146   ,208    284    352 +126.2,,
    147    317     47    320   +8.4,,,
    148   ,465   ,316    562 ,145.8
    149   ,489   ,110    501 ,167.3
    150     82   ,390    399  ,78.1,
    151   ,361    700    788 +117.3,,
    152   ,888    242    920 +164.8,,
    153    949    797   1239  +40.0,,,
    154     40    738    739  +86.9,,,
    155    258    339    426  +52.7,,,
    156   ,207    201    289 +135.8,,
    157    356    479    597  +53.4,,,
    158    ,66    281    289 +103.2,,
    159   ,755   ,414    861 ,151.3
    160     30   ,194    196  ,81.2,
    161    291   ,195    350  ,33.8,
    162    ,51   ,967    968  ,93.0
    163   ,440   ,955   1051 ,114.7
    164    306   ,649    718  ,64.8,
    165    333   ,338    474  ,45.4,
    166    183    710    733  +75.5,,,
    167     ,3    419    419  +90.4,,
    168    595   ,519    790  ,41.1,
    169   ,380    196    428 +152.7,,
    170    315   ,839    896  ,69.4,
    171    313    ,86    325  ,15.4,
    172    315   ,211    379  ,33.8,
    173   ,110   ,375    391 ,106.3
    174    258   ,154    300  ,30.8,
    175   ,665   ,284    723 ,156.9
    176   ,679    ,47    681 ,176.0
    177     28   ,505    506  ,86.8,
    178   ,261    312    407 +129.9,,
    179     76    254    265  +73.3,,,
    180   ,667    270    720 +158.0,,
    181    149    955    967  +81.1,,,
    182   ,573    ,49    575 ,175.1
    183   ,458   ,539    707 ,130.4
    184   ,545    182    575 +161.5,,
    185   ,144    213    257 +124.1,,
    186    535    164    560  +17.0,,,
    187   ,435   ,945   1040 ,114.7
    188   ,545      7    545 +179.3,,
    189   ,124    902    910  +97.8,,
    190    866    348    933  +21.9,,,
    191    660    622    907  +43.3,,,
    192    883    329    942  +20.4,,,
    193    371    113    388  +16.9,,,
    194     95   ,216    236  ,66.3,
    195   ,415     84    423 +168.6,,
    196    135    303    332  +66.0,,,
    197   ,161    977    990  +99.4,,
    198    763    556    944  +36.1,,,
    199     54   ,122    133  ,66.1,
    200   ,528    688    867 +127.5,,
    201   ,295   ,226    372 ,142.5
    202   ,653   ,465    802 ,144.5
    203    ,67    125    142 +118.2,,
    204    ,59   ,219    227 ,105.1
    205    ,97    251    269 +111.1,,
    206   ,118   ,331    351 ,109.6
    207    466    131    484  +15.7,,,
    208    254    ,34    256   ,7.6,
    209   ,295    694    754 +113.0,,
    210    364    ,67    370  ,10.4,
    211    274    338    435  +51.0,,,
    212   ,546    889   1043 +121.6,,
    213    ,31    163    166 +100.8,,
    214    ,47    ,12     49 ,165.7
    215   ,227    478    529 +115.4,,
    216    ,63   ,190    200 ,108.3
    217    217    154    266  +35.4,,,
    218    367   ,105    382  ,16.0,
    219    239  ,1126   1151  ,78.0,
    220    781    720   1062  +42.7,,,
    221     55   ,933    935  ,86.6,
    222   ,171    150    227 +138.7,,
    223    ,82   ,168    187 ,116.0
    224   ,121   ,818    827  ,98.4
    225   ,186    487    521 +110.9,,
    226     65    852    854  +85.6,,,
    227     19   ,310    311  ,86.5,
    228   ,632   ,754    984 ,130.0
    229   ,793    537    958 +145.9,,
    230   ,854    ,91    859 ,173.9
    231   ,162   ,490    516 ,108.3
    232    ,89    332    344 +105.0,,
    233    196    588    620  +71.6,,,
    234    734   ,347    812  ,25.3,
    235   ,409    ,40    411 ,174.4
    236   ,510    531    736 +133.8,,
    237   1033    102   1038   +5.6,,,
    238   ,270   ,295    400 ,132.5
    239   ,485   ,720    868 ,124.0
    240   ,345   ,323    473 ,136.9
    241    ,80    528    534  +98.6,,
    242   ,678    ,48    680 ,176.0
    243   ,301   1013   1057 +106.5,,
    244    129   1078   1086  +83.2,,,
    245    465    480    668  +45.9,,,
    246   ,311    330    453 +133.3,,
    247   ,336    159    372 +154.7,,
    248    834   ,920   1242  ,47.8,
    249   ,480    353    596 +143.7,,
    250    428    503    660  +49.6,,,
    251    305    477    566  +57.4,,,
    252   ,768   ,419    875 ,151.4
    253    ,41    477    479  +94.9,,
    254    226   ,619    659  ,69.9,
    255    300  ,1025   1068  ,73.7,
    256    149    ,11    149   ,4.2,
    257   ,206   ,251    325 ,129.4
    258    733    ,43    734   ,3.4,
    259   ,271   ,237    360 ,138.8
    260    607    394    724  +33.0,,,
    261    717   ,331    790  ,24.8,
    262    347   1269   1316  +74.7,,,
    263   ,662    519    841 +141.9,,
    264   ,520    130    536 +166.0,,
    265    357   ,425    555  ,50.0,
    266    403    797    893  +63.2,,,
    267   ,698   ,683    977 ,135.6
    268     14   ,268    268  ,87.0,
    269    308    149    342  +25.8,,,
    270    320  ,1134   1178  ,74.2,
    271    465   ,309    558  ,33.6,
    272    467   ,206    510  ,23.8,
    273   ,271    476    548 +119.7,,
    274    398    659    770  +58.9,,,
    275   ,296   ,703    763 ,112.8
    276   ,641    732    973 +131.2,,
    277   ,232    142    272 +148.5,,
    278   ,156    400    429 +111.3,,
    279   ,369     21    370 +176.7,,
    280   ,980   ,590   1144 ,149.0
    281    ,65    270    278 +103.5,,
    282   ,443    130    462 +163.6,,
    283   ,402    853    943 +115.2,,
    284   1104    473   1201  +23.2,,,
    285    344    273    439  +38.4,,,
    286   ,289    267    393 +137.3,,
    287    117    135    179  +49.1,,,
    288   ,135   ,679    692 ,101.2
    289   ,800   ,208    827 ,165.4
    290   ,920    394   1001 +156.8,,
    291    322   1226   1268  +75.3,,,
    292    806    113    814   +8.0,,,
    293   ,364   ,100    377 ,164.6
    294    ,93    ,97    134 ,133.8
    295   ,355     ,4    355 ,179.4
    296    142   ,270    305  ,62.3,
    297   ,642   ,128    655 ,168.7
    298   ,341     76    349 +167.4,,
    299    484    220    532  +24.4,,,
    300   ,784    654   1021 +140.2,,
    301   ,125   ,514    529 ,103.7
    302    602   ,114    613  ,10.7,
    303    420    239    483  +29.6,,,
    304   ,307    416    517 +126.4,,
    305   ,310    169    353 +151.4,,
    306   ,189   ,307    361 ,121.6
    307    807   ,386    895  ,25.6,
    308     43   ,375    377  ,83.5,
    309    735   ,576    934  ,38.1,
    310  ,1393    908   1663 +146.9,,
    311    305    715    777  +66.9,,,
    312    177    102    204  +30.0,,,
    313     72    252    262  +74.1,,,
    314   ,617    403    737 +146.8,,
    315   ,381   ,870    950 ,113.7
    316   1122   ,598   1271  ,28.1,
    317   ,231   ,220    319 ,136.4
    318   ,585    933   1101 +122.1,,
    319    275    205    343  +36.7,,,
    320   ,232   ,173    289 ,143.3
    321   ,733    727   1032 +135.2,,
    322    ,73   ,649    653  ,96.4
    323    423  ,1389   1452  ,73.1,
    324   ,268   ,245    363 ,137.6
    325   ,214    541    582 +111.6,,
    326    162   ,421    451  ,69.0,
    327   ,358    927    994 +111.1,,
    328    ,19   ,769    769  ,91.4
    329     66   ,118    135  ,60.8,
    330     41   ,296    299  ,82.1,
    331   ,889   1112   1424 +128.6,,
    332   ,626    268    681 +156.8,,
    333    310     18    311   +3.3,,,
    334   ,666     ,3    666 ,179.7
    335     64    147    160  +66.5,,,
    336   ,669    919   1137 +126.1,,
    337   ,356   ,375    517 ,133.5
    338    517   ,253    576  ,26.1,
    339    ,55    ,49     74 ,138.3
    340   ,685   ,189    711 ,164.6
    341     52     12     53  +13.0,,,
    342   ,363    396    537 +132.5,,
    343   ,141    419    442 +108.6,,
    344   ,193   ,355    404 ,118.5
    345    806    ,48    807   ,3.4,
    346   ,248   ,481    541 ,117.3
    347    152    219    267  +55.2,,,
    348    338    100    352  +16.5,,,
    349    788    522    945  +33.5,,,
    350    461   ,810    932  ,60.4,
    351    ,85    338    349 +104.1,,
    352   ,263    155    305 +149.5,,
    353    630    966   1153  +56.9,,,
    354    ,84    518    525  +99.2,,
    355   ,608    843   1039 +125.8,,
    356    254   ,414    486  ,58.5,
    357   ,508    127    524 +166.0,,
    358   ,181   ,435    471 ,112.6
    359    313   ,765    827  ,67.7,
    360    ,30   ,262    264  ,96.5
    361   ,404    317    514 +141.9,,
    362   1731   ,130   1736   ,4.3,
    363    208    360    416  +60.0,,,
    364    591   ,109    601  ,10.4,
    365  ,1024   ,224   1048 ,167.7
    366   ,400     56    404 +172.0,,
    367   ,622    ,28    623 ,177.4
    368    747   ,532    917  ,35.5,
    369   ,305    152    341 +153.5,,
    370   1276   ,789   1500  ,31.7,
    371    249   ,355    434  ,55.0,
    372    367    437    571  +50.0,,,
    373    457    113    471  +13.9,,,
    374   ,182    ,67    194 ,159.8
    375   ,537    152    558 +164.2,,
    376   ,235   ,547    595 ,113.2
    377    203    257    328  +51.7,,,
    378   ,499    205    539 +157.7,,
    379    214    334    397  +57.4,,,
    380    506   ,100    516  ,11.2,
    381    145    199    246  +53.9,,,
    382     90   1288   1291  +86.0,,,
    383   ,969     33    970 +178.0,,
    384  ,1074    420   1153 +158.6,,
    385    623   ,531    819  ,40.4,
    386    360   1004   1067  +70.3,,,
    387    586   ,157    607  ,15.0,
    388   ,650    155    668 +166.6,,
    389  ,1197    ,54   1198 ,177.4
    390    279     42    282   +8.6,,,
    391    129   ,571    585  ,77.3,
    392    881   ,584   1057  ,33.5,
    393   ,586   ,523    785 ,138.3
    394   ,160   ,277    320 ,120.0
    395   ,345     69    352 +168.7,,
    396    119    990    997  +83.1,,,
    397    265   ,846    887  ,72.6,
    398   ,274    439    517 +122.0,,
    399   ,632   ,784   1007 ,128.9
    400    445   ,435    622  ,44.3,
    401   ,716   ,235    754 ,161.8
    402    560    314    642  +29.3,,,
    403   ,266    464    535 +119.8,,
    404    153   ,193    246  ,51.6,
    405     79   ,584    589  ,82.3,
    406    426   ,643    771  ,56.5,
    407   ,264   ,721    768 ,110.1
    408     80    770    774  +84.1,,,
    409   ,546    ,98    555 ,169.8
    410   ,778    ,24    778 ,178.2
    411   ,866    ,65    868 ,175.7
    412   ,178     87    198 +154.0,,
    413   ,240   ,542    593 ,113.9
    414   1043    713   1263  +34.4,,,
    415   ,275    106    295 +158.9,,
    416    322    997   1048  +72.1,,,
    417    582   ,432    725  ,36.6,
    418    251    531    587  +64.7,,,
    419   ,875    542   1029 +148.2,,
    420   ,523    144    542 +164.6,,
    421    288    534    607  +61.7,,,
    422    384   ,425    573  ,47.9,
    423    172    246    300  +55.0,,,
    424    244    342    420  +54.5,,,
    425    620   ,283    682  ,24.5,
    426    197    358    409  +61.2,,,
    427   ,552   ,149    572 ,164.9
    428   ,500   ,124    515 ,166.1
    429   ,330    534    628 +121.7,,
    430    321   ,543    631  ,59.4,
    431    113    412    427  +74.7,,,
    432     53   ,451    454  ,83.3,
    433   ,220    ,98    241 ,156.0
    434   ,272   ,373    462 ,126.1
    435    224   ,180    287  ,38.8,
    436   ,312     99    327 +162.4,,
    437    ,85    981    985  +95.0,,
    438   ,266   ,346    436 ,127.6
    439   ,531    424    680 +141.4,,
    440    345     34    347   +5.6,,,
    441   ,144   ,141    202 ,135.6
    442   ,243    ,63    251 ,165.5
    443   ,183    578    606 +107.6,,
    444    ,79   ,699    703  ,96.4
    445    378    ,11    378   ,1.7,
    446   ,317     18    318 +176.8,,
    447    597    159    618  +14.9,,,
    448   ,725   ,541    905 ,143.3
    449   ,238     95    256 +158.2,,
    450   ,186    485    519 +111.0,,
    451    265    500    566  +62.1,,,
    452    665   ,486    824  ,36.2,
    453   ,127    159    203 +128.6,,
    454   ,324    846    906 +111.0,,
    455   ,142    349    377 +112.1,,
    456   ,406    242    473 +149.2,,
    457    418     90    428  +12.2,,,
    458   ,651    968   1167 +123.9,,
    459   ,286    301    415 +133.5,,
    460    509   ,906   1039  ,60.7,
    461   ,981   ,271   1018 ,164.6
    462    ,73    178    192 +112.3,,
    463   ,796    ,16    796 ,178.8
    464     75   ,279    289  ,75.0,
    465    405    264    483  +33.1,,,
    466   ,736   ,387    832 ,152.3
    467   ,469    409    622 +138.9,,
    468    355     21    356   +3.4,,,
    469    255    373    452  +55.6,,,
    470   ,125   ,759    769  ,99.4
    471   1078    551   1211  +27.1,,,
    472    858    677   1093  +38.3,,,
    473    713    ,94    719   ,7.5,
    474    270   ,974   1011  ,74.5,
    475    671   ,358    761  ,28.1,
    476     50     10     51  +11.3,,,
    477   ,952    606   1129 +147.5,,
    478   ,570   ,643    859 ,131.6
    479   ,295    509    588 +120.1,,
    480   ,669   ,726    987 ,132.7
    481   ,334    130    358 +158.7,,
    482    551    641    845  +49.3,,,
    483   ,472     80    479 +170.4,,
    484    346   ,395    525  ,48.8,
    485  ,1205   ,210   1223 ,170.1
    486   ,939     58    941 +176.5,,
    487    338   ,344    482  ,45.5,
    488     25   ,306    307  ,85.3,
    489    ,43   ,345    348  ,97.1
    490    683   ,128    695  ,10.6,
    491    440    941   1039  +64.9,,,
    492    463    388    604  +40.0,,,
    493     17    620    620  +88.4,,,
    494    133    193    234  +55.4,,,
    495     91    840    845  +83.8,,,
    496   ,803   ,461    926 ,150.1
    497   ,672    852   1085 +128.3,,
    498    243    ,19    244   ,4.5,
    499  ,1140    576   1277 +153.2,,
    500   ,551    322    638 +149.7,,
    501    483   ,121    498  ,14.1,
    502    231     ,8    231   ,2.0,
    503    724      0    724   +0.0,,,
    504    380      3    380   +0.5,,,
    505   1049     46   1050   +2.5,,,
    506    559     30    560   +3.1,,,
    507    215    861    887  +76.0,,,
    508    572    323    657  +29.5,,,
    509   ,295   1150   1187 +104.4,,
    510     95    923    928  +84.1,,,
    511    235    873    904  +74.9,,,
    512    610    196    641  +17.8,,,
    513    ,26   ,455    456  ,93.3
    514    260    294    392  +48.5,,,
    515    638    357    731  +29.2,,,
    516   ,400   ,431    588 ,132.9
    517     79  ,1010   1013  ,85.5,
    518     57   ,396    400  ,81.8,
    519    524  ,1354   1452  ,68.8,
    520   1633   ,340   1668  ,11.8,
    521    501  ,1342   1432  ,69.5,
    522    825   ,844   1180  ,45.7,
    523   1116   ,890   1427  ,38.6,
    524    949   ,790   1235  ,39.8,
    525   1479   ,346   1519  ,13.2,
    526    424   1028   1112  +67.6,,,
    527    875   ,507   1011  ,30.1,
    528    230   ,850    881  ,74.9,
    529   1275  ,1031   1640  ,39.0,
    530    887     82    891   +5.3,,,
    531    573    550    794  +43.8,,,
    532    ,17   1389   1389  +90.7,,
    533   ,834    805   1159 +136.0,,
    534   ,113    771    779  +98.3,,
    535     82   1250   1253  +86.2,,,
    536   ,906   1885   2091 +115.7,,
    537   ,703   1450   1611 +115.9,,
    538  ,1069   2066   2326 +117.4,,
    539   ,911   1951   2153 +115.0,,
    540  ,1340   2286   2650 +120.4,,
    541  ,1054   1524   1853 +124.7,,
    542  ,1957   1829   2679 +136.9,,
    543  ,2506   1730   3045 +145.4,,
    544  ,1469   1907   2407 +127.6,,
    545  ,2714   2239   3518 +140.5,,
    546  ,1973   1681   2592 +139.6,,
    547  ,1595   1839   2434 +130.9,,
    548  ,2526   2148   3316 +139.6,,
    549  ,2191   2672   3455 +129.4,,
    550  ,2772   1701   3252 +148.5,,
    551  ,2910   2417   3783 +140.3,,
    552  ,2442   2156   3258 +138.6,,
    553  ,2324   2159   3172 +137.1,,
    554  ,3519   2766   4476 +141.8,,
    555  ,2383   2528   3474 +133.3,,
    556  ,2904   2496   3829 +139.3,,
    557  ,3590   3490   5007 +135.8,,
    558  ,3727   2983   4774 +141.3,,
    559  ,4251   2328   4847 +151.3,,
    560  ,3382   2881   4443 +139.6,,
    561  ,3318   2209   3986 +146.3,,
    562  ,3701   2797   4639 +142.9,,
    563  ,3288   2567   4171 +142.0,,
    564  ,2810   2765   3942 +135.5,,
    565  ,1945   3054   3621 +122.5,,
    566  ,2852   2465   3770 +139.2,,
    567  ,2667   1627   3124 +148.6,,
    568  ,2304   2805   3630 +129.4,,
    569  ,3047   2715   4081 +138.3,,
    570  ,2657   2317   3525 +138.9,,
    571  ,3007   2338   3809 +142.1,,
    572  ,2878   1921   3460 +146.3,,
    573  ,2904   1930   3487 +146.4,,
    574  ,2568   1228   2847 +154.4,,
    575  ,2632   3224   4162 +129.2,,
    576  ,4078   2005   4544 +153.8,,
    577  ,2585   1877   3195 +144.0,,
    578  ,3519   3366   4870 +136.3,,
    579  ,2918   2376   3763 +140.8,,
    580  ,2805   2292   3622 +140.7,,
    581  ,1997   1838   2714 +137.4,,
    582  ,3202   2611   4132 +140.8,,
    583  ,1793   2050   2723 +131.2,,
    584  ,1925   1335   2343 +145.3,,
    585  ,1749   2050   2695 +130.5,,
    586  ,2271   1670   2819 +143.7,,
    587  ,1933   1294   2326 +146.2,,
    588  ,2010    853   2184 +157.0,,
    589  ,2169   2015   2961 +137.1,,
    590  ,2611    655   2692 +165.9,,
    591  ,3193   1893   3712 +149.3,,
    592  ,2315   1414   2713 +148.6,,
    593  ,1029   1088   1498 +133.4,,
    594  ,1325   1679   2139 +128.3,,
    595  ,1392   1060   1750 +142.7,,
    596  ,2148   2330   3169 +132.7,,
    597  ,2400   1124   2650 +154.9,,
    598  ,2042   1454   2507 +144.5,,
    599  ,1968    535   2039 +164.8,,
    600  ,1372   1313   1899 +136.3,,
    601  ,1207   2225   2531 +118.5,,
    602  ,1423   1406   2000 +135.3,,
    603   ,819    931   1240 +131.3,,
    604  ,1513   ,244   1533 ,170.8
    605  ,1684    821   1873 +154.0,,
    606  ,1606    270   1629 +170.5,,
    607  ,1664    526   1745 +162.5,,
    608   ,546     63    550 +173.4,,
    609  ,1038    673   1237 +147.0,,
    610  ,1462   ,148   1469 ,174.2
    611  ,1000    419   1084 +157.3,,
    612  ,3296   ,702   3370 ,168.0
    613  ,1759  ,1035   2041 ,149.5
    614  ,1251     21   1251 +179.0,,
    615  ,1557     94   1560 +176.5,,
    616   ,556  ,1634   1726 ,108.8
    617  ,1654  ,1108   1991 ,146.2
    618  ,1424   ,320   1460 ,167.3
    619  ,1524   ,691   1673 ,155.6
    620  ,2353   ,810   2489 ,161.0
    621  ,2523   ,802   2647 ,162.4
    622   ,400    115    416 +164.0,,
    623  ,2149   ,865   2317 ,158.1
    624  ,1336  ,1575   2065 ,130.3
    625  ,3107   ,615   3167 ,168.8
    626  ,2159   ,899   2339 ,157.4
    627  ,3051    112   3053 +177.9,,
    628  ,1750   ,866   1953 ,153.7
    629  ,1821  ,2288   2924 ,128.5
    630   ,871  ,1574   1799 ,119.0
    631  ,2777   ,278   2791 ,174.3
    632  ,1733  ,1293   2162 ,143.3
    633  ,2840  ,1577   3248 ,151.0
    634  ,2470   ,423   2506 ,170.3
    635  ,1607   ,819   1804 ,153.0
    636  ,2558  ,1625   3031 ,147.6
    637  ,1584   ,822   1785 ,152.6
    638  ,2252  ,1462   2685 ,147.0
    639  ,1919  ,1752   2598 ,137.6
    640  ,2629  ,1277   2923 ,154.1
    641  ,3225     65   3226 +178.8,,
    642  ,1908  ,2012   2773 ,133.5
    643  ,2794   ,328   2813 ,173.3
    644  ,1573   ,296   1601 ,169.3
    645  ,2251   ,396   2286 ,170.0
    646  ,2016  ,1593   2569 ,141.7
    647  ,2005    ,48   2006 ,178.6
    648  ,2432  ,1325   2770 ,151.4
    649   ,677   ,904   1129 ,126.8
    650  ,2452   ,424   2488 ,170.2
    651  ,1301   ,779   1516 ,149.1
    652  ,3208  ,2003   3782 ,148.0
    653  ,2097   ,369   2129 ,170.0
    654  ,2742    ,79   2743 ,178.3
    655  ,2575   ,190   2582 ,175.8
    656  ,1099   ,576   1241 ,152.3
    657  ,2042   ,560   2117 ,164.7
    658  ,1244  ,1194   1724 ,136.2
    659  ,1827  ,1384   2292 ,142.9
    660  ,1929   ,511   1996 ,165.2
    661  ,1748  ,1971   2634 ,131.6
    662  ,2589   ,322   2609 ,172.9
    663  ,2270    ,25   2270 ,179.4
    664  ,1535   ,235   1553 ,171.3
    665  ,1939    ,44   1939 ,178.7
    666  ,1559  ,1254   2001 ,141.2
    667  ,1921   ,612   2016 ,162.3
    668  ,1410  ,1206   1855 ,139.5
    669  ,1005   ,133   1014 ,172.5
    670  ,1633  ,1736   2383 ,133.2
    671  ,1676    ,42   1677 ,178.6
    672  ,1837   ,190   1847 ,174.1
    673  ,1688   ,549   1775 ,162.0
    674  ,1581   ,590   1688 ,159.5
    675  ,1042  ,1192   1583 ,131.2
    676  ,2236  ,1487   2685 ,146.4
    677   ,952   ,705   1185 ,143.5
    678  ,1424  ,1097   1798 ,142.4
    679  ,1919  ,1068   2196 ,150.9
    680  ,2437    740   2547 +163.1,,
    681  ,2053  ,1035   2299 ,153.2
    682  ,2184    ,94   2186 ,177.5
    683  ,2571   ,375   2598 ,171.7
    684  ,1646  ,1494   2223 ,137.8
    685  ,1357   ,544   1462 ,158.2
    686  ,1438   ,913   1703 ,147.6
    687  ,1430  ,1084   1794 ,142.8
    688  ,2243   ,636   2331 ,164.2
    689  ,1058  ,1037   1481 ,135.6
    690  ,2056  ,1263   2413 ,148.4
    691  ,2801     88   2802 +178.2,,
    692  ,1673   ,631   1788 ,159.3
    693  ,1241   ,749   1450 ,148.9
    694  ,1275   ,598   1408 ,154.9
    695  ,1085  ,1485   1839 ,126.2
    696  ,1347   ,487   1432 ,160.1
    697  ,1067  ,1408   1767 ,127.2
    698  ,1149  ,1421   1827 ,129.0
    699  ,1267  ,1157   1716 ,137.6
    700  ,1573   ,518   1656 ,161.8
    701   ,614   ,745    965 ,129.5
    702  ,1538   ,933   1799 ,148.8
    703   ,437   ,391    586 ,138.2
    704   ,609   ,464    766 ,142.7
    705   ,431   ,526    680 ,129.3
    706  ,1725   ,668   1850 ,158.8
    707   ,866   ,319    923 ,159.8
    708  ,1034    142   1044 +172.2,,
    709  ,1527   ,309   1558 ,168.6
    710  ,1402   ,936   1686 ,146.3
    711  ,1862   ,212   1874 ,173.5
    712  ,1718   ,482   1784 ,164.3
