Metropolitan Statistical Area,"Population characteristics, 2008 Total  persons (July 1, 2008)",Number of persons by age group Under 18 years,18 to 44 years,45 to 64 years,65 to 74 years,75 years and over,Percent distribution Under 18 years,18 to 44 years,45 to 64 years,65 to 74 years,75 years and over
"Bangor, ME",148651.0,30208.0,54992.0,42861.0,11067.0,9523.0,20.321424006565714,36.994033003477945,28.833307545862457,7.444954961621517,6.406280482472368
"Barnstable Town, MA",221049.0,38609.0,66827.0,62581.0,23019.0,30013.0,17.466263136227713,30.231758569366974,28.310917488882552,10.413528222249365,13.577532583273392
"Baton Rouge, Louisanna",774327.0,197274.0,307624.0,189958.0,43957.0,35514.0,25.47683343083736,39.72791856670373,24.532012960932526,5.676800628158388,4.5864344133679955
"Battle Creek, MI",135861.0,32939.0,47352.0,36284.0,9874.0,9412.0,24.24463238162534,34.85326915008722,26.70670759084653,7.26772215720479,6.927668720236124
"Bay City, MI",107495.0,23688.0,36081.0,30908.0,8534.0,8284.0,22.0363737848272,33.56528210614447,28.75296525419787,7.938973905763058,7.706404949067398
"Beaumont-Port Arthur, TX",378255.0,92137.0,137111.0,98233.0,26033.0,24741.0,24.35843544698682,36.248298105775206,25.970046661643597,6.882394152093164,6.54082563350121
"Bellingham, WA",196529.0,42304.0,80190.0,49180.0,12645.0,12210.0,21.5255763780409,40.80313846811412,25.024296668685032,6.434164932401834,6.212823552758117
"Bend, OR",158456.0,34935.0,58594.0,42580.0,12166.0,10181.0,22.04712980259504,36.97808855455142,26.871812995405662,7.6778411672640985,6.425127480183773
"Billings, MT",152005.0,36313.0,52046.0,42376.0,10664.0,10606.0,23.889345745205752,34.2396631689747,27.878030327949737,7.015558698727016,6.977402059142792
"Binghamton, NY",245189.0,49970.0,89389.0,65930.0,19355.0,20545.0,20.380196501474373,36.45718201061222,26.889460783314096,7.893910411967911,8.379250292631399
"Birmingham-Hoover, Alabama",1117608.0,271822.0,403007.0,298225.0,76839.0,67715.0,24.32176577118274,36.059781247092005,26.68422201702207,6.875308694998604,6.058922269704584
"Bismarck, ND",104944.0,23275.0,40235.0,27022.0,6934.0,7478.0,22.178495197438632,38.3394953499009,25.748970879707272,6.607333434974843,7.12570513797835
"Blacksburg-Christiansburg-Radford, VA",158328.0,27047.0,79550.0,32994.0,10173.0,8564.0,17.082891213177707,50.24379768581678,20.83901773533424,6.425269061694709,5.409024303976555
"Bloomington, IN",183944.0,35304.0,86661.0,40328.0,11177.0,10474.0,19.19279780802853,47.11270821554386,21.9240638455182,6.076305832209803,5.694124298699604
"Bloomington-Normal, IL",165298.0,37593.0,74844.0,36539.0,8253.0,8069.0,22.742561918474514,45.27822478190904,22.104925649433145,4.992800880833404,4.881486769349901
"Boise City-Nampa, ID",599753.0,166912.0,228440.0,141394.0,33983.0,29024.0,27.830123400799994,38.08901331047948,23.575371861416283,5.666165904964211,4.83932552234003
"Boston-Cambridge-Quincy, Massachusetts-New Hampshire",4522858.0,999190.0,1720719.0,1228446.0,291563.0,282940.0,22.09200465723222,38.04494857012977,27.16083502953221,6.446432764415774,6.255778978690023
"Boulder, CO",293161.0,61778.0,123409.0,82419.0,14979.0,10576.0,21.07306224224914,42.095981389066075,28.11390328181443,5.109479091693643,3.607573995176712
"Bowling Green, KY",117947.0,27050.0,48640.0,28561.0,7537.0,6159.0,22.934029691302023,41.23886152254826,24.21511356795849,6.390158291435983,5.221836926755238
"Bremerton-Silverdale, WA",239769.0,55389.0,84531.0,69622.0,16646.0,13581.0,23.100984697771604,35.25518311374698,29.03711488974805,6.942515504506421,5.664201794226943
"Bridgeport-Stamford-Norwalk, Connecticut",895030.0,223180.0,301409.0,252322.0,60535.0,57584.0,24.935477023116544,33.67585444063327,28.191457269588728,6.763460442666726,6.433750823994726
"Brownsville-Harlingen, TX",392736.0,133499.0,138871.0,75191.0,21561.0,23614.0,33.99204554713599,35.359885521062495,19.14543102745865,5.489947445612319,6.012690458730547
"Brunswick, GA",102850.0,25594.0,35710.0,26919.0,8027.0,6600.0,24.88478366553233,34.720466699076326,26.173067574137093,7.804569761789012,6.417112299465241
"Buffalo-Niagara Falls, New York",1124309.0,241377.0,396429.0,311777.0,83223.0,91503.0,21.468920021097404,35.259790680320094,27.730543827364183,7.402146562911086,8.138598908307236
"Burlington, NC",148053.0,35255.0,54902.0,37479.0,10321.0,10096.0,23.812418525798194,37.082666342458445,25.31458329111872,6.9711522225149105,6.8191796181097315
"Burlington-South Burlington, VT",208460.0,45788.0,79779.0,59869.0,12722.0,10302.0,21.964885349707377,38.27065144392209,28.71965844766382,6.102849467523746,4.941955291182961
"Canton-Massillon, OH",407653.0,92368.0,135843.0,115568.0,31706.0,32168.0,22.65848650690661,33.32319399096781,28.349601254007702,7.777693283258065,7.891024964859819
"Cape Coral-Fort Myers, FL",593136.0,123320.0,189757.0,144026.0,63367.0,72666.0,20.791184483828328,31.99215694208411,24.282120795230774,10.68338458633433,12.251153192522457
"Carson City, Nevada",54867.0,12614.0,18605.0,14646.0,4570.0,4432.0,22.990139792589353,33.90927151110868,26.693640986385258,8.32923250770044,8.077715202216268
"Casper, Wyoming",73129.0,18007.0,26408.0,19645.0,4591.0,4478.0,24.62361033242626,36.11152894200659,26.863487809213854,6.277947189213581,6.123425727139712
"Cedar Rapids, IA",255452.0,62556.0,93330.0,65806.0,17002.0,16758.0,24.48835789111066,36.53523949704837,25.760612561263958,6.655653508291186,6.560136542285831
"Champaign-Urbana, IL",224191.0,45297.0,108900.0,45564.0,12055.0,12375.0,20.204646930519065,48.5746528629606,20.323741809439273,5.377111480835538,5.519846916245523
"Charleston, WV",303944.0,66579.0,99703.0,89870.0,25215.0,22577.0,21.90502197773274,32.80308214671124,29.567946727028666,8.295936093490907,7.4280130550364545
"Charleston-North Charleston, SC",644506.0,157147.0,245505.0,169921.0,40962.0,30971.0,24.382550356396994,38.091965008859496,26.3645334566319,6.355565347723682,4.805385830387925
"Charlotte-Gastonia-Concord, North Carolina-South Carolina",1701799.0,445750.0,662651.0,431740.0,91469.0,70189.0,26.192870015789172,38.938264742193404,25.369623557188596,5.3748415647206285,4.1244001201081915
"Charlottesville, VA",194391.0,40818.0,80174.0,47038.0,13654.0,12707.0,20.99788570458509,41.24367897690737,24.197622317905665,7.023987736057739,6.536825264544141
"Chattanooga, TN-GA",518441.0,117962.0,183283.0,142660.0,39914.0,34622.0,22.753215891490065,35.35272094606715,27.51711380851437,7.698850978221245,6.678098375707169
"Cheyenne, Wyoming",87542.0,22418.0,31743.0,22699.0,5704.0,4978.0,25.6082794544333,36.260309337232414,25.929268236960546,6.5157295926526695,5.686413378721071
"Chicago-Naperville-Joliet, Illinois-Indiana-Wisconsin",9569624.0,2450655.0,3647655.0,2413703.0,564589.0,493022.0,25.60868640188998,38.11701483778255,25.22254792873785,5.899803377854762,5.151947453734859
"Chico, CA",220337.0,45934.0,89974.0,51361.0,15109.0,17959.0,20.847156855180927,40.83472135864608,23.310202099511205,6.857223253470819,8.150696433190975
"Cincinnati-Middletown, Ohio-Kentucky-Indiana",2155137.0,538728.0,787821.0,569303.0,136249.0,123036.0,24.997389957111775,36.55549507989515,26.4160932692446,6.322057484048578,5.708964209699894
"Clarksville, TN-KY",261220.0,75402.0,100787.0,58674.0,14870.0,11487.0,28.86532424776051,38.583186586019444,22.461526682489854,5.692519715182605,4.3974427685475845
"Cleveland, TN",112143.0,25655.0,41453.0,29114.0,9108.0,6813.0,22.87704092096698,36.964411510303805,25.961495590451477,8.121773093282684,6.0752788849950505
"Cleveland-Elyria-Mentor, Ohio",2088291.0,489964.0,700688.0,591675.0,153244.0,152720.0,23.46243890339038,33.55317817296536,28.332976582286662,7.338249314870389,7.313157026487209
"Coeur d'Alene, ID",137475.0,33733.0,48146.0,35916.0,10496.0,9184.0,24.537552282233133,35.02164029823604,26.125477359519913,7.634842698672487,6.680487361338424
"College Station-Bryan, TX",207425.0,46671.0,106584.0,35554.0,9582.0,9034.0,22.50018078823671,51.384355791249845,17.140653248161986,4.6195010244666745,4.355309147884777
"Colorado Springs, CO",617714.0,158664.0,240344.0,159085.0,33501.0,26120.0,25.685673305121785,38.90862114182291,25.75382782323211,5.4233836370877135,4.228494092735473
"Columbia, MO",164283.0,36455.0,74923.0,36815.0,8562.0,7528.0,22.19036662344856,45.606057839216476,22.409500678706866,5.211738280893337,4.582336577734763
"Columbia, South Carolina",728063.0,175252.0,276095.0,194836.0,45610.0,36270.0,24.070993856300895,37.921855663589554,26.76087096858376,6.2645677640533854,4.981711747472403
"Columbus, GA-AL",287653.0,75667.0,106278.0,70807.0,18322.0,16579.0,26.30495770946244,36.94659885347971,24.615422053654925,6.369479894178055,5.763541489224864
"Columbus, Indiana",75360.0,19106.0,25386.0,20095.0,5925.0,4848.0,25.35297239915074,33.68630573248408,26.665339702760082,7.862261146496816,6.43312101910828
"Columbus, Ohio",1773120.0,451098.0,701047.0,439238.0,100046.0,81691.0,25.44091770438549,39.537481952716114,24.772040245443062,5.642370510738134,4.607189586717199
"Corpus Christi, TX",415376.0,111636.0,146545.0,104716.0,27289.0,25190.0,26.87589075921575,35.28008358691884,25.209930280035437,6.569710334732869,6.0643850390971075
"Corvallis, Oregon",81859.0,14837.0,36294.0,21191.0,4875.0,4662.0,18.12506871571849,44.33721398990948,25.887196276524264,5.955362269267887,5.695158748579876
"Cumberland, MD-WV",99033.0,19200.0,37300.0,25727.0,8356.0,8450.0,19.38747690163885,37.664212939121306,25.978209283774095,8.43759150990074,8.532509365565014
"Dallas-Fort Worth-Arlington, Texas",6300006.0,1755255.0,2536706.0,1482228.0,304325.0,221492.0,27.86116394174863,40.26513625542579,23.52740616437508,4.830550955030836,3.515742683419667
"Dalton, GA",134139.0,39527.0,48522.0,32178.0,8256.0,5656.0,29.46719447737049,36.17292510008275,23.9885491915103,6.154809563214278,4.216521667822184
"Danville, Illinois",80680.0,19217.0,27507.0,20506.0,6681.0,6769.0,23.818790282597917,34.09395141298959,25.41646008924145,8.280862667327714,8.389935547843331
"Danville, VA",105783.0,22369.0,34603.0,30061.0,9431.0,9319.0,21.146119886938354,32.7113052191751,28.417609634818447,8.91542119244113,8.809544066626964
"Davenport-Moline-Rock Island, IA-IL",377626.0,89260.0,130955.0,102152.0,28029.0,27230.0,23.637143628881486,34.67849141743418,27.051103472748167,7.422423244162212,7.2108382367739505
"Dayton, Ohio",836544.0,193103.0,295339.0,226171.0,63685.0,58246.0,23.083424183306555,35.30465821283758,27.03635433402188,7.612869137785938,6.962694132048046
"Decatur, AL",150125.0,35407.0,52446.0,40978.0,11950.0,9344.0,23.585012489592007,34.934887593671945,27.295920066611156,7.960033305578684,6.224146544546212
"Decatur, IL",108328.0,24654.0,36428.0,29809.0,8496.0,8941.0,22.75865888782217,33.627501661620265,27.517354700539105,7.842847647884203,8.25363710213426
"Deltona-Daytona Beach-Ormond Beach, FL",498036.0,96782.0,166140.0,131345.0,48090.0,55679.0,19.432731770394106,33.35903428667807,26.37259153956742,9.655928487097318,11.179713916263081
"Denver-Aurora, Colorado",2506626.0,637268.0,966613.0,661027.0,134731.0,106987.0,25.423337985004547,38.562314441803444,26.371185809131475,5.374994115596024,4.26816764846451
"Des Moines, IA",556230.0,145717.0,208599.0,139318.0,32447.0,30149.0,26.197256530571885,37.50229221724826,25.046833144562502,5.833378278769573,5.420239828847779
"Detroit-Warren-Livonia, Michigan",4425110.0,1089901.0,1550958.0,1234882.0,285433.0,263936.0,24.62991880427831,35.04902702983655,27.906244138563785,6.4503029303226365,5.964507096998719
"Dothan, AL",140961.0,33830.0,47629.0,37461.0,11542.0,10499.0,23.99954597370904,33.7887784564525,26.57543575882691,8.188080391030143,7.448159419981414
"Dover, DE",155415.0,39423.0,57693.0,38045.0,11016.0,9238.0,25.36627738635267,37.1218994305569,24.479619084386965,7.088118907441367,5.944085191262104
"Dubuque, IA",92724.0,22317.0,31845.0,24353.0,6936.0,7273.0,24.068202407143783,34.34385919503041,26.263966179198484,7.480264009317976,7.843708209309348
"Duluth, MN-WI",274571.0,55570.0,98696.0,77936.0,20375.0,21994.0,20.23884532598126,35.94552957158622,28.384643680505224,7.420667149844666,8.010314272082631
"Durham, NC",489762.0,111771.0,204993.0,122116.0,27119.0,23763.0,22.82149288838252,41.8556360027932,24.933743328392158,5.5371792829986815,4.8519484974334475
"Eau Claire, WI",158742.0,34832.0,63243.0,39937.0,10145.0,10585.0,21.94252308777765,39.84011792720263,25.158433180884703,6.390873240856232,6.6680525632787795
"El Centro, CA",163972.0,47801.0,66121.0,32557.0,8420.0,9073.0,29.151928378015757,40.324567609103994,19.855219183763083,5.135023052716317,5.533261776400849
"Elizabethtown, KY",112268.0,28515.0,39802.0,29952.0,7716.0,6283.0,25.399045141981684,35.45266683293548,26.67901806391848,6.872839990023872,5.596429971140485
"Elkhart-Goshen, IN",199137.0,56365.0,72537.0,47744.0,11803.0,10688.0,28.30463449785826,36.42567679537203,23.975454084374075,5.927075330049162,5.367159292346475
"Elmira, NY",87813.0,18933.0,31635.0,23778.0,6352.0,7115.0,21.560588978852792,36.02541764886748,27.077995285436096,7.233553118558755,8.102444968284878
"El Paso, Texas",742062.0,230018.0,271475.0,161521.0,40964.0,38084.0,30.997140400667327,36.583870350455896,21.76651007597748,5.520293452568653,5.1321857203306465
"Erie, PA",279175.0,63598.0,100374.0,74944.0,19343.0,20916.0,22.7806931136384,35.953792424106744,26.844810602668577,6.928628996149369,7.492074863436912
"Eugene-Springfield, OR",346560.0,69455.0,132068.0,95375.0,25150.0,24512.0,20.041262696214222,38.10826408125577,27.52048707294552,7.257040627885503,7.072945521698984
"Evansville, IN-KY",350261.0,81298.0,122973.0,96345.0,24876.0,24769.0,23.210691455800102,35.10896160291897,27.506630769626078,7.102132409831525,7.071583761823326
"Fairbanks, AK",97970.0,26616.0,43670.0,22039.0,3462.0,2183.0,27.167500255180155,44.57486985811983,22.495661937327753,3.5337348167806475,2.2282331325916096
"Fargo, ND-MN",195685.0,44319.0,86775.0,43957.0,9900.0,10734.0,22.648133479827273,44.3442266908552,22.463142295014947,5.059151186856427,5.485346347446151
"Farmington, NM",122500.0,33903.0,45357.0,29890.0,7502.0,5848.0,27.67591836734694,37.02612244897959,24.4,6.124081632653061,4.773877551020409
"Fayetteville, NC",356105.0,100038.0,138634.0,84922.0,19409.0,13102.0,28.09227615450499,38.93065247609553,23.847460720854805,5.450358742505721,3.6792519060389495
"Fayetteville-Springdale-Rogers, AR-MO",443976.0,121132.0,172997.0,101350.0,26228.0,22269.0,27.283456763428653,38.96539452583023,22.827810512279942,5.907526532965745,5.015811665495432
"Flagstaff, AZ",128558.0,32928.0,51434.0,33624.0,6808.0,3764.0,25.613341837925297,40.008400877424975,26.15473171642372,5.295664213817887,2.9278613544081273
"Flint, MI",428790.0,108517.0,149122.0,115539.0,30054.0,25558.0,25.30772639287297,34.77739686093425,26.94535786748758,7.009025397047505,5.960493481657688
"Florence, SC",199831.0,49134.0,69371.0,54722.0,14519.0,12085.0,24.587776671287237,34.71483403475937,27.384139597960278,7.26563946534822,6.047610230644895
"Florence-Muscle Shoals, AL",143791.0,30633.0,50241.0,38683.0,12774.0,11460.0,21.303836818716054,34.940295289691285,26.902240056749033,8.883727076103511,7.969900758740116
"Fond du Lac, WI",99453.0,22268.0,35780.0,27244.0,6731.0,7430.0,22.390475903190453,35.97679305802741,27.393844328476767,6.768021075281791,7.4708656350235785
"Fort Collins-Loveland, CO",292825.0,62736.0,123201.0,75213.0,16938.0,14737.0,21.424400239050627,42.07325194228635,25.685306923930675,5.784342183898232,5.032698710834116
"Fort Smith, AR-OK",290977.0,74929.0,101422.0,74982.0,21764.0,17880.0,25.750832540028938,34.85567587816219,25.76904703808205,7.479628974111356,6.144815569615468
"Fort Walton Beach-Crestview-Destin, FL",179693.0,42551.0,61269.0,51480.0,15072.0,9321.0,23.679831712977133,34.096486785795776,28.648862226130124,8.387638917487047,5.187180357609924
"Fort Wayne, IN",411154.0,108875.0,145027.0,107477.0,25133.0,24642.0,26.480345563949275,35.2731579894638,26.14032698210403,6.112794719253613,5.993374745229282
"Fresno, California",909153.0,270512.0,358657.0,190369.0,45677.0,43938.0,29.754287782144477,39.44957559398693,20.939159855381877,5.024126852135999,4.832849916350714
