,,Reg As,DSRO,A/O,Adjusted,Net Capital,Excess,Customers',Customer,Total Amount
60,LEK SECURITIES CORPORATION,FCM BD,NFA,2010-12-31 00:00:00,10821069,1500000,9321069,250218,0,0
61,LIMESTONE TRADING LLC,FCM,NFA,2010-12-31 00:00:00,9563098,1000000,8563098,0,0,0
62,LINN GROUP THE,FCM,NFA,2010-12-31 00:00:00,2444365,1108880,1335485,35302187,188420,0
63,LPL FINANCIAL CORPORATION,FCM BD,NFA,2010-12-31 00:00:00,95362174,5530100,89832074,0,0,0
64,MACQUARIE FUTURES USA INC,FCM,CBOT,2010-12-31 00:00:00,124499519,59258146,65241373,774118055,21456352,0
65,MAREX NORTH AMERICA LLC,FCM,NFA,2010-12-31 00:00:00,11776056,1000000,10776056,33955336,0,0
66,MAREX USA LIMITED,FCM,NFA,2010-12-31 00:00:00,2748527,1000000,1748527,0,0,0
67,MB TRADING FUTURES INC,RFED,NFA,2010-12-31 00:00:00,22031406,21234588,796818,0,0,34691760
68,MBF CLEARING CORP,FCM,NYME,2010-12-31 00:00:00,10384620,1236711,9147909,81564454,487669,0
69,MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2010-12-31 00:00:00,9149094,4588259,4560835,739820028,0,0
70,MERRILL LYNCH PIERCE FENNER & SMITH,FCM BD,CBOT,2010-12-31 00:00:00,9843107283,735931408,9107175875,8804316798,1990808679,0
71,MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2010-12-31 00:00:00,2335172066,187563930,2147608136,645131704,41132570,0
72,MF GLOBAL INC,FCM BD,CME,2010-12-31 00:00:00,566914106,410800746,156113360,8333979852,649799785,0
73,MID CO COMMODITIES INC,FCM,NFA,2010-12-31 00:00:00,14537713,8909553,5628160,46902983,0,0
74,MITSUBISHI UFJ SECURITIES USA INC,FCM BD,NFA,2010-12-31 00:00:00,109754768,1143993,108610775,0,0,0
75,MITSUI BUSSAN COMMODITIES USA INC,FCM,NFA,2010-12-31 00:00:00,2529663,1000000,1529663,0,0,0
76,MIZUHO SECURITIES USA INC,FCM BD,CME,2010-12-31 00:00:00,444331218,67083069,377248149,762958673,417967875,0
77,MORGAN KEEGAN & COMPANY INC,FCM BD,NFA,2010-12-31 00:00:00,459596890,8955849,450641041,0,0,0
78,MORGAN STANLEY & CO INCORPORATED,FCM BD,CME,2010-12-31 00:00:00,7462511520,1107649084,6354862436,4664327531,1648470790,0
79,MORGAN STANLEY SMITH BARNEY LLC,FCM BD,NFA,2010-12-31 00:00:00,1022715233,47978013,974737220,634255216,1457362880,0
80,NATIXIS SECURITIES NORTH AMERICA INC,FCM BD,NFA,2010-12-31 00:00:00,222507516,1000000,221507516,0,0,0
81,NEUBERGER BERMAN LLC,FCM BD,NFA,2010-12-31 00:00:00,124128778,1500000,122628778,0,0,0
82,NEWEDGE USA LLC,FCM BD,NYME,2010-12-31 00:00:00,2232382565,1373751236,858631329,21003318136,6950962489,0
83,NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2010-12-31 00:00:00,2055038405,23831402,2031207003,75875406,720341,0
84,OANDA CORPORATION,RFED,NFA,2010-12-31 00:00:00,168140077,27912354,140227723,0,0,168247089
85,OPEN E CRY LLC,FCM,NFA,2010-12-31 00:00:00,2688424,1000000,1688424,84586957,1115234,0
86,OPPENHEIMER & CO INC,FCM BD,NFA,2010-12-31 00:00:00,170758265,24429796,146328469,22961116,0,0
87,OPTIONSXPRESS INC,FCM BD,NFA,2010-12-31 00:00:00,81791630,11237909,70553721,94699695,1715942,0
88,PENSON FUTURES,FCM,CBOT,2010-12-31 00:00:00,32094395,27928283,4166112,749075970,31923105,0
89,PEREGRINE FINANCIAL GROUP INC,FCM,NFA,2010-12-31 00:00:00,35873805,21506327,14367478,508025377,27652929,40126533
90,PIONEER FUTURES INC,FCM,NFA,2010-12-31 00:00:00,2061117,1000000,1061117,0,0,0
91,PRUDENTIAL BACHE COMMODITIES LLC,FCM,CBOT,2010-12-31 00:00:00,229543000,197356400,32186600,2938779000,319172000,1301000
92,RAND FINANCIAL SERVICES INC,FCM,CME,2010-12-31 00:00:00,71461732,18575239,52886493,268538400,21399600,0
93,RAYMOND JAMES & ASSOCIATES INC,FCM BD,NFA,2010-12-31 00:00:00,361814300,28949972,332864328,0,0,0
94,RBC CAPITAL MARKETS LLC,FCM BD,CME,2010-12-31 00:00:00,1156477701,106362199,1050115502,279592880,25159846,0
95,RBS SECURITIES INC,FCM BD,CBOT,2010-12-31 00:00:00,1441720000,181796000,1259924000,1711672000,86382000,0
96,RJ OBRIEN ASSOCIATES LLC,FCM,CME,2010-12-31 00:00:00,142324061,111139781,31184280,2276839623,54740239,2845378
97,ROSENTHAL COLLINS GROUP LLC,FCM,CME,2010-12-31 00:00:00,81299258,50493302,30805956,1499479782,37305981,0
98,ROSENTHAL GLOBAL SECURITIES LLC,FCM BD,NFA,2010-12-31 00:00:00,33223397,1000000,32223397,0,0,0
99,SANFORD C BERNSTEIN & CO LLC,FCM BD,NFA,2010-12-31 00:00:00,173304109,14713565,158590544,0,0,0
100,SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2010-12-31 00:00:00,94707213,9635661,85071552,389990008,0,0
101,STATE STREET GLOBAL MARKETS LLC,FCM BD,CME,2010-12-31 00:00:00,386534827,1719498,384815329,13869343,2828809,0
102,STEPHENS,FCM BD,NFA,2010-12-31 00:00:00,74907552,11937900,62969652,0,0,0
103,STERLING COMMODITIES CORP,FCM,NYME,2010-12-31 00:00:00,7792076,2456585,5335491,57208425,205684,0
104,TCA FUTURES LLC,FCM,NFA,2010-12-31 00:00:00,1600970,1000000,600970,0,0,0
105,TD AMERITRADE INC,FCM BD,NFA,2010-12-31 00:00:00,223409972,1000000,222409972,0,0,0
106,TENCO INC,FCM,CBOT,2010-12-31 00:00:00,55275089,14192635,41082454,316394213,0,0
107,TIMBER HILL LLC,FCM BD,CME,2010-12-31 00:00:00,1024003976,37798797,986205179,469341809,0,0
108,TOWER RESEARCH CAPITAL EUROPE LLC,FCM,NFA,2010-12-31 00:00:00,6325493,1000000,5325493,0,0,0
109,TRADELINK LLC,FCM BD,CBOT,2010-12-31 00:00:00,32262633,1000000,31262633,0,0,0
110,TRADESTATION SECURITIES INC,FCM BD,NFA,2010-12-31 00:00:00,68464203,2823621,65640582,407746956,3143538,0
111,TRADITION SECURITIES AND FUTURES INC,FCM,NFA,2010-12-31 00:00:00,1530855,1000000,530855,0,0,0
112,TRILAND USA INC,FCM,NYME,2010-12-31 00:00:00,23573381,17054493,6518888,196520496,16024514,0
113,UBS FINANCIAL SERVICES INC,FCM BD,NFA,2010-12-31 00:00:00,1364195427,92590311,1271605116,213851828,1245342,0
114,UBS SECURITIES LLC,FCM BD,CBOT,2010-12-31 00:00:00,11146646865,981273080,10165373785,10303405139,4550517572,0
115,VELOCITY FUTURES LLC,FCM,NFA,2010-12-31 00:00:00,1601366,1000000,601366,62928311,11597408,0
116,VISION FINANCIAL MARKETS LLC,FCM BD,CME,2010-12-31 00:00:00,22501045,6731358,15769687,362940840,8501461,0
117,WALL STREET DERIVATIVES INC,FCM,NFA,2010-12-31 00:00:00,1505924,1000000,505924,0,0,0
118,WELLS FARGO ADVISORS FINANCIAL NETWORK LLC,FCM BD,NFA,2010-12-31 00:00:00,33819754,3804753,30015001,0,0,0
119,WELLS FARGO ADVISORS LLC,FCM BD,NFA,2010-12-31 00:00:00,783003989,1500000,781503989,0,0,0
120,WELLS FARGO SECURITIES LLC,FCM BD,CME,2010-12-31 00:00:00,931694590,21750282,909944308,0,0,0
121,WHITE COMMERCIAL CORPORATION,FCM,NFA,2010-12-31 00:00:00,3018950,1000000,2018950,0,0,0
122,YORK BUSINESS ASSOCIATES LLC,FCM,NFA,2010-12-31 00:00:00,3030390,1000000,2030390,69580881,1281042,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Totals,,,,,,,151055523757,34243355310,742560352
,,,,,,,,,,
,November Web Page Update,124,,,,,,,,
,,,,,,,,,,
,Additions,0,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Deletions,2,,,,,,,,
,MG FINANCIAL LLC,,,,,,,,,
,SMW TRADING CO INC,,,,,,,,,
,,,,,,,,,,
,Name Change,,,,,,,,,
,WSD FINANCIAL USA INC to WALL STREET DERIVATIVES INC,,,,,,,,,
,,,,,,,,,,
,December Web Page Update,122,,,,,,,,
,,,,,,,,,,
,*Allianz Global Investors Distributors LLC files financial statements quarterly.,,,,,,,,,
,,,,,,,,,,
,(a):  FCM:    Futures Commission Merchant that is registered with the Commodity Futures Trading Commission;,,,,,,,,,
,BD:      The FCM is also registered with the Securities and Exchange Commission as a securities broker or dealer;,,,,,,,,,
,RFED:  Retail Foreign Exchange Dealer that is registered with the Commodity Futures Trading Commission.,,,,,,,,,
,,,,,,,,,,
,(b):  DSRO: Designated Self-Regulatory Organization.,,,,,,,,,
,,,,,,,,,,
,(c):  A firm's net capital requirement is the greater of :,,,,,,,,,
,,,,,,,,,,
,"•  FCM minimum dollar amount ($1,000,000); or",,,,,,,,,
,"•  risk based capital requirement, the sum of 8% of total customer risk maintenance margin and 8% of total non-customer risk maintenance margin; or",,,,,,,,,
,•  the amount of capital required by a registered futures association (currently NFA is the only such association); or,,,,,,,,,
,"•  for securities brokers and dealers, the amount of net capital required by Rule 15c3-1(a) of the Securities and Exchange Commission; or",,,,,,,,,
,"•  minimum dollar amount for FCM’s offering or engaged in retail forex transactions and RFEDs ($20,000,000); or",,,,,,,,,
,"•  minimum dollar amount for FCM’s offering or engaged in retail forex transactions and RFEDs ($20,000,000) plus five percent of the FCM’s or RFED’s total retail forex obligation in excess of $10,000,000.",,,,,,,,,
,,,,,,,,,,
,"(d):  Excess net capital is adjusted net capital, less the firm's net capital requirement.",,,,,,,,,
,,,,,,,,,,
,(e):  This represents the total amount of funds that an FCM is required to segregate on behalf of customers who are trading on a designated contract market or derivatives transaction execution facility. This is the sum of all accounts that contain a net liquidating equity.,,,,,,,,,
,,,,,,,,,,
,(f):  This represents the amount of funds an FCM is required to set aside for customers who trade on commodity exchanges located outside of the United States.,,,,,,,,,
,,,,,,,,,,
,"(g):  This represents the total amount of funds at an FCM or RFED that would be obtained by combining all money, securities and property deposited by a retail forex customer into a retail forex account or accounts, adjusted for the realized and unrealized net profit or loss.",,,,,,,,,
,,,,,,,,,,
,Note:  Any comments regarding information contained in this table may be brought to the attention of the CFTC's Division of Clearing and Intermediary Oversight via e-mail: ccoffin@cftc.gov or mhendrickso@cftc.gov,,,,,,,,,
