,,Reg As,DSRO,A/O,Adjusted,Net Capital,Excess,Customers',Customers',Excess/Deficient,Funds in Separate,Customer,Excess/Deficient,Total Amount
46,ITG DERIVATIVES LLC,FCM BD,NFA,2013-09-30 00:00:00,4703769,1000000,3703769,0,0,0,0,0,0,0
47,JEFFERIES BACHE LLC,FCM,CBOT,2013-09-30 00:00:00,204361000,120562160,83798840,2015781000,1916257000,99524000,191752000,124064000,67688000,0
48,JP MORGAN CLEARING CORP,FCM BD,NFA,2013-09-30 00:00:00,6838218091,1784735435,5053482656,889326014,619964701,269361313,681283018,453203445,228079573,0
49,JP MORGAN SECURITIES LLC,FCM BD,CEI,2013-09-30 00:00:00,14580355431,1912324267,12668031164,18591583837,16703123340,1888460497,3577161800,3165953634,411208166,0
50,KNIGHT CAPITAL AMERICAS LLC,FCM BD,CME,2013-09-30 00:00:00,356697379,21443189,335254190,494063375,477583598,16479777,11238261,7858663,3379598,38863784
51,LEK SECURITIES CORPORATION,FCM BD,NFA,2013-09-30 00:00:00,10007080,1500000,8507080,7324954,6169266,1155688,0,0,0,0
52,LINN GROUP THE,FCM,NFA,2013-09-30 00:00:00,3533253,1883968,1649285,79246711,75541923,3704788,348081,81628,266453,0
53,LPL FINANCIAL LLC,FCM BD,NFA,2013-09-30 00:00:00,183142190,6311599,176830591,0,0,0,0,0,0,0
54,MACQUARIE FUTURES USA LLC,FCM,CBOT,2013-09-30 00:00:00,144550421,103463827,41086594,1452571717,1277857778,174713939,30030412,23492956,6537456,0
55,MAREX NORTH AMERICA LLC,FCM,CME,2013-09-30 00:00:00,11639112,7390680,4248432,93218840,88004646,5214194,7673089,6832345,840744,0
56,MB TRADING FUTURES INC,FCMRFD,NFA,2013-09-30 00:00:00,25097774,21315851,3781923,0,0,0,0,0,0,36317025
57,MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2013-09-30 00:00:00,12904920,3849807,9055113,807758402,786665185,21093217,2350556,0,2350556,0
58,MERRILL LYNCH PIERCE FENNER & SMITH,FCM BD,CBOT,2013-09-30 00:00:00,12031925657,901130259,11130795398,9168970027,8816496192,352473835,2648350715,2395530176,252820539,0
59,MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2013-09-30 00:00:00,1966412638,328349409,1638063229,1705561453,879549075,826012378,29322962,1324030,27998932,0
60,MID CO COMMODITIES INC,FCM,NFA,2013-09-30 00:00:00,10425473,3360797,7064676,46304631,34941808,11362823,0,0,0,0
61,MITSUBISHI UFJ SECURITIES USA INC,FCM BD,NFA,2013-09-30 00:00:00,225767277,2019819,223747458,0,0,0,0,0,0,0
62,MITSUI BUSSAN COMMODITIES USA INC,FCM,NFA,2013-09-30 00:00:00,3385192,1000000,2385192,0,0,0,0,0,0,0
63,MIZUHO SECURITIES USA INC,FCM BD,CME,2013-09-30 00:00:00,426526733,202507188,224019545,2466934914,2284501906,182433008,481916990,388335323,93581667,0
64,MORGAN STANLEY & CO LLC,FCM BD,CME,2013-09-30 00:00:00,7221900056,1530726086,5691173970,9102487543,8894601313,207886230,2576633448,2322718313,253915135,0
65,MORGAN STANLEY SMITH BARNEY LLC,FCM BD,NFA,2013-09-30 00:00:00,3888222103,167121021,3721101082,726165259,637877862,88287397,88523036,63761977,24761059,0
66,NATIXIS SECURITIES AMERICAS LLC,FCM BD,NFA,2013-09-30 00:00:00,313253934,2586493,310667441,0,0,0,0,0,0,0
67,NEUBERGER BERMAN LLC,FCM BD,NFA,2013-09-30 00:00:00,84623125,1500000,83123125,0,0,0,0,0,0,0
68,NEWEDGE USA LLC,FCM BD,NYME,2013-09-30 00:00:00,1807006609,1015076541,791930068,14376172385,13725670092,650502293,3359334923,3016527869,342807054,0
69,NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2013-09-30 00:00:00,1567449163,33159331,1534289832,66417755,55453647,10964108,4395321,809629,3585692,0
70,OANDA CORPORATION,FCMRFD,NFA,2013-09-30 00:00:00,133648644,26132177,107516467,0,0,0,0,0,0,132643538
71,OPPENHEIMER & CO INC,FCM BD,NFA,2013-09-30 00:00:00,158953792,26153289,132800503,32320894,16244043,16076851,0,0,0,0
72,OPTIONSXPRESS INC,FCM BD,NFA,2013-09-30 00:00:00,99733200,6778031,92955169,111031924,81586567,29445357,3646839,1072201,2574638,0
73,PHILLIP FUTURES INC,FCM,CME,2013-09-30 00:00:00,28122631,20000000,8122631,126717760,105911581,20806179,6030230,2953808,3076422,0
74,PIONEER FUTURES INC,FCM,NFA,2013-09-30 00:00:00,2369743,1000000,1369743,0,0,0,0,0,0,0
75,RAND FINANCIAL SERVICES INC,FCM,CME,2013-09-30 00:00:00,79306918,19697489,59609429,340778500,300822100,39956400,31717300,9014300,22703000,0
76,RAYMOND JAMES & ASSOCIATES INC,FCM BD,NFA,2013-09-30 00:00:00,431501807,37625076,393876731,0,0,0,0,0,0,0
77,RBC CAPITAL MARKETS LLC,FCM BD,CME,2013-09-30 00:00:00,1099504171,109536323,989967848,960946934,895779481,65167453,191386753,121815547,69571206,0
78,RBS SECURITIES INC,FCM BD,CBOT,2013-09-30 00:00:00,4352648017,132375111,4220272906,1553250738,1401009177,152241561,212604127,94293330,118310797,0
79,RJ OBRIEN ASSOCIATES LLC,FCM,CME,2013-09-30 00:00:00,192625623,129543641,63081982,3777320592,3662943335,114377257,173100563,147749177,25351386,1337790
80,ROSENTHAL COLLINS GROUP LLC,FCM,CME,2013-09-30 00:00:00,75492702,56018927,19473775,1454490898,1432776143,21714755,37320923,27295826,10025097,0
81,SANFORD C BERNSTEIN & CO LLC,FCM BD,NFA,2013-09-30 00:00:00,170096129,19024334,151071795,0,0,0,0,0,0,0
82,SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2013-09-30 00:00:00,217357033,8452810,208904223,674444681,672033184,2411497,0,0,0,0
83,STATE STREET GLOBAL MARKETS LLC,FCM BD,CME,2013-09-30 00:00:00,531668383,19346629,512321754,305952414,217922891,88029523,64316745,23049108,41267637,0
84,STRAITS FINANCIAL LLC,FCM,CME,2013-09-30 00:00:00,9508426,3987448,5520978,138113377,131056593,7056784,23585064,21956185,1628879,0
85,TD AMERITRADE INC,FCM BD,NFA,2013-09-30 00:00:00,305075239,10515870,294559369,141534398,117283048,24251350,0,0,0,0
86,TIMBER HILL LLC,FCM BD,CME,2013-09-30 00:00:00,469950158,50425353,419524805,693978082,691441153,2536929,0,0,0,0
87,TRADELINK LLC,FCM BD,CBOT,2013-09-30 00:00:00,14362999,1000000,13362999,0,0,0,0,0,0,0
88,TRADESTATION SECURITIES INC,FCM BD,NFA,2013-09-30 00:00:00,58714386,3404646,55309740,409320140,398587364,10732776,16905204,15813960,1091244,0
89,TULLETT PREBON FINANCIAL SERVICES LLC,FCM BD,NFA,2013-09-30 00:00:00,29919538,1000000,28919538,0,0,0,0,0,0,0
90,UBS FINANCIAL SERVICES INC,FCM BD,NFA,2013-09-30 00:00:00,1447982620,96356500,1351626120,122988090,101088260,21899830,24370457,2683340,21687117,0
91,UBS SECURITIES LLC,FCM BD,CBOT,2013-09-30 00:00:00,9294132544,912647484,8381485060,8725882618,8078466011,647416607,4800087745,4379811074,420276671,0
92,VELOCITY FUTURES LLC,FCM,NFA,2013-09-30 00:00:00,1264470,1000000,264470,60858099,59832975,1025124,1223126,799896,423230,0
93,VISION FINANCIAL MARKETS LLC,FCM BD,CME,2013-09-30 00:00:00,34258099,10083116,24174983,481036327,470618903,10417424,16318432,14288639,2029793,0
94,WELLS FARGO ADVISORS FINANCIAL NETWORK LLC,FCM BD,NFA,2013-09-30 00:00:00,57467253,1000000,56467253,0,0,0,0,0,0,0
95,WELLS FARGO ADVISORS LLC,FCM BD,NFA,2013-09-30 00:00:00,1536774762,1500000,1535274762,0,0,0,0,0,0,0
96,WELLS FARGO SECURITIES LLC,FCM BD,CME,2013-09-30 00:00:00,3153455580,58379073,3095076507,16776503,6666932,10109571,5032981,0,5032981,0
97,WHITE COMMERCIAL CORPORATION,FCM,NFA,2013-09-30 00:00:00,2709540,1000000,1709540,0,0,0,0,0,0,0
98,WHOTRADES FX LLC,FCM,NFA,2013-09-30 00:00:00,1782650,1000000,782650,0,0,0,0,0,0,0
99,XCHANGE FINANCIAL ACCESS LLC,FCM BD,NFA,2013-09-30 00:00:00,5804876,1000000,4804876,34257944,32184450,2073494,0,0,0,0
100,YORK BUSINESS ASSOCIATES LLC,FCM,NFA,2013-09-30 00:00:00,4961615,1000000,3961615,52833887,50514508,2319379,2231204,1918524,312680,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Totals,,,,,,,153777206786,142493827451,11283379335,39147678379,34573654360,4574024019,622983354
,,,,,,,,,,,,,,
,August Web Page Update,100,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Additions,0,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Deletions,0,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name Changes,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,September Web Page Update,100,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(a):  FCM:         Futures Commission Merchant that is registered with the Commodity Futures Trading Commission;,,,,,,,,,,,,,
,BD:           The FCM is also registered with the Securities and Exchange Commission as a securities broker or dealer;,,,,,,,,,,,,,
,RFED:       Retail Foreign Exchange Dealer that is registered with the Commodity Futures Trading Commission;,,,,,,,,,,,,,
,FCMRFD:  The FCM is also registered with the Commodity Futures Trading Commission as a Retail Foreign Exchange Dealer.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(b):  DSRO: Designated Self-Regulatory Organization.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(c):  A firm's net capital requirement is the greater of:,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"•  FCM minimum dollar amount ($1,000,000); or",,,,,,,,,,,,,
,"•  risk based capital requirement, the sum of 8% of total customer risk maintenance margin and 8% of total non-customer risk maintenance margin; or",,,,,,,,,,,,,
,•  the amount of capital required by a registered futures association (currently NFA is the only such association); or,,,,,,,,,,,,,
,"•  for securities brokers and dealers, the amount of net capital required by Rule 15c3-1(a) of the Securities and Exchange Commission; or",,,,,,,,,,,,,
,"•  minimum dollar amount for FCM’s offering or engaged in retail forex transactions and RFEDs ($20,000,000); or",,,,,,,,,,,,,
,"•  minimum dollar amount for FCM’s offering or engaged in retail forex transactions and RFEDs ($20,000,000) plus five percent of the FCM’s or RFED’s total retail forex obligation in excess of $10,000,000.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(d):  Excess net capital is adjusted net capital, less the firm's net capital requirement.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(e):  This represents the total amount of money, securities, and property held in segregated accounts for futures and options customers in compliance with Section 4d of the Commodity Exchange Act.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(f):  This represents the total amount of funds that an FCM is required to segregate on behalf of customers who are trading on a designated contract market or derivatives transaction execution facility.  This is the sum of all accounts that contain a net liquidating equity.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(g):  Excess/Deficient funds in segregation is customer assets in segregation, less the customer segregation requirement.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(h):  This represents the total amount of money, securities, and property held in secured accounts for futures and options customers who trade on commodity exchanges located outside the United States in compliance with Part 30 of the Commodity Exchange Act.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(i):  This represents the amount of funds an FCM is required to set aside for customers who trade on commodity exchanges located outside of the United States.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(j):  Excess/Deficient funds in separate Section 30.7 accounts is funds in separate Section 30.7 accounts, less the customer amount Part 30 requirement.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"(k):  This represents the total amount of funds at an FCM, RFED, or FCMRFD that would be obtained by combining all money, securities and property deposited by a retail forex customer into a retail forex account or accounts, adjusted for the realized and unrealized net profit or loss.",,,,,,,,,,,,,
