2012 High-Priority Occupations for Three Rivers Workforce Investment Area,,,,,,,,,
,,,,,,,,,
,,,Wages (2011),,,Employment,,,
29-1111,Registered Nurses,AD,62070,47810,69190,22650,26240,0.1585,733
29-1122,Occupational Therapists,MD,65890,51730,72970,790,920,0.1646,25
29-1126,Respiratory Therapists,AD,50360,39610,55730,990,1160,0.17170000000000002,32
29-2011,Medical & Clinical Laboratory Technologists,BD,50700,38110,56990,1890,2020,0.0688,41
29-2012,Medical & Clinical Laboratory Technicians,AD,35640,25110,40910,1560,1670,0.0705,35
29-2021,Dental Hygienists,AD,56630,49650,60120,1020,1160,0.1373,33
29-2031,Cardiovascular Technologists & Technicians,AD,51800,31840,61780,580,680,0.17240000000000003,18
29-2032,Diagnostic Medical Sonographers,AD,52600,41880,57960,420,460,0.09519999999999999,10
29-2037,Radiologic Technologists & Technicians,AD,47100,35650,52830,N/A,N/A,N/A,N/A
29-2041,Emergency Medical Technicians & Paramedics,PS,31840,23900,35810,1300,1330,0.0231,17
29-2052,Pharmacy Technicians,MT OJT,29800,21450,33970,2490,3280,0.3173,155
29-2055,Surgical Technologists,PS,37260,28300,41730,870,1010,0.1609,41
29-2056,Veterinary Technologists & Technicians,AD,33780,26530,37400,300,410,0.3667,20
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,41970,33910,46000,4290,4610,0.0746,149
29-2071,Medical Records & Health Information Technicians,PS,34010,24590,38730,1130,1190,0.05310000000000001,38
31-1012,"Nursing Aides, Orderlies & Attendants",PS,26460,20570,29400,10590,11630,0.09820000000000001,198
31-2011,Occupational Therapy Assistants,AD,48380,37790,53680,360,450,0.25,15
31-2021,Physical Therapist Assistants,AD,42420,29190,49030,470,560,0.19150000000000003,15
31-9091,Dental Assistants,PS,31830,24880,35300,1200,1360,0.1333,37
31-9092,Medical Assistants,MT OJT,29530,23040,32770,3550,4210,0.1859,110
31-9097,Phlebotomists,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-3012,Correctional Officers & Jailers,MT OJT,N/A,N/A,N/A,1130,950,-0.1593,26
33-3051,Police & Sheriff's Patrol Officers,MT OJT,55970,29520,69200,2870,2480,-0.1359,77
35-1012,Supervisors - Food Preparation & Serving Workers,WK EXP,39370,27100,45500,3710,3930,0.0593,50
37-2021,Pest Control Workers,MT OJT,31520,23520,35520,180,190,0.055600000000000004,4
39-3011,Gaming Dealers,MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39-5011,Barbers,PS,N/A,N/A,N/A,760,790,0.0395,17
39-5012,"Hairdressers, Hairstylists & Cosmetologists",PS,22440,16810,25250,5490,6320,0.1512,149
39-9021,Personal Care Aides,ST OJT,20050,16750,21700,2640,3110,0.17800000000000002,92
41-1011,Supervisors - Retail Sales Workers,WK EXP,44980,28250,53350,5950,5670,-0.0471,125
41-2022,Parts Salespersons,MT OJT,36360,24600,42230,880,790,-0.1023,10
41-3021,Insurance Sales Agents,MT OJT,72600,33710,92040,2460,2410,-0.020300000000000002,54
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,87110,35390,112960,1320,1300,-0.0152,34
41-4011,"Sales Representatives, Technical & Scientific Products",BD,88420,52190,106540,2350,2280,-0.0298,52
41-4012,Sales Representatives,MT OJT,66630,35250,82320,9890,9740,-0.0152,218
41-9022,Real Estate Sales Agents,LT OJT,50270,31010,59900,2050,1910,-0.0683,33
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,53900,35050,63320,7250,6910,-0.046900000000000004,150
43-3011,Bill & Account Collectors,MT OJT,33750,24230,38510,2740,3170,0.15689999999999998,84
43-3021,Billing & Posting Clerks,ST OJT,34310,25320,38800,2940,2740,-0.068,38
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,34820,24590,39930,11070,11260,0.0172,192
43-4051,Customer Service Representatives,ST OJT,32360,20920,38080,14990,17390,0.16010000000000002,657
43-4111,Interviewers,ST OJT,29770,24140,32590,1190,1250,0.0504,37
43-4131,Loan Interviewers & Clerks,ST OJT,32880,24240,37210,1120,970,-0.13390000000000002,19
43-5011,Cargo & Freight Agents,ST OJT,40520,30350,45610,290,310,0.069,10
43-5061,"Production, Planning & Expediting Clerks",MT OJT,46610,30440,54700,1450,1470,0.013800000000000002,42
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,31930,21500,37140,2820,2740,-0.028399999999999998,68
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,44960,32790,51050,6180,6380,0.032400000000000005,118
43-6012,Legal Secretaries,MT OJT,41400,32020,46090,2740,2670,-0.025500000000000002,44
43-6014,Secretaries,ST OJT,31100,22440,35430,12680,11810,-0.06860000000000001,202
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,40160,27550,46470,1800,1570,-0.12780000000000002,22
43-9061,"Office Clerks, General",ST OJT,29420,19140,34560,19900,20130,0.0116,388
45-1011,Farm & Forestry Worker Supervisors,WK EXP,52910,34620,62050,20,20,N/A,0
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,68560,49980,77850,2300,2310,0.0043,34
47-2021,Brickmasons & Blockmasons,LT OJT,49380,41300,53420,860,850,-0.0116,18
47-2031,Carpenters,LT OJT,46130,31750,53310,6000,6020,0.0033,84
47-2051,Cement Masons & Concrete Finishers,MT OJT,47660,37890,52540,320,340,0.0625,11
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,51300,35250,59330,1840,1920,0.043500000000000004,44
47-2111,Electricians,LT OJT,50270,35310,57750,2840,2850,0.0035000000000000005,74
47-2132,"Insulation Workers, Mechanical",LT OJT,N/A,N/A,N/A,80,90,0.125,2
47-2141,"Painters, Construction & Maintenance",MT OJT,47040,36090,52520,1480,1500,0.013500000000000002,28
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,51170,36330,58600,2460,2500,0.016300000000000002,55
47-2181,Roofers,MT OJT,38210,29480,42580,770,800,0.039,21
47-2211,Sheet Metal Workers,LT OJT,52070,33000,61610,470,480,0.0213,12
47-4011,Construction & Building Inspectors,WK EXP,50060,35890,57150,1040,1060,0.0192,21
47-5011,"Derrick Operators, Oil & Gas",ST OJT,N/A,N/A,N/A,10,20,1,0
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,N/A,N/A,N/A,120,120,N/A,1
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,42230,29690,48500,20,30,0.5,0
47-5041,Continuous Mining Machine Operators,MT OJT,N/A,N/A,N/A,10,10,N/A,0
47-5042,Mine Cutting & Channeling Machine Operators,MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47-5071,"Roustabouts, Oil & Gas",MT OJT,30090,21640,34320,60,60,N/A,3
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,65470,45070,75680,1490,1460,-0.020100000000000003,35
49-2022,Telecommunications Equipment Installers & Repairers,PS,56440,40550,64390,970,940,-0.030899999999999997,24
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,62630,49700,69100,N/A,N/A,N/A,N/A
49-2098,Security & Fire Alarm Systems Installers,MT OJT,42490,31110,48170,590,690,0.16949999999999998,18
49-3021,Automotive Body & Related Repairers,MT OJT,37830,26140,43670,980,920,-0.061200000000000004,23
49-3023,Automotive Service Technicians & Mechanics,LT OJT,36010,22610,42700,5010,5020,0.002,101
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,46590,34860,52450,750,760,0.013300000000000001,17
49-9021,"Heating, A/C & Refrigeration Mechanics & Installers",PS,46620,33730,53060,1320,1350,0.0227,26
49-9041,Industrial Machinery Mechanics,LT OJT,47550,35030,53810,1250,1370,0.096,33
49-9043,"Maintenance Workers, Machinery",MT OJT,35190,27930,38820,150,140,-0.0667,2
49-9051,Electrical Power-Line Installers & Repairers,LT OJT,63500,49490,70500,730,810,0.1096,31
49-9052,Telecommunications Line Installers & Repairers,LT OJT,62190,50110,68230,980,950,-0.030600000000000002,25
49-9071,"Maintenance & Repair Workers, General",MT OJT,36960,23780,43550,N/A,N/A,N/A,N/A
49-9091,"Coin, Vending & Amusement Machine Servicers & Repairers",ST OJT,35810,28510,39460,250,260,0.04,8
49-9099,"Installation, Maintenance & Repair Workers, Other",MT OJT,N/A,N/A,N/A,140,150,0.0714,1
51-1011,Supervisors - Production & Operating Workers,PS,57830,38390,67550,2080,1870,-0.10099999999999999,35
51-3021,Butchers & Meat Cutters,LT OJT,29580,23150,32790,510,500,-0.0196,16
51-4011,"Computer-Controlled Machine Tool Operators, Metal & Plastic",MT OJT,36850,28430,41060,850,720,-0.1529,10
51-4012,Computer Numerically Controlled Machine Tool Programmers,MT OJT,46500,37340,51070,N/A,N/A,N/A,N/A
51-4021,"Extruding & Drawing Machine Setters, Oprs & Tenders, Metal & Plastic",MT OJT,38440,28770,43270,250,210,-0.16,7
51-4041,Machinists,LT OJT,39760,28500,45390,1830,1790,-0.0219,28
51-4081,"Multiple Machine Tool Setters, Operators & Tenders, Metal & Plastic",MT OJT,37050,27530,41800,320,310,-0.0313,6
51-4121,"Welders, Cutters, Solderers & Brazers",MT OJT,36700,26620,41740,1200,1180,-0.0167,25
51-4191,"Heat Treating Equipment Setters, Operators & Tenders, Metal & Plastic",MT OJT,37740,30050,41590,140,110,-0.2143,2
51-8013,Power Plant Operators,LT OJT,N/A,N/A,N/A,130,110,-0.15380000000000002,4
51-8031,Water & Wastewater Treatment Plant & System Operators,LT OJT,45140,30620,52390,750,690,-0.08,13
51-9061,"Inspectors, Testers, Sorters, Samplers & Weighers",MT OJT,39390,25010,46580,2070,1870,-0.0966,31
51-9111,Packaging & Filling Machine Operators & Tenders,MT OJT,32420,20940,38150,940,850,-0.09570000000000001,18
53-1021,"Supervisors - Helpers, Laborers & Material Movers",WK EXP,48160,33360,55560,480,500,0.0417,12
53-1031,Supervisors - Transportation & Vehicle Operators,WK EXP,62960,44210,72330,870,910,0.046000000000000006,22
53-3031,Driver/Sales Workers,ST OJT,32470,17600,39900,2080,1890,-0.0913,37
53-3032,Heavy & Tractor-Trailer Truck Drivers,WK EXP,43360,30800,49640,5170,5480,0.06,123
53-3033,Light Truck or Delivery Services Drivers,ST OJT,31170,19260,37130,4550,4520,-0.0066,81
53-7051,Industrial Truck & Tractor Operators,ST OJT,35240,24070,40820,1990,1900,-0.045200000000000004,50
53-7073,Wellhead Pumpers,MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
