OPTIONS MARKET UPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note:,,,,,,,,,
NQ-02,,ATM m,,,,,,,,,,,,,,,,,,,,13.5,18.5,,,,,,,,,,,,,,,
ERCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,Strike,Option,,Price,,,Vol,,,Price,,,Vol,,,Price,,,Vol,,,Price,,,Vol,,,,,,,,,,,,,
Winter,25,mc,,,,,,,,,,,,,,2.1,2.6,,0.47,0.53,,,,,,,,,,,,,,,,,,
Winter,ATM,m Straddle,,5.5,7,,0.6,0.68,,4,5,,0.42,0.5,,4.5,5.5,,0.47,0.53,,,,,,,,,,,,,,,,,,
Mar/April,ATM,m Straddle,,5.25,6.5,,0.39,0.47,,4.5,5.5,,0.37,0.43,,4.5,5.5,,0.37,0.43,,,,,,,,,,,,,,,,,,
Summer-02,ATM,m Straddle,,11.5,12.5,,0.43,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-02,ATM,m Straddle,,8.25,8.75,,0.38,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal-02,ATM,m Straddle,,3.5,4,,0.42,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-02,ATM,m Straddle,,,,,,,,,,,,,,7.25,8,,0.35,0.38,,,,,,,,,,,,,,,,,,
Summer-03,50,mc,,,,,,,,,,,,,,4,5,,0.33,0.37,,,,,,,,,,,,,,,,,,
NEPOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strike,Option,,Price,,,Vol,,,Price,,,Vol,,,Price,,,Vol,,,,,,,,,,,,,,,,,,,
Nov,35,dp,,0.75,0.9,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,45,dc,,,,,,,,1.3,2.3,,0.83,1.03,,,,,,,,,,,,,,,,,,,,,,,,
NY Zone G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strike,Option,,Price,,,Vol,,,Price,,,Vol,,,Price,,,Vol,,,,,,,,,,,,,,,,,,,
Dec,50,dc,,2.5,3.5,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,40,dc,,,,,,,,1,2,,0.65,0.95,,,,,,,,,,,,,,,,,,,,,,,,
NY Zone A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,Strike,Option,,Price,,,Vol,,,Price,,,Vol,,,Price,,,Vol,,,Price,,,Vol,,,,,,,,,,,,,
Winter,ATM,d Straddle,,9.5,11.5,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov,30,dp,,,,,,,,2,3,,0.75,1.05,,2.5,3,,0.65,0.85,,,,,,,,,,,,,,,,,,
COMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,Strike,Option,,,,,,,,Price,,,Vol,,,Price,,,Vol,,,Price,,,Vol,,,,,,,,,,,,,
Nov,25,dp,,,,,,,,4,5,,0.85,1,,4.1,5,,0.8,0.95,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Vols are a little bit firmer relative to last week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
