2012 High-Priority Occupations for Southwest Corner Workforce Investment Area,,,,,,,,,
,,,,,,,,,
,,,Wages (2011),,,Employment,,,
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,47000,34910,53040,130,150,0.15380000000000002,4
25-2011,Preschool Teachers,AD,35170,22830,41340,180,190,0.055600000000000004,4
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,52940,33590,62610,110,100,-0.0909,3
25-2053,"Special Education Teachers, Middle School",BD,52460,39390,59000,N/A,N/A,N/A,N/A
25-2054,"Special Education Teachers, Secondary School",BD,49130,33990,56700,N/A,N/A,N/A,N/A
27-1014,Multimedia Artists & Animators,BD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27-1027,Set & Exhibit Designers,BD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27-2022,Coaches & Scouts,LT OJT,44390,21850,55660,420,450,0.0714,13
27-4011,Audio & Video Equipment Technicians,PS,39440,31600,43360,10,10,N/A,0
27-4012,Broadcast Technicians,AD,N/A,N/A,N/A,30,20,-0.3333,1
27-4014,Sound Engineering Technicians,PS,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27-4031,"Camera Operators: TV, Video & Motion Picture",BD,N/A,N/A,N/A,10,10,N/A,0
27-4032,Film & Video Editors,BD+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29-1031,Dietitians & Nutritionists,BD,37790,21860,45750,40,40,N/A,1
29-1051,Pharmacists,PROF,102300,78860,114020,390,490,0.2564,17
29-1111,Registered Nurses,AD,62190,48770,68910,3010,3560,0.1827,105
29-1122,Occupational Therapists,MD,63070,52240,68490,260,300,0.15380000000000002,8
29-1126,Respiratory Therapists,AD,50790,43060,54660,110,120,0.0909,4
29-2011,Medical & Clinical Laboratory Technologists,BD,50930,38650,57070,80,80,N/A,1
29-2012,Medical & Clinical Laboratory Technicians,AD,39500,27930,45280,140,150,0.0714,3
29-2021,Dental Hygienists,AD,45470,31290,52570,180,200,0.11109999999999999,5
29-2031,Cardiovascular Technologists & Technicians,AD,49660,32080,58450,70,80,0.1429,2
29-2032,Diagnostic Medical Sonographers,AD,54880,45940,59340,70,80,0.1429,2
29-2037,Radiologic Technologists & Technicians,AD,49560,37200,55740,N/A,N/A,N/A,N/A
29-2041,Emergency Medical Technicians & Paramedics,PS,24700,17750,28180,470,500,0.0638,8
29-2052,Pharmacy Technicians,MT OJT,28870,19830,33390,460,630,0.3696,31
29-2055,Surgical Technologists,PS,40760,32750,44770,90,110,0.22219999999999998,5
29-2056,Veterinary Technologists & Technicians,AD,25870,22300,27650,40,50,0.25,3
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,38470,32540,41440,890,1050,0.17980000000000002,40
29-2071,Medical Records & Health Information Technicians,PS,31250,21560,36100,100,110,0.1,4
31-1012,"Nursing Aides, Orderlies & Attendants",PS,28340,23090,30970,2120,2510,0.18400000000000002,58
31-2011,Occupational Therapy Assistants,AD,38830,34330,41090,70,90,0.2857,3
31-2021,Physical Therapist Assistants,AD,46770,30740,54790,170,210,0.2353,6
31-9091,Dental Assistants,PS,23890,17880,26890,290,320,0.10339999999999999,9
31-9092,Medical Assistants,MT OJT,28100,21870,31210,610,730,0.1967,20
31-9097,Phlebotomists,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-3012,Correctional Officers & Jailers,MT OJT,48250,37290,53720,420,410,-0.023799999999999998,10
33-3051,Police & Sheriff's Patrol Officers,MT OJT,43680,25770,52630,830,820,-0.012,22
35-1012,Supervisors - Food Preparation & Serving Workers,WK EXP,33530,18530,41030,850,900,0.0588,11
37-2021,Pest Control Workers,MT OJT,N/A,N/A,N/A,30,30,N/A,1
39-3011,Gaming Dealers,MT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39-5011,Barbers,PS,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39-5012,"Hairdressers, Hairstylists & Cosmetologists",PS,22840,17080,25710,1270,1510,0.18900000000000003,39
39-9021,Personal Care Aides,ST OJT,21820,18190,23640,1430,1670,0.1678,49
41-1011,Supervisors - Retail Sales Workers,WK EXP,39030,24660,46210,1360,1380,0.0147,31
41-2022,Parts Salespersons,MT OJT,31960,22360,36760,230,200,-0.13040000000000002,3
41-3021,Insurance Sales Agents,MT OJT,53200,29410,65100,810,860,0.0617,24
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,42980,22160,53390,130,120,-0.07690000000000001,3
41-4011,"Sales Representatives, Technical & Scientific Products",BD,78470,51030,92190,190,170,-0.10529999999999999,4
41-4012,Sales Representatives,MT OJT,62550,36840,75400,2220,2170,-0.0225,49
41-9022,Real Estate Sales Agents,LT OJT,48460,32020,56680,420,410,-0.023799999999999998,7
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,48730,33060,56560,1080,1020,-0.055600000000000004,22
43-3011,Bill & Account Collectors,MT OJT,31260,21840,35960,500,620,0.24,20
43-3021,Billing & Posting Clerks,ST OJT,30490,23000,34230,660,610,-0.0758,8
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,33370,22620,38750,1830,1930,0.0546,39
43-4051,Customer Service Representatives,ST OJT,32680,22090,37980,1820,2010,0.10439999999999999,71
43-4111,Interviewers,ST OJT,30580,25720,33010,100,100,N/A,3
43-4131,Loan Interviewers & Clerks,ST OJT,25330,22160,26910,130,110,-0.15380000000000002,2
43-5011,Cargo & Freight Agents,ST OJT,40020,34570,42750,150,170,0.1333,6
43-5061,"Production, Planning & Expediting Clerks",MT OJT,46340,29100,54960,320,310,-0.0313,9
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,29170,18200,34650,540,520,-0.037000000000000005,13
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,46290,28930,54970,650,670,0.0308,12
43-6012,Legal Secretaries,MT OJT,41270,28960,47420,110,110,N/A,2
43-6014,Secretaries,ST OJT,29070,20220,33490,1980,1840,-0.0707,32
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,36510,24920,42310,170,140,-0.17650000000000002,2
43-9061,"Office Clerks, General",ST OJT,28010,19430,32300,4590,4680,0.0196,93
45-1011,Farm & Forestry Worker Supervisors,WK EXP,N/A,N/A,N/A,40,40,N/A,1
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,65970,43940,76990,850,880,0.035300000000000005,15
47-2021,Brickmasons & Blockmasons,LT OJT,37220,28700,41470,300,300,N/A,6
47-2031,Carpenters,LT OJT,36770,23020,43650,1610,1660,0.0311,27
47-2051,Cement Masons & Concrete Finishers,MT OJT,41220,30100,46770,150,150,N/A,5
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,41660,31030,46980,730,770,0.0548,18
47-2111,Electricians,LT OJT,52750,32550,62850,1340,1360,0.0149,37
47-2132,"Insulation Workers, Mechanical",LT OJT,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47-2141,"Painters, Construction & Maintenance",MT OJT,40470,33070,44180,340,350,0.0294,7
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,57250,39390,66170,890,920,0.0337,21
47-2181,Roofers,MT OJT,31960,24550,35670,170,170,N/A,5
47-2211,Sheet Metal Workers,LT OJT,56740,37010,66610,230,240,0.043500000000000004,7
47-4011,Construction & Building Inspectors,WK EXP,51020,36020,58520,180,170,-0.055600000000000004,3
47-5011,"Derrick Operators, Oil & Gas",ST OJT,N/A,N/A,N/A,30,30,N/A,0
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,N/A,N/A,N/A,30,30,N/A,0
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,N/A,N/A,N/A,180,190,0.055600000000000004,2
47-5041,Continuous Mining Machine Operators,MT OJT,50140,43060,53680,110,120,0.0909,5
47-5042,Mine Cutting & Channeling Machine Operators,MT OJT,50890,39530,56570,120,130,0.0833,6
47-5071,"Roustabouts, Oil & Gas",MT OJT,N/A,N/A,N/A,80,90,0.125,3
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,67430,43210,79540,550,550,N/A,13
49-2022,Telecommunications Equipment Installers & Repairers,PS,40370,34750,43190,60,60,N/A,2
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49-2098,Security & Fire Alarm Systems Installers,MT OJT,N/A,N/A,N/A,20,30,0.5,0
49-3021,Automotive Body & Related Repairers,MT OJT,N/A,N/A,N/A,180,170,-0.055600000000000004,4
49-3023,Automotive Service Technicians & Mechanics,LT OJT,31850,24800,35380,950,950,N/A,19
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,37270,28750,41530,270,280,0.037000000000000005,7
49-9021,"Heating, A/C & Refrigeration Mechanics & Installers",PS,44860,29720,52430,440,450,0.0227,9
49-9041,Industrial Machinery Mechanics,LT OJT,45020,32030,51520,620,680,0.0968,16
49-9043,"Maintenance Workers, Machinery",MT OJT,36100,24880,41710,170,170,N/A,3
49-9051,Electrical Power-Line Installers & Repairers,LT OJT,63470,52080,69170,160,150,-0.0625,5
49-9052,Telecommunications Line Installers & Repairers,LT OJT,N/A,N/A,N/A,400,380,-0.05,10
49-9071,"Maintenance & Repair Workers, General",MT OJT,35600,22600,42100,N/A,N/A,N/A,N/A
49-9091,"Coin, Vending & Amusement Machine Servicers & Repairers",ST OJT,30720,21480,35340,30,40,0.3333,2
49-9099,"Installation, Maintenance & Repair Workers, Other",MT OJT,N/A,N/A,N/A,60,70,0.16670000000000001,1
51-1011,Supervisors - Production & Operating Workers,PS,57730,38290,67450,950,850,-0.10529999999999999,16
51-3021,Butchers & Meat Cutters,LT OJT,27300,24170,28860,150,150,N/A,5
51-4011,"Computer-Controlled Machine Tool Operators, Metal & Plastic",MT OJT,36000,29550,39230,280,280,N/A,3
51-4012,Computer Numerically Controlled Machine Tool Programmers,MT OJT,42230,34350,46160,30,20,-0.3333,0
51-4021,"Extruding & Drawing Machine Setters, Oprs & Tenders, Metal & Plastic",MT OJT,35250,26460,39640,330,270,-0.1818,9
51-4041,Machinists,LT OJT,39390,30510,43840,880,830,-0.056799999999999996,14
51-4081,"Multiple Machine Tool Setters, Operators & Tenders, Metal & Plastic",MT OJT,38400,26940,44130,190,190,N/A,4
51-4121,"Welders, Cutters, Solderers & Brazers",MT OJT,35930,26700,40550,660,630,-0.0455,14
51-4191,"Heat Treating Equipment Setters, Operators & Tenders, Metal & Plastic",MT OJT,35090,27580,38840,140,110,-0.2143,2
51-8013,Power Plant Operators,LT OJT,61560,52560,66060,270,240,-0.11109999999999999,9
51-8031,Water & Wastewater Treatment Plant & System Operators,LT OJT,52420,33810,61720,210,220,0.047599999999999996,5
51-9061,"Inspectors, Testers, Sorters, Samplers & Weighers",MT OJT,42540,28680,49470,630,540,-0.1429,9
51-9111,Packaging & Filling Machine Operators & Tenders,MT OJT,33740,21420,39890,150,120,-0.2,3
53-1021,"Supervisors - Helpers, Laborers & Material Movers",WK EXP,49140,27150,60130,230,230,N/A,6
53-1031,Supervisors - Transportation & Vehicle Operators,WK EXP,55220,32670,66500,240,240,N/A,5
53-3031,Driver/Sales Workers,ST OJT,31820,17040,39200,540,520,-0.037000000000000005,10
53-3032,Heavy & Tractor-Trailer Truck Drivers,WK EXP,37920,26940,43410,1700,1760,0.035300000000000005,36
53-3033,Light Truck or Delivery Services Drivers,ST OJT,32340,17120,39940,1010,1000,-0.009899999999999999,18
53-7051,Industrial Truck & Tractor Operators,ST OJT,37890,23970,44860,640,580,-0.09380000000000001,16
53-7073,Wellhead Pumpers,MT OJT,N/A,N/A,N/A,20,30,0.5,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
