"We try to maintain the basic structure of the existing layout with minimum revisions. It is a unified layout for OAA, OGT, AASWD, and OTELA. So the file contains multiple sheets. Pay special attention to the following:
1. Position 32, Assessment Type, we keep the current coding, but OTELA is coded E for English instead of R for regular.
133,133,1,Eng. Limited Identified,alpha or blank,,
,,,(Not used),,,
134,145,12,Record Description,alphanumeric or blank,SPR09OTELA,
146,147,2,Writing Performance Level,numeric or blank,01=Level 1,
,,,,,02=Level 2,
,,,,,03=Level 3,
,,,,,04=Level 4,
,,,,,05=Level 5,
,,,,,99=invalidated (INV),
,,,,,blank=DNA/TOG/DNS/Missing,
148,150,3,Writing Scale Score,alphanumeric or blank,Range 000-999,
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
151,152,2,Condition - Prompt 1,alphanumeric or blank,"(OAT & OGT rule)
If Prompt 1 not scored
  -  recorded in left-justified
     alphanumeric format.    
     Holistic score codes (Based on WA only)
       A=Blank paper
       B=Refusal
       C=Illegible/Foreign language
       D=Insufficient text
       E=Off topic or off task
       F=Erased or crossed out
       G=Copies of prompt
       T= Enhanced student responses",
153,154,2,Condition - Prompt 2,alphanumeric or blank,"(OAT & OGT rule)
If Prompt 2 not scored
  -  recorded in left-justified
     alphanumeric format.    
     Holistic score codes (Based on WA only)
       A=Blank paper
       B=Refusal
       C=Illegible/Foreign language
       D=Insufficient text
       E=Off topic or off task
       F=Erased or crossed out
       G=Copies of prompt
       T= Enhanced student responses",
155,157,3,"Writing Content Standard Raw Score 1
ALT: Performance
OTELA: N/A
OAT: Writing Applications
OGT: Writing Applications",numeric,,
158,158,1,Indicator 1,alpha,,
,,,,,,
,,,,,,
159,161,3,"Writing Content Standard Raw Score 2
ALT: Instructional Context 
OTELA: N/A
OAT: Writing Conventions
OGT: Writing Conventions",numeric,,
162,162,1,Indicator 2,alpha,,
,,,,,,
,,,,,,
163,165,3,"Writing Content Standard Raw Score 3
ALT: Independence 
OTELA: N/A
OAT:Writing Processes
OGT:Writing Processes",numeric,,
166,166,1,Indicator 3,alpha,,
,,,,,,
,,,,,,
167,169,3,"Writing Content Standard raw score 4
ALT: Settings and Interactions
OTELA: N/A
OAT: N/A
OGT: N/A",numeric,,
170,170,1,Indicator 4,alpha,,
,,,,,,
,,,,,,
171,171,1,filler,,,
172,174,3,Writing Total Raw Score,alphanumeric,"With implied decimal, all tests other than OGT will end with 0",
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
,,,,,,
175,180,6,filler,,,
181,192,12,filler,,,
193,194,2,Reading Performance Level,numeric or blank,01=Level 1,
,,,,,02=Level 2,
,,,,,03=Level 3,
,,,,,04=Level 4,
,,,,,05=Level 5,
,,,,,99=invalidated,
,,,,,blank=DNA/TOG/DNS/Missing,
195,197,3,Reading Scale Score,alphanumeric or blank,Range 000-999,
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
198,200,3,"Reading Content Standard Raw Score 1
ALT: Performance 
OTELA: N/A
OAT: Acquisition of Vocabulary
OGT: Acquisition of Vocabulary",numeric,,
201,201,1,Indicator 1,alpha,,
,,,,,,
,,,,,,
202,204,3,"Reading Content Standard Raw Score 2
ALT: Instructional Context 
OTELA: N/A
OAT: Reading Process: Concepts of Print, Comprehension Strategies and Self-Monitoring Strategies
OGT: Reading Process: Concepts of Print, Comprehension Strategies and Self-Monitoring Strategies",numeric,,
205,205,1,Indicator 2,alpha,,
,,,,,,
,,,,,,
206,208,3,"Reading Content Standard Raw Score 3
ALT: Independence 
OTELA: N/A
OAT: Reading Applications: Informational, Technical and Persuasive Text
OGT: Reading Applications: Informational, Technical and Persuasive Text",numeric,N/A,
209,209,1,Indicator 3,alpha,,
,,,,,,
,,,,,,
210,212,3,"Reading Content Standard Raw Score 4
ALT: Settings and Interactions
OTELA: N/A
OAT: Reading Applications: Literary Text
OGT: Reading Applications: Literary Text",numeric,,
213,213,1,Indicator 4,alpha,,
,,,,,,
,,,,,,
214,216,3,"Reading Content Standard Raw Score 5 
ALT: N/A
OTELA: N/A
OAT: N/A
OGT:  N/A",numeric,,
217,217,1,Indicator 5,alpha,,
,,,,,,
,,,,,,
218,218,1,filler,,,
219,221,3,Reading Total Raw Score,alphanumeric,"Total raw score for Reading
99v9 - implied decimal",
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
,,,,,,
222,228,7,filler,,,
229,240,12,filler,,,
241,242,2,Listening Performance Level,numeric or blank,01=Level 1,
,,,,,02=Level 2,
,,,,,03=Level 3,
,,,,,04=Level 4,
,,,,,05=Level 5,
,,,,,99=invalidated,
,,,,,blank=DNA/TOG/DNS/Missing,
243,245,3,Listening Scale Score,alphanumeric or blank,Range 000-999,
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
246,248,3,"Math Content Standard Raw Score 1
ALT: Performance 
OTELA: N/A
OAT: Measurement
OGT: Measurement",numeric,,
249,249,1,Indicator 1,alpha,,
,,,,,,
,,,,,,
250,252,3,"Math Content Standard Raw Score 2
ALT: Instructional Context 
OTELA: N/A
OAT: Number, Number Sense and Operations
OGT: Number, Number Sense and Operations",numeric,,
253,253,1,Indicator 2,alpha,,
,,,,,,
,,,,,,
254,256,3,"Math Content Standard Raw Score 3
ALT: Independence
OTELA: N/A
OAT: Patterns, Functions, and Algebra
OGT: Patterns, Functions, and Algebra",numeric,,
257,257,1,Indicator 3,alpha,,
,,,,,,
,,,,,,
258,260,3,"Math Content Standard Raw Score 4
ALT: Settings and Interaction
OTELA: N/A
OAT: Data Analysis and Probability
OGT: Data Analysis and Probability",numeric,,
261,261,1,Indicator 4,alpha,,
,,,,,,
,,,,,,
262,264,3,"Math Content Standard Raw Score 5  
ALT: N/A
OTELA: N/A
OAT: Geometry and Spatial Sense
OGT: Geometry and Spatial Sense",,,
265,265,1,Indicator 5,alpha,,
,,,,,,
,,,,,,
266,266,1,filler,,,
267,269,3,Listening Total Raw Score,alphanumeric,"Total raw score for Listening 
99v9 - implied decimal",
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
,,,,,,
270,276,7,filler,,,
277,288,12,filler,,,
289,290,2,Speaking Performance,numeric or blank,01=Level 1,
,,,,,02=Level 2,
,,,,,03=Level 3,
,,,,,04=Level 4,
,,,,,05=Level 5,
,,,,,99=invalidated,
,,,,,blank=DNA/TOG/DNS/Missing,
291,293,3,Speaking Scale Score,alphanumeric or blank,Range 000-999,
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
294,296,3,"Social Studies Content Standard Raw Score 1
ALT: Performance 
OTELA: N/A
OAT: History
OGT: History",numeric,,
297,297,1,Indicator 1,alpha,,
,,,,,,
,,,,,,
298,300,3,"Social Studies Content Standard Raw Score 2
ALT: Instructional Context 
OTELA: N/A
OAT: Economics, Government and Citizenship Rights and Responsibilities
OGT: Economics, Government and Citizenship Rights and Responsibilities",numeric,,
301,301,1,Indicator 2,alpha,,
,,,,,,
,,,,,,
302,304,3,"Social Studies Content Standard 3
ALT: Independence 
OTELA: N/A
OAT: Social Studies Skills and Methods
OGT: Social Studies Skills and Methods",numeric,,
305,305,1,Indicator 3,alpha,,
,,,,,,
,,,,,,
306,308,3,"Social Studies Content Standard Raw Score 4
ALT: Settings and Interactions
OTELA: N/A
OAT: People in Societies and Geography
OGT: People in Societies and Geography",numeric,,
309,309,1,Indicator 4,alpha,,
,,,,,,
,,,,,,
310,312,3,"Social Studies Content Standard Raw Score 5
ALT: N/A
OTELA: N/A
OAT: N/A
OGT: N/A",numeric,,
313,313,1,Indicator 5,alpha,,
,,,,,,
,,,,,,
314,314,1,filler,,,
315,317,3,Speaking Total Raw Score,alphanumeric,"Total raw score for Social Studies
99v9 - implied decimal",
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
,,,,,,
318,324,7,filler,,,
325,336,12,filler,,,
337,338,2,Comprehension Performance Level,numeric or blank,01=Level 1,
,,,,,02=Level 2,
,,,,,03=Level 3,
,,,,,04=Level 4,
,,,,,05=Level 5,
,,,,,99=invalidated,
,,,,,blank=DNA/TOG/DNS/Missing,
339,341,3,Comprehension Scale Score,alphanumeric or blank,Range 000-999,
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
342,344,3,"Science Content Standard Raw score 1

ALT: Performance
OTELA: Production Performance Level
OAT: Physical Sciences
OGT: Physical Sciences",numeric,01=Level 1,"Added the production performance level here. The space has 3 digit, the performance level is two digits, so leave first digit blank (left ajusted.)"
345,345,1,Indicator 1,alpha,,
,,,,,,
,,,,,,
346,348,3,"Science Content Standard Raw Score 2

ALT: Instructional Context 
OTELA: Production Scaled Score
OAT: Life Sciences
OGT: Life Sciences",numeric,Range 000-999,Added production Scaled Score here.
349,349,1,Indicator 2,alpha,,
,,,,,,
,,,,,,
350,352,3,"Science Content Standard Raw Score 3

ALT: Independence
OTELA: N/A
OAT: Earth and Space Sciences
OGT: Earth and Space Sciences",numeric,,
353,353,1,Indicator 3,alpha,,
,,,,,,
,,,,,,
354,356,3,"Science Content Standard Raw Score 4

ALT: Settings and Interactions
OTELA: N/A
OAT: Science and Technology, Scientific Inquiry and Scientific Ways of Knowing (Scientific Process)
OGT: Science and Technology, Scientific Inquiry and Scientific Ways of Knowing (Scientific Process)",numeric,,
357,357,1,Indicator 4,alpha,,
,,,,,,
,,,,,,
358,360,3,"Science Content Standard Raw Score 5

ALT:  N/A
OTELA: N/A
OAT: N/A
OGT: N/A",,,
361,361,1,Indicator 5,alpha,,
,,,,,,
,,,,,,
362,362,1,filler,,,
363,365,3,Science Total Raw Score,alphanumeric,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
366,367,2,OTELA/ELDA Composite Performance Level,numeric,01=Level 1,
,,,,,02=Level 2,
,,,,,03=Level 3,
,,,,,04=Level 4,
,,,,,05=Level 5,
,,,,,99=invalidated,
,,,,,blank=DNA/TOG/DNS//Missing,
368,370,3,OTElA/ELDA Composite Scale Score,alphanumeric or blank,Range 000-999,
,,,,,DNA=Did Not Attempt,
,,,,,TOG=Tested Out of Grade,
,,,,,DNS=Do Not Score,
,,,,,INV=Invalidated,
371,373,3,filler,,,
374,382,9,SSID,alphanumeric,"State Student Identification Number, start with two alpha, then 7 numberic.",
383,383,1,"Writng Accommodation Indicator 
(accommodations for IEP and LEP, including special versions.)",alpha,Y=Yes,
,,,,,N=No,
384,384,1,"Reading Accommodation Indicator
(accommodations for IEP and LEP, including special versions.)",alpha,Y=Yes,
,,,,,N=No,
385,385,1,"Listening for OTELA/ELDA
(accommodations for IEP and LEP, including special versions.)",alpha,Y=Yes,
,,,,,N=No,
386,386,1,"Speaking for OTELA/ELDA
(accommodations for IEP and LEP, including special versions.)",alpha,Y=Yes,
,,,,,N=No,
387,387,1,"Science Accommodation Indicator
(accommodations for IEP and LEP, including special versions.)",alpha,,
,,,,,,
388,392,5,filler,,,
393,402,10,Writing Class Name,alphanumeric,Writing class name or course name,
403,407,5,Writing Session Number,alphanumeric,Writing class session number or course session number,
408,427,20,Writing Teacher Name,alpha,"Writing teacher name (Last Name, First)",
428,437,10,Readting Class Name,alphanumeric,Reading class name or course name,
438,442,5,Reading Session Number,alphanumeric,Reading class session number or course session number,
443,462,20,Reading Teacher Name,alpha,"Reading teacher name (Last Name, First)",
463,472,10,Math Class Name,alphanumeric,,
473,477,5,Math Session Number,alphanumeric,,
478,497,20,Math Teacher Name,alpha,,
498,507,10,Social Studies Class Name,alphanumeric,,
508,512,5,Social Studies Session Number,alphanumeric,,
513,532,20,Social Studies Teacher Name,alpha,,
533,542,10,Science Class Name,alphanumeric,,
543,547,5,Science Session Number,alphanumeric,,
548,567,20,Science Teacher Name,alpha,,
568,583,16,filler,,,
584,585,2,DAS,,Data Acquisition Site (Numeric of **),
586,591,6,Home District IRN,numeric,"Six-digit District IRN; numeric 0-9
Students in JVSD need their home district reported (OGT only)",
592,621,30,Home District Name,alphanumeric,"Alpha/numeric
Students in JVSD need their home district reported (OGT only)",
622,622,1,School Entity Type,alpha,P=Public,
,,,,,C=Community,
,,,,,D=Diocese,
,,,,,N=Non-Public,
,,,,,O=ODE Special,
,,,,,Y=Youth,
,,,,,J=JVS,
,,,,,F=Special Services Facilities,
,,,,,S=Special Needs,
,,,,,U=JVS-Community,
,,,,,H=Home School,
623,623,1,District Type (OGT specific),alpha,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
624,653,30,County,alpha,County Name,
654,654,1,Accelerated testing -Writing,alpha,,
,,,,,,
,,,,,,
655,655,1,Accelerated testing - Reading,alpha,,
,,,,,,
,,,,,,
656,656,1,Accelerated testing - Listening,alpha,,
,,,,,,
,,,,,,
657,657,1,Accelerated testing -Speaking,alpha,,
,,,,,,
,,,,,,
658,658,1,Accelerated testing - Science,alpha,,
,,,,,,
,,,,,,
659,659,1,DNA -Writing,alpha,Y=Yes,
,,,,,N=No,
660,660,1,DNA- Reading,alpha,Y=Yes,
,,,,,N=No,
661,661,1,DNA - Listening,alpha,Y=Yes,
,,,,,N=No,
662,662,1,DNA-Speaking,alpha,Y=Yes,
,,,,,N=No,
663,663,1,DNA - Science,alpha,,
,,,,,,
664,664,1,TOG -Writing,alpha,Y=Yes,
,,,,,N=No,
665,665,1,TOG- Reading,alpha,Y=Yes,
,,,,,N=No,
666,666,1,TOG - Listening,alpha,Y=Yes,
,,,,,N=No,
667,667,1,TOG-Speaking,alpha,Y=Yes,
,,,,,N=No,
668,668,1,TOG - Science,alpha,,
,,,,,,
669,669,1,DNS-Writing,alpha,Y=Yes,
,,,,,N=No,
670,670,1,DNS - Reading,alpha,Y=Yes,
,,,,,N=No,
671,671,1,DNS - Listening,alpha,Y=Yes,
,,,,,N=No,
672,672,1,DNS -Speaking,alpha,Y=Yes,
,,,,,N=No,
673,673,1,DNS- Science,alpha,,
,,,,,,
674,674,1,INV-Writing,alpha,Y=Yes,
,,,,,N=No,
675,675,1,INV - Reading,alpha,Y=Yes,
,,,,,N=No,
676,676,1,INV - Listening,alpha,Y=Yes,
,,,,,N=No,
677,677,1,INV -Speaking,alpha,Y=Yes,
,,,,,N=No,
678,678,1,INV - Science,alpha,,
,,,,,,
679,687,9,Teacher Identification Number-Writing,alpha/numeric,Districts may provide teacher credential ID numbers so that teacher level results can be tracked across test administrations.,
688,696,9,Teacher Identification Number-Reading,alpha/numeric,Districts may provide teacher credential ID numbers so that teacher level results can be tracked across test administrations.,
697,705,9,Teacher Identification Number-Math,alpha/numeric,,
706,714,9,Teacher Identification Number-Social Studies,alpha/numeric,,
715,723,9,Teacher Identification Number-Science,alpha/numeric,,
724,743,20,Course Code-Writing,alpha/numeric,Districts may populate this field with the writing course code.,
744,763,20,Course Code-Reading,alpha/numeric,Districts may populate this field with the writing course code.,
764,783,20,Course Code-Math,alpha/numeric,,
784,803,20,Course Code-Social Studies,alpha/numeric,,
804,823,20,Course Code-Science,alpha/numeric,,
