MISER AxesWeb: State Exports by NAICS Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From State: CONNECTICUT,,,Series: Origin of Movement,,Unit: Total dollar value,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry: TOTAL ALL INDUSTRIES,,,Sorted by: 2002 Q1 YTD,,Order: DESC,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination: All countries,,,User Name: ctded,,"Runtime: 10:21:51 AM, Mon Jun 17 2002 EDT",,,,,,,,,,,,,,,,,,,,,,,,,,
Rows selected: 209 (all rows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by MISER using data from US Census Bureau, Foreign Trade Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The State Exports by NAICS series does not contain imputations for missing states and industries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Code,Description,ANNUAL 1999,ANNUAL 2000,ANNUAL 2001,Q1 2001 YTD,Q1 2002 YTD,%1999-00,%2000- 01,%2001- 02,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002
10.0,4010.0,SWEDEN,138544286.0,131016540.0,134253835.0,39125477.0,48802455.0,-5.43,2.47,24.73,34265039.0,26808281.0,24406169.0,36563904.0,23826321.0,24537105.0,22531887.0,23979818.0,31088587.0,45396063.0,32268502.0,29791134.0,35927855.0,36846328.0,34794985.0,23447372.0,39125477.0,28867841.0,30004933.0,36255584.0,48802455.0
11.0,4210.0,NETHERLANDS,174481520.0,139898450.0,143109849.0,51327958.0,47674200.0,-19.82,2.3,-7.12,27738151.0,40915286.0,39618763.0,60609871.0,47453480.0,37617698.0,39666856.0,36938951.0,45739271.0,41600378.0,42968623.0,44173248.0,36084219.0,40449698.0,31860252.0,31504281.0,51327958.0,25298661.0,29413106.0,37070124.0,47674200.0
12.0,4759.0,ITALY,136449269.0,144267950.0,165417890.0,46271315.0,45912997.0,5.73,14.66,-0.77,33135501.0,27526941.0,25236170.0,19073156.0,22185075.0,24398714.0,21123258.0,19072882.0,22511222.0,45227202.0,29913234.0,38797611.0,33005497.0,44828778.0,38028534.0,28405141.0,46271315.0,42761995.0,42319328.0,34065252.0,45912997.0
13.0,4231.0,BELGIUM,141389042.0,96574264.0,159179115.0,20173688.0,44618308.0,-31.7,64.83,121.17,21315298.0,25867159.0,23859061.0,48071413.0,35994156.0,36209396.0,52489107.0,42795001.0,34281583.0,32789026.0,44216547.0,30101886.0,28009211.0,20639687.0,18802577.0,29122789.0,20173688.0,37874474.0,43689009.0,57441944.0,44618308.0
14.0,4419.0,SWITZERLAND,138569220.0,191156774.0,180589948.0,60573951.0,41768992.0,37.95,-5.53,-31.04,49041917.0,80984730.0,19276870.0,40779382.0,37125461.0,27662954.0,46581392.0,53214410.0,43753036.0,29717494.0,34371719.0,30726971.0,59429226.0,25194915.0,41320667.0,65211966.0,60573951.0,42709467.0,44345353.0,32961177.0,41768992.0
15.0,5830.0,CHINA (TAIWAN),111643991.0,374700085.0,233627509.0,95992677.0,39334027.0,235.62,-37.65,-59.02,29229348.0,32734614.0,31695308.0,32293486.0,21189973.0,94488849.0,31992941.0,71384233.0,23401352.0,32979719.0,27953207.0,27309713.0,111292304.0,103554255.0,35460091.0,124393435.0,95992677.0,35916417.0,48301876.0,53416539.0,39334027.0
16.0,6141.0,NEW ZEALAND,35451993.0,30604790.0,146150325.0,9882635.0,37656214.0,-13.67,377.54,281.03,7456142.0,8700373.0,9079421.0,10643014.0,8841552.0,8903732.0,8602507.0,7547063.0,6800335.0,6590149.0,9072323.0,12989186.0,7010927.0,7352844.0,8648791.0,7592228.0,9882635.0,64976676.0,7569856.0,63721158.0,37656214.0
17.0,4190.0,IRELAND,115119916.0,154352825.0,109088056.0,35979405.0,28004570.0,34.08,-29.33,-22.16,20422962.0,24291243.0,25220571.0,24672971.0,52312156.0,32195318.0,27161743.0,33511208.0,28989331.0,27234408.0,24637976.0,34258201.0,35759916.0,46477294.0,36588651.0,35526964.0,35979405.0,31819762.0,20118997.0,21169892.0,28004570.0
18.0,2470.0,DOMINICAN REPUBLIC,126928612.0,86110241.0,93749894.0,27055816.0,23695632.0,-32.16,8.87,-12.42,12844201.0,17279956.0,32679409.0,40817636.0,16001831.0,19314395.0,32019048.0,41089361.0,27644979.0,11878252.0,26276399.0,61128982.0,21988528.0,19455074.0,19644770.0,25021869.0,27055816.0,13195360.0,13220869.0,40277849.0,23695632.0
19.0,3510.0,BRAZIL,59064516.0,96025814.0,105303496.0,31869671.0,20181249.0,62.58,9.66,-36.68,14774093.0,16436249.0,23268960.0,18733620.0,14748313.0,17268005.0,20001793.0,17196115.0,10390976.0,12562014.0,15510677.0,20600849.0,22511274.0,19915884.0,22011493.0,31587163.0,31869671.0,27322115.0,31697919.0,14413791.0,20181249.0
20.0,5570.0,MALAYSIA,50057274.0,99176070.0,94540423.0,21191033.0,18943943.0,98.13,-4.67,-10.6,18394728.0,19588614.0,13986724.0,33312413.0,18848433.0,30472250.0,19066579.0,21174735.0,10994420.0,14445841.0,12730317.0,11886696.0,18235768.0,12829651.0,20380999.0,47729652.0,21191033.0,22565547.0,32914039.0,17869804.0,18943943.0
21.0,4700.0,SPAIN,107388104.0,60769454.0,81801583.0,18468806.0,17126685.0,-43.41,34.61,-7.27,73103899.0,17290829.0,14026776.0,16331663.0,18949908.0,19302350.0,18964157.0,24104358.0,28757405.0,32164888.0,18323072.0,28142739.0,7660353.0,19625575.0,19688486.0,13795040.0,18468806.0,22128944.0,21825074.0,19378759.0,17126685.0
22.0,5700.0,CHINA (MAINLAND),65371148.0,77183656.0,119468305.0,17670323.0,16755696.0,18.07,54.78,-5.18,10179544.0,14879236.0,14695762.0,21694035.0,10086217.0,11329353.0,12998961.0,13464631.0,14861723.0,16562264.0,20357066.0,13590095.0,13922449.0,21442844.0,23181819.0,18636544.0,17670323.0,29695822.0,28391181.0,43710979.0,16755696.0
23.0,5820.0,HONG KONG,87649660.0,99969880.0,79610437.0,19532176.0,14448132.0,14.06,-20.37,-26.03,34901450.0,23508665.0,30800218.0,37750894.0,17276851.0,19495569.0,17930982.0,27640300.0,16049304.0,20084927.0,21844492.0,29670937.0,20516545.0,24992605.0,26236395.0,28224335.0,19532176.0,22403208.0,18989591.0,18685462.0,14448132.0
24.0,5081.0,ISRAEL,76687988.0,135219720.0,71550280.0,32070543.0,10715627.0,76.32,-47.09,-66.59,11112587.0,10628016.0,8860333.0,9915787.0,8860275.0,9676126.0,9557930.0,11010158.0,11992812.0,10433239.0,9475077.0,44786860.0,38056685.0,39522017.0,30738442.0,26902576.0,32070543.0,16448738.0,8992787.0,14038212.0,10715627.0
25.0,4890.0,TURKEY,183888544.0,292747948.0,75182846.0,41829853.0,7746594.0,59.2,-74.32,-81.48,3427343.0,2762766.0,2316133.0,5299250.0,3417548.0,3558680.0,4023464.0,3855666.0,2815014.0,103564155.0,32407880.0,45101495.0,4327226.0,54865465.0,75570925.0,157984332.0,41829853.0,11959245.0,7155881.0,14237867.0,7746594.0
26.0,5330.0,INDIA,29867747.0,28973952.0,41347410.0,8257312.0,6458972.0,-2.99,42.71,-21.78,4695256.0,8406341.0,4458583.0,5063656.0,3994613.0,8627965.0,5431179.0,3961556.0,4508848.0,4985128.0,7820120.0,12553651.0,11851354.0,5321452.0,5230475.0,6570671.0,8257312.0,12051831.0,15042791.0,5995476.0,6458972.0
27.0,5170.0,SAUDI ARABIA,10999678.0,16236896.0,30499451.0,4664819.0,6291187.0,47.61,87.84,34.86,1365900.0,2812127.0,3581814.0,2549780.0,3460034.0,4264264.0,4583984.0,3429177.0,3345400.0,2298889.0,2390686.0,2964703.0,2423293.0,3933218.0,5676487.0,4203898.0,4664819.0,10893305.0,8026130.0,6915197.0,6291187.0
28.0,4039.0,NORWAY,15861206.0,17721696.0,20171077.0,5638135.0,5700205.0,11.73,13.82,1.1,4021636.0,5563027.0,5631354.0,3889804.0,3580665.0,4257502.0,4660924.0,4161344.0,4772853.0,3603204.0,4014837.0,3470312.0,4421829.0,5495385.0,4017708.0,3786774.0,5638135.0,4686974.0,4550383.0,5295585.0,5700205.0
29.0,3370.0,CHILE,23445076.0,25566567.0,25543292.0,5449192.0,5491385.0,9.05,-0.09,0.77,5089320.0,6385434.0,3699152.0,4795354.0,3403432.0,5819423.0,15027648.0,6141467.0,7881445.0,4141694.0,6015872.0,5406065.0,3642937.0,4888456.0,4645367.0,12389807.0,5449192.0,5980124.0,5586679.0,8527297.0,5491385.0
30.0,3010.0,COLOMBIA,10993010.0,18772994.0,82913067.0,63456551.0,4736661.0,70.77,341.66,-92.54,4364239.0,10441211.0,5460779.0,4788735.0,6470976.0,4377154.0,4962727.0,2410160.0,3115256.0,2727520.0,2906691.0,2243543.0,4810065.0,4249840.0,4721678.0,4991411.0,63456551.0,3432608.0,11163679.0,4860229.0,4736661.0
31.0,7910.0,REPUBLIC OF SOUTH AFRICA,28974637.0,15891674.0,14131759.0,3817129.0,4641012.0,-45.15,-11.07,21.58,15370891.0,16808839.0,14430108.0,11299583.0,10917720.0,16485380.0,20213063.0,15586241.0,9101675.0,7632934.0,7410845.0,4829183.0,4378620.0,3886637.0,4072600.0,3553817.0,3817129.0,3672210.0,3623782.0,3018638.0,4641012.0
32.0,5490.0,THAILAND,23379096.0,22681864.0,29567605.0,5258405.0,4325296.0,-2.98,30.36,-17.75,8154445.0,11420695.0,8667595.0,6041531.0,4767485.0,5879819.0,4463652.0,13674629.0,11407533.0,3669313.0,3763926.0,4538324.0,9303861.0,4435182.0,4114396.0,4828425.0,5258405.0,5949506.0,7998255.0,10361439.0,4325296.0
33.0,4330.0,AUSTRIA,26227826.0,19755042.0,18190256.0,6320430.0,3719179.0,-24.68,-7.92,-41.16,8464652.0,5491111.0,5175631.0,5840428.0,4640399.0,6014224.0,6171862.0,6237153.0,5691705.0,6800032.0,7399526.0,6336563.0,5594233.0,5933958.0,4205582.0,4021269.0,6320430.0,4619478.0,3555959.0,3694389.0,3719179.0
34.0,4099.0,DENMARK,19792299.0,10488712.0,17642564.0,7615804.0,2944106.0,-47.01,68.21,-61.34,2810466.0,10830590.0,3792083.0,2232711.0,3982700.0,2661165.0,1963509.0,3390028.0,1878259.0,4536882.0,10749967.0,2627191.0,2735844.0,3611021.0,1886212.0,2255635.0,7615804.0,3317569.0,2905292.0,3803899.0,2944106.0
35.0,5200.0,UNITED ARAB EMIRATES,20234306.0,27125212.0,12653433.0,2568019.0,2743957.0,34.06,-53.35,6.85,2828043.0,7793058.0,3188059.0,3263162.0,1629356.0,11884336.0,5709987.0,3026067.0,1820691.0,12226924.0,3054314.0,3132377.0,2869920.0,5168692.0,11207101.0,7879499.0,2568019.0,2149176.0,5183717.0,2752521.0,2743957.0
36.0,4840.0,GREECE,15140584.0,20137562.0,12684669.0,3910727.0,2695355.0,33.0,-37.01,-31.08,2212624.0,2922970.0,17000895.0,5523764.0,2579098.0,10292407.0,56406402.0,5260919.0,6426334.0,3914334.0,2666610.0,2133306.0,10584064.0,2986295.0,3746653.0,2820550.0,3910727.0,2660981.0,3711962.0,2400999.0,2695355.0
37.0,7290.0,EGYPT,7598233.0,12861962.0,12030459.0,5299570.0,2499895.0,69.28,-6.46,-52.83,950657.0,1839385.0,14487246.0,2163820.0,2736049.0,6170788.0,67570764.0,3274525.0,1491996.0,3083452.0,1203235.0,1819550.0,1327869.0,1640005.0,7792963.0,2101125.0,5299570.0,1285564.0,3009473.0,2435852.0,2499895.0
38.0,3570.0,ARGENTINA,31229471.0,23596127.0,24677341.0,7229557.0,2382894.0,-24.44,4.58,-67.04,7003991.0,7352464.0,9222321.0,8262767.0,7533714.0,14702787.0,15400453.0,9117409.0,9213886.0,7158009.0,6256059.0,8601517.0,8541846.0,3720051.0,5266708.0,6067522.0,7229557.0,4623146.0,6045754.0,6778884.0,2382894.0
39.0,3070.0,VENEZUELA,14036699.0,13829911.0,13703886.0,3727551.0,2329718.0,-1.47,-0.91,-37.5,4633576.0,5953151.0,3386582.0,5110754.0,11000611.0,4883170.0,4857645.0,2415813.0,2898074.0,2859214.0,6417859.0,1861552.0,2912572.0,3828594.0,3400731.0,3688014.0,3727551.0,2715494.0,4256104.0,3004737.0,2329718.0
40.0,4351.0,CZECH REPUBLIC,3461733.0,12799910.0,18781037.0,6846759.0,2106829.0,269.75,46.73,-69.23,1355707.0,1370712.0,971349.0,448164.0,828903.0,968992.0,2614391.0,1583566.0,1592485.0,739940.0,510247.0,619061.0,340464.0,1768083.0,5336239.0,5355124.0,6846759.0,3763096.0,2398452.0,5772730.0,2106829.0
41.0,7210.0,ALGERIA,502332.0,2561342.0,6567727.0,220919.0,1979787.0,409.89,156.42,796.16,20269.0,169791.0,7792.0,9870.0,304800.0,12400.0,0.0,0.0,471134.0,0.0,31198.0,0.0,5988.0,19930.0,1516000.0,1019424.0,220919.0,0.0,3626341.0,2720467.0,1979787.0
42.0,5650.0,PHILIPPINES,15292483.0,12554394.0,12609298.0,2447295.0,1847498.0,-17.9,0.44,-24.51,8069245.0,14694250.0,5395843.0,6517604.0,4336345.0,4881739.0,4704650.0,3927183.0,4725984.0,3501652.0,3830686.0,3234161.0,2480036.0,1886902.0,4342370.0,3845086.0,2447295.0,4248681.0,2317480.0,3595842.0,1847498.0
43.0,4050.0,FINLAND,7268516.0,11919933.0,11218645.0,4843037.0,1728955.0,63.99,-5.88,-64.3,1981285.0,1772050.0,1728250.0,1611142.0,2518903.0,1995900.0,1532211.0,1557949.0,1799376.0,2315891.0,1946464.0,1206785.0,1940196.0,2437361.0,4033267.0,3509109.0,4843037.0,1457375.0,2602342.0,2315891.0,1728955.0
44.0,2230.0,COSTA RICA,17827409.0,19021875.0,11039873.0,4247548.0,1525602.0,6.7,-41.96,-64.08,17895014.0,31297215.0,29036388.0,32361498.0,28445819.0,14521795.0,16861961.0,3715995.0,3821998.0,5910282.0,4061092.0,4034037.0,2759120.0,4921692.0,6538407.0,4802656.0,4247548.0,2179269.0,2818487.0,1794569.0,1525602.0
45.0,5020.0,SYRIAN ARAB REPUBLIC,1899589.0,1425712.0,806377.0,221930.0,1501597.0,-24.95,-43.44,576.61,3319.0,146660.0,258554.0,83677.0,96164.0,126823.0,83056.0,305651.0,1081418.0,255927.0,304477.0,257767.0,1151026.0,38167.0,99829.0,136690.0,221930.0,93037.0,171072.0,320338.0,1501597.0
46.0,4370.0,HUNGARY,6418709.0,5741285.0,6118185.0,1526555.0,1471978.0,-10.55,6.56,-3.58,983603.0,843116.0,918023.0,709656.0,1595152.0,1249930.0,1564342.0,2315106.0,1673243.0,970594.0,1766521.0,2008351.0,1493113.0,1366942.0,1628148.0,1253082.0,1526555.0,1354576.0,980546.0,2256508.0,1471978.0
47.0,2050.0,GUATEMALA,5025428.0,4047553.0,5765307.0,957325.0,1403755.0,-19.46,42.44,46.63,1551178.0,1289426.0,1458822.0,1463910.0,1033088.0,1153937.0,983953.0,938078.0,937666.0,1160070.0,1489739.0,1437953.0,958156.0,1507115.0,650504.0,931778.0,957325.0,2754018.0,999249.0,1054715.0,1403755.0
48.0,2410.0,JAMAICA,2285877.0,2502539.0,5853019.0,815842.0,1252489.0,9.48,133.88,53.52,778801.0,906034.0,1513036.0,521050.0,494177.0,625186.0,528501.0,831757.0,559663.0,813614.0,434442.0,478158.0,1077889.0,417835.0,290666.0,716149.0,815842.0,797503.0,2623278.0,1616396.0,1252489.0
49.0,5600.0,INDONESIA,13392045.0,5316791.0,6364728.0,542447.0,1217148.0,-60.3,19.71,124.38,5607032.0,8180529.0,13128699.0,3610399.0,1271881.0,2534357.0,1039632.0,1323486.0,8192823.0,1485114.0,1306120.0,2407988.0,653105.0,799307.0,2328906.0,1535473.0,542447.0,1385863.0,2048355.0,2388063.0,1217148.0
50.0,4710.0,PORTUGAL,11023607.0,13071494.0,7882647.0,3154758.0,1155659.0,18.58,-39.7,-63.37,1690372.0,2410843.0,1787097.0,7319990.0,2349029.0,3898836.0,2682265.0,2277570.0,3500248.0,2347618.0,2035590.0,3140151.0,2580627.0,3707981.0,3490745.0,3292141.0,3154758.0,1698854.0,1489846.0,1539189.0,1155659.0
51.0,3330.0,PERU,5559584.0,5156399.0,4980740.0,1108264.0,1120991.0,-7.25,-3.41,1.15,1155476.0,2112604.0,1584806.0,3168310.0,4295458.0,2857858.0,1835975.0,1442761.0,1133951.0,1520287.0,875983.0,2029363.0,1531413.0,1729314.0,930395.0,965277.0,1108264.0,1153696.0,1238537.0,1480243.0,1120991.0
52.0,5230.0,OMAN,645647.0,748551.0,1685834.0,48496.0,1096505.0,15.94,125.21,2161.02,117397.0,114975.0,48000.0,140059.0,201318.0,225717.0,65677.0,183932.0,225905.0,52333.0,186556.0,180853.0,237054.0,161945.0,132919.0,216633.0,48496.0,779605.0,455627.0,402106.0,1096505.0
53.0,2150.0,HONDURAS,2499970.0,5630096.0,6666959.0,2530143.0,988327.0,125.21,18.42,-60.94,11233333.0,18608591.0,12030541.0,15934117.0,18062752.0,12043373.0,10820902.0,1149596.0,741378.0,462168.0,694903.0,601521.0,2074354.0,1400233.0,1287225.0,868284.0,2530143.0,765324.0,518049.0,2853443.0,988327.0
54.0,2360.0,BAHAMAS,2366398.0,2257863.0,4024682.0,1283692.0,895697.0,-4.59,78.25,-30.22,733604.0,767996.0,416746.0,658566.0,958247.0,829905.0,498968.0,432327.0,448923.0,819068.0,527584.0,570823.0,367732.0,441284.0,650390.0,798457.0,1283692.0,754868.0,907625.0,1078497.0,895697.0
55.0,2740.0,TRINIDAD AND TOBAGO,3692628.0,3816862.0,3380691.0,858079.0,882164.0,3.36,-11.43,2.81,1566341.0,832341.0,1515685.0,1348933.0,588256.0,1060394.0,1128340.0,920134.0,647935.0,533995.0,1218154.0,1292544.0,1006459.0,530145.0,923717.0,1356541.0,858079.0,746156.0,639956.0,1136500.0,882164.0
56.0,3310.0,ECUADOR,2125065.0,3489330.0,3982299.0,917646.0,860678.0,64.2,14.13,-6.21,6895563.0,1134357.0,1737594.0,2471363.0,1377403.0,2483178.0,2040179.0,2848379.0,584243.0,533121.0,715552.0,292149.0,697706.0,634495.0,624854.0,1532275.0,917646.0,969952.0,1129535.0,965166.0,860678.0
57.0,2771.0,NETHERLANDS ANTILLES,907313.0,1067613.0,829762.0,226998.0,842786.0,17.67,-22.28,271.27,323050.0,97721.0,107046.0,417366.0,197558.0,157771.0,159365.0,185948.0,192448.0,274840.0,148397.0,291628.0,334873.0,305876.0,162194.0,264670.0,226998.0,231587.0,187075.0,184102.0,842786.0
58.0,5660.0,MACAO,1476614.0,2707009.0,4093912.0,1092451.0,825759.0,83.33,51.23,-24.41,5450.0,12550.0,140890.0,1038083.0,664619.0,670880.0,693748.0,947417.0,288938.0,333264.0,296411.0,558001.0,357669.0,540268.0,912913.0,896159.0,1092451.0,890895.0,804256.0,1306310.0,825759.0
59.0,5130.0,KUWAIT,2230510.0,11513449.0,4958188.0,887162.0,741892.0,416.18,-56.94,-16.37,1175549.0,2127830.0,804483.0,861703.0,1004296.0,600245.0,664533.0,1550672.0,454062.0,477968.0,712529.0,585951.0,473383.0,751866.0,9035896.0,1252304.0,887162.0,1563299.0,1545959.0,961768.0,741892.0
60.0,2320.0,BERMUDA,3053345.0,2570779.0,3494355.0,937884.0,708386.0,-15.8,35.93,-24.47,587482.0,636538.0,469534.0,542399.0,644462.0,499647.0,508638.0,704789.0,571974.0,701745.0,881470.0,898156.0,578885.0,690090.0,749760.0,552044.0,937884.0,1100066.0,800912.0,655493.0,708386.0
61.0,2250.0,PANAMA,4167053.0,3353387.0,4189303.0,1238898.0,682154.0,-19.53,24.93,-44.94,578617.0,706501.0,729972.0,1672016.0,1101292.0,475759.0,668305.0,421258.0,1003373.0,1315563.0,764991.0,1083126.0,698468.0,585730.0,1150052.0,919137.0,1238898.0,906900.0,748679.0,1294826.0,682154.0
62.0,3550.0,URUGUAY,2523649.0,2655367.0,2452748.0,683647.0,618652.0,5.22,-7.63,-9.51,447125.0,699170.0,446005.0,753301.0,692985.0,1142541.0,482347.0,1130902.0,1015426.0,444088.0,486440.0,577695.0,250671.0,713479.0,275246.0,1415971.0,683647.0,559011.0,564701.0,645389.0,618652.0
63.0,2110.0,EL SALVADOR,5120348.0,3787707.0,3738264.0,1412222.0,593878.0,-26.03,-1.31,-57.95,3278797.0,3680723.0,2923605.0,2115733.0,1911422.0,1744557.0,610749.0,1203555.0,1084429.0,2211821.0,1129731.0,694367.0,1116740.0,721354.0,1198716.0,750897.0,1412222.0,615884.0,892361.0,817797.0,593878.0
64.0,4550.0,POLAND,3660625.0,3420091.0,3926263.0,1541616.0,587623.0,-6.57,14.8,-61.88,4264321.0,1998392.0,3598827.0,3801165.0,4209581.0,4181482.0,1585720.0,1913023.0,1295242.0,672588.0,716695.0,976100.0,912945.0,769914.0,991432.0,745800.0,1541616.0,810381.0,859874.0,714392.0,587623.0
65.0,4792.0,SLOVENIA,3155711.0,3408652.0,2803228.0,402131.0,583125.0,8.02,-17.76,45.01,445423.0,850899.0,483307.0,355519.0,445488.0,913158.0,396299.0,762002.0,831127.0,938975.0,684411.0,701198.0,849396.0,822128.0,815505.0,921623.0,402131.0,638079.0,1095767.0,667251.0,583125.0
66.0,7620.0,ANGOLA,160611.0,158488.0,477541.0,4859.0,532050.0,-1.32,201.31,10849.78,16298.0,15121.0,117480.0,74970.0,68365.0,31797.0,52162.0,84281.0,0.0,5907.0,154704.0,0.0,13480.0,118741.0,26267.0,0.0,4859.0,0.0,462448.0,10234.0,532050.0
67.0,7140.0,MOROCCO,16699685.0,4965805.0,4337642.0,2140506.0,523487.0,-70.26,-12.65,-75.54,317415.0,517707.0,281115.0,1528482.0,2329188.0,480808.0,1491730.0,253666.0,2350574.0,12291827.0,657567.0,1399717.0,2260392.0,787399.0,570990.0,1347024.0,2140506.0,1088146.0,784711.0,324279.0,523487.0
68.0,2190.0,NICARAGUA,1291667.0,1043711.0,1247470.0,98312.0,493369.0,-19.2,19.52,401.84,460133.0,111677.0,152272.0,257188.0,265029.0,327696.0,406872.0,347895.0,244721.0,441178.0,206661.0,399107.0,265356.0,230423.0,275752.0,272180.0,98312.0,412678.0,133168.0,603312.0,493369.0
