Species,Data Point,Source,Location,Description
Chinook,359.0,Katherine Lynch (Seattle),Thornton Creek,Adult spawner 10/29/1999
Chinook,360.0,Katherine Lynch (Seattle),Thornton Creek Tributary,5 inch parr.  Electrofishing.  4/8/1999
Chinook,361.0,Katherine Lynch (Seattle),Pipers Creek,1 1/2 - 2 inch juveniles up to confluence with Finema Creek. Electrofishing. 6/30/1999
Chinook,362.0,Katherine Lynch (Seattle); Bill Mavros (KC),Thornton Creek,Adult hatchery(DNA analysis) spawner 11/18/1999
Chinook,363.0,Kit Paulsen (City of Bellevue)Pers. Obs.,Valley Creek,Adult to culvert.  Spot check
Chinook,364.0,Kit Paulsen (City of Bellevue)Pers. Obs.,Kelsey Creek,Adult observed.  1999
Chinook,365.0,Kit Paulsen (City of Bellevue)Pers. Obs.,Goff Creek,Adult observed.  1998
Chinook,366.0,Kit Paulsen (City of Bellevue)Pers. Obs.,Richards Creek,Known adult. 1997
Chinook,367.0,Kit Paulsen (City of Bellevue),Coal Creek,Known adult. 1997
Chinook,368.0,Bill Priest (KC),Peterson Creek,Adult 200 ft. from mouth. 11/1999
Chinook,370.0,WDFW; Kollin Higgins (KC),Cedar River,Chinook to RM 21.8 (pipeline crossing)
Chinook,371.0,Volunteer Salmon Watcher Program (Stafford Miller),Cottage Lake,Salmon Watcher sighting in lake 1998
Chinook,372.0,Volunteer Salmon Watcher Program        (Brad Wakeman),Pine Lake Creek,Chinook adult in lower 0.02 miles.  1997
Chinook,373.0,Volunteer Salmon Watcher Program        (Brad Wakeman),Laughing Jacobs Creek,Chinook in lower 0.1 miles of creek.  1995 Kokanee Status Report
Chinook,373.0,"Bill Hoag, property owner, cited by Elissa Ostergaard, KC)",Laughing Jacobs Creek,Chinook adults and redds RM 0.1 - 0.2.  1998 & 1999
Chinook,373.0,Volunteer Salmon Watcher Program        (Brad Wakeman),Laughing Jacobs Creek,4 chinook carcasses 11/7/98
Chinook,374.0,Volunteer Salmon Watcher Program (Carolyn Rowland),Evans Creek,Sighting at RM 1. 1998
Chinook,387.0,WDFW Spawning Ground Survey Database,McAleer Creek,12/2/77 survey
Chinook,388.0,WDFW Spawning Ground Survey Database,Swamp Creek,10/81 and 11/84 surveys
Chinook,390.0,WDFW Spawning Ground Survey Database,North Creek,10/76 and 10/81 surveys
Chinook,391.0,WDFW Spawning Ground Survey Database,Unnamed tributary to North Creek,10/81 survey
Chinook,392.0,WDFW Spawning Ground Survey Database,Evans Creek,11/23/76 and 10/81 survey
Chinook,393.0,WDFW Spawning Ground Survey Database,North Fork Issaquah Creek,10/76 and 11/77 surveys
Chinook,394.0,WDFW Spawning Ground Survey Database,Little Bear Creek,10/78 survey
Chinook,395.0,WDFW Spawning Ground Survey Database,North Fork Issaquah Creek,Multiple surveys in 1980s and 1990s
Chinook,396.0,WDFW Spawning Ground Survey Database; Gino Lucchetti (KC),Rock Creek (Cedar River),Historically adult spawners seen up to RM 1.3 with low number of adults seen:  12/1/80; 12/13/82; 12/22/82; 11/9/83; 11/18/85.  Flows now presumed too low for adult use because of water withdrawals by the City of Kent.  Presumed juvenile use from mouth to 248th.
Chinook,398.0,Steve Foley (WDFW),Cottage Creek (Bear Creek),Chinook observed to first road downstream of Cottage Lake 1999
Chinook,399.0,Ron Kessack (City of Bellevue); Tina Miller  (KC),Fifteen Mile Creek (Issaquah Creek),Chinook and carcass seen; Issaquah Creek Basin Plan
Chinook,407.0,Gino Lucchetti (KC),"Downs Creek (locally referred to as Taylor Creek, tributary to Cedar River)","Mouth to SR 18 used by spawners.  Rearing by juveniles in lower reaches.  Steep gradient above SR 18 probably precludes access for juvenile use.  Based on 1998, 1999 KC Surveys."
Chinook,408.0,"Caroline Call, property owner                       (Cited by Ray Heller, KC)",Struve Creek (Bear Creek),Chinook spawner observations. 1999 (second hand observation).
Chinook,409.0,WDFW Spawning Ground Survey Database,Juanita Creek,"11/77, 10/81, and 11/88 surveys"
Chinook,410.0,"Andy Haas, Snohomish County","Scriber Lake Creek, tributary to Swamp Creek","Chinook observed up to RM 2.0.  City of Lynnwood Comprehensive Flood Hazard and Drainage Management Plan, 6/98 and Snohomish County Public Works Scriber Creek Watershed Management Plan, 1989."
,,,,
Abbreviations:,,,,
KC - King County,,,,
NMFS - National Marine Fisheries Service,,,,
Pers. Obs. - Personal Observation,,,,
RM - River Mile,,,,
WDFW - Washington Department of Fish nd Wildlife,,,,
,,,,
Data Bases & Reports Used:,,,,
"City of Lynnwood Comprehensive Flood Hazard and Drainage Management Plan, 6/98",,,,
Kokanee Status Report 1995 - KC Water and Land Resources Division,,,,
"Snohomish County Public Works Scriber Creek Watershed Management Plan, 1989",,,,
StreamNet - WDFW,,,,
Volunteer Salmon Watcher Program - KC Water and Land Resources Division,,,,
WDFW Spawning Ground Survey - WDFW,,,,
