,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
E-rating,Call Credit for approval,E-rating,Call Credit for approval (cont.),E-rating,NO TRADES,,
9,"Constellation Energy Source, Inc.  fka  B N",11,R. Byron Roach,12,Polsky Energy Corporation,,
8,Cook Inlet Energy Supply,11,Rainbow Gas Company,12,PSEG Energy Technologies Inc.,,
8,"Cornerstone Propane, L.P.",8,Redan Futures Ltd.,10,Queen Sand Resources Inc.,,
11,"Cox & Perkins Exploration, Inc.",11,"Richardson Products II, Ltd.",10,Ranck Oil Inc.,,
10,Cross Oil Refining & Marketing,11,"Rio Vista Energy, Ltd.",11,Samson Investment Company,,
8,"Cross Timbers Energy Services, inc.",9,"Riverside Products & Services, LLC",11,Savannah Foods Industrial,,
8,Cross Timbers Oil Company,11,RMS Monte Christo LLC,11,"Savannah Foods & Industries, Inc.",,
10,"Crosstex Energy Services, Ltd.",10,San Jacinto Industrial Gas Company,10,Shoreham Energy Services Company (Purchases Only),,
9,Crown Central Petroleum,10,"SDS Petroleum Products, Inc.- WMBE",11,Southern Industrial Gas Corporation,,
10,"Cumberland Valley Resources, LLC",9,"Sheridan Energy, Inc.",11,Southern Mineral Corp.,,
11,Dakota Gasification Company,10,Shoreham Oil & Gas Company Inc.,12,Sunoma Energy Corp.,,
8,"DDD Energy, Inc",10,"SIGCORP Energy Services, Inc./LLC",12,"Texas*Ohio Energy, Inc.   fka   Texas-Ohio W",,
10,Direct Energy Marketing Limited,10,"Small Ventures U.S.A., L.L.C.",12,Triad Energy Resources Corporation,,
7,Eagle Gas Marketing Company,10,Smurfit-Stone Container Corporation,12,Tri-Union Development Corporation (Bankruptcy),,
10,Elk Point Resources Inc.,11,South Hampton Refining Company,12,Wainoco Oil Corporation,,
11,Empire Natural Gas Corporation,11,"Southstar Energy Services, LLC",11,Wasatch Energy Corporation,,
11,Empire Pipeline Corp.,11,"Southwest Royalties, Inc.",11,"West Texas Gas, Inc.",,
11,"Encina Gas Marketing, LLC",11,Sport Pipeline Corp.,9,Wiser Oil Co.,,
11,Energy Dynamics Management Inc.,11,Spring Resources,11,"WTG Gas Marketing, Inc.",,
9,"Energy West, Inc.",9,Stalwart Energy Company,,,,
9,Enervest Energy LP,11,Star Natural Gas Company,,,,
11,Engineered Carbons,9,Stewart Petroleum Corporation,,,,
8,Equity Oil Company,10,Stone Energy Corporation,,,,
11,"Enserco Energy, Inc.",11,Stratum Group LP,,,,
11,Esenjay Exploration Inc.,11,Summit Energy LLC,,,,
10,Estate of William G Hellis,11,"Summit Resources, L.L.C.",,,,
10,"Falcon Creek Resources, Inc.",10,Superior Natural Gas Corporation,,,,
11,"Ferrell Resources, L.L.C.",7,Tauber Oil Company,,,,
10,Flying J Oil Co,10,"Terra Industries, Inc. & Subsidiaries",,,,
9,Forest Oil Corporation,11,Tesoro Petroleum Corporation,,**Additions to List,,
9,"Formosa Hydrocarbons Company, Inc.",11,Texas Energy Transfer Co,,,,
10,"Gelber Group, Inc. The",10,"Texex Energy Partners, Ltd.",,,,
9,Global Octanes Texas L.P.,11,Texican Natural Gas Company,,,,
11,Goldston Oil Corp,11,Texla Energy Management Inc.,,,,
11,Graphic Packaging Corporation,10,Tiger Natural Gas Inc.,,,,
12,Hall-Houston Oil Company,9,"Torch Energy Marketing, Inc.",,,,
8,"Hallwood Petroleum, Inc.",12,"Torch-CoEnergy, LLC",,,,
10,Hampshire Chemical Corporation,11,TransTexas Gas Corp.,,,,
11,Harvey Brothers Oil & Gas,11,Tristar Gas Marketing Company,,,,
7,"Helmerich & Payne Energy Services, Inc.",10,Twister Gas Services LLC,,,,
11,Highland Energy Corporation,10,US Gas Transportation,,,,
11,Holly Sugar Corporation,11,"Venoco, Inc.",,,,
11,IBEX Resources LLC,10,Victoria International Ltd - WMBE.,,,,
11,ICC Energy Corporation - WMBE,11,Vista Energy Resources Inc.,,,,
11,"Innovative Gas Services, Inc.",11,Wasatch Energy Corporation,,,,
9,"Interstate Gas Supply, Inc.",9,Watson Cogeneration Company,,,,
10,Intrepid Oil & Gas LLC,11,"Woodward Marketing, L.L.C.",,,,
4,"IP Petroleum Co., Inc.",11,"Wyman-Gordon Forgings, Inc.",,,,
11,"J.C. Energy Resources, Inc. - WMBE",11,Yates Petroleum Corporation,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
