Table 3.,"Change in CPI-based annual inflation rate, 1950-2014",,,,,,,,,,,,,,,
,"Consumer Price Indexes (CPI), percentage point change in inflation from the previous year",,,,,,,,,,,,,,,
1977.0,0.7,-1.0,-1.8,-2.1,0.8,2.1,-0.4,-0.5,0.7,-1.5,-2.1,-0.1,7.8,0.9,-0.4,-0.8
1978.0,1.1,-4.3,-1.9,-2.6,0.9,-1.1,-0.2,-1.0,-4.5,-3.6,-2.6,-1.1,-5.4,-1.2,-0.2,-7.5
1979.0,3.7,1.1,0.1,0.0,0.4,-0.4,1.7,1.4,2.1,-0.8,0.1,-3.5,-4.0,-2.9,2.5,5.1
1980.0,2.2,1.0,2.7,2.2,0.7,2.7,2.7,1.3,6.3,4.2,2.3,6.4,-0.2,6.4,0.4,4.6
1981.0,-3.2,-0.6,0.4,0.9,2.5,-0.6,-0.1,0.9,-3.3,-3.0,0.2,2.4,-0.7,-1.5,2.5,-6.1
1982.0,-4.1,1.8,-1.4,1.1,-1.6,-1.6,-1.6,-1.1,-1.0,-2.0,-0.7,-2.0,-0.2,-3.5,-0.8,-3.3
1983.0,-3.0,-1.3,-2.0,-1.0,-5.1,-3.2,-2.2,-2.0,-2.2,-1.0,-3.2,-2.9,-2.5,0.3,-3.1,-4.0
1984.0,1.1,-6.0,2.2,-1.3,-1.5,-0.6,-2.2,-0.7,-3.7,0.6,0.5,-2.1,-0.7,-0.9,0.4,0.4
1985.0,-0.7,2.7,-2.4,-1.5,-0.3,-1.6,-1.6,-0.5,-1.6,-0.4,-1.1,-0.8,-2.5,-0.6,0.4,1.1
1986.0,-1.7,2.4,-1.5,-3.6,0.1,-1.0,-3.1,-2.1,-3.3,-1.3,-2.0,1.5,0.1,-3.2,-2.7,-2.7
1987.0,1.7,-0.6,-0.3,0.3,0.3,0.3,0.4,0.3,-1.3,-0.7,-0.7,1.6,-3.7,0.0,0.8,0.8
1988.0,0.5,-1.3,0.5,-0.4,-0.5,0.5,-0.4,1.0,0.4,0.8,1.2,-2.0,-0.4,1.6,0.3,0.7
1989.0,0.7,0.3,0.7,1.9,1.2,0.3,0.9,1.6,1.4,1.4,0.4,-2.1,2.1,0.6,1.4,2.9
1990.0,0.6,-0.2,0.7,0.4,-0.3,-2.2,-0.2,-0.2,0.0,0.9,1.4,-0.5,-0.2,4.0,2.2,1.7
1991.0,-1.2,-4.1,0.0,-0.3,0.8,-0.2,0.0,1.1,-0.1,0.2,1.4,-0.6,-0.8,-1.0,0.4,-3.6
1992.0,-1.2,-2.2,0.7,-0.8,-4.2,-0.3,-0.8,0.2,-1.0,-1.6,-0.2,-1.2,0.0,-7.0,-1.7,-2.2
1993.0,0.0,0.8,-0.4,0.4,0.5,-0.9,-0.3,-0.3,-0.7,-0.4,-1.6,0.0,-1.3,2.3,-0.9,-2.1
1994.0,-0.4,0.2,-0.7,-0.4,-1.8,0.8,-0.5,-0.9,-0.5,-0.7,0.7,-0.9,0.2,-2.5,-2.4,0.8
1995.0,0.2,2.6,-0.7,-0.9,2.1,0.1,0.1,-1.1,1.2,-0.7,-1.0,1.1,-0.2,0.3,1.0,1.1
1996.0,0.2,-2.0,-0.3,0.6,-0.7,0.0,0.1,-0.2,-1.3,0.2,0.8,-1.3,-1.0,-2.0,-1.0,-1.1
1997.0,-0.7,-2.4,-0.6,-0.5,0.2,0.1,-0.8,0.6,-2.0,1.8,-0.4,1.4,-1.6,0.2,-0.2,0.7
1998.0,-0.7,0.7,-0.4,-0.7,-0.7,-0.4,-0.3,-1.0,0.0,-1.3,-0.2,-0.4,-0.2,-1.0,-0.6,0.3
1999.0,0.6,0.6,-0.3,0.2,0.8,0.7,-0.4,-0.4,-0.3,-0.9,0.2,0.1,0.5,0.8,0.8,-1.9
2000.0,1.2,3.0,1.8,1.4,0.9,0.4,1.2,0.8,0.8,-0.4,0.1,0.8,1.1,0.4,0.8,1.5
2001.0,-0.6,-0.1,0.3,0.0,-0.2,-0.5,0.0,0.6,0.2,-0.1,1.9,-0.1,0.2,1.5,-0.6,-1.2
2002.0,-1.2,-1.4,-0.9,-0.9,-0.3,0.0,0.2,-0.6,-0.2,-0.1,-0.9,-1.7,-0.6,-0.2,-0.4,-0.1
2003.0,0.7,-0.3,-0.5,0.0,0.6,-0.3,0.2,-0.3,0.2,0.6,-1.2,1.2,0.0,-0.3,0.0,1.2
2004.0,0.4,-0.4,0.8,0.5,-1.0,-0.9,0.0,0.5,-0.5,0.3,-0.9,-2.1,0.0,-1.5,0.1,0.1
2005.0,0.7,0.4,0.2,0.7,0.4,0.6,-0.3,0.0,-0.3,-0.3,0.5,1.2,0.4,0.1,0.6,-0.2
2006.0,-0.2,0.9,-0.8,-1.0,-0.2,0.1,-0.2,-0.1,0.2,0.6,-0.5,0.7,0.1,0.9,-0.3,0.4
2007.0,-0.4,-1.3,0.7,0.0,0.2,-0.2,-0.1,0.8,-0.3,-0.3,0.4,-1.5,-0.7,0.8,-0.3,1.1
2008.0,1.0,2.0,1.0,2.7,0.1,1.7,1.3,0.3,1.5,1.4,0.9,3.0,1.3,1.2,1.7,-0.3
2009.0,-4.2,-2.5,-2.7,-4.6,-2.0,-2.1,-2.7,-2.3,-2.5,-2.8,-1.3,-1.7,-4.4,-3.9,-2.9,-4.5
2010.0,2.0,1.1,1.3,2.3,1.5,1.0,1.4,0.8,0.7,0.7,0.1,0.4,2.1,1.7,1.2,5.1
2011.0,1.6,0.4,1.5,1.3,1.1,0.5,0.6,1.0,1.3,0.4,1.0,-1.3,1.4,1.8,-0.4,0.6
2012.0,-1.1,-1.5,-0.8,-0.7,-1.4,-0.4,-0.1,-0.1,0.2,0.3,0.2,-0.4,-0.8,-2.1,-1.0,-2.0
2013.0,-0.6,0.6,-0.5,-1.7,-0.6,-1.6,-1.1,-0.5,-1.8,0.3,0.0,1.3,-1.0,-0.9,0.5,-0.2
,,,,,,,,,,,,,,,,
Note: The CPI is a measure of consumer price inflation that is not strictly comparable across countries.,,,,,,,,,,,,,,,,
Underlying CPIs are from the national statistical agencies of the countries compared. Inflation rates are calculated by The Conference Board.,,,,,,,,,,,,,,,,
NA means data not available.,,,,,,,,,,,,,,,,
"For more information, see Technical Notes and",,,,Country Notes,,,,,,,,,,,,
"Source: The Conference Board, International Labor Comparisons program",,,,,,,,,,,,,,,,
