,,Cook Inlet Energy Supply,NO TRADES,N/A,NO TRADES,N/A
,,"CSW Energy Services, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,DePere Energy Marketing Inc,NO TRADES,N/A,NO TRADES,N/A
,,Deseret Generation & Transmission Cooperat,Call Credit for approval,Any trade,Call Credit for approval,Any trade
,,DPL Energy,NO TRADES,N/A,NO TRADES,N/A
,,"DTE Energy Trading, Inc.","OK - master, Call beyond",12 months,NO TRADES,N/A
,,"e prime, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,"East Texas Electric Cooperative, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,Eastern Pulp and Paper Corp.,NO TRADES,N/A,NO TRADES,N/A
,,Eastern Utilities Associates,Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Edison Mission Marketing & Trading, Inc.",Call Credit for approval beyond,2001-03-01 00:00:00,NO TRADES,N/A
,,El Paso Electric Company,Call Credit for approval beyond,6 Months,NO TRADES,N/A
,,"Electric Energy, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,Energy 2000,NO TRADES,N/A,NO TRADES,N/A
,,Energy Clearinghouse Corporation,NO TRADES,N/A,NO TRADES,N/A
,,"Energy New England, LLC",Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Energy Services, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,"Energy West Resources, Inc.",L/C or prepay required,Any Trade,L/C or prepay required,Any Trade
,,Enersys,NO TRADES,N/A,NO TRADES,N/A
,,EnerZ Corporation,NO TRADES,N/A,NO TRADES,N/A
,,"Entergy Services, Inc.",Call Credit for approval,Any Trade,NO TRADES,N/A
,,Eugene Water & Electric Board,Call Credit for approval beyond,1 month,Call Credit for approval beyond,1 month
,,Exelon Energy,Call Credit for approval beyond,7 Months,NO TRADES,N/A
,,Federal Energy Sales Inc,NO TRADES,NA,NO TRADES,NA
,,Friendly Power Co LLC,NO TRADES,N/A,NO TRADES,N/A
,,Gen~Sys,Call Credit for approval other than,Day Trades,Trade subject to credit,Any Trade
,,GPU Advanced Resources,Call Credit for approval beyond,1 Month,NO TRADES,N/A
,,Great Bay Power Corporation,Call Credit for approval,Any Trade,NO TRADES,N/A
,,Great River Energy,"TRADE AS SPLIT ROCK, LLC. (SEE SPLIT ROCK BELOW)",N/A,NO TRADES,N/A
,,Green Mountain Power Cooperative,Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"Griffin Energy Marketing, LLC","OK - master, Call beyond",6 Months,Trade subject to credit,Any Trade
,,Hafslund Energy Trading LLC,Call Credit for approval,Any trades,Call Credit for approval,Any trades
,,Hoosier Energy Rural,NO TRADES,N/A,NO TRADES,N/A
,,"Illinova Power Marketing, Inc.",Call Credit for approval other th,Day Trades,NO TRADES,N/A
,,Indiana Municipal Power Agency,Call Credit for approval other th,Day Trades,Call Credit for approval,Any Trade
,,"KeySpan Energy Services, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,Lincoln County Publishing Co.,NO TRADES,N/A,NO TRADES,N/A
,,Louisiana-Pacific Corporation,"OK - master, Call beyond",1 Month,Trade subject to credit,Any Trade
,,"Merchant Energy Group of the Americas, Inc","OK - master, Call beyond",12 Months,Call Credit for approval,3 Months
,,Michigan Energy Exchange,NO TRADES,N/A,NO TRADES,N/A
,,Michigan Public Power Agency,Call Credit for approval,Any Trade,Trade subject to credit,Any Trade
,,"Midland Cogeneration Venture, L.P.",Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Mieco, Inc.","OK - master, Call beyond",12 months,"OK - master, Call beyond",12 months
,,Minnesota Municipal Power Agency,L/C or prepay required,Any Trade,NO TRADES,N/A
,,Missouri River Energy Services,Call Credit for approval beyond,Day Trades,Trade subject to credit,Any Trade
,,Montana Power Trading & Marketing Company,Call Credit for approval,1 Month,NO TRADES,N/A
,,Montaup Electric Company,Call Credit for approval,Any Trade,NO TRADES,N/A
,,"NESI Power Marketing, Inc.",NO TRADES,N/A,NO TRADES,N/A
,A,New Power Company,NO TRADES,N/A,NO TRADES,N/A
,,"NewEnergy, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"Niagara Mohawk Energy Marketing, Inc.","OK - master, Call beyond",Day Trades,NO TRADES,N/A
,,Niagara Mohawk Power Corporation,Call Credit for approval beyond,1 Month,Call Credit for approval beyond,1 Month
,,"Nipsco Energy Services, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,"North American Energy Conservation, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,Northeast Utilities Service Company,Call Credit for approval,1 Month,NO TRADES,N/A
,,Northern California Power Agency,Call Credit for approval beyond,1 month,NO TRADES,N/A
,,"Northern/AES Energy, LLC",Call Credit for approval,Any Trade,NO TRADES,N/A
,,"NP Energy, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,"NRG Power Marketing, Inc.",Call Credit for approval beyond,8 months,Call Credit for approval beyond,8 months
,,"NUI Energy Brokers, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,NYSEG Solutions Inc.,L/C or prepay required,Any Trade,NO TRADES,N/A
,,Okeelanta Sugar Corporation,NO TRADES,N/A,NO TRADES,N/A
,,Pacific Northwest Generating Cooperative,L/C or prepay required,Any Trade,NO TRADES,N/A
,,"PanCanadian Energy Services, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,People's Electric Cooperative,NO TRADES,N/A,NO TRADES,N/A
,,Plains Electric Generation & Transmission,Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Power Company of America, L.P., The",NO TRADES,N/A,NO TRADES,N/A
,,"Power Resources Managers, LLC",NO TRADES,N/A,NO TRADES,N/A
,,"PPL Montana, LLC",Call Credit for approval beyond,3 months,NO TRADES,N/A
,,Preferred Energy Services,NO TRADES,N/A,NO TRADES,N/A
,,"Proliance Energy, LLC",NO TRADES,N/A,NO TRADES,N/A
,,PSEG Energy Technologies Inc.,NO TRADES,N/A,NO TRADES,N/A
,,Public Service Company of New Hampshire,Call Credit for approval,Day Trades,NO TRADES,N/A
,,PUD No. 2 of Grant County,Call Credit for approval beyond,1 year,Trade subject to credit,Any Trade
,,"PUD No.1 of Benton County, WA",Call Credit for approval beyond,2 Months,Trade subject to credit,Any Trade
,,PUD No.1 of Grays Harbor County,Call Credit for approval beyond,Day Trades,Trade subject to credit,Any Trade
,,P.U.D. of Franklin County,Call Credit for approval beyond,Day Trades,Trade subject to credit,Any Trade
,,QST Energy Trading Inc.,OK - master,1 Month,NO TRADES,N/A
,,Rainbow Energy Marketing Corporation,NO TRADES,N/A,NO TRADES,N/A
,,Sacramento Municipal Utility District (SMU,Call Credit for approval beyond,1 month,Call Credit for approval,Any Trade
,,Select Energy Inc.,Call Credit for approval beyond,6 months,Call Credit for approval beyond,1 month
,,Shamrock Trading,NO TRADES,N/A,NO TRADES,N/A
,,Sikeston Board of Municipal Utilities,Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"Silica Products, Inc.",L/C or prepay required,Any Trade,NO TRADES,N/A
,,"Sithe Power Marketing, Inc.",Transact as Sithe Power Marketing,Any Trade,Trade subject to credit,Any Trade
,,Smurfit-Stone Container Corp.,"OK - master, Call beyond",Day Trades,Trade subject to credit,Any Trade
,,"Southern Company Services, Inc.",Call Credit for approval beyond,1 month,NO TRADES,N/A
,,Southern Illinois Power Co-Operative,Call Credit for approval,Any Trade,NO TRADES,N/A
,,Southwest Power Pool,Transmission only,1 Month,NO TRADES,N/A
,,"Soyland Power Cooperative, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,"Split Rock Energy, LLC",NO TRADES,N/A,NO TRADES,N/A
,,Stand Energy Inc.,NO TRADES,N/A,NO TRADES,N/A
,,"Statoil Energy Trading, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,Strategic Energy Ltd.,L/C or prepay required,Any Trade,NO TRADES,N/A
,,"Sunflower Electric Cooperative, Inc.",L/C or prepay required,N/A,NO TRADES,N/A
,,Taunton Municipal Light Plant,Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"The Energy Authority, Inc.",Call Credit for approval,1 Month,NO TRADES,N/A
,,The Power Authority of the State of New Yo,Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,The Utility Trade  Corp,NO TRADES,N/A,NO TRADES,N/A
,,"Tractebel Energy Marketing, Inc.",Call Credit for approval,12 Months,Call Credit for approval,12 Months
,,Transalta Energy Marketing (US) Inc.,Call Credit for approval,12 Months,NO TRADES,N/A
,,Tucson Electric Power Company,Call Credit for approval beyond,1 Month,NO TRADES,N/A
,,United Power Association,NO TRADES,N/A,NO TRADES,N/A
,,Unitil Power Corp.,NO TRADES,N/A,NO TRADES,N/A
,,Utah Associated Municipal Power Systems,Call Credit for approval,Any Trade,NO TRADES,N/A
,,"Vanalco, Inc.",NO TRADES,N/A,NO TRADES,N/A
,,Vermont Public Power,Call Credit for approval,Any Trade,Call Credit for approval,Any trade
,,Vitol Gas & Electric LLC,NO TRADES,N/A,NO TRADES,N/A
,,Wabash Valley Power Association Inc.,Call Credit for approval,Any Trade,NO TRADES,N/A
,,Western Massachusetts Electric Company,Call Credit for approval,Day Trades,NO TRADES,N/A
,,"Western Power Services, Inc.",Call Credit for approval,N/A,NO TRADES,N/A
,,"Western Resources, Inc.",Call Credit for approval beyond,3 months,Trade subject to credit,Any trade
,,Wolverine Power Supply Cooperative Inc,Call Credit for approval,Any Trade,NO TRADES,N/A
,,"WPS Energy Services, Inc.",Call Credit for approval beyond,Day Trades,Trade subject to credit,Any Trade
,,"* HQ Energy Services (U.S), Inc. has been removed from Credit Watch",,,,
,,X = Changes to list,,,,
,,A = Added to list,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
