Central Curve Mappings,,,,,,
Pipe Code,Zone Code,Zone Desc. in Sitara,Facility,Intramonth,Mid,Gas Daily
GRLK,STCLAIR,,,ST.CLAIR/IM,ST.CLAIR (US$),GDC-ST.CLAIR-US
GRLK,WESTERN,,388,CARLTON/IM,CGPR-EMERSONUSA,GDC-CARLTON
GRLK,WESTERN,,812108,EMERSON-USA,ST.CLAIR (US$),GDC-EMERSON/USA
GRLK,WESTERN,,818941,CRYSTAL/IM,ST.CLAIR (US$),GDC-CRYSTAL
GRLK,WESTERN,,,MICH_CG-GD,ST.CLAIR (US$),GDP-MICHCON
HIOS,LA OFFSHOR,HIOS Offshore,,IF-ANR/LA,IF-ANR/LA,GDP-ANR/LA_ONSH
HPL,3,A/S South,,IF-AGUA DULCE,IF-AGUA DULCE,GDC-AGAU DULCE
KNE,KS NE ENRG,KNE,,NNG/MID15,IF-NNG/TOK,GDC-NNG/MID15
KNGG,GATHERING,,,NNG/MID15,IF-NNG/TOK,GDC-NNG/MID15
MGPC,MGPC,,,IF-NGPL/MIDCON,IF-NGPL/MIDCON,GDP-NGPL/OK
MGT,CHCITYGATE,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
MGT,RECEIPTS,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
MICH,BELLRIVER,,,MICH_CG-GD,MICH_CG-GD,GDP-MICHCON
MICH,MICH CON,,510728,MICH/CONS,MICH_CG-GD,GDP-CONSUMERS
MICH,MICH CON,,,MICH_CG-GD,MICH_CG-GD,GDP-MICHCON
MICH,RIVERROUGE,,,MICH_CG-GD,MICH_CG-GD,GDP-MICHCON
MICH,STCLRUNION,,,MICH-ST.CLAIR,MICH-ST.CLAIR,GDP-MICH-ST.CLA
MICH,WILLOWRUN,,,MICH_CG-GD,MICH_CG-GD,GDP-MICHCON
MIDC,MIDC,,507168,IF-ANR/OK,IF-ANR/OK,GDP-ANR/OK
MIDC,MIDC,,71432,NNG/MID13,IF-NNG/TOK,GDP-NNG/TOK(13)
MIDC,MIDC,,94,NNG/MID13,IF-NNG/TOK,GDP-NNG/TOK(13)
MIDC,MIDC,,,IF-PAN/TX/OK,IF-PAN/TX/OK,GDP-PAN/TX/OK
MOSS,STORAGE,,,IF-NGPLTXOK,IF-NGPLTXOK,GD-NGPL/TXOK-E
MRT,FIELD,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
MRT,MKT,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NBPL,ANR,,508079,NGI/CHI. GATE,IF-ANR/JOLIET,GDP-CHI. GATE
NBPL,ANR,,508210,NGI/CHI. GATE,NGI/CHI./WILLCO,GDP-CHI. GATE
NBPL,ANR,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NBPL,GRUNDY,,,NGPL-IOWA-ILLIN,IF-NGPL/HARPER,GDP-NGPL/(IA-IL
NBPL,HARPER,,,NGPL-IOWA-ILLIN,IF-NGPL/HARPER,GDP-NGPL/(IA-IL
NBPL,MIDAM,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NBPL,MIDWESTERN,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NBPL,MONCHY,,,IF-MONCHY,IF-MONCHY,GDP-MONCHY
NBPL,NICOR,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NBPL,PEOPLES,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NBPL,VENT TRANF,,,IF-NNG/VENT,IF-NNG/VENT,GDP-NNG/VENT
NBPL,VENTURA,,,IF-NNG/VENT,IF-NNG/VENT,GDP-NNG/VENT
NFS,GATHERING,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NGPL,AMRLLO MNL,,,IF-NGPL/OK-NW,IF-NGPL/OK-NW,GDP-NGPL/AMARIL
NGPL,CHICAGO,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NGPL,GLF CST ML,,,NGPL-GCM/L,IF-NGPL/MIDCON,GDP-NGPL/(IA-IL
NGPL,HARPER,,,NGPL-IOWA-ILLIN,IF-NGPL/HARPER,GDP-NGPL/(IA-IL
NGPL,IOWA ILL,,,NGPL-IOWA-ILLIN,IF-IOWA_IL,GDP-NGPL/(IA-IL
NGPL,LASUPPLY,Louisiana,,IF-NGPL/LA,IF-NGPL/LA,GDP-NGPL/LA
NGPL,LOUISIANA,Louisiana Mkt,,IF-NGPL/LA-MKT,IF-NGPL/LA,GDC-NGPL/LA-MKT
NGPL,MIDCONT,,,IF-NGPL/MIDCON,IF-NGPL/MIDCON,GDP-NGPL/OK
NGPL,NIGAS,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NGPL,NIPSCO,,,NGI/CHI. GATE,NGI/CHI./NIPSCO,GDP-CHI. GATE
NGPL,PEOPLES,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NGPL,PERMIAN,,,NGPL-PERMIAN,IF-NGPL/TX,GDP-NGPL/PAN/PR
NGPL,SOUTH TX,,,IF-NGPL/TX,IF-NGPL/STX,GDP-NGPL/CORPUS
NGPL,TXOK/AG,,,IF-NGPLTXOK,IF-NGPLTXOK,GD-NGPL/TXOK-E
NGPL,TXOK/GC,,,IF-NGPLTXOK,IF-NGPLTXOK,GD-NGPL/TXOK-E
NGPL,TXOKGCMKT,,,IF-NGPLTXOK,IF-NGPLTXOK,GD-NGPL/TXOK-E
NIG,ANR,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NIG,MGT,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NIG,NBPL,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NIG,NGPL,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NIG,NNG,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NIMO,DISTSYSTEM,,,CNG/CITY,IF-CNG/APPALACH,GDC-CNG/SH/CITY
NNG,CTGS,,,IF-HPL/SHPCHAN,IF-HPL/SHPCHAN,GDP-HPL/SHPCH
NNG,DEMARC,,,IF-NNG/DEMARCAT,IF-NNG/DEMARCAT,GDP-NNG/DEMARCA
NNG,EAST DUBQU,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
NNG,FLDTOFLD,Field,,IF-BENNINGTON,IF-BENNINGTON,GDC-BENNINGTON
NNG,M12 13 16A,,1707,NNG/BUSHTON,IF-NNG/TOK,GDC-NNG/BUSHTON
NNG,M12 13 16A,,,NNG/MID13,IF-NNG/TOK,GDP-NNG/TOK(13)
NNG,MATT,,,IF-NNG/DEMARCAT,IF-NNG/VENT,GDP-NNG/DEMARCA
NNG,MID17,,,IF-NNG/DEMARCAT,IF-NNG/DEMARCAT,GDP-NNG/DEMARCA
NNG,MID7MKT,,,WAHA KCBT,IF-NNG/TOK,GDP-WAHA
NNG,MIDS 14 15,,,NNG/MID15,IF-NNG/TOK,GDC-NNG/MID15
NNG,MIDS 7 8 9,,1613,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
NNG,MIDS 7 8 9,,2568,NNG/MID1-6,IF-NNG/TOK,GDC-NNG(1-6)
NNG,MIDS 7 8 9,,3482,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
NNG,MIDS 7 8 9,,,NNG/MID10,IF-NNG/TOK,GDP-NNG/TOK/PAN
NNG,MIDS10&11,,,NNG/MID10,IF-NNG/TOK,GDP-NNG/TOK/PAN
NNG,MOPS,,,IF-HPL/SHPCHAN,IF-HPL/SHPCHAN,GDP-HPL/SHPCH
NNG,PERMIAN,,,NNG/MID1-6,IF-NNG/TOK,GDC-NNG(1-6)
NNG,PERMIANMKT,,,WAHA KCBT,IF-NNG/TOK,GDP-WAHA
NNG,TOWN BORDR,,,NNG/CG,NGI-MICH_CG,GDC-NNG/CG
NNG,VENTURA,,,IF-NNG/VENT,IF-NNG/VENT,GDP-NNG/VENT
NNGB,FLD2FLD,Field,,IF-BENNINGTON,IF-BENNINGTON,GDC-BENNINGTON
NRAM,CITY GATE,,501252,IF-COLGUL/RAYNE,IF-COLGULF/LA,GDP-COLGULF/RAY
NRAM,CITY GATE,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NRAM,NEUTR ZONE,Neutral Pool,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NRAM,NEUTRPOINT,Neutral Point,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NRAM,NORTH ZONE,North Pool,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NRAM,NORTHPOINT,North Point,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NRAM,SOUTH ZONE,South Pool,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NRAM,SOUTHPOINT,South Point,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
NRAM,WEST1POINT,,,IF-NORAM/WEST,IF-NORAM/WEST,GDP-NORAM/WEST
NRAM,WEST1POOL,,508440,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
NRAM,WEST1POOL,,,IF-NORAM/WEST,IF-NORAM/WEST,GDP-NORAM/WEST
NRAM,WEST2POINT,,,IF-NORAM/WEST,IF-NORAM/WEST,GDP-NORAM/WEST
NRAM,WEST2POOL,,,IF-NORAM/WEST,IF-NORAM/WEST,GDP-NORAM/WEST
ONG,FIELD,,509892,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
ONG,FIELD,,,IF-ONG/OKLAHOMA,IF-ONG/OKLAHOMA,GDP-ONG/OKLAHOM
OZAR,EAST,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
OZAR,WEST,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
PEPL,CONSUMERS,,,CNSMR-POWER,MICH/CONS,GDC-CNSMR-POWER
PEPL,FIELD,Field Zone,,IF-PAN/TX/OK,IF-PAN/TX/OK,GDP-PAN/TX/OK
PEPL,FLDZPOINT,Field Point,,IF-PAN/TX/OK,IF-PAN/TX/OK,GDP-PAN/TX/OK
PEPL,MKT,,507243,IF-PAN/TX/OK,IF-PAN/TX/OK,GDP-PAN/TX/OK
PEPL,MKT,,800550,PEPL/MKT,IF-PAN/TX/OK,GDC-PEPL/MKT
PEPL,MKT,,800597,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
PEPL,MKT,,817164,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
PEPL,MKT,,,MICH_CG-GD,MICH_CG-GD,GDP-MICHCON
PGLC,ANR,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
PGLC,MGT,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
PGLC,NBPL,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
PGLC,NGPL,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
PGLC,TRKL,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
TGG,GATHERING,,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
TRKL,CHCITYGATE,,,NGI/CHI. GATE,NGI/CHI. GATE,GDP-CHI. GATE
TRKL,CONSUMERS,,,CNSMR-POWER,MICH/CONS,GDC-CNSMR-POWER
TRKL,EAST LA,,,TRUNKL/ELA,IF-TRUNKL/LA,GDP-TRUNKL/ELA
TRKL,FIELDMKT,,,TRUNKL/FIELD,IF-TRUNKL/TX,GDP-TRUNKL/FLD
TRKL,NORTH TX,,,TRUNKL/NTX,IF-TRUNKL/TX,GDP-TRUNKL/NO
TRKL,OTHRCTYGAT,,,MICH/CONS,MICH_CG-GD,GDP-CONSUMERS
TRKL,SOUTH TX,,,TRUNKL/STX,IF-TRUNKL/TX,GDP-TRUNKL/SO
TRKL,TAB1,,,TRUNKL/ELA,IF-TRUNKL/LA,GDP-TRUNKL/ELA
TRKL,TAB2,,,TRUNKL/ELA,IF-TRUNKL/LA,GDP-TRUNKL/ELA
TRKL,WEST LA,,,TRUNKL/WLA,IF-TRUNKL/LA,GDP-TRUNKL/WLA
TRKL,ZONE1A,,,TRUNKL/ZA,IF-TRUNKL/LA,GDC-TRUNKL/ZA
TROK,ANADARKO,,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
TROK,GATHERING,,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
TROK,LIMESTONE,,,IF-NORAM/EAST,IF-NORAM/EAST,GDP-NORAM-N/S
TROK,NAGS,,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
TROK,PALODURA,,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
TROK,RELIANCE,,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
TROK,TRAD,,37694,IF-NGPLTXOK,IF-NGPLTXOK,GD-NGPL/TXOK-E
TROK,TRAD,,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
TROK,TRANSMSSN,TOT,37694,IF-NGPLTXOK,IF-NGPLTXOK,GD-NGPL/TXOK-E
TROK,TRANSMSSN,TOT,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
TROK,WAGGS,,,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
UTOS,LA OFFSHOR,,,IF-ANR/LA,IF-ANR/LA,GDP-ANR/LA_ONSH
WER,GATHERING,,,NNG/MID13,IF-NNG/TOK,GDP-NNG/TOK(13)
WGR,GATHERING,,,NNG/MID11,IF-NNG/TOK,GDP-NNG/TOK
WNG,WILLIAMS,,811043,TRANS-OK,IF-ONG/OKLAHOMA,GDC-TRANS-OK
WNG,WILLIAMS,,,IF-WILLIAMS,IF-WNG/TOK,GDP-WNG/TOK
WTG,GATHERING,,,NNG/MID11,IF-NNG/TOK,GDP-NNG/TOK
