Security/,Trade,Settlement,Instru-,,Posi-,Strike,Notional,,Terminations,,,,Market,,Unrealized,Realized,Total,Prior Day,,Prior Day,,,,,Prior YTD,,Current QTR,,
DevX Energy Pref,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,4.065882352941176,127500,518400,2000-12-14 00:00:00,6.999764705882353,127500,892470,8.1875,2001-03-09 00:00:00,0,374070.0000000001,374070.0000000001,374070.0000000001,374070,8.1875,,,2000-10-25 00:00:00,exchange,374070,374070,0,0,0
Quicksilver,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,7.625,804243,6132352.88,2000-12-08 00:00:00,6.719999552374095,804243,5404512.6,0,2001-03-09 00:00:00,0,-727840.2750000004,-727840.2750000004,-727840.2750000004,-727840.2800000003,0,,,,,-727840.2750000004,-727840.28,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amerada Hess Exposure,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,1250000,,,,,1250000,2001-03-09 00:00:00,0,0,0,0,0,1250000,2,0,,,0,0,0,0,0
Ameritex,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,4563600,,,,,4375178.69,2001-03-09 00:00:00,-188421.3099999996,0,-188421.3099999996,0,-188421.3099999996,4375178.69,3,0,,,0,-188421.31,0,0,0
Basic Energy Preferred,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,2136334,,,,,1247943.5,2001-03-09 00:00:00,-888390.5,0,-888390.5,0,-888390.5,1247943.5,4,0,,,0,-713159.63,0,-175230.87,0.29999999998835847
Black Bay,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,429975,2000-12-28 00:00:00,settled,,372147.13,0,2001-03-09 00:00:00,0,-57827.869999999995,-57827.869999999995,-57827.869999999995,-57827.869999999995,372147.13,5,,,,-57827.87,-57827.87,0,0,0
Brigham Secured SubDebt,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,12500000,2000-11-01 00:00:00,settled,,12565511,0,2001-03-09 00:00:00,0,65511,65511,65511,65511,12565511,6,,,,65511,65511,0,0,0
Catalytica Before 12/14,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,0,0,0,,,,,0,2001-03-09 00:00:00,0,0,0,0,0,0,7,,2000-12-14 00:00:00,public shares exchanged,0,0,0,0,0
City Forest IPC,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,1663000,,,,,1663000,2001-03-09 00:00:00,0,0,0,0,0,1663000,8,0,,,0,0,0,0,0
Ecogas Loan & Equity,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,12878050,,,,,0,2001-03-09 00:00:00,-12878050,0,-12878050,0,-12878050,0,9,0,,,0,-12878050,0,0,0
Geo. Pursuit (EBGB),2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,1012500,2000-12-29 00:00:00,settled,,125000,0,2001-03-09 00:00:00,0,-887500,-887500,-887500,-887500,125000,10,,,,-887500,-887500,0,0,0
Heartland Common,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,136.649295766461,172031,23507915,,,,,2.8312206268310547e-07,2001-03-09 00:00:00,-23507914.999999717,0,-23507914.999999717,0,-23507914.999999717,2.8312206268310547e-07,11,0,,,0,2.123415470123291e-07,0,-23507915,0
Heartland Common (Condor),2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,10372212,,,,,0,2001-03-09 00:00:00,-10372212,0,-10372212,0,-10372212,0,12,0,,,0,0,0,-10372212,0
Heartland Loan,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,1302980,,,,,137317.57,2001-03-09 00:00:00,-1165662.43,0,-1165662.43,0,-1165662.43,137317.57,13,0,,,0,0,0,-1165662.43,0
Heartland Warrants,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,3486752,,,,,0,2001-03-09 00:00:00,-3486752,0,-3486752,0,-3486752,0,14,0,,,0,0,0,-3486752,0
Hughes Rawls Loan,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,429210,,,,,1000000,2001-03-09 00:00:00,570790,0,570790,0,570790,1000000,15,0,,,0,0,0,570790,0
Hughes Rawls Note,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,470790,,,,,0,2001-03-09 00:00:00,-470790,0,-470790,0,-470790,0,16,0,,,0,0,0,-470790,0
HV Marine Warrants,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,27082500,,,,,23513434.5,2001-03-09 00:00:00,-3569065.5,0,-3569065.5,0,-3569065.5,23513434.5,17,0,,,0,-3569065.5,0,0,0
Industrial Holdings,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,7121810,,,,,7121810,2001-03-09 00:00:00,0,0,0,0,0,7121810,18,0,,,0,0,0,0,0
Invasion Energy,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,5644007,,,,,5644007,2001-03-09 00:00:00,0,0,0,0,0,5644007,19,3.4924596548080444e-10,,,0,0,0,0,0
Juniper,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,20916875,,,,,20999559.86,2001-03-09 00:00:00,82684.8599999994,0,82684.8599999994,0,82684.8599999994,20999559.86,20,0,,,0,82684.8599999994,0,0,0
Juniper Committed Exposurer,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,2560525,,,,,2560525,2001-03-09 00:00:00,0,0,0,0,0,2560525,21,0,,,0,0,0,0,0
Keathley Canyon,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,4774950,2000-12-28 00:00:00,settled,,2415598.88,0,2001-03-09 00:00:00,0,-2359351.12,-2359351.12,-2359351.12,-2359351.12,2415598.88,22,,,,-2359351.12,-2359351.12,0,0,0
LSI Preferred,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,1822363,,,,,0,2001-03-09 00:00:00,-1822363,0,-1822363,0,-1822363,0,23,0,,,0,191228.6599838899,0,-2013591.66,1.6110017895698547e-05
LSI Warrants,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,1374750,,,,,0,2001-03-09 00:00:00,-1374750,0,-1374750,0,-1374750,0,24,0,,,0,0,0,-1374750,0
Oconto Falls Common,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,1803840,,,,,1803840,2001-03-09 00:00:00,0,0,0,0,0,1803840,25,0,,,0,0,0,0,0
Oconto Falls IPC,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,2300803,,,,,2300803,2001-03-09 00:00:00,0,0,0,0,0,2300803,26,0,,,0,0,0,0,0
Texland,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,7483750,,,,,8551988.34,2001-03-09 00:00:00,1068238.3399999999,0,1068238.3399999999,0,1068238.3399999999,8551988.34,27,0,,,0,1068238.34,0,0,0
Texland Committed Exposurer,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,2343750,,,,,2343750,2001-03-09 00:00:00,0,0,0,0,0,2343750,28,0,,,0,0,0,0,0
Vastar,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,16316247,,,,,16316247,2001-03-09 00:00:00,0,0,0,0,0,16316247,29,0,,,0,0,0,0,0
Vastar Exposure,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,1050000,,,,,1050000,2001-03-09 00:00:00,0,0,0,0,0,1050000,30,0,,,0,0,0,0,0
Venoco Convertible,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,217.28,375000,81480000,,,,,80202486.47999999,2001-03-09 00:00:00,-1277513.5200000107,0,-1277513.5200000107,0,-1277513.5200000107,80202486.47999999,31,-6.05359673500061e-09,,,0,-1277513.52,0,0,0
WB Oil & Gas,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,1360,1000,1360000,,,,,1360000,2001-03-09 00:00:00,0,0,0,0,0,1360000,32,0,,,0,0,0,0,0
Merlin Credit Derivative,2000-08-03 00:00:00,2003-08-03 00:00:00,Put,36066314,Short,,,93746590,2001-01-19 00:00:00,partial,,63109023.64,30637565.036477998,2001-03-09 00:00:00,-1.323522001504898,-63109023.64,-63109024.963522,-63109023.64,-63109024.963522,30637565.036477998,33,0,,,0,-1.323522001504898,-63109023.64,-63109023.64,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chewco SLP Exposurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3TEC Warrants,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,1.17868389193476,46956,55346.28,,,,0,2.8586155579726116,2001-03-09 00:00:00,78882.87,0,78882.87,0,77352.14000000001,2.8260163654724306,,0,,,0,72136.17,0,6746.7,0.00456740935351263
Place Resources,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,1.68395,442470,745095.36,2000-11-09 00:00:00,1.93798449612403,442470,857498,0,2001-03-09 00:00:00,0,112402.64349999953,112402.64349999953,112402.64349999953,112402.64000000001,1.937984496124031,,,,,112402.64349999953,112402.64349999953,0,0,0
DevX Energy Common,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,14.039765555621337,6101.0292,85657.02,,,,0,8.1875,2001-03-09 00:00:00,-35704.840000000004,0,-35704.840000000004,0,-35704.840000000004,8.1875,,0,,,0,-37611.42,0,1906.58,-0.008375000003070454
DevX Energy Pref,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,4.065882352941176,76755,312076.8,2000-12-14 00:00:00,6.999764705882353,76755,537266.94,8.1875,2001-03-09 00:00:00,0,225190.14000000007,225190.14000000007,225190.14000000007,225190.13999999996,8.1875,,,,,225190.14,225190.14,0,0,0
Quicksilver,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,7.625,484154.286,3691676.43,2000-12-08 00:00:00,6.719999552374095,484154.286,3253516.59,0,2001-03-09 00:00:00,0,-438159.84555000026,-438159.84555000026,-438159.84555000026,-438159.8400000003,0,,,,,-438159.84555000026,-438159.84555000026,0,0,0
Ameritex,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,2747287.2,,,,0,2633857.57,2001-03-09 00:00:00,-113429.63000000035,0,-113429.63000000035,0,-113429.63000000035,2633857.57,,-0.12338000044110231,,,0,-113429.63,0,0,0
Hughes Rawls Note,2000-08-03 00:00:00,2003-08-03 00:00:00,Swap,0,Long,,,283415.58,,,,0,0,2001-03-09 00:00:00,-283415.58,0,-283415.58,0,-283415.58,0,,0,,,0,0,0,-283415.58,-0.41999999998370185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Totals,,,36066314,,,,733681729.07,,,,,,,-348848299.9935217,-73827735.57239872,-422676035.5659205,-73827735.57239872,-422480104.8888705,,,-0.12338000614545308,,,-3506789.972398839,-304021669.9909367,-70320945.59999987,-118654365.58,-0.1232794616139472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Terminations,,,,,,,,,,-74791624.71054989,Realized Losses,,,,,,,,,,,3.541344995028339e-08,check
,,,,,,Public,,26329434.762249883,,,,,,,,963889.1381511618,Realized Gains,,,,,,,,,,,,
,,,,,,Private,,81826448.64,,,,,,,,0,check,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Net Notional,,625525845.6677502,,,,,,,,,,,,,,,,,,,,,
