Home School DBN,Home School Name,Home School Address,City,Zip Code,Summer School Site 1,Summer School Site Address,City,Zip Code,Summer School Site 2,Summer School Site Address,City,Zip Code
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",220 HENRY STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002,,,,
01M361,The Children's Workshop School,610 EAST 12 STREET,MANHATTAN,10009,M064,600 EAST 6 STREET,MANHATTAN,10009,M020,166 ESSEX STREET,MANHATTAN,10002
01M363,Neighborhood School,121 EAST 3 STREET,MANHATTAN,10009,M020,166 ESSEX STREET,MANHATTAN,10002,,,,
01M364,Earth School,600 EAST 6 STREET,MANHATTAN,10009,M020,166 ESSEX STREET,MANHATTAN,10002,,,,
01M378,School for Global Leaders,145 STANTON STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002,,,,
01M448,University Neighborhood High School,200 MONROE STREET,MANHATTAN,10002,M475,345 EAST 15TH STREET,MANHATTAN,10003,,,,
01M450,East Side Community School,420 EAST 12 STREET,MANHATTAN,10009,M104,330 EAST 21 STREET,MANHATTAN,10010,M025,145 STANTON STREET,MANHATTAN,10002
01M458,Forsyth Satellite Academy,198 FORSYTH STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002,,,,
01M509,Marta Valle High School,145 STANTON STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002,,,,
01M515,Lower East Side Preparatory High School,145 STANTON STREET,MANHATTAN,10002,M025,145 STANTON STREET,MANHATTAN,10002,,,,
01M539,"New Explorations into Science, Technology and Math High School",111 COLUMBIA STREET,MANHATTAN,10002,M540,443 WEST 135 STREET,MANHATTAN,10031,M104,330 EAST 21 STREET,MANHATTAN,10010
01M650,Cascades High School,198 FORSYTH STREET,MANHATTAN,10002,M510,198 FORSYTH STREET,MANHATTAN,10002,,,,
01M696,Bard High School Early College,525 EAST HOUSTON STREET,MANHATTAN,10002,M477,345 CHAMBERS STREET,MANHATTAN,10282,,,,
01M839,Tompkins Square Middle School,600 EAST 6 STREET,MANHATTAN,10009,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
02M001,P.S. 001 Alfred E. Smith,8 HENRY STREET,MANHATTAN,10038,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M002,P.S. 002 Meyer London,122 HENRY STREET,MANHATTAN,10002,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M003,P.S. 003 Charrette School,490 HUDSON STREET,MANHATTAN,10014,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M006,P.S. 006 Lillie D. Blake,45 EAST 81 STREET,MANHATTAN,10028,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M011,P.S. 011 William T. Harris,320 WEST 21 STREET,MANHATTAN,10011,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M033,P.S. 033 Chelsea Prep,281 9 AVENUE,MANHATTAN,10001,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M040,P.S. 040 Augustus Saint-Gaudens,319 EAST 19 STREET,MANHATTAN,10003,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M041,P.S. 041 Greenwich Village,116 WEST 11 STREET,MANHATTAN,10011,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M042,P.S. 042 Benjamin Altman,71 HESTER STREET,MANHATTAN,10002,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M047,47 The American Sign Language and English Secondary School,223 EAST 23 STREET,MANHATTAN,10010,M475,345 EAST 15TH STREET,MANHATTAN,10003,,,,
02M051,P.S. 051 Elias Howe,525 WEST 44TH STREET,MANHATTAN,10036,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M059,P.S. 059 Beekman Hill International,231-249 EAST 56 STREET,MANHATTAN,10019,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M104,J.H.S. 104 Simon Baruch,330 EAST 21 STREET,MANHATTAN,10010,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
02M111,P.S. 111 Adolph S. Ochs,440 WEST 53 STREET,MANHATTAN,10019,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M114,East Side Middle School,331 EAST 91ST STREET,MANHATTAN,10128,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
02M116,P.S. 116 Mary Lindley Murray,210 EAST 33 STREET,MANHATTAN,10016,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M124,P.S. 124 Yung Wing,40 DIVISION STREET,MANHATTAN,10002,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M126,P.S. 126 Jacob August Riis,80 CATHERINE STREET,MANHATTAN,10038,M124,40 DIVISION STREET,MANHATTAN,10002,M131,100 HESTER STREET,MANHATTAN,10002
02M130,P.S. 130 Hernando De Soto,143 BAXTER STREET,MANHATTAN,10013,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M131,M.S. 131,100 HESTER STREET,MANHATTAN,10002,M131,100 HESTER STREET,MANHATTAN,10002,,,,
02M135,The Urban Assembly School for Emergency Management,439 WEST 49TH STREET,MANHATTAN,10019,X460,244 EAST 163 STREET,BRONX,10451,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,411 PEARL STREET,MANHATTAN,10038,M520,411 PEARL STREET,MANHATTAN,10038,,,,
02M150,P.S. 150,334 GREENWICH STREET,MANHATTAN,10013,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M151,Yorkville Community School,421 EAST 88 STREET,MANHATTAN,10128,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M158,P.S. 158 Bayard Taylor,1458 YORK AVENUE,MANHATTAN,10075,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M167,J.H.S. 167 Robert F. Wagner,220 EAST 76 STREET,MANHATTAN,10021,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
02M183,P.S. 183 Robert L. Stevenson,419 EAST 66 STREET,MANHATTAN,10065,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M198,P.S. 198 Isador E. Ida Straus,1700 3 AVENUE,MANHATTAN,10128,M101,141 EAST 111 STREET,MANHATTAN,10029,,,,
02M212,P.S. 212 Midtown West,328 WEST 48 STREET,MANHATTAN,10036,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M217,P.S./I.S. 217 Roosevelt Island,645 MAIN STREET,MANHATTAN,10044,M124,40 DIVISION STREET,MANHATTAN,10002,M104,330 EAST 21 STREET,MANHATTAN,10010
02M234,P.S. 234 Independence School,292 GREENWICH STREET,MANHATTAN,10007,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M255,M.S. 255 Salk School of Science,319 EAST 19 STREET,MANHATTAN,10003,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
02M260,M.S. 260 Clinton School Writers & Artists,425 WEST 33RD STREET,MANHATTAN,10001,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
02M267,"East Side Elementary School, PS 267",213 EAST 63RD STREET,MANHATTAN,10065,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M276,BATTERY PARK CITY SCHOOL,55 BATTERY PLACE,MANHATTAN,10001,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M288,Food and Finance High School,525 WEST 50TH STREET,MANHATTAN,10019,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
02M289,I.S. 289,201 WARREN STREET,MANHATTAN,10282,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
02M290,P.S. 290 Manhattan New School,311 EAST 82 STREET,MANHATTAN,10028,M146,421 EAST 106 STREET,MANHATTAN,10029,,,,
02M294,Essex Street Academy,350 GRAND STREET,MANHATTAN,10002,M475,345 EAST 15TH STREET,MANHATTAN,10003,,,,
02M296,High School of Hospitality Management,525 WEST 50TH STREET,MANHATTAN,10019,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
02M298,Pace High School,100 HESTER STREET,MANHATTAN,10002,M131,100 HESTER STREET,MANHATTAN,10002,,,,
02M300,"Urban Assembly School of Design and Construction, The",525 WEST 50TH STREET,MANHATTAN,10019,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
02M303,"Facing History School, The",525 WEST 50TH STREET,MANHATTAN,10019,M470,145 WEST 84 STREET,MANHATTAN,10024,,,,
02M305,"Urban Assembly Academy of Government and Law, The",350 GRAND STREET,MANHATTAN,10002,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
02M308,Lower Manhattan Arts Academy,350 GRAND STREET,MANHATTAN,10002,M477,345 CHAMBERS STREET,MANHATTAN,10282,,,,
02M312,New York City Lab Middle School for Collaborative Studies,333 WEST 17 STREET,MANHATTAN,10011,M486,120 WEST 46 STREET,MANHATTAN,10036,,,,
02M313,"James Baldwin School, The: A School for Expeditionary Learning",351 WEST 18 STREET,MANHATTAN,10011,M440,351 WEST 18 STREET,MANHATTAN,10011,,,,
02M316,"Urban Assembly School of Business for Young Women, the",26 BROADWAY,MANHATTAN,10004,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
02M347,The 47 American Sign Language & English Lower School,223 EAST 23 STREET,MANHATTAN,10010,M104,330 EAST 21 STREET,MANHATTAN,10010,,,,
02M374,Gramercy Arts High School,40 IRVING PLACE,MANHATTAN,10003,M600,225 WEST 24 STREET,MANHATTAN,10011,,,,
02M376,NYC iSchool,131 AVENUE OF THE AMERICAS,MANHATTAN,10013,M131,100 HESTER STREET,MANHATTAN,10002,,,,
02M392,MANHATTAN BUSINESS ACADEMY,351 WEST 18 STREET,MANHATTAN,10011,M440,351 WEST 18 STREET,MANHATTAN,10011,,,,
02M393,BUSINESS OF SPORTS SCHOOL,439 WEST 49TH STREET,MANHATTAN,10019,M625,439 WEST 49TH STREET,MANHATTAN,10019,,,,
02M394,EMMA LAZARUS HIGH SCHOOL,100 HESTER STREET,MANHATTAN,10002,M131,100 HESTER STREET,MANHATTAN,10002,,,,
02M397,SPRUCE STREET SCHOOL,12 SPRUCE STREET,MANHATTAN,10018,M124,40 DIVISION STREET,MANHATTAN,10002,,,,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40 IRVING PLACE,MANHATTAN,10003,M600,225 WEST 24 STREET,MANHATTAN,10011,,,,
02M400,High School for Environmental Studies,444 WEST 56 STREET,MANHATTAN,10019,M834,444 WEST 56 STREET,MANHATTAN,10019,,,,
02M407,Institute for Collaborative Education,345 EAST 15TH STREET,MANHATTAN,10003,M475,345 EAST 15TH STREET,MANHATTAN,10003,,,,
02M408,Professional Performing Arts High School,328 WEST 48 STREET,MANHATTAN,10036,M834,444 WEST 56 STREET,MANHATTAN,10019,,,,
02M411,Baruch College Campus High School,55 EAST 25 STREET,MANHATTAN,10010,M833,100 TRINITY PLACE,MANHATTAN,10006,,,,
02M412,N.Y.C. Lab School for Collaborative Studies,333 WEST 17 STREET,MANHATTAN,10011,M486,120 WEST 46 STREET,MANHATTAN,10036,,,,
02M413,School of the Future High School,127 EAST 22 STREET,MANHATTAN,10010,M660,127 EAST 22 STREET,MANHATTAN,10010,M104,330 EAST 21 STREET,MANHATTAN,10010
02M414,N.Y.C. Museum School,333 WEST 17 STREET,MANHATTAN,10011,M834,444 WEST 56 STREET,MANHATTAN,10019,,,,
02M416,Eleanor Roosevelt High School,411 EAST 76 STREET,MANHATTAN,10021,M477,345 CHAMBERS STREET,MANHATTAN,10282,,,,
02M418,Millennium High School,75 BROAD STREET,MANHATTAN,10004,M833,100 TRINITY PLACE,MANHATTAN,10006,,,,
02M419,Landmark High School,351 WEST 18 STREET,MANHATTAN,10011,M440,351 WEST 18 STREET,MANHATTAN,10011,,,,
02M420,High School for Health Professions and Human Services,345 EAST 15TH STREET,MANHATTAN,10003,M475,345 EAST 15TH STREET,MANHATTAN,10003,,,,
02M422,Quest to Learn,351 WEST 18 STREET,MANHATTAN,10011,M600,225 WEST 24 STREET,MANHATTAN,10011,M111,440 WEST 53 STREET,MANHATTAN,10019
02M425,Leadership and Public Service High School,90 TRINITY PLACE,MANHATTAN,10006,M833,100 TRINITY PLACE,MANHATTAN,10006,,,,
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,111 EAST 33RD STREET,MANHATTAN,10016,M470,145 WEST 84 STREET,MANHATTAN,10024,,,,
02M429,Legacy School for Integrated Studies,34 WEST 14 STREET,MANHATTAN,10011,M600,225 WEST 24 STREET,MANHATTAN,10011,,,,
02M432,Murray Hill Academy,111 EAST 33RD STREET,MANHATTAN,10016,M600,225 WEST 24 STREET,MANHATTAN,10011,,,,
02M438,International High School at Union Square,40 IRVING PLACE,MANHATTAN,10003,M475,345 EAST 15TH STREET,MANHATTAN,10003,,,,
02M439,Manhattan Village Academy,43 WEST 22 STREET,MANHATTAN,10010,M475,345 EAST 15TH STREET,MANHATTAN,10003,,,,
02M442,"Ballet Tech, NYC Public School for Dance",890 BROADWAY,MANHATTAN,10003,M111,440 WEST 53 STREET,MANHATTAN,10019,,,,
02M449,Vanguard High School,317 EAST 67 STREET,MANHATTAN,10065,M480,317 EAST 67 STREET,MANHATTAN,10065,,,,
02M459,Manhattan International High School,317 EAST 67 STREET,MANHATTAN,10065,M480,317 EAST 67 STREET,MANHATTAN,10065,,,,
02M460,Washington Irving High School,40 IRVING PLACE,MANHATTAN,10003,M661,240 2 AVENUE,MANHATTAN,10003,,,,
02M473,Washington Irving Yabc,40 IRVING PLACE,MANHATTAN,10003,M661,240 2 AVENUE,MANHATTAN,10003,,,,
02M475,Stuyvesant High School,345 CHAMBERS STREET,MANHATTAN,10282,M477,345 CHAMBERS STREET,MANHATTAN,10282,,,,
02M489,High School of Economics and Finance,100 TRINITY PLACE,MANHATTAN,10006,M833,100 TRINITY PLACE,MANHATTAN,10006,,,,
02M500,Unity Center for Urban Technologies,111 EAST 33RD STREET,MANHATTAN,10016,M470,145 WEST 84 STREET,MANHATTAN,10024,,,,
02M507,Urban Assembly Gateway School for Technology,439 WEST 49TH STREET,MANHATTAN,10019,M625,439 WEST 49TH STREET,MANHATTAN,10019,,,,
02M519,Talent Unlimited High School,317 EAST 67 STREET,MANHATTAN,10065,M480,317 EAST 67 STREET,MANHATTAN,10065,,,,
02M520,Murry Bergtraum High School for Business Careers,411 PEARL STREET,MANHATTAN,10038,M520,411 PEARL STREET,MANHATTAN,10038,,,,
02M529,Jacqueline Kennedy Onassis High School,120 WEST 46 STREET,MANHATTAN,10036,M486,120 WEST 46 STREET,MANHATTAN,10036,,,,
02M531,Repertory Company High School for Theatre Arts,123 WEST 43 STREET,MANHATTAN,10036,M486,120 WEST 46 STREET,MANHATTAN,10036,,,,
02M533,Union Square Academy for Health Sciences,40 IRVING PLACE,MANHATTAN,10003,M486,120 WEST 46 STREET,MANHATTAN,10036,,,,
02M534,Harvest Collegiate High School,34 WEST 14 STREET,MANHATTAN,10011,M600,225 WEST 24 STREET,MANHATTAN,10011,,,,
02M542,Manhattan Bridges High School,525 WEST 50TH STREET,MANHATTAN,10019,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
02M543,New Design High School,350 GRAND STREET,MANHATTAN,10002,M510,198 FORSYTH STREET,MANHATTAN,10002,,,,
02M544,Independence High School,850 10TH AVENUE,MANHATTAN,10019,M834,444 WEST 56 STREET,MANHATTAN,10019,,,,
02M545,High School for Dual Language and Asian Studies,350 GRAND STREET,MANHATTAN,10002,M477,345 CHAMBERS STREET,MANHATTAN,10282,,,,
02M546,Academy for Software Engineering,40 IRVING PLACE,MANHATTAN,10003,M486,120 WEST 46 STREET,MANHATTAN,10036,,,,
02M550,Liberty High School Academy for Newcomers,250 WEST 18 STREET,MANHATTAN,10011,M451,250 WEST 18 STREET,MANHATTAN,10011,,,,
02M551,Urban Assembly New York Harbor School,"10 SOUTH STREET, SLIP 7",MANHATTAN,10004,M877,"10 SOUTH STREET, SLIP 7",MANHATTAN,10004,,,,
02M560,High School M560 - City As School,16 CLARKSON STREET,MANHATTAN,10014,M661,240 2 AVENUE,MANHATTAN,10003,,,,
02M570,Satellite Academy High School,120 WEST 30 STREET,MANHATTAN,10001,M920,120 WEST 30 STREET,MANHATTAN,10001,,,,
02M575,Manhattan Comprehensive Night and Day High School,240 2 AVENUE,MANHATTAN,10003,M661,240 2 AVENUE,MANHATTAN,10003,,,,
02M580,Richard R. Green High School of Teaching,26 BROADWAY,MANHATTAN,10004,M600,225 WEST 24 STREET,MANHATTAN,10011,,,,
02M586,Harvey Milk High School,2-10 ASTOR PLACE,MANHATTAN,10003,K650,257 NORTH 6 STREET,BROOKLYN,11211,,,,
02M600,The High School of Fashion Industries,225 WEST 24 STREET,MANHATTAN,10011,M600,225 WEST 24 STREET,MANHATTAN,10011,,,,
02M605,Humanities Preparatory Academy,351 WEST 18 STREET,MANHATTAN,10011,M440,351 WEST 18 STREET,MANHATTAN,10011,,,,
02M615,Chelsea Career and Technical Education High School,131 AVENUE OF THE AMERICAS,MANHATTAN,10013,M131,100 HESTER STREET,MANHATTAN,10002,M615,131 AVENUE OF THE AMERICAS,MANHATTAN,10013
02M620,Norman Thomas High School,111 EAST 33RD STREET,MANHATTAN,10016,M435,260 PLEASANT AVENUE,MANHATTAN,10029,,,,
02M625,High School of Graphic Communication Arts,439 WEST 49TH STREET,MANHATTAN,10019,M625,439 WEST 49TH STREET,MANHATTAN,10019,,,,
02M630,Art and Design High School,231-249 EAST 56 STREET,MANHATTAN,10019,M435,260 PLEASANT AVENUE,MANHATTAN,10029,,,,
02M655,Life Sciences Secondary School,320 EAST 96 STREET,MANHATTAN,10128,M645,320 EAST 96 STREET,MANHATTAN,10128,,,,
02M896,Lower Manhattan Community Middle School,26 BROADWAY,MANHATTAN,10004,M104,330 EAST 21 STREET,MANHATTAN,10010,M131,100 HESTER STREET,MANHATTAN,10002
03M009,P.S. 009 Sarah Anderson,100 WEST 84 STREET,MANHATTAN,10024,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M054,J.H.S. 054 Booker T. Washington,103 WEST 107 STREET,MANHATTAN,10025,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M075,P.S. 075 Emily Dickinson,735 WEST END AVENUE,MANHATTAN,10025,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M076,P.S. 076 A. Philip Randolph,220 WEST 121 STREET,MANHATTAN,10027,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
03M084,P.S. 084 Lillian Weber,32 WEST 92 STREET,MANHATTAN,10025,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M087,P.S. 087 William Sherman,160 WEST 78 STREET,MANHATTAN,10024,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M145,"P.S. 145, The Bloomingdale School",150 WEST 105 STREET,MANHATTAN,10025,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M149,P.S. 149 Sojourner Truth,41 WEST 117 STREET,MANHATTAN,10026,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
03M163,P.S. 163 Alfred E. Smith,163 WEST 97 STREET,MANHATTAN,10025,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M165,P.S. 165 Robert E. Simon,234 WEST 109 STREET,MANHATTAN,10025,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,132 WEST 89 STREET,MANHATTAN,10024,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M180,P.S. 180 Hugo Newman,370 WEST 120 STREET,MANHATTAN,10027,M161,499 WEST 133 STREET,MANHATTAN,10027,,,,
03M191,P.S. 191 Amsterdam,210 WEST 61 STREET,MANHATTAN,10023,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M199,P.S. 199 Jessie Isador Straus,270 WEST 70 STREET,MANHATTAN,10023,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M208,P.S. 208 Alain L. Locke,21 WEST 111 STREET,MANHATTAN,10026,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
03M241,STEM Institute of Manhattan,240 WEST 113 STREET,MANHATTAN,10026,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
03M242,P.S. 242 - The Young Diplomats Magnet Academy,134 WEST 122 STREET,MANHATTAN,10027,M076,220 WEST 121 STREET,MANHATTAN,10027,,,,
03M243,M.S. 243 Center School,100 WEST 84 STREET,MANHATTAN,10024,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M245,M.S. M245 The Computer School,100 WEST 77 STREET,MANHATTAN,10024,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M247,M.S. M247 Dual Language Middle School,32 WEST 92 STREET,MANHATTAN,10025,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M250,M.S. 250 West Side Collaborative Middle School,735 WEST END AVENUE,MANHATTAN,10025,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M256,M.S. 256 Academic & Athletic Excellence,154 WEST 93 STREET,MANHATTAN,10025,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M258,Community Action School - MS 258,154 WEST 93 STREET,MANHATTAN,10025,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M283,Manhattan Theatre Lab High School,122 AMSTERDAM AVENUE,MANHATTAN,10023,M600,225 WEST 24 STREET,MANHATTAN,10011,,,,
03M299,"High School for Arts, Imagination and Inquiry",122 AMSTERDAM AVENUE,MANHATTAN,10023,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
03M307,"Urban Assembly School for Media Studies, The",122 AMSTERDAM AVENUE,MANHATTAN,10023,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
03M334,The Anderson School,100 WEST 77 STREET,MANHATTAN,10024,M054,103 WEST 107 STREET,MANHATTAN,10025,M163,163 WEST 97 STREET,MANHATTAN,10025
03M402,The Urban Assembly School for Green Careers,145 WEST 84 STREET,MANHATTAN,10024,M470,145 WEST 84 STREET,MANHATTAN,10024,,,,
03M403,The Global Learning Collaborative,145 WEST 84 STREET,MANHATTAN,10024,M470,145 WEST 84 STREET,MANHATTAN,10024,,,,
03M404,Innovation Diploma Plus,145 WEST 84 STREET,MANHATTAN,10024,M470,145 WEST 84 STREET,MANHATTAN,10024,,,,
03M415,Wadleigh Secondary School for the Performing & Visual Arts,215 WEST 114 STREET,MANHATTAN,10026,M540,443 WEST 135 STREET,MANHATTAN,10031,,,,
03M417,FRANK McCOURT HIGH SCHOOL,145 WEST 84 STREET,MANHATTAN,10024,M470,145 WEST 84 STREET,MANHATTAN,10024,,,,
03M421,West Prep Academy,150 WEST 105 STREET,MANHATTAN,10025,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
03M452,P.S. 452,100 WEST 77 STREET,MANHATTAN,10024,M163,163 WEST 97 STREET,MANHATTAN,10025,,,,
03M479,Beacon High School,227-243 WEST 61ST STREET,MANHATTAN,10023,M465,549 AUDUBON AVENUE,MANHATTAN,10040,,,,
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,100 AMSTERDAM AVENUE,MANHATTAN,10023,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
03M492,"High School for Law, Advocacy and Community Justice",122 AMSTERDAM AVENUE,MANHATTAN,10023,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
03M494,High School of Arts and Technology,122 AMSTERDAM AVENUE,MANHATTAN,10023,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
03M505,Edward A. Reynolds West Side High School,140 WEST 102 STREET,MANHATTAN,10025,M506,140 WEST 102 STREET,MANHATTAN,10025,,,,
03M541,Manhattan / Hunter Science High School,122 AMSTERDAM AVENUE,MANHATTAN,10023,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
03M859,Special Music School,129 WEST 67 STREET,MANHATTAN,10023,M111,440 WEST 53 STREET,MANHATTAN,10019,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023
03M860,Frederick Douglass Academy II Secondary School,215 WEST 114 STREET,MANHATTAN,10026,M970,200-214 WEST 135TH STREET,MANHATTAN,10030,,,,
03M862,Mott Hall II,234 WEST 109 STREET,MANHATTAN,10025,M054,103 WEST 107 STREET,MANHATTAN,10025,,,,
04M007,P.S. 007 Samuel Stern,160 EAST 120 STREET,MANHATTAN,10035,M057,176 EAST 115 STREET,MANHATTAN,10029,NDOE,2180 3rd Ave,New York,10035
04M012,Tag Young Scholars,240 EAST 109 STREET,MANHATTAN,10029,M117,240 EAST 109 STREET,MANHATTAN,10029,,,,
04M013,J.H.S. 013 Jackie Robinson,1573 MADISON AVENUE,MANHATTAN,10029,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
04M037,River East Elementary,508 EAST 120 STREET,MANHATTAN,10035,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M038,P.S. 38 Roberto Clemente,232 EAST 103 STREET,MANHATTAN,10029,M146,421 EAST 106 STREET,MANHATTAN,10029,,,,
