Part #,Item,MSRP,MAP,UPC,Pkg Qty,Product Line,Availability,More Info
6575.0,Diff Thrust Bolt Parts,4.99,,784695 065758,set,Team Associated,In Stock,More Info
6581.0,"Carbide Diff Ball, large, 3/32""",12.0,,784695 065819,12.0,Team Associated,In Stock,More Info
6582.0,Diff Thrust Spring,1.99,,784695 065826,1.0,Team Associated,In Stock,More Info
6584.0,"3/32"" Ceramic Diff Balls",18.0,,784695 065840,12.0,Team Associated,In Stock,More Info
7337.0,"#4 Washer, steel",1.99,,784695 073371,4.0,Team Associated,In Stock,More Info
7485.0,FT V2 Slipper Hubs,12.99,,784695 074859,pr,Team Associated,In Stock,More Info
7666.0,"Diff Drive Rings, 2.60:1",1.99,,784695 076662,2.0,Team Associated,In Stock,More Info
7677.0,Diff Rebuild Kit,12.99,,784695 076778,1.0,Team Associated,In Stock,More Info
8253.0,"16 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082533,1.0,Team Associated,In Stock,More Info
8254.0,"17 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082540,1.0,Team Associated,In Stock,More Info
8255.0,"18 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082557,1.0,Team Associated,In Stock,More Info
8256.0,"19 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082564,1.0,Team Associated,In Stock,More Info
8257.0,"20 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082571,1.0,Team Associated,In Stock,More Info
8258.0,"21 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082588,1.0,Team Associated,In Stock,More Info
8259.0,"22 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082595,1.0,Team Associated,In Stock,More Info
8260.0,"23 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082601,1.0,Team Associated,In Stock,More Info
8261.0,"24 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082618,1.0,Team Associated,In Stock,More Info
8263.0,"26 Tooth, Precision Machined 48 pitch Pinion Gear",6.0,,784695 082632,1.0,Team Associated,In Stock,More Info
8264.0,27 Tooth 48 Pitch Pinion Gear,6.0,,784695 082649,1.0,Team Associated,In Stock,More Info
8265.0,28 Tooth 48 Pitch Pinion Gear,6.0,,784695 082656,1.0,Team Associated,In Stock,More Info
8266.0,29 Tooth 48 Pitch Pinion Gear,6.0,,784695 082663,1.0,Team Associated,In Stock,More Info
8267.0,30 Tooth 48 Pitch Pinion Gear,6.0,,784695 082670,1.0,Team Associated,In Stock,More Info
8268.0,31 Tooth 48 Pitch Pinion Gear,6.0,,784695 082687,1.0,Team Associated,In Stock,More Info
8269.0,32 Tooth 48 Pitch Pinion Gear,6.0,,784695 082694,1.0,Team Associated,In Stock,More Info
8270.0,33 Tooth 48 Pitch Pinion Gear,6.0,,784695 082700,1.0,Team Associated,In Stock,More Info
8271.0,34 Tooth 48 Pitch Pinion Gear,6.0,,784695 082717,1.0,Team Associated,In Stock,More Info
8272.0,35 Tooth 48 Pitch Pinion Gear,6.0,,784695 082724,1.0,Team Associated,In Stock,More Info
89007.0,Steering Servo Horn,5.99,,784695 890077,set,Team Associated,In Stock,More Info
89009.0,Servo Support Ring/Washer,3.99,,784695 890091,pr,Team Associated,In Stock,More Info
89202.0,M3 x 12mm BHC Screw,4.99,,784695 892026,10.0,Team Associated,Out of Stock,More Info
89203.0,M3 x 16mm BHC Screw,4.99,,784695 892033,10.0,Team Associated,Low Inventory,More Info
89204.0,M3 x 24mm BHC Screw,4.99,,784695 892040,10.0,Team Associated,Out of Stock,More Info
89208.0,M3 x 14mm FHC Screw,4.99,,784695 892088,10.0,Team Associated,In Stock,More Info
89218.0,Washer 3 X 8mm,1.99,,784695 892187,10.0,Team Associated,Out of Stock,More Info
90001.0,RC10B5 Team Kit,389.99,239.97,784695 900011,1.0,Team Associated,In Stock,More Info
91011.0,4x4 Idler Gear Shaft,1.99,,784695 910119,1.0,Team Associated,In Stock,More Info
91047.0,"Heavy-duty Ballstud, 6mm",11.99,,784695 910478,8.0,Team Associated,In Stock,More Info
91048.0,"Heavy-duty Ballstud, 8mm",11.99,,784695 910485,8.0,Team Associated,In Stock,More Info
91049.0,"Heavy-duty Ballstud, 10mm",12.99,,784695 910492,8.0,Team Associated,In Stock,More Info
91050.0,"Heavy-duty Ballstud, 12mm",12.99,,784695 910508,8.0,Team Associated,In Stock,More Info
91089.0,4X4 Belt Cover Cap,2.99,,784695 910898,2.0,Team Associated,In Stock,More Info
91118.0,"FT TiN Heavy-duty Ballstud, 6mm",7.5,,784695 911185,2.0,Team Associated,In Stock,More Info
91119.0,"FT TiN Heavy-duty Ballstud, 8mm",7.5,,784695 911192,2.0,Team Associated,In Stock,More Info
91120.0,"FT TiN Heavy-duty Ballstud, 10mm",7.99,,784695 911208,2.0,Team Associated,Out of Stock,More Info
91121.0,"FT TiN Heavy-duty Ballstud, 12mm",7.99,,784695 911215,2.0,Team Associated,In Stock,More Info
91132.0,"4x4 FT Idler Shaft, aluminum",4.99,,784695 911321,2.0,Team Associated,In Stock,More Info
91148.0,"M4 Locknut, with flange and knurl",3.99,,784695 911482,8.0,Team Associated,In Stock,More Info
91175.0,FT VTS Slipper Conversion,16.99,,784695 911758,1.0,Team Associated,In Stock,More Info
91176.0,VTS Slipper Housing,2.99,,784695 911765,1.0,Team Associated,In Stock,More Info
91177.0,VTS Slipper Pads,7.99,,784695 911772,2.0,Team Associated,In Stock,More Info
91178.0,VTS Slipper Plate,2.99,,784695 911789,1.0,Team Associated,In Stock,More Info
91179.0,"FT VTS Slipper Hub, outer",7.99,,784695 911796,1.0,Team Associated,In Stock,More Info
91304.0,12mm Threaded Collar,6.5,,784695 913042,2.0,Team Associated,In Stock,More Info
91308.0,12mm Shock Piston,3.99,,784695 913080,12.0,Team Associated,In Stock,More Info
91310.0,12mm Shock Spring Cups,5.99,,784695 913103,12.0,Team Associated,In Stock,More Info
91325.0,"12mm Front Spring, brown, 2.85 lb",4.99,,784695 913257,pr,Team Associated,In Stock,More Info
91326.0,"12mm Front Spring, black, 3.00 lb",4.99,,784695 913264,pr,Team Associated,In Stock,More Info
91327.0,"12mm Front Spring, green, 3.15 lb",4.99,,784695 913271,pr,Team Associated,In Stock,More Info
91328.0,"12mm Front Spring, white, 3.30 lb",4.99,,784695 913288,pr,Team Associated,In Stock,More Info
91329.0,"12mm Front Spring, gray, 3.45 lb",4.99,,784695 913295,pr,Team Associated,In Stock,More Info
91330.0,"12mm Front Spring, blue, 3.60 lb",4.99,,784695 913301,pr,Team Associated,In Stock,More Info
91331.0,"12mm Front Spring, yellow, 3.75 lb",4.99,,784695 913318,pr,Team Associated,In Stock,More Info
91332.0,"12mm Front Spring, red, 3.90 lb",4.99,,784695 913325,pr,Team Associated,In Stock,More Info
91333.0,"12mm Front Spring, orange, 4.05 lb",4.99,,784695 913332,pr,Team Associated,In Stock,More Info
91334.0,"12mm Front Spring, purple, 4.20 lb",4.99,,784695 913349,pr,Team Associated,In Stock,More Info
91335.0,"12mm Rear Spring, black, 1.90 lb",4.99,,784695 913356,pr,Team Associated,In Stock,More Info
91336.0,"12mm Rear Spring, green, 2.00 lb",4.99,,784695 913363,pr,Team Associated,In Stock,More Info
91337.0,"12mm Rear Spring, white, 2.10 lb",4.99,,784695 913370,pr,Team Associated,In Stock,More Info
91338.0,"12mm Rear Spring, gray, 2.20 lb",4.99,,784695 913387,pr,Team Associated,In Stock,More Info
91339.0,"12mm Rear Spring, blue, 2.30 lb",4.99,,784695 913394,pr,Team Associated,In Stock,More Info
91340.0,"12mm Rear Spring, yellow, 2.40 lb",4.99,,784695 913400,pr,Team Associated,In Stock,More Info
91341.0,12mm Big Bore Front Soft Spring Set,13.99,,784695 913417,1.0,Team Associated,In Stock,More Info
91342.0,12mm Big Bore Front Medium Spring Set,13.99,,784695 913424,1.0,Team Associated,Out of Stock,More Info
91343.0,12mm Big Bore Front Hard Spring Set,13.99,,784695 913431,1.0,Team Associated,In Stock,More Info
91344.0,12mm Big Bore Rear Soft Spring Set,13.99,,784695 913448,1.0,Team Associated,In Stock,More Info
91345.0,12mm Big Bore Rear Medium Spring Set,13.99,,784695 913445,1.0,Team Associated,Low Inventory,More Info
91360.0,Chassis,29.99,,784695 913608,1.0,Team Associated,In Stock,More Info
91361.0,"Chassis, hard",34.99,,784695 913615,1.0,Team Associated,In Stock,More Info
91362.0,Top Plate,4.99,,784695 913622,1.0,Team Associated,In Stock,More Info
91363.0,FT Top Plate (hard),5.5,,784695 913639,1.0,Team Associated,In Stock,More Info
91364.0,Bulkhead,5.99,,784695 913646,pr,Team Associated,In Stock,More Info
91365.0,"Factory Team Brass Bulkhead, 25 deg.",39.99,,784695 913653,1.0,Team Associated,In Stock,More Info
91366.0,"Factory Team Brass Bulkhead, 30 deg.",39.99,,784695 913660,1.0,Team Associated,Out of Stock,More Info
91371.0,Front Hinge Pin Brace,2.99,,784695 913714,1.0,Team Associated,In Stock,More Info
91372.0,FT Aluminum Front Pin Brace,11.99,,784695 913721,1.0,Team Associated,Low Inventory,More Info
91373.0,Front Tower,4.99,,784695 913738,1.0,Team Associated,In Stock,More Info
91374.0,Front Tower (hard),5.5,,784695 913745,1.0,Team Associated,In Stock,More Info
91375.0,Rear Tower,5.99,,784695 913752,1.0,Team Associated,In Stock,More Info
91376.0,FT Rear Tower (hard),6.5,,784695 913769,1.0,Team Associated,In Stock,More Info
91377.0,Chassis Brace,3.99,,784695 913776,1.0,Team Associated,In Stock,More Info
91378.0,FT Chassis Brace (hard),3.99,,784695 913783,1.0,Team Associated,In Stock,More Info
91379.0,Chassis Plate,6.99,,784695 913790,1.0,Team Associated,In Stock,More Info
91380.0,Receiver Mount,3.99,,784695 913806,1.0,Team Associated,In Stock,More Info
91382.0,Arm Mount Set,5.99,,784695 913820,1.0,Team Associated,In Stock,More Info
91383.0,FT Aluminum Arm Mount (C),18.99,,784695 913837,1.0,Team Associated,In Stock,More Info
91385.0,Arm Mount Inserts,4.99,,784695 913851,4pr,Team Associated,In Stock,More Info
91387.0,FT Aluminum Arm Mount (D),16.99,,784695 913875,1.0,Team Associated,In Stock,More Info
91389.0,Arm Mount Inserts (D),2.99,,784695 913899,4.0,Team Associated,In Stock,More Info
91391.0,Steering Set,5.99,,784695 913912,1.0,Team Associated,In Stock,More Info
91392.0,FT Aluminum Steering Set,24.99,,784695 913929,1.0,Team Associated,In Stock,More Info
91394.0,Hinge Pin Set,5.99,,784695 913943,1.0,Team Associated,In Stock,More Info
91398.0,"Front Arms, flat",6.99,,784695 913981,pr,Team Associated,In Stock,More Info
91399.0,"Front Arms, flat (hard)",7.5,,784695 913998,pr,Team Associated,In Stock,More Info
91400.0,Caster Block,7.99,,784695 914001,pr,Team Associated,In Stock,More Info
91401.0,FT Caster Block (hard),8.5,,784695 914018,pr,Team Associated,In Stock,More Info
91402.0,Caster Block Bushing,3.99,,784695 914025,4.0,Team Associated,In Stock,More Info
91403.0,"Caster Block Bushing, offset",9.99,,784695 914032,2pr,Team Associated,In Stock,More Info
91404.0,Steering Block,7.99,,784695 914049,pr,Team Associated,In Stock,More Info
91405.0,FT Steering Block (hard),8.5,,784695 914056,1.0,Team Associated,In Stock,More Info
91406.0,Front Axle,8.99,,784695 914063,pr,Team Associated,In Stock,More Info
91407.0,Front Axle Crush Tube,2.99,,784695 914070,2.0,Team Associated,In Stock,More Info
91408.0,"Front Axle, clamp hex",6.99,,784695 914087,pr,Team Associated,In Stock,More Info
91409.0,"Clamping Hex, front",10.99,,784695 914094,pr,Team Associated,In Stock,More Info
91410.0,Front Bumper,2.99,,784695 914100,1.0,Team Associated,In Stock,More Info
91412.0,Rear Arms,7.99,,784695 914124,pr,Team Associated,In Stock,More Info
91413.0,FT Rear Arms (hard),8.5,,784695 914131,pr,Team Associated,In Stock,More Info
91414.0,Rear Hubs,8.99,,784695 914148,pr,Team Associated,In Stock,More Info
91415.0,Rear Hubs (hard),9.5,,784695 914155,pr,Team Associated,In Stock,More Info
91416.0,Rear Hub Link Nut,14.99,,784695 914162,2pr,Team Associated,In Stock,More Info
91419.0,Diff Gear,3.99,,784695 914193,1.0,Team Associated,In Stock,More Info
91420.0,Ball Diff Outdrive,29.99,,784695 914209,pr,Team Associated,In Stock,More Info
91421.0,Ball Diff Kit,59.99,,784695 914216,1.0,Team Associated,Low Inventory,More Info
91423.0,Slipper Spring Adapter,2.5,,784695 914230,2.0,Team Associated,In Stock,More Info
91424.0,Gearbox,6.99,,784695 914247,pr,Team Associated,In Stock,More Info
91425.0,Top Shaft,10.99,,784695 914254,1.0,Team Associated,In Stock,More Info
91426.0,Top Shaft Spacer,1.99,,784695 914261,1.0,Team Associated,In Stock,More Info
91427.0,Aluminum Top Shaft,15.99,,784695 914278,1.0,Team Associated,Out of Stock,More Info
91428.0,"Motor Plate, blue",10.99,,784695 914285,1.0,Team Associated,In Stock,More Info
91429.0,Idler Gear,5.99,,784695 914292,2.0,Team Associated,In Stock,More Info
91432.0,Motor Guard,5.99,,784695 914322,1.0,Team Associated,In Stock,More Info
91433.0,Wing and Rear Body Mount,3.99,,784695 914339,1.0,Team Associated,In Stock,More Info
91435.0,"Gear Cover, black",3.99,,784695 914353,1.0,Team Associated,In Stock,More Info
91436.0,CVA/Wheel Hex Pin,2.99,,784695 914360,4.0,Team Associated,In Stock,More Info
91437.0,CVA Axle,11.99,,784695 914377,pr,Team Associated,In Stock,More Info
91438.0,CVA Rebuild Kit,6.99,,784695 914384,pr,Team Associated,In Stock,More Info
91439.0,CVA Bone,14.99,,784695 914391,pr,Team Associated,In Stock,More Info
91440.0,CVA Kit,29.99,,784695 914407,1.0,Team Associated,In Stock,More Info
91441.0,"Wheel Hex, rear",1.99,,784695 914414,pr,Team Associated,In Stock,More Info
91442.0,"Clamping Hex, rear",10.99,,784695 914421,pr,Team Associated,In Stock,More Info
91443.0,"Servo Mount, blue",16.99,,784695 914438,pr,Team Associated,In Stock,More Info
91445.0,"Shock Bushing, composite",2.5,,784695 914452,4.0,Team Associated,In Stock,More Info
91446.0,"FT Shock Bushing, aluminum",9.99,,784695 914469,4.0,Team Associated,In Stock,More Info
91447.0,Shock Bushing Ball,2.99,,784695 914476,4.0,Team Associated,In Stock,More Info
91448.0,Shock Pivot Ball End,5.99,,784695 914483,4.0,Team Associated,In Stock,More Info
91449.0,12mm V2 Composite Shock Cap,7.99,,784695 914490,4.0,Team Associated,In Stock,More Info
91450.0,FT 12mm V2 Aluminum Shock Cap,17.99,,784695 914506,pr,Team Associated,In Stock,More Info
91451.0,"Heavy-Duty Ballstud, 4mm",10.99,,784695 914513,8.0,Team Associated,In Stock,More Info
91452.0,"Heavy-Duty Ballstud, 4mm, TiN",7.5,,784695 914520,2.0,Team Associated,In Stock,More Info
91453.0,"Heavy-Duty Ball Cup Set, small",6.99,,784695 914537,6pr,Team Associated,In Stock,More Info
91455.0,Steering Link,2.99,,784695 914551,1.0,Team Associated,In Stock,More Info
91456.0,Composite Battery Strap,5.99,,784695 914568,1.0,Team Associated,In Stock,More Info
91457.0,FT Graphite Battery Strap,24.99,,784695 914575,1.0,Team Associated,In Stock,More Info
91458.0,FT Battery Strap Thumbwheel,6.99,,784695 914582,pr,Team Associated,In Stock,More Info
91459.0,Battery Spacers,7.99,,784695 914599,5.0,Team Associated,In Stock,More Info
91461.0,Gear Diff Kit,39.99,,784695 914612,1.0,Team Associated,Out of Stock,More Info
91462.0,"Gear Diff Gear, Cover",13.99,,784695 914629,1.0,Team Associated,In Stock,More Info
91463.0,Gear Diff Rebuild,14.99,,784695 914636,1.0,Team Associated,In Stock,More Info
91465.0,Gear Diff Outdrive,13.99,,784695 914650,pr,Team Associated,In Stock,More Info
91468.0,"FT Anti-roll Bar Kit, B5",29.99,,784695 914681,1.0,Team Associated,In Stock,More Info
91470.0,"RC10B5 Body, clear",17.99,,784695 914704,1.0,Team Associated,In Stock,More Info
91471.0,"Wing, clear",6.99,,784695 914711,1.0,Team Associated,In Stock,More Info
91472.0,RC10B5 Decal Sheet,8.99,,784695 914728,1.0,Team Associated,In Stock,More Info
91475.0,3 x 7 x 3 Ball Bearing,19.99,,784695 914759,8.0,Team Associated,In Stock,More Info
91476.0,6 x 13 x 5 Ball Bearing,5.99,,784695 914766,2.0,Team Associated,In Stock,More Info
91477.0,"M3 Nut, black",1.99,,784695 914773,6.0,Team Associated,In Stock,More Info
91478.0,M3x0.5x30 BHCS,3.99,,784695 914780,6.0,Team Associated,In Stock,More Info
91480.0,12x23 V2 Shock Bodies,22.99,,784695 914803,pr,Team Associated,In Stock,More Info
91482.0,12x31 V2 Shock Bodies,22.99,,784695 914827,pr,Team Associated,In Stock,More Info
91488.0,3x21 Shock Shaft,5.5,,784695 914889,pr,Team Associated,In Stock,More Info
91489.0,3x27.5 Shock Shaft,5.5,,784695 914896,pr,Team Associated,In Stock,More Info
91491.0,12mm V2 Shock Rebuild,10.99,,784695 914919,1.0,Team Associated,In Stock,More Info
91492.0,12mm V2 Bleeder Gasket,1.99,,784695 914926,pr,Team Associated,Out of Stock,More Info
91493.0,FT Low Friction X-Rings,9.99,,784695 914933,8.0,Team Associated,In Stock,More Info
91495.0,FT 12mm V2 X-Ring Rebuild,14.99,,784695 914957,1.0,Team Associated,In Stock,More Info
91496.0,"12x23B/21S V2 Shock Kit (B5, B5M front - all model versions)",59.99,,784695 914964,1.0,Team Associated,In Stock,More Info
91498.0,"12x31B/27.5S V2 Shock Kit (B5, B5M rear - all model versions)",59.99,,784695 914988,1.0,Team Associated,In Stock,More Info
91516.0,"Front Shock Tower, gull",4.99,,784695 915169,1.0,Team Associated,In Stock,More Info
91517.0,"Front Shock Tower, gull (hard)",5.5,,784695 915176,1.0,Team Associated,In Stock,More Info
91526.0,"Front Arm, gull",6.99,,784695 915268,pr,Team Associated,In Stock,More Info
91527.0,"Front Arm, gull (hard)",7.5,,784695 915275,pr,Team Associated,In Stock,More Info
91539.0,B5 to B5M Conversion Kit,109.99,,784695 915398,1.0,Team Associated,Low Inventory,More Info
91541.0,"FT M3 x 14mm BHCS, blue aluminum",4.99,,784695 915411,6.0,Team Associated,In Stock,More Info
91542.0,"FT M3 x 16mm BHCS, blue aluminum",4.99,,784695 915428,6.0,Team Associated,In Stock,More Info
91543.0,B5 Aluminum Screw Set,22.99,,784695 915435,1.0,Team Associated,In Stock,More Info
91546.0,"Factory Team Milled Motor Plate, black",15.99,,784695 915466,1.0,Team Associated,Out of Stock,More Info
91547.0,"Factory Team Milled Motor Plate, blue",15.99,,784695 915473,1.0,Team Associated,Out of Stock,More Info
91548.0,"Aluminum Rear Hubs, blue",44.99,,784695 915480,pr,Team Associated,In Stock,More Info
91549.0,"Aluminum Rear Hubs, black",44.99,,784695 915497,pr,Team Associated,In Stock,More Info
91550.0,Rear Hub Bearing Inserts,3.99,,784695 915503,pr,Team Associated,In Stock,More Info
91551.0,B5/B5M Factory Team Bearing Set,23.99,,784695 915510,16.0,Team Associated,In Stock,More Info
91560.0,5x10x4mm Factory Team Bearings,6.99,,784695 915602,4.0,Team Associated,In Stock,More Info
91561.0,6x12x4mm Factory Team Bearings,6.99,,784695 915619,4.0,Team Associated,In Stock,More Info
91562.0,6x13x5mm Factory Team Bearings,6.99,,784695 915626,4.0,Team Associated,In Stock,More Info
91563.0,10x15x4mm Factory Team Bearings,7.99,,784695 915633,4.0,Team Associated,In Stock,More Info
9180.0,"Servo Horns, molded",2.5,,784695 091801,set,Team Associated,In Stock,More Info
9603.0,Slipper Pad,7.0,,784695 096035,2.0,Team Associated,In Stock,More Info
9648.0,69 Tooth 48 Pitch Spur Gear,6.0,,784695 096486,1.0,Team Associated,In Stock,More Info
9649.0,72 Tooth 48 Pitch Spur Gear,6.0,,784695 096493,1.0,Team Associated,In Stock,More Info
