Fiscal Period,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec00,Dec01,Dec02,Dec03,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Return on Capital  - Joel Greenblatt %,0.0,0.0,6.7,0.0,9.5,15.4,10.6,-0.3,-2.1999999999999997,-4.3,-6.4,-2.1999999999999997,1.3,-5.0,-3.5999999999999996,,0.0,0.0,0.0,0.0,0.0,22.0,2.4,10.8,10.8,16.400000000000002,18.4,13.200000000000001,14.799999999999999,7.6,0.4,4.8,10.0,6.800000000000001,-28.000000000000004,-4.8,14.000000000000002,3.2,-26.400000000000002,-18.8,11.200000000000001,-4.0,-5.2,-7.6,3.2,-7.199999999999999,-12.8,-4.8,-1.6,1.2,-2.8000000000000003,-3.5999999999999996,3.2,8.799999999999999,-4.3999999999999995,-4.0,-11.600000000000001,2.8000000000000003,-3.5999999999999996
Debt to Equity,0.0,0.0,0.051,0.0,4.835,3.281,3.077,3.331,4.566,7.259,409.645,43.003,-20.045,-70.789,-70.789,,0.0,0.0,0.0,0.0,0.0,21.744,4.835,4.924,4.734,4.082,3.281,3.505,3.681,3.552,3.077,3.554,3.454,3.287,3.331,3.822,3.3,3.167,4.566,8.893,7.824,9.267,7.259,10.828,13.02,19.569,409.645,-46.144,-25.958,12.079,43.003,-192.277,-86.306,-287.906,-20.045,84.603,-35.21,-28.162,-70.789
Gross Margin %,8.1,9.9,9.700000000000001,10.7,9.1,9.1,9.8,10.2,11.3,11.700000000000001,11.700000000000001,12.0,12.1,10.6,11.200000000000001,,0.0,0.0,0.0,0.0,9.4,9.4,8.4,8.799999999999999,7.8,9.4,10.6,9.4,9.9,10.0,9.8,10.8,11.0,10.100000000000001,8.5,10.9,12.9,11.5,9.3,10.9,11.4,12.3,12.4,12.1,11.899999999999999,10.7,12.1,11.799999999999999,11.5,12.3,12.3,12.0,12.2,12.2,11.799999999999999,11.200000000000001,9.1,11.200000000000001,11.200000000000001
Operating Margin %,0.3,1.3,1.2,2.1,2.0,2.1,1.6,0.0,-0.3,-1.0,-1.3,-0.5,0.3,-1.0,-0.8,,0.0,0.0,0.0,0.0,2.7,3.0,0.4,1.7000000000000002,1.6,2.3,2.6,2.0,2.4,1.3,0.1,1.0,1.9,1.3,-5.800000000000001,-1.0999999999999999,2.5,0.6,-5.3,-4.5,2.5,-0.8,-1.3,-1.9,0.7000000000000001,-1.6,-3.3000000000000003,-1.3,-0.4,0.2,-0.7000000000000001,-0.8999999999999999,0.7000000000000001,2.1,-1.0,-1.0,-2.6,0.6,-0.8
Net Margin %,0.2,0.8,0.7000000000000001,1.3,0.7000000000000001,0.8,0.3,-0.7000000000000001,-1.0999999999999999,-3.6999999999999997,-3.0,-2.1999999999999997,-1.2,-1.9,-0.5,,0.0,0.0,0.0,0.0,1.2,1.4000000000000001,-0.5,0.6,0.5,1.0,1.0999999999999999,0.7000000000000001,0.7000000000000001,0.2,-0.6,0.0,0.5,0.1,-4.3999999999999995,-1.5,0.8,-0.4,-5.0,-14.899999999999999,0.1,-3.0,3.3000000000000003,-3.4000000000000004,-0.6,-3.2,-5.5,-3.2,-2.0,-1.3,-2.6,-2.4,-0.7000000000000001,0.6,-2.6,-2.5,-3.6999999999999997,-0.6,-0.5
Total Equity to Total Asset,0.806,0.782,0.821,0.78,0.124,0.159,0.189,0.175,0.141,0.093,0.002,0.017,-0.038,-0.011,-0.011,,0.0,0.0,0.0,0.0,0.0,0.026,0.124,0.12,0.124,0.138,0.159,0.153,0.155,0.165,0.189,0.166,0.166,0.175,0.175,0.155,0.172,0.185,0.141,0.073,0.08,0.067,0.093,0.063,0.053,0.037,0.002,-0.017,-0.031,0.057,0.017,-0.004,-0.009,-0.003,-0.038,0.008,-0.021,-0.026,-0.011
LT Debt to Total Asset,0.0,0.0,0.0,0.0,0.491,0.467,0.52,0.542,0.528,0.625,0.727,0.652,0.676,0.734,0.734,,0.0,0.0,0.0,0.0,0.0,0.382,0.491,0.444,0.459,0.478,0.467,0.436,0.428,0.47,0.52,0.466,0.454,0.448,0.542,0.524,0.513,0.559,0.528,0.595,0.559,0.585,0.625,0.621,0.58,0.657,0.727,0.707,0.509,0.576,0.652,0.605,0.625,0.589,0.676,0.543,0.534,0.599,0.734
Asset Turnover,5.074,4.579,4.757,5.231,3.23,4.856,4.878,4.34,3.812,3.01,3.437,3.484,3.502,4.058,0.917,,0.0,0.0,0.0,0.0,0.0,1.167,1.062,1.045,1.156,1.177,1.148,1.091,1.072,1.008,0.936,0.853,0.939,0.947,0.882,0.79,0.949,0.901,0.688,0.655,0.693,0.769,0.669,0.731,0.84,0.803,0.701,0.651,0.788,0.828,0.776,0.727,0.847,0.834,0.808,0.719,0.846,0.887,0.917
Dividend Payout Ratio,0.0,0.0,0.0,0.0,0.0,0.339,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.487,0.272,0.26,0.387,0.399,1.68,0.0,0.0,0.718,4.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Days Sales Outstanding,0.0,0.0,23.38,0.0,36.14,25.91,22.91,25.06,17.16,26.46,24.11,28.88,30.13,25.49,,,0.0,0.0,0.0,0.0,0.0,31.43,27.41,33.62,31.18,32.94,27.32,31.76,30.96,32.89,29.76,35.91,34.13,33.25,30.75,35.67,32.17,30.61,23.71,35.05,34.55,34.15,29.66,38.83,33.92,32.63,29.48,39.59,37.38,35.55,32.31,39.7,35.57,35.12,32.54,39.58,35.07,33.91,28.13
Days Inventory,0.0,0.0,33.52,0.0,54.67,33.79,33.92,35.62,28.06,43.51,43.11,43.83,50.05,42.43,47.1,,0.0,0.0,0.0,0.0,0.0,33.46,41.15,38.25,32.26,28.94,36.21,36.58,38.97,39.61,44.08,49.65,44.45,42.31,42.88,50.02,39.46,36.91,37.89,44.67,39.43,39.98,49.12,47.76,43.18,42.91,52.94,58.22,43.67,44.72,49.21,57.08,47.25,45.94,53.93,65.12,52.74,47.7,47.1
Inventory Turnover,0.0,0.0,10.89,0.0,6.68,10.8,10.76,10.25,13.01,8.39,8.47,8.33,7.29,8.6,1.93,,0.0,0.0,0.0,0.0,0.0,2.72,2.21,2.38,2.82,3.14,2.51,2.49,2.33,2.3,2.06,1.83,2.05,2.15,2.12,1.82,2.31,2.47,2.4,2.04,2.31,2.28,1.85,1.91,2.11,2.12,1.72,1.56,2.08,2.03,1.85,1.59,1.93,1.98,1.69,1.4,1.73,1.91,1.93
COGS to Revenue,0.92,0.9,0.9,0.89,0.91,0.91,0.9,0.9,0.89,0.88,0.88,0.88,0.88,0.89,0.89,,0.0,0.0,0.0,0.0,0.91,0.91,0.92,0.91,0.92,0.91,0.89,0.91,0.9,0.9,0.9,0.89,0.89,0.9,0.92,0.89,0.87,0.89,0.91,0.89,0.89,0.88,0.88,0.88,0.88,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.91,0.89,0.89
Inventory to Revenue,0.0,0.0,0.083,0.0,0.136,0.084,0.084,0.088,0.068,0.105,0.104,0.106,0.121,0.104,0.46,,0.0,0.0,0.0,0.0,0.0,0.333,0.414,0.383,0.327,0.288,0.356,0.364,0.386,0.392,0.437,0.486,0.435,0.418,0.431,0.49,0.378,0.359,0.378,0.437,0.384,0.385,0.473,0.461,0.418,0.421,0.512,0.564,0.425,0.431,0.474,0.552,0.456,0.443,0.523,0.635,0.527,0.465,0.46
Revenue,4224.935,3768.7,3734.029,4271.842,3672.82,5622.071,4899.383,3833.91,2779.699,1646.108,1804.418,1755.431,1907.842,2151.972,2151.9719999999998,,0.0,0.0,0.0,0.0,955.612,1509.581,1207.627,1351.619,1486.976,1454.217,1329.259,1376.606,1378.95,1203.578,940.249,957.114,1081.99,1015.888,778.918,716.76,834.669,726.756,501.514,407.111,423.526,449.363,366.108,431.05,540.781,464.69,367.897,390.604,500.81,472.898,391.118,453.708,517.026,496.81,440.298,503.153,604.592,557.952,486.275
Cost of Goods Sold,3880.766,3395.184,3370.995,3814.375,3339.59,5109.632,4419.576,3441.964,2464.766,1452.947,1593.745,1545.282,1677.772,1923.489,1923.488,,0.0,0.0,0.0,0.0,866.084,1367.303,1106.203,1232.291,1371.295,1317.18,1188.866,1246.654,1242.507,1082.672,847.743,853.359,962.752,913.078,712.775,638.957,727.234,643.507,455.068,362.835,375.226,394.058,320.828,378.772,476.662,414.748,323.563,344.335,443.165,414.62,343.161,399.476,453.838,436.279,388.179,446.695,549.407,495.46,431.926
Gross Profit,344.169,373.516,363.034,457.467,333.23,512.439,479.807,391.946,314.933,193.161,210.673,210.149,230.07,228.483,228.48399999999998,,0.0,0.0,0.0,0.0,89.528,142.278,101.424,119.328,115.681,137.037,140.393,129.952,136.443,120.906,92.506,103.755,119.238,102.81,66.143,77.803,107.435,83.249,46.446,44.276,48.3,55.305,45.28,52.278,64.119,49.942,44.334,46.269,57.645,58.278,47.957,54.232,63.188,60.531,52.119,56.458,55.185,62.492,54.349
"Selling, General,  &Admin. Expense",301.349,298.576,295.492,346.585,248.291,378.008,381.554,372.754,303.403,210.214,221.185,207.857,215.996,240.667,240.667,,0.0,0.0,0.0,0.0,61.652,93.363,92.692,91.435,87.948,97.926,100.699,97.267,98.122,99.615,86.55,88.468,93.346,84.826,106.114,80.635,81.227,73.793,67.748,57.665,50.852,55.024,46.44,56.514,57.089,54.121,53.461,48.446,56.78,54.537,48.097,56.066,57.136,48.156,54.638,59.419,68.51,57.255,55.483
Advertising,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Research &Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,0.0,0.0,67.542,110.882,87.262,138.06,100.881,19.192,11.529999999999998,0.7190000000000012,-10.511999999999999,2.292,14.074,-12.183999999999997,-12.182000000000002,,0.0,0.0,21.757,19.476,0.0,52.446999999999996,9.84,28.898,28.621,39.922000000000004,40.619,33.269999999999996,38.965,21.900000000000002,6.566,15.893,26.5,18.592,-41.794,-2.224,26.815,10.064,-23.125,-13.389,14.799,0.28100000000000014,-0.972,-4.236000000000001,7.03,-4.179,-9.126999999999999,-2.177,0.8640000000000003,3.741,-0.13999999999999968,-1.8340000000000005,6.052,12.375,-2.5189999999999997,-2.9610000000000003,-13.325,5.2379999999999995,-1.1340000000000003
"Depreciation, Depletion and Amortization",0.0,0.0,21.757,19.476,12.455,22.399,23.352,20.924,20.519,16.984,13.365,10.562,8.565,9.117,9.117,,0.0,0.0,21.757,19.476,0.0,7.452,5.003,5.248,5.445,5.804,5.902,5.808,5.707,5.826,6.011,6.006,5.943,5.714,3.261,5.576,5.71,5.548,3.685,5.03,4.241,3.882,3.831,3.744,3.434,3.111,3.076,2.938,2.623,2.559,2.442,2.26,2.187,2.106,2.012,2.173,2.229,2.145,2.57
Other Operating Charges,-30.392999999999994,-26.747,-21.756999999999977,-19.476,-10.13200000000002,-18.769999999999982,-20.724000000000046,-20.924000000000007,-20.518999999999973,0.7879999999999967,-13.364999999999998,-10.562000000000001,-8.564999999999984,-9.117,-9.115999999999994,,0.0,0.0,0.0,0.0,-2.3170000000000037,-3.9199999999999946,-3.895000000000014,-4.243000000000002,-4.557000000000006,-4.993000000000002,-4.977000000000004,-5.2230000000000025,-5.0630000000000095,-5.217000000000009,-5.401000000000003,-5.3999999999999915,-5.334999999999997,-5.106000000000009,-5.083999999999996,-4.967999999999992,-5.102999999999998,-4.939999999999989,-5.507999999999992,-5.030000000000005,13.11,-3.881999999999999,-3.6430000000000033,-3.743999999999996,-3.434000000000001,-3.110999999999998,-3.076000000000004,-2.9380000000000006,-2.624000000000002,-2.5589999999999997,-2.4419999999999993,-2.259999999999997,-2.1869999999999994,-2.106,-2.0120000000000013,-2.173000000000002,-2.2289999999999974,-2.143999999999995,-2.57
Operating Income,12.427,48.193,45.785,91.406,74.807,115.661,77.529,-1.732,-8.989,-16.265,-23.877,-8.27,5.509,-21.301,-21.299000000000003,,0.0,0.0,0.0,0.0,25.559,44.995,4.837,23.65,23.176,34.118,34.717,27.462,33.258,16.074,0.555,9.887,20.557,12.878,-45.055,-7.8,21.105,4.516,-26.81,-18.419,10.558,-3.601,-4.803,-7.98,3.596,-7.29,-12.203,-5.115,-1.759,1.182,-2.582,-4.094,3.865,10.269,-4.531,-5.134,-15.554,3.093,-3.704
Interest Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest Expense,0.0,0.0,0.0,0.0,-28.765,-42.311,-46.164,-43.66,-38.547,-32.456,-33.788,-30.51,-28.157,-28.024,-28.024,,0.0,0.0,0.0,0.0,-6.794,-10.914,-11.057,-9.334,-10.656,-11.216,-11.105,-11.197,-12.262,-12.046,-10.659,-10.606,-11.798,-11.352,-9.904,-9.354,-9.385,-8.791,-11.017,-8.117,-8.506,-7.987,-7.846,-7.315,-8.205,-9.121,-9.147,-9.061,-7.73,-6.963,-6.756,-6.782,-7.325,-7.294,-6.756,-7.192,-6.916,-6.918,-6.998
Other Income (Minority Interest),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pre-Tax Income,11.867,47.745,45.437,91.03,43.687,73.164,26.181,-45.022,-48.137,-56.899,-53.832,-37.605,-22.641,-49.631,-49.632,,0.0,0.0,0.0,0.0,18.938,33.941,-8.608,14.187,12.296,23.197,23.484,16.364,16.201,4.057,-10.441,-0.336,8.984,1.519,-55.19,-17.284,11.53,-4.34,-38.043,-32.618,0.659,-13.343,-11.597,-14.723,-3.371,-15.63,-20.108,-12.44,-9.623,-6.114,-9.429,-10.814,-3.509,2.991,-11.309,-12.436,-22.598,-3.842,-10.756
Tax Provision,0.0,0.0,-17.597,0.0,-17.781,-28.561,-10.349,17.077,16.434,-4.564,0.589,-0.962,-0.386,9.013,9.014,,0.0,0.0,0.0,0.0,-7.386,-13.426,2.803,-5.769,-4.545,-9.301,-8.946,-6.569,-6.59,-1.765,4.576,0.147,-3.55,-0.629,21.11,6.693,-4.931,1.746,12.926,-28.035,-0.031,-0.12,23.622,-0.016,-0.036,0.778,-0.137,0.114,-0.158,-0.094,-0.823,-0.205,-0.197,0.077,-0.061,-0.213,0.292,0.636,8.299
Net Income (Continuing Operations),7.239,29.275,27.84,56.153,25.906,44.603,15.832,-27.945,-31.703,-61.463,-53.243,-38.567,-23.027,-40.618,-40.618,,0.0,0.0,0.0,0.0,11.552,20.515,-5.805,8.418,7.751,13.896,14.538,9.795,9.611,2.292,-5.865,-0.189,5.434,0.89,-34.08,-10.591,6.599,-2.594,-25.117,-60.653,0.628,-13.463,12.025,-14.739,-3.407,-14.852,-20.245,-12.326,-9.781,-6.208,-10.252,-11.019,-3.706,3.068,-11.37,-12.649,-22.306,-3.206,-2.457
Net Income (Discontinued Operations),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,7.239,29.275,27.84,56.153,25.906,44.603,15.832,-27.945,-31.703,-61.463,-53.243,-38.567,-23.027,-40.618,-40.618,,0.0,0.0,0.0,0.0,11.552,20.515,-5.805,8.418,7.751,13.896,14.538,9.795,9.611,2.292,-5.865,-0.189,5.434,0.89,-34.08,-10.591,6.599,-2.594,-25.117,-60.653,0.628,-13.463,12.025,-14.739,-3.407,-14.852,-20.245,-12.326,-9.781,-6.208,-10.252,-11.019,-3.706,3.068,-11.37,-12.649,-22.306,-3.206,-2.457
Preferred dividends,0.0,0.0,0.0,0.0,5.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.484,2.487,1.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS (Basic),0.0,0.0,0.0,0.0,1.09,1.48,0.52,-0.91,-1.02,-1.98,-1.73,-0.89,-0.38,-0.51,-0.529,,0.0,0.0,0.0,0.0,0.56,0.51,-0.325,0.28,0.26,0.46,0.48,0.32,0.31,0.07,-0.19,-0.01,0.18,0.03,-1.11,-0.34,0.21,-0.08,-0.81,-1.95,0.02,-0.44,0.39,-0.48,-0.11,-0.48,-0.658,-0.4,-0.31,-0.12,-0.172,-0.18,-0.06,0.05,-0.189,-0.19,-0.27,-0.04,-0.029
EPS (Diluted),0.0,0.0,0.0,0.0,1.02,1.46,0.51,-0.91,-1.02,-1.98,-1.73,-0.89,-0.38,-0.51,-0.529,,0.0,0.0,0.0,0.0,0.52,0.48,-0.325,0.28,0.25,0.46,0.47,0.32,0.31,0.07,-0.2,-0.01,0.18,0.03,-1.11,-0.34,0.21,-0.08,-0.81,-1.95,0.02,-0.44,0.39,-0.48,-0.11,-0.48,-0.658,-0.4,-0.31,-0.12,-0.172,-0.18,-0.06,0.05,-0.189,-0.19,-0.27,-0.04,-0.029
Shares Outstanding (Diluted),0.0,0.0,0.0,0.0,20.296,30.494,30.779,30.848,31.083,31.017,30.688,43.187,60.08,80.163,85.176,,0.0,0.0,0.0,0.0,19.288,19.3,23.284,30.458,30.476,30.493,30.599,30.713,30.79,30.782,30.83,30.8,30.995,30.951,30.89,30.928,31.312,31.15,31.173,31.083,32.664,30.948,31.011,30.587,30.699,30.714,30.751,30.853,31.063,51.183,59.66,59.987,60.098,60.099,60.119,66.714,84.167,84.596,85.176
Cash And Cash Equivalents,0.0,0.0,0.155,0.0,15.572,24.32,27.042,15.759,150.353,29.457,14.297,4.898,5.188,5.034,5.034,,0.0,0.0,0.0,0.0,0.0,23.105,15.572,18.706,27.197,28.32,24.32,27.434,27.146,24.182,27.042,20.262,24.756,25.0,15.759,16.956,29.791,71.098,150.353,60.03,53.011,25.498,29.457,13.379,18.821,12.921,14.297,6.151,6.109,5.89,4.898,5.864,5.151,7.874,5.188,5.285,8.386,6.869,5.034
Marketable Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cash, Cash Equivalents, Marketable Securities",0.0,0.0,0.155,0.0,15.572,24.32,27.042,15.759,150.353,29.457,14.297,4.898,5.188,5.034,5.034,,0.0,0.0,0.0,0.0,0.0,23.105,15.572,18.706,27.197,28.32,24.32,27.434,27.146,24.182,27.042,20.262,24.756,25.0,15.759,16.956,29.791,71.098,150.353,60.03,53.011,25.498,29.457,13.379,18.821,12.921,14.297,6.151,6.109,5.89,4.898,5.864,5.151,7.874,5.188,5.285,8.386,6.869,5.034
