,,New houses no.,New other residential building no.,Total dwellings no.,Value of new houses $'000,Value of new other residential building $'000,Value of alterations & additions to residential buildings $'000,Value of total residential building $'000,Value of non-residential building $'000,Value of total building $'000
405108899,Unincorp. Western,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40515,Eastern Adelaide,229.0,118.0,347.0,66851.6,24782.8,40266.4,131900.8,132953.3,264854.1
405150070,Adelaide (C),1.0,49.0,50.0,200.0,13000.0,2768.7,15968.7,72985.2,88953.9
405150121,Adelaide Hills (DC) - Central,10.0,0.0,10.0,5148.9,0.0,1977.5,7126.4,140.0,7266.4
405150124,Adelaide Hills (DC) - Ranges,6.0,0.0,6.0,1896.1,0.0,3648.0,5544.0,3347.6,8891.7
405150701,Burnside (C) - North-East,10.0,8.0,18.0,3201.6,1533.2,3683.8,8418.6,12720.0,21138.6
405150704,Burnside (C) - South-West,8.0,2.0,10.0,3897.6,400.0,3643.0,7940.5,2799.0,10739.5
405150911,Campbelltown (C) - East,64.0,2.0,66.0,12986.8,340.0,1816.3,15143.1,1102.2,16245.3
405150914,Campbelltown (C) - West,61.0,37.0,98.0,15404.4,4680.0,1232.1,21316.6,2050.0,23366.6
405155291,Norw. P'ham St Ptrs (C) - East,24.0,4.0,28.0,6683.9,700.0,1974.3,9358.2,1210.0,10568.2
405155294,Norw. P'ham St Ptrs (C) - West,14.0,4.0,18.0,5271.9,1396.0,5183.5,11851.4,30696.5,42547.9
405156510,Prospect (C),10.0,4.0,14.0,2749.9,749.6,2358.2,5857.7,3599.9,9457.6
405157981,Unley (C) - East,4.0,6.0,10.0,1949.5,1584.0,3932.1,7465.6,956.8,8422.5
405157984,Unley (C) - West,5.0,2.0,7.0,2290.1,400.0,6128.0,8818.1,1086.0,9904.1
405158260,Walkerville (M),12.0,0.0,12.0,5170.9,0.0,1921.0,7091.9,260.0,7351.9
40520,Southern Adelaide,589.0,211.0,800.0,129586.4,33072.8,28687.8,191346.9,56948.1,248295.0
405202601,Holdfast Bay (C) - North,17.0,13.0,30.0,4684.7,3054.6,3551.0,11290.3,558.0,11848.3
405202604,Holdfast Bay (C) - South,21.0,6.0,27.0,7195.8,1093.7,1709.9,9999.3,675.0,10674.3
405204061,Marion (C) - Central,34.0,80.0,114.0,9697.8,11318.5,2368.0,23384.3,6859.4,30243.7
405204064,Marion (C) - North,29.0,58.0,87.0,6079.0,9013.9,1485.6,16578.5,5559.5,22137.9
405204065,Marion (C) - South,18.0,3.0,21.0,4063.3,495.7,2354.6,6913.5,86.6,7000.1
405204341,Mitcham (C) - Hills,51.0,0.0,51.0,14595.5,0.0,2553.2,17148.6,13410.6,30559.2
405204344,Mitcham (C) - North-East,18.0,4.0,22.0,7155.8,742.0,4074.6,11972.4,3460.0,15432.4
405204345,Mitcham (C) - West,16.0,4.0,20.0,3978.9,766.0,3550.0,8294.8,2256.4,10551.3
405205341,Onkaparinga (C) - Hackham,8.0,0.0,8.0,1302.6,0.0,465.9,1768.5,2500.0,4268.5
405205342,Onkaparinga (C) - Hills,30.0,2.0,32.0,7233.1,164.0,1538.4,8935.6,715.0,9650.6
405205343,Onkaparinga (C) - Morphett,15.0,2.0,17.0,2056.4,350.0,359.8,2766.2,8362.0,11128.2
405205344,Onkaparinga (C) - North Coast,80.0,10.0,90.0,14054.5,2193.2,557.0,16804.8,1848.3,18653.0
405205345,Onkaparinga (C) - Reservoir,23.0,0.0,23.0,5762.0,0.0,1625.2,7387.2,6486.7,13873.9
405205346,Onkaparinga (C) - South Coast,205.0,29.0,234.0,37232.0,3881.1,1471.4,42584.5,1758.0,44342.5
405205347,Onkaparinga (C) - Woodcroft,24.0,0.0,24.0,4495.0,0.0,1023.3,5518.3,2412.7,7931.0
410,Outer Adelaide,525.0,25.0,552.0,111137.9,4424.9,17668.4,133231.2,35732.0,168963.2
41005,Barossa,155.0,0.0,156.0,32705.2,0.0,4986.9,37692.1,18438.1,56130.2
410050311,Barossa (DC) - Angaston,38.0,0.0,38.0,8159.2,0.0,847.1,9006.3,879.9,9886.2
410050314,Barossa (DC) - Barossa,29.0,0.0,29.0,6909.2,0.0,903.2,7812.4,408.0,8220.4
410050315,Barossa (DC) - Tanunda,10.0,0.0,11.0,2205.9,0.0,896.9,3102.8,8595.0,11697.8
410053650,Light (RegC),52.0,0.0,52.0,10418.3,0.0,1847.1,12265.4,6805.2,19070.6
410053920,Mallala (DC),26.0,0.0,26.0,5012.5,0.0,492.6,5505.1,1750.0,7255.1
41010,Kangaroo Island,18.0,0.0,19.0,3901.1,0.0,288.7,4189.8,2083.0,6272.8
410102750,Kangaroo Island (DC),18.0,0.0,19.0,3901.1,0.0,288.7,4189.8,2083.0,6272.8
41015,Mt Lofty Ranges,129.0,0.0,129.0,27899.2,0.0,5461.7,33360.9,11991.4,45352.3
410150125,Adelaide Hills (DC) - North,9.0,0.0,9.0,2319.5,0.0,766.8,3086.3,295.0,3381.3
410150128,Adelaide Hills (DC) Bal,10.0,0.0,10.0,2677.8,0.0,1395.5,4073.3,6156.0,10229.3
410154551,Mount Barker (DC) - Central,87.0,0.0,87.0,16556.6,0.0,2158.8,18715.4,3790.4,22505.8
410154554,Mount Barker (DC) Bal,23.0,0.0,23.0,6345.3,0.0,1140.6,7485.9,1750.0,9235.9
41020,Fleurieu,223.0,25.0,248.0,46632.4,4424.9,6931.1,57988.4,3219.5,61207.9
410200221,Alexandrina (DC) - Coastal,94.0,6.0,100.0,19700.4,765.2,2462.2,22927.8,537.1,23464.9
410200224,Alexandrina (DC) - Strathalbyn,47.0,2.0,49.0,9452.7,288.6,1611.1,11352.4,102.4,11454.8
410208050,Victor Harbor (C),72.0,11.0,83.0,15094.0,2389.1,2456.3,19939.5,2340.0,22279.5
410208750,Yankalilla (DC),10.0,6.0,16.0,2385.3,982.0,401.4,3768.7,240.0,4008.7
415,Yorke and Lower North,200.0,18.0,218.0,36307.2,3245.4,3741.1,43293.7,15987.0,59280.7
41505,Yorke,182.0,7.0,189.0,32161.6,1145.4,2117.6,35424.6,12135.5,47560.1
415050430,Barunga West (DC),3.0,0.0,3.0,553.7,0.0,177.7,731.4,1900.0,2631.4
415051560,Copper Coast (DC),109.0,7.0,116.0,19819.0,1145.4,834.1,21798.5,9975.3,31773.8
415058831,Yorke Peninsula (DC) - North,29.0,0.0,29.0,4872.0,0.0,507.6,5379.6,260.2,5639.8
415058834,Yorke Peninsula (DC) - South,41.0,0.0,41.0,6916.8,0.0,598.3,7515.1,0.0,7515.1
415058969,Unincorp. Yorke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41510,Lower North,18.0,11.0,29.0,4145.6,2100.0,1623.4,7869.1,3851.5,11720.6
415101140,Clare and Gilbert Valleys (DC),13.0,11.0,24.0,3337.7,2100.0,1215.5,6653.1,2894.9,9548.0
415102110,Goyder (DC),3.0,0.0,3.0,376.0,0.0,30.0,406.0,0.0,406.0
415108130,Wakefield (DC),2.0,0.0,2.0,431.9,0.0,378.0,809.9,956.7,1766.5
420,Murray Lands,83.0,368.0,451.0,14803.5,58619.7,4072.8,77496.1,28435.7,105931.7
42005,Riverland,44.0,16.0,60.0,8053.6,2451.1,2592.4,13097.2,1647.0,14744.2
420050521,Berri & Barmera (DC) - Barmera,4.0,0.0,4.0,535.0,0.0,225.6,760.6,0.0,760.6
420050524,Berri & Barmera (DC) - Berri,5.0,16.0,21.0,956.0,2451.1,88.6,3495.7,620.0,4115.7
420053791,Loxton Waikerie (DC) - East,6.0,0.0,6.0,1344.8,0.0,812.2,2157.0,65.0,2222.0
420053794,Loxton Waikerie (DC) - West,8.0,0.0,8.0,1292.9,0.0,521.2,1814.1,0.0,1814.1
420054210,Mid Murray (DC),15.0,0.0,15.0,2612.3,0.0,822.5,3434.8,0.0,3434.8
420056671,Renmark Paringa (DC) - Paringa,1.0,0.0,1.0,167.0,0.0,13.0,180.0,120.0,300.0
420056674,Renmark Paringa (DC) - Renmark,5.0,0.0,5.0,1145.7,0.0,109.4,1255.0,842.0,2097.0
420059039,Unincorp. Riverland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42010,Murray Mallee,39.0,352.0,391.0,6749.9,56168.6,1480.4,64398.8,26788.7,91187.5
420103080,Karoonda East Murray (DC),0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,13.0
420105040,Murray Bridge (RC),35.0,350.0,385.0,5959.9,55935.9,1043.1,62938.9,26517.5,89456.3
420107290,Southern Mallee (DC),0.0,0.0,0.0,0.0,0.0,135.2,135.2,167.0,302.2
420107800,The Coorong (DC),4.0,2.0,6.0,790.0,232.7,289.1,1311.8,104.2,1416.0
420109109,Unincorp. Murray Mallee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,South East,150.0,10.0,161.0,32326.8,1531.2,6369.4,40227.4,6914.6,47142.0
42505,Upper South East,47.0,8.0,55.0,9528.8,1329.1,1531.2,12389.1,1905.9,14295.0
425053360,Kingston (DC),8.0,0.0,8.0,1802.1,0.0,517.1,2319.2,0.0,2319.2
425055090,Naracoorte and Lucindale (DC),22.0,8.0,30.0,4382.3,1329.1,410.3,6121.7,1620.9,7742.6
425056860,Robe (DC),14.0,0.0,14.0,2736.8,0.0,289.5,3026.3,0.0,3026.3
425057630,Tatiara (DC),3.0,0.0,3.0,607.5,0.0,314.4,921.9,285.0,1206.9
42510,Lower South East,103.0,2.0,106.0,22798.1,202.1,4838.1,27838.2,5008.7,32846.9
425102250,Grant (DC),22.0,0.0,22.0,5772.1,0.0,1548.4,7320.4,646.2,7966.7
425104620,Mount Gambier (C),72.0,2.0,74.0,15280.0,202.1,2154.4,17636.4,3288.3,20924.7
425108341,Wattle Range (DC) - East,1.0,0.0,2.0,250.0,0.0,620.4,870.4,396.7,1267.1
425108344,Wattle Range (DC) - West,8.0,0.0,8.0,1496.0,0.0,515.0,2011.0,677.5,2688.5
430,Eyre,60.0,7.0,67.0,11375.1,1050.0,2776.3,15201.4,6740.3,21941.6
43005,Lincoln,44.0,7.0,51.0,8920.8,1050.0,2094.9,12065.6,3050.7,15116.3
430051190,Cleve (DC),4.0,0.0,4.0,467.6,0.0,110.0,577.6,0.0,577.6
430051750,Elliston (DC),2.0,0.0,2.0,516.0,0.0,0.0,516.0,0.0,516.0
430051960,Franklin Harbour (DC),1.0,0.0,1.0,141.2,0.0,0.0,141.2,0.0,141.2
430053220,Kimba (DC),0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,34.0
430053570,Wudinna (DC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,450.0
430053710,Lower Eyre Peninsula (DC),14.0,0.0,14.0,2873.5,0.0,558.7,3432.2,1041.7,4473.9
430056300,Port Lincoln (C),13.0,5.0,18.0,2699.8,750.0,1115.0,4564.8,1559.0,6123.8
430057910,Tumby Bay (DC),9.0,2.0,11.0,1822.7,300.0,277.2,2399.9,0.0,2399.9
430059179,Unincorp. Lincoln,1.0,0.0,1.0,400.0,0.0,0.0,400.0,0.0,400.0
43010,West Coast,16.0,0.0,16.0,2454.3,0.0,681.4,3135.8,3689.6,6825.3
430101010,Ceduna (DC),11.0,0.0,11.0,1254.3,0.0,292.2,1546.5,278.5,1825.0
430107490,Streaky Bay (DC),4.0,0.0,4.0,825.0,0.0,389.2,1214.3,220.0,1434.3
430109249,Unincorp. West Coast,1.0,0.0,1.0,375.0,0.0,0.0,375.0,3191.1,3566.1
435,Northern,80.0,17.0,98.0,14707.8,2853.6,4190.9,21752.3,20810.2,42562.5
43505,Whyalla,12.0,2.0,14.0,2360.9,324.7,1425.4,4111.1,3990.0,8101.1
435058540,Whyalla (C),11.0,2.0,13.0,2241.6,324.7,1425.4,3991.8,3990.0,7981.8
435059389,Unincorp. Whyalla,1.0,0.0,1.0,119.3,0.0,0.0,119.3,0.0,119.3
43515,Pirie,39.0,4.0,43.0,7386.1,604.9,1331.7,9322.7,5806.9,15129.5
435155120,Northern Areas (DC),8.0,0.0,8.0,1870.4,0.0,1029.1,2899.5,1615.8,4515.3
435155400,Orroroo/Carrieton (DC),1.0,0.0,1.0,274.5,0.0,0.0,274.5,1134.1,1408.6
435155540,Peterborough (DC),1.0,0.0,1.0,100.6,0.0,16.5,117.1,0.0,117.1
435156451,Port Pirie C Dists (M) - City,21.0,4.0,25.0,3734.3,604.9,271.1,4610.3,3057.0,7667.3
435156454,Port Pirie C Dists (M) Bal,7.0,0.0,7.0,1261.3,0.0,15.0,1276.3,0.0,1276.3
435159459,Unincorp. Pirie,1.0,0.0,1.0,145.0,0.0,0.0,145.0,0.0,145.0
43520,Flinders Ranges,27.0,11.0,39.0,4580.8,1923.9,1267.4,7772.1,1306.4,9078.5
435201830,Flinders Ranges (DC),1.0,0.0,1.0,272.7,0.0,34.0,306.7,60.0,366.7
435204830,Mount Remarkable (DC),8.0,0.0,9.0,1263.7,0.0,272.8,1536.5,0.0,1536.5
435206090,Port Augusta (C),18.0,11.0,29.0,3044.4,1923.9,960.6,5928.9,1246.4,7175.3
435209529,Unincorp. Flinders Ranges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43525,Far North,2.0,0.0,2.0,380.0,0.0,166.4,546.4,9707.0,10253.4
435250250,Anangu Pitjantjatjara (AC),1.0,0.0,1.0,300.0,0.0,0.0,300.0,90.0,390.0
435251330,Coober Pedy (DC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0
435254000,Maralinga Tjarutja (AC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435256970,Roxby Downs (M),0.0,0.0,0.0,0.0,0.0,91.4,91.4,1142.0,1233.4
435259589,Unincorp. Far North,1.0,0.0,1.0,80.0,0.0,75.0,155.0,8400.0,8555.0
