,,Counterparty,Physical,Max Tenor,Financial,Max Tenor
,,Connecticut Light and Power,Call Credit for approval,Day Trades,NO TRADES,
,,Connecticut Municipal Electric Energy Coop,Call Credit for approval,Any Trade,NO TRADES,
,,"Conoco Power Marketing, Inc.",Call Credit for approval,Any Trade,NO TRADES,
,,"Consolidated Edison Energy, Inc.",Call Credit for approval,1 month,NO TRADES,
,,Cook Inlet Energy Supply,NO TRADES,,NO TRADES,
,,"CSW Energy Services, Inc.",NO TRADES,,NO TRADES,
,,DePere Energy Marketing Inc,NO TRADES,,NO TRADES,
,,Deseret Generation & Transmission Cooperat,Call Credit for approval,Any trade,Call Credit for approval,Any trade
,,DPL Energy,NO TRADES,,NO TRADES,
,,"DTE Energy Trading, Inc.","OK - master, Call beyond",12 months,NO TRADES,
,,"e prime, Inc.",NO TRADES,,NO TRADES,
,,"East Texas Electric Cooperative, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,Eastern Pulp and Paper Corp.,NO TRADES,,NO TRADES,
,,Eastern Utilities Associates,Call Credit for approval,Any Trade,NO TRADES,
,,"Edison Mission Marketing & Trading, Inc.",Call Credit for approval beyond,2001-03-01 00:00:00,NO TRADES,
,,El Paso Electric Company,Call Credit for approval beyond,6 Months,NO TRADES,
,,"Electric Energy, Inc.",NO TRADES,,NO TRADES,
,,Energy 2000,NO TRADES,,NO TRADES,
,,Energy Clearinghouse Corporation,NO TRADES,,NO TRADES,
,,"Energy New England, LLC",Call Credit for approval,Any Trade,NO TRADES,
,,"Energy Services, Inc.",NO TRADES,,NO TRADES,
,,"Energy West Resources, Inc.",L/C or prepay required,Any Trade,L/C or prepay required,Any Trade
,,Enersys,NO TRADES,,NO TRADES,
,,EnerZ Corporation,NO TRADES,,NO TRADES,
,,"Entergy Services, Inc.",Call Credit for approval,Any Trade,NO TRADES,
,,Eugene Water & Electric Board,Call Credit for approval beyond,1 month,Call Credit for approval beyond,1 month
,,Exelon Energy,Call Credit for approval beyond,7 Months,NO TRADES,
,,Federal Energy Sales Inc,NO TRADES,,NO TRADES,
,,Friendly Power Co LLC,NO TRADES,,NO TRADES,
,,Gen~Sys,Call Credit for approval other than,Day Trades,Trade subject to credit,Any Trade
,,GPU Advanced Resources,Call Credit for approval beyond,1 Month,NO TRADES,
,,Great Bay Power Corporation,Call Credit for approval,Any Trade,NO TRADES,
,,Great River Energy,"TRADE AS SPLIT ROCK, LLC. (SEE SPLIT ROCK BELOW)",,NO TRADES,
,,Green Mountain Power Cooperative,Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"Griffin Energy Marketing, LLC","OK - master, Call beyond",6 Months,Trade subject to credit,Any Trade
,,Hafslund Energy Trading LLC,Call Credit for approval,Any trades,Call Credit for approval,Any trades
,,Hoosier Energy Rural,NO TRADES,,NO TRADES,
,,"Illinova Power Marketing, Inc.",Call Credit for approval other th,Day Trades,NO TRADES,
,,Indiana Municipal Power Agency,Call Credit for approval other th,Day Trades,Call Credit for approval,Any Trade
,,"KeySpan Energy Services, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,Lincoln County Publishing Co.,NO TRADES,,NO TRADES,
,,Louisiana-Pacific Corporation,"OK - master, Call beyond",1 Month,Trade subject to credit,Any Trade
,,"Merchant Energy Group of the Americas, Inc","OK - master, Call beyond",12 Months,Call Credit for approval,3 Months
,,Michigan Energy Exchange,NO TRADES,,NO TRADES,
,,Michigan Public Power Agency,Call Credit for approval,Any Trade,Trade subject to credit,Any Trade
,,"Midland Cogeneration Venture, L.P.",Call Credit for approval,Any Trade,NO TRADES,
,,"Mieco, Inc.","OK - master, Call beyond",12 months,"OK - master, Call beyond",12 months
,,Minnesota Municipal Power Agency,L/C or prepay required,Any Trade,NO TRADES,
,,Missouri River Energy Services,Call Credit for approval beyond,Day Trades,Trade subject to credit,Any Trade
,,Montana Power Trading & Marketing Company,Call Credit for approval,1 Month,NO TRADES,
,,Montaup Electric Company,Call Credit for approval,Any Trade,NO TRADES,
,,"NESI Power Marketing, Inc.",NO TRADES,,NO TRADES,
,A,New Power Company,NO TRADES,,NO TRADES,
,,"NewEnergy, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"Niagara Mohawk Energy Marketing, Inc.","OK - master, Call beyond",Day Trades,NO TRADES,
,,Niagara Mohawk Power Corporation,Call Credit for approval beyond,1 Month,Call Credit for approval beyond,1 Month
,,"Nipsco Energy Services, Inc.",NO TRADES,,NO TRADES,
,,"North American Energy Conservation, Inc.",NO TRADES,,NO TRADES,
,,Northeast Utilities Service Company,Call Credit for approval,1 Month,NO TRADES,
,,Northern California Power Agency,Call Credit for approval beyond,1 month,NO TRADES,
,,"Northern/AES Energy, LLC",Call Credit for approval,Any Trade,NO TRADES,
,,"NP Energy, Inc.",NO TRADES,,NO TRADES,
,,"NRG Power Marketing, Inc.",Call Credit for approval beyond,8 months,Call Credit for approval beyond,8 months
,,"NUI Energy Brokers, Inc.",NO TRADES,,NO TRADES,
,,NYSEG Solutions Inc.,L/C or prepay required,Any Trade,NO TRADES,
,,Okeelanta Sugar Corporation,NO TRADES,,NO TRADES,
,,Pacific Northwest Generating Cooperative,L/C or prepay required,Any Trade,NO TRADES,
,,"PanCanadian Energy Services, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,People's Electric Cooperative,NO TRADES,,NO TRADES,
,,Plains Electric Generation & Transmission,Call Credit for approval,Any Trade,NO TRADES,
,,"Power Company of America, L.P., The",NO TRADES,,NO TRADES,
,,"Power Resources Managers, LLC",NO TRADES,,NO TRADES,
,,"PPL Montana, LLC",Call Credit for approval beyond,3 months,NO TRADES,
,,Preferred Energy Services,NO TRADES,,NO TRADES,
,,"Proliance Energy, LLC",NO TRADES,,NO TRADES,
,,PSEG Energy Technologies Inc.,NO TRADES,,NO TRADES,
,,Public Service Company of New Hampshire,Call Credit for approval,Day Trades,NO TRADES,
,,PUD No. 2 of Grant County,Call Credit for approval beyond,1 year,Trade subject to credit,Any Trade
,,"PUD No.1 of Benton County, WA",Call Credit for approval beyond,2 Months,Trade subject to credit,Any Trade
,,PUD No.1 of Grays Harbor County,Call Credit for approval beyond,Day Trades,Trade subject to credit,Any Trade
,,P.U.D. of Franklin County,Call Credit for approval beyond,Day Trades,Trade subject to credit,Any Trade
,,QST Energy Trading Inc.,OK - master,1 Month,NO TRADES,
,,Rainbow Energy Marketing Corporation,NO TRADES,,NO TRADES,
,,Sacramento Municipal Utility District (SMU,Call Credit for approval beyond,1 month,Call Credit for approval,Any Trade
,,Select Energy Inc.,Call Credit for approval beyond,6 months,Call Credit for approval beyond,1 month
,,Shamrock Trading,NO TRADES,,NO TRADES,
,,Sikeston Board of Municipal Utilities,Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"Silica Products, Inc.",L/C or prepay required,Any Trade,NO TRADES,
,,"Sithe Power Marketing, Inc.",Transact as Sithe Power Marketing,Any Trade,Trade subject to credit,Any Trade
,,Smurfit-Stone Container Corp.,"OK - master, Call beyond",Day Trades,Trade subject to credit,Any Trade
,,"Southern Company Services, Inc.",Call Credit for approval beyond,1 month,NO TRADES,
,,Southern Illinois Power Co-Operative,Call Credit for approval,Any Trade,NO TRADES,
,,Southwest Power Pool,Transmission only,1 Month,NO TRADES,
,,"Soyland Power Cooperative, Inc.",NO TRADES,,NO TRADES,
,,"Split Rock Energy, LLC",NO TRADES,,NO TRADES,
,,Stand Energy Inc.,NO TRADES,,NO TRADES,
,,"Statoil Energy Trading, Inc.",Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,Strategic Energy Ltd.,L/C or prepay required,Any Trade,NO TRADES,
,,"Sunflower Electric Cooperative, Inc.",L/C or prepay required,,NO TRADES,
,,Taunton Municipal Light Plant,Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,"The Energy Authority, Inc.",Call Credit for approval,1 Month,NO TRADES,
,,The Power Authority of the State of New Yo,Call Credit for approval,Any Trade,Call Credit for approval,Any Trade
,,The Utility Trade  Corp,NO TRADES,,NO TRADES,
,,"Tractebel Energy Marketing, Inc.",Call Credit for approval,12 Months,Call Credit for approval,12 Months
,,Transalta Energy Marketing (US) Inc.,Call Credit for approval,12 Months,NO TRADES,
,,Tucson Electric Power Company,Call Credit for approval beyond,1 Month,NO TRADES,
,,United Power Association,NO TRADES,,NO TRADES,
,,Unitil Power Corp.,NO TRADES,,NO TRADES,
,,Utah Associated Municipal Power Systems,Call Credit for approval,Any Trade,NO TRADES,
,,"Vanalco, Inc.",NO TRADES,,NO TRADES,
,,Vermont Public Power,Call Credit for approval,Any Trade,Call Credit for approval,Any trade
,,Vitol Gas & Electric LLC,NO TRADES,,NO TRADES,
,,Wabash Valley Power Association Inc.,Call Credit for approval,Any Trade,NO TRADES,
,,Western Massachusetts Electric Company,Call Credit for approval,Day Trades,NO TRADES,
,,"Western Power Services, Inc.",Call Credit for approval,,NO TRADES,
,,"Western Resources, Inc.",Call Credit for approval beyond,3 months,Trade subject to credit,Any trade
,,Wolverine Power Supply Cooperative Inc,Call Credit for approval,Any Trade,NO TRADES,
,,"WPS Energy Services, Inc.",Call Credit for approval beyond,Day Trades,Trade subject to credit,Any Trade
