Ecotype,Plot,Plot Type,Bulk Density (g cm–3),Total Soil C (%),Soil δ13C (‰),Total Soil N (%),Soil δ15N (‰),C:N Ratio,Mineral Soil pH,CWD (Mg ha–1),FWD (Mg ha–1),Litter (Mg ha–1),Age (yrs),Elevation (m),# Mats Collected,,,,,,,,
PP/WF,E,Spring Rx Burn,0.751,2.36,-24.95,0.0907,2.51,26.2,5.73,71.03,47.64,68.53,~200,1540,9,,,,,,,,
PP/WF,F,Unburned Control,0.797,5.28,-26.41,0.0828,2.53,34.9,5.93,146.17,47.9,104.21,~200,1540,8,,,,,,,,
PP/WF,G,Unburned Control,0.874,4.09,-25.32,0.1806,3.1,23.19,5.69,123.67,59.55,107.44,~200,1530,6,,,,,,,,
PP/WF,H,Fall Rx Burn,0.767,2.36,-25.92,0.0854,1.54,27.33,6.07,60.39,30.22,33.83,~200,1530,2,,,,,,,,
PP/WF,I,Unburned Control,0.738,3.1,-26.15,0.1104,1.01,28.05,5.63,125.55,46.59,95.37,~200,1530,5,,,,,,,,
PP/WF,J,Fall Rx Burn,0.81,1.63,-25.86,0.0666,1.53,25.14,6.23,14.67,32.76,33.17,~200,1515,3,,,,,,,,
PP/WF,K,Spring Rx Burn,0.764,2.58,-25.47,0.0958,2.42,27.47,5.91,46.23,37.48,57.72,~200,1515,8,,,,,,,,
PP/WF,L,Fall Rx Burn,1.042,3.33,-25.31,0.1795,1.84,18.59,6.2,47.39,39.71,40.1,~200,1520,1,,,,,,,,
PP/WF,M,Fall Rx Burn,0.991,2.83,-24.88,0.148,2.59,19.7,6.49,46.14,33.45,30.71,~200,1500,0,,,,,,,,
PP/WF,N,Unburned Control,0.688,4.44,-25.45,0.22,1.45,20.68,6.07,145.63,62.02,140.82,~200,1500,5,,,,,,,,
PP/WF,O,Spring Rx Burn,0.963,2.87,-25.52,0.0987,2.11,29.1,5.93,84.86,38.06,60.33,~200,1500,8,,,,,,,,
PP/WF,P,Unburned Control,0.862,2.06,-25.3,0.0685,2.43,30.7,5.55,127.63,59.01,86.23,~200,1490,8,,,,,,,,
PP/WF,Q,Fall Rx Burn,0.877,2.34,-25.05,0.1012,2.34,23.06,6.37,54.45,23.4,21.73,~200,1490,1,,,,,,,,
PP/WF,R,Fall Rx Burn,0.993,3.33,-24.82,0.1837,1.86,18.57,6.1,17.7,35.84,36.89,~200,1490,0,,,,,,,,
PP/WF,S,Unburned Control,1.029,3.46,-25.42,0.1603,1.92,22.09,5.74,115.98,46.14,104.46,~200,1470,14,,,,,,,,
PP/WF,T,Spring Rx Burn,0.945,2.95,-25.12,0.1305,2.78,22.39,5.91,82.88,29.05,54.34,~200,1470,6,,,,,,,,
PP/WF,U,Unburned Control,0.687,1.84,-25.95,0.0784,3.04,24.66,5.97,97.06,58.87,98.95,~200,1540,13,,,,,,,,
PP/WF,V,Spring Rx Burn,0.642,3.03,-26.65,0.104,2.69,33.06,6.7,121.31,39.43,75.73,~200,1530,11,,,,,,,,
PP/WF,W,Spring Rx Burn,0.669,2.71,-25.63,0.09,2.45,29.18,5.53,98.27,42.07,61.4,~200,1520,7,,,,,,,,
PP/WF,X,Fall Rx Burn,0.762,2.27,-25.66,0.1049,1.66,22.5,6.69,11.71,27.02,30.24,~200,1510,1,,,,,,,,
