Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec97,Dec98,Dec99,Dec00,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Return on Capital  - Joel Greenblatt %,-31.130000000000003,-1.0999999999999999,-50.0,-10066.67,-244.34,-462.87,-766.85,-626.12,-100.41,-186.65,-176.72,-233.17999999999998,-296.82,-384.77000000000004,-568.76,-502.92,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1168.04,-204.04,-354.32,-219.96000000000004,809.44,-773.52,-739.0,-1035.28,-565.36,-784.32,-664.76,-809.96,-675.04,-325.91999999999996,-160.12,-151.52,-80.96,-109.72,-90.56,-221.64000000000001,-74.08,-101.8,-80.56,-168.12,-258.76,-99.64,-75.96000000000001,-216.23999999999998,-210.48,-219.36,-341.52,-304.72,-233.23999999999998,-354.32,-438.12,-321.03999999999996,-430.11999999999995,-416.04,-465.52,-502.92
Debt to Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.067,0.067,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,0.0,0.0,100.0,80.0,50.0,-11.110000000000001,100.0,-1038.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,-150.0,-300.0,100.0,66.67,100.0,100.0,100.0,100.0,100.0,-2500.0,-2233.33,-1400.0,1900.0,100.0,300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Margin %,-393.33,-11.43,-3.0300000000000002,-6040.0,-21583.33,-29366.67,-49427.27,-48307.69,-85881.82,-64372.22,-70538.45999999999,-57417.65,-47165.0,-27790.320000000003,-24760.0,-27366.67,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39275.0,-13900.0,-48100.0,-10466.67,39933.33,-38933.33,-61800.0,-61166.67,-28375.0,-53333.33,-50466.67,-67700.0,-102100.0,-169400.0,-107350.0,-59400.0,-69633.33,-55679.99999999999,-109166.67,-57333.33,-141400.0,-235400.0,-36140.0,-43620.0,-64120.00000000001,-56300.0,-51025.0,-56575.0,-68966.67,-28814.29,-36575.0,-242100.0,-11440.0,-39833.33,-38757.14,-44925.0,-26937.5,-26314.29,-19888.89,-27366.67
Net Margin %,-390.0,-11.43,0.0,-6020.0,-21266.67,-27955.56,-47363.64,-46030.770000000004,-75754.54999999999,-59822.22,-72153.85,-62764.71,-27925.0,-26448.39,-24603.329999999998,-26900.0,,0.0,0.0,0.0,0.0,0.0,-6200.0,-6200.0,-6200.0,-11500.0,-15950.0,-15950.0,-15950.0,-15950.0,-39050.0,-11950.0,-45100.0,-8800.0,-38266.67,-37300.0,-59000.0,-58800.0,-26375.0,-50533.33,-47966.67,-65733.33,-92250.0,-156400.0,-86950.0,-53066.67,-60166.67,-51700.0,-102866.67,-54866.67,-149700.0,-194100.0,-45900.0,-43020.0,-68520.0,-29625.0,-69350.0,-82100.0,42866.67,-22957.14,-34575.0,-249900.0,-9066.67,-39233.33,-38557.14,-44675.0,-26837.5,-26228.570000000003,-19822.219999999998,-26900.0
Total Equity to Total Asset,0.988,0.997,0.99,0.929,0.9,0.984,0.982,0.952,0.953,0.905,0.903,0.802,0.949,0.937,0.896,0.896,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.9,0.955,0.98,0.98,0.984,0.985,0.97,0.985,0.982,0.998,0.992,0.993,0.952,0.93,0.974,0.952,0.953,0.971,0.978,0.915,0.905,0.878,0.894,0.931,0.903,0.88,0.919,0.874,0.802,0.937,0.952,0.953,0.949,0.961,0.948,0.943,0.937,0.928,0.925,0.907,0.896
Asset Turnover,0.074,0.088,0.083,0.008,0.003,0.001,0.001,0.002,0.0,0.001,0.001,0.001,0.001,0.002,0.004,0.001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001
Dividend Payout Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Days Sales Outstanding,0.0,20.86,33.18,73.0,973.33,2108.89,3351.36,1796.92,2687.73,2494.17,1825.0,708.53,255.5,94.19,85.17,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,728.0,568.75,864.5,1092.0,1577.33,2790.67,3670.33,2730.0,3063.67,2343.25,4004.0,637.0,1941.33,1365.0,5369.0,2320.5,1228.5,1486.33,1401.4,1516.67,1865.5,6279.0,18655.0,527.8,1183.0,1565.2,1001.0,1001.0,750.75,788.67,494.0,102.38,1274.0,48.53,182.0,65.0,182.0,45.5,78.0,40.44,106.17
Days Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory Turnover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGS to Revenue,0.0,0.0,0.0,0.2,0.5,1.0,0.09,11.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,4.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,26.33,23.33,15.0,18.0,0.0,-2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory to Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.03,0.035,0.033,0.005,0.006,0.009,0.011,0.013,0.011,0.018,0.013,0.017,0.02,0.031,0.03,0.03,,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.002,0.001,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.002,0.001,0.002,0.006,0.003,0.005,0.003,0.006,0.002,0.001,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.007,0.008,0.001,0.015,0.006,0.007,0.004,0.008,0.007,0.009,0.006
Cost of Goods Sold,0.0,0.0,0.0,0.001,0.003,0.009,0.001,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.079,0.07,0.03,0.018,0.0,-0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.033,0.004,0.003,-0.001,0.011,-0.135,0.011,0.018,0.013,0.017,0.02,0.031,0.03,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-0.003,-0.003,0.003,0.002,0.003,0.002,0.003,0.004,0.003,-0.075,-0.067,-0.028,0.019,0.002,0.018,0.003,0.005,0.003,0.006,0.002,0.001,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.007,0.008,0.001,0.015,0.006,0.007,0.004,0.008,0.007,0.009,0.006
"Selling, General,  &Admin. Expense",0.0,0.0,0.031,0.299,1.274,2.607,5.386,6.038,8.658,10.582,8.16,5.097,5.643,3.817,3.906,3.9059999999999997,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.566,0.268,0.469,0.305,1.185,1.157,1.221,1.823,1.114,1.47,1.388,2.272,1.937,1.674,2.043,3.004,1.837,2.468,3.001,3.231,2.552,1.024,0.854,5.295,2.972,0.928,1.126,1.103,1.119,1.103,2.003,1.419,0.956,1.058,1.093,0.71,1.132,0.991,0.95,0.833
Advertising,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Research &Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.659,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.054,0.681,0.0,0.0,1.056,0.663,0.908,0.7,0.667,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,-0.11599999999999999,-0.003,0.0,-0.301,-1.293,-2.631,-5.414000000000001,-6.2250000000000005,-9.162999999999998,-10.564,-8.147,-8.738999999999999,-8.425,-7.643000000000001,-6.495,-6.495,,0.001,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,-1.569,-0.275,-0.478,-0.31,1.202,-1.163,-1.229,-1.828,-1.124,-1.5890000000000002,-1.497,-2.016,-2.014,-1.664,-2.0639999999999996,-3.422,-1.834,-2.508,-2.9979999999999998,-3.226,-2.55,-2.076,-1.5299999999999998,-1.991,-2.966,-1.9799999999999998,-1.785,-2.008,-1.815,-1.763,-2.6750000000000003,-2.1719999999999997,-1.472,-2.1430000000000002,-2.471,-1.559,-1.92,-1.609,-1.557,-1.4089999999999998
"Depreciation, Depletion and Amortization",0.002,0.001,0.001,0.001,0.002,0.012,0.023,0.055,0.284,1.023,1.023,1.022,1.008,0.972,0.933,0.9339999999999999,,0.001,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.007,0.007,0.011,0.011,0.017,0.015,0.028,0.03,0.083,0.142,0.255,0.276,0.277,0.214,0.278,0.278,0.277,0.19,0.24,0.272,0.256,0.255,0.254,0.254,0.251,0.249,0.244,0.247,0.242,0.238,0.235,0.233,0.233,0.233
Other Operating Charges,-0.118,-0.004,-0.003000000000000002,-0.007000000000000006,-0.0239999999999998,-0.0349999999999997,-0.06200000000000028,-0.1070000000000002,-0.7999999999999989,-1.0229999999999997,-1.0229999999999997,-1.0219999999999985,-3.8099999999999996,-4.829000000000001,-3.5519999999999996,-3.553,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007999999999999785,-0.007000000000000006,-0.009000000000000008,-0.01200000000000001,2.3810000000000002,-0.01399999999999979,-0.016999999999999904,-0.014999999999999902,-0.02499999999999991,-0.06000000000000005,0.0029999999999998916,0.30799999999999983,-0.07699999999999974,-0.038999999999999924,-0.10599999999999943,-0.5779999999999998,-0.2549999999999999,-0.32099999999999973,-0.27700000000000014,-0.21499999999999986,-0.2779999999999996,-0.27700000000000014,-0.2769999999999999,3.109,-0.23899999999999988,-0.2719999999999998,-0.256,-0.2559999999999998,-0.2530000000000001,-0.254,-0.25,-1.0029999999999997,-0.775,-1.338,-1.627,-1.091,-1.031,-0.8580000000000001,-0.8490000000000001,-0.815
Operating Income,-0.118,-0.004,-0.001,-0.302,-1.295,-2.643,-5.437,-6.28,-9.447,-11.587,-9.17,-9.761,-9.433,-8.615,-7.428,-7.429,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.571,-0.278,-0.481,-0.314,1.198,-1.168,-1.236,-1.835,-1.135,-1.6,-1.514,-2.031,-2.042,-1.694,-2.147,-3.564,-2.089,-2.784,-3.275,-3.44,-2.828,-2.354,-1.807,-2.181,-3.206,-2.252,-2.041,-2.263,-2.069,-2.017,-2.926,-2.421,-1.716,-2.39,-2.713,-1.797,-2.155,-1.842,-1.79,-1.642
Interest Income,0.0,0.0,0.001,0.0,0.016,0.127,0.227,0.296,0.0,0.0,0.0,0.15,0.124,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.039,0.031,0.05,0.05,0.05,0.056,0.071,0.079,0.084,0.075,0.059,0.197,0.13,0.407,0.0,0.284,0.198,0.191,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Income (Minority Interest),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pre-Tax Income,-0.117,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.585,-8.199,-7.381,-3.9829999999999997,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36,-2.354,0.0,0.0,-2.147,-1.836,0.0,0.0
Tax Provision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income (Continuing Operations),-0.117,-0.004,0.0,-0.301,-1.276,-2.516,-5.21,-5.984,-8.333,-10.768,-9.38,-10.67,-5.585,-8.199,-7.381,-7.380999999999999,,0.0,0.0,0.0,0.0,0.0,-0.062,-0.062,-0.062,-0.115,-0.319,-0.319,-0.319,-0.319,-1.562,-0.239,-0.451,-0.264,-1.148,-1.119,-1.18,-1.764,-1.055,-1.516,-1.439,-1.972,-1.845,-1.564,-1.739,-3.184,-1.805,-2.585,-3.086,-3.292,-2.994,-1.941,-2.295,-2.151,-3.426,-1.185,-2.774,-3.284,1.286,-1.607,-2.766,-2.499,-1.36,-2.354,-2.699,-1.787,-2.147,-1.836,-1.784,-1.614
Net Income (Discontinued Operations),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-0.117,-0.004,0.0,-0.301,-1.276,-2.516,-5.21,-5.984,-8.333,-10.768,-9.38,-10.67,-5.585,-8.199,-7.381,-7.380999999999999,,0.0,0.0,0.0,0.0,0.0,-0.062,-0.062,-0.062,-0.115,-0.319,-0.319,-0.319,-0.319,-1.562,-0.239,-0.451,-0.264,-1.148,-1.119,-1.18,-1.764,-1.055,-1.516,-1.439,-1.972,-1.845,-1.564,-1.739,-3.184,-1.805,-2.585,-3.086,-3.292,-2.994,-1.941,-2.295,-2.151,-3.426,-1.185,-2.774,-3.284,1.286,-1.607,-2.766,-2.499,-1.36,-2.354,-2.699,-1.787,-2.147,-1.836,-1.784,-1.614
