Institution,2002 Enrollment,Telephone/Web Site,Date Licensed/ Control,,Chief Officer,Area of Vocational Certification,Approval*
"CompuSkills, Inc",800,603-595-9494,1990,Independent,Michael Coconis,Computer Training,PEC
"The Landmark Building, Suite 201",,,,For-Profit,President,,
142 Main St.,,,,,,,
"Nashua, NH  03060",,,,,,,
Dovestar Holistic Technology,42,603-669-5104,,Independent,Saryna Champagne,Massage Therapy,PEC
School,,,,For-Profit,,,VA
50 Whitehall Rd,,www.dovestar.edu,,,,,
"Hooksett, NH  03106-2104",,,,,,,
Dovestar Holistic Technology,new,603-616-7360,2003,Independent,Saryna Champagne,Massage Therapy,PEC
Rt 117,,,,For-Profit,,,
"Sugar Hill, NH  03585",,www.dovestar.edu,,,,,
EPTAC,1100,603-673-7822,1987,Independent,Mark Pilkington,Electronic Process Soldering,PEC
71 Rte 101A,,,,For-Profit,Owner,,LICENSE
"Amherst, NH  03031",,www.eptac.com,,,,,PENDING
Granite State Dog Training Ctr,3,603-672-3647,,Independent,James Ward,Dog Training,PEC
#90 Route 101A,,,,For-Profit,Owner,,
"Amherst, NH  03101",,www.gsdtc.com,,,,,
H & R Block Eastern Tax Service,420,603-622-7892,,Independent,Richard  Bartlett,Income Tax Preparing,PEC
865 Second St.,,,,For-Profit,Administrator,,
"Manchester, NH  03102",,www.hrblock.com,,,,,
"Hazmateam, Inc",4088,603-882-6247,1992,Independent,Leo Traverse,Hazardous Materials Handling,PEC
12 Kimball Hill Road,,,,For-Profit,Director,,VA
"Hudson, NH  03051-3915",,www.hazmateam.com,,,,,
Health Career Training Associates,350,603-622-8400,1997,Independent,Marie Grenier,Health Occupations,PEC
Leighton Business Ctr,,,,For-Profit,Joanne O'Donnell,,VA
60 Rogers St,,www.hcta.net,,,,,NH Board of
"Manchester, NH  03103",,,,,,,Nursing
Hyslop & Associates,744,603-528-6660,1998,Independent,Connie Hyslop,Computer Software Training,PEC
585 Union Ave.,,,,For-Profit,,,
"Laconia, NH  03246",,www.hyslop.com,,,,,
LNA Health Careers,new,603-429-2174,2003,Independent,Shelly Ling,Nursing Assistant,PEC
"Merrimack, N.H.  03054",,,,For-Profit,,,NH Board of
,,,,,,,Nursing
Master Bartender School,104,603-659-3718,1980,Independent,Roy Alonzo,Professional Bartending School,PEC
84 Main St.,,,,For-Profit,Director,,
"Newmarket, NH  03857",,www.masterbartender.biz,,,K.Ober-Miles,,
,,,,,Main Instr,,
MicroC Training Center,350,603-436-7324,1993,Independent,J.C. Rogers,Computer Applications,PEC
73 Corporate Dr,,,,For-Profit,President,Technology,
"Portsmouth, NH  03801",,www.microc-inc.com,,,,,
,,,,,,,VA
New England Academy of,12,603-563-7760,1992,Independent,Maureen Healy,Massage Therapy,PEC
Therapeutic Sciences,,,,For-Profit,Director,,LICENSE
Gold Mine Road,,www.neats.com,,,,,PENDING
"Dublin, NH  03444",,,,,,,
,,,,,,,VA
New England EMS Institute,172,603-663-4402,1985,Independent,Sarah McEntee,"EMS, Paramedic Training",PEC
1 Elliot Way,,,,Not-for-Profit,Program Director,,VA
"Manchester, NH  03103",,www.neemsi.com,,,,,
New Hampshire Institute for,17,603-882-3022,1983,Independent,Dr. Patrick Cowan,Massage Therapy,PEC
Therapeutic Arts,,,,For-Profit,Executive Director,,COMPTA
153 Lowell Rd,,www.nhita.com,,,,,
"Hudson, NH  03051",,,,,,,
New Horizons Learning Center,12000,603-882-4900,1989,Independent,Stephen Appleby,Computer Learning,PEC
460 Amherst St/,,,,For-Profit,Owner,,VA
"Nashua, NH  03063",,www.nhnewhampshire.com,,,,,
North Eastern Institute of,,603-623-5018,1993,Independent,Gabrielle Grigore,Massage Therapy,PEC
"Whole Health, Inc.",,,,For-Profit,Inst Director,,VA
22 Bridge St.,175,www.neiwh.com,,,Douglas DuVerger,,
"Manchester, NH  03101",,,,,Academic Director,,
Pioneer Computer School of,409,603-623-8293,1993,Independent,Simon Garneau,Computer Graphic Design,PEC
Visual Arts,,,,For-Profit,Owner,,VA
Granite Hill Business Center,,www.pioneeronline.com,CLOSED,,,,
1461 Hooksett Rd.,,,2003-12-31 00:00:00,,,,
"Hooksett, NH  03106",,,,,,,
Professional Nursing Assistant,new,603-436-9217,2003,Independent,Dana Gillie-Mularoni,Nursing Assistant,PEC
33 Wilson Road,,,,For-Profit,owner,,NH Board of
"Portsmouth, N.H.  03801",,,,,,,Nursing
St. Joseph School of Practical,120,603-594-2567,,Private,Barbara Provencher,Health Occupations,PEC
Nursing & Health Occupations,,,,Non-Profit,Director,See individual listings on web site,VA
5 Woodward Ave.,,www.stjosephhospital.com,,,,,Title IV approved
"Nashua, NH  03060",,,,,,,
Seacoast Center for Education,new,603-772-0181,2003,Independent,Gary Davidson,Montessori Elementary Teacher,PEC
146 High St,,,in NH,For-Profit,Director,Preparation,
"Stratham, NH  03840",,www.seacoastcenter.com,,,,,
Seacoast Career Schools,new,603-624-7222,2003,Independent,Kenneth Humphrey,"Office Tech, Adm Asst, Adm Supp Spec,",PEC
670 North Commercial St.,,,in NH,For-Profit,Director,"Comp Sup Spec, Comp Acct, Health",ACCET
"Manchester, NH  03101",,www.seacoastcareerschools.com,,,,"Claims Spec, Prof Med Asst, Cul Arts,",
,,,,,,Massage Therapy,
Second Start,34,603-228-1341,1971,Independent,Jim Snodgrass,"Adult Basic Education, Job",PEC
17 Knight St.,,,,Non-Profit,Executive Director,Training and Career Counseling,ACCET
"Concord, NH  03301",,www.second-start.org,,,,School,Title IV aproved
Skill Med Services,New,603-286-9299,2003,Independent,Bonnie McPhail,LPN/LNA/MNA Training,PEC
PO Box 248,,1-877-637-5455,,For-Profit,,,NH Board of
"Tilton, N.H.  03276",,www.skillmed.com,,,,,Nursing
Stellacon Corporation,150,603-859-0470,1999,Independent,William Panek,Computer Training,PEC
8 Polliwog Lane,,,,For-Profit,Owner,,
"Farmington, N.H.  03835",,www.stellacon.com,,,,,
,,www.stellatest.com,,,,,
"TechMarket Training, Inc.",15,603-622-5015,2000,Independent,Donald Patch,Computer Training,PEC
250 Commercial St.,,,,For-Profit,Owner,,
Suite 3016,,www.techmarkettraining.com,,,,,
"Manchester, NH  03102",,,,,,,
"TechMarket Training, Inc.",240,,2000,Independent,Donald Patch,Computer Training,PEC
"105 Loudon Road, Bldg #4",,www.techmarkettraining.com,,For-Profit,Owner,,
"Concord, N.H.  03301",,,,,,,
TENET,80,603-645-6616,,Independent,Claude Allard,Electrical,PEC
25 Blucher St.,,,,For-Profit,,,
"Manchester, NH  03102",,www.tenet-ed.com,,,,,
The Paralegal Learning Center,New,603-766-4930,2003,Independent,Chihoe Hahn,Paralegal Studies,PEC
"1 New Hampshire Ave, Suite 125",,,,For-Profit,,Distance Learning,
"Portsmouth, N.H.  03801",,www.paralegallearningcenter.com,,,,,
Training NH Career Center,,603-669-5903,1986,Independent,Jessica Gill,Computer and Medical Training,PEC
"1045 Elm St., Suite 202",,,,For-Profit,Director,,
"Manchester, NH  03101",,www.trainingnh.com,,,,,
Vital Kneads Institute for Massage,new,603-267-1208,2003,Independent,Amber Flanders,Massage Therapy,PEC
Therapy,,,,For-Profit,Owner,,
"9 Mill St., #3, P.O. Box 284",,,,,,,
"Belmont, N.H.  03220",,,,,,,
"Windy Hill Kennels, Inc",5,603-267-6896,1985,Independent,John Wilkens,Dog Training and Kennel,PEC
741 Province Road,,,,For-Profit,Owner,Management,
"Gilmanton, NH  03237",,www.whkennelcollege.com,,,,,
