,,,,,,,地　　　　　 域   Area,,,職 業 （ 大 分 類 ） 別 15 歳 以 上 就 業 者 数 総　　数  Total,Ａ 専 門 的 ・ 技    術    的 職業従事者,Ｂ 管  理  的  職業従事者,Ｃ 事      務  従  事  者,Ｄ 販      売  従  事  者,Employed persons 15 years of age Ｅ サービス  職業従事者,Ｆ 保     安  職業従事者,Ｇ 農 林 漁 業  作  業  者,and over by occupation (major groups) Ｈ 運  輸  ・ 通      信 従  事  者,Ｉ 生産工程・  労務作業者,Ｊ 分類不能の  職　　　　業,総　数  Total,職 業 別 就 業 者 割 合 （ ％ ） Ａ 専門的・ 技術的 職   業 従事者,Ｂ 管理的 職業 従事者,Ｃ 事務  従事者,Ｄ 販売  従事者,Ｅ サービス 職業 従事者,Ｆ 保安 職業 従事者,Percent by occupation Ｇ 農林漁業  作業者,Ｈ 運輸・ 通信 従事者,Ｉ 生産工程 ・労務 作業者,J 分類不能  の職業
,,,,,,,12,千葉県,,2303198.0,296510.0,54881.0,426389.0,333707.0,241239.0,41233.0,117115.0,93641.0,653708.0,44775.0,100.0,12.9,2.4,18.5,14.5,10.5,1.8,5.1,4.1,28.4,1.9
,,,,,,,13,東京都,,8507195.0,1429638.0,328560.0,2224012.0,1614435.0,732552.0,131932.0,29291.0,257813.0,1562732.0,196230.0,100.0,16.8,3.9,26.1,19.0,8.6,1.6,0.3,3.0,18.4,2.3
,,,,,,,14,神奈川県,,3503357.0,576627.0,92926.0,683195.0,515260.0,339279.0,62612.0,45398.0,130162.0,998344.0,59554.0,100.0,16.5,2.7,19.5,14.7,9.7,1.8,1.3,3.7,28.5,1.7
,,,,,,,15,新潟県,,1266843.0,145378.0,33401.0,215546.0,167876.0,106909.0,16357.0,90528.0,47310.0,439001.0,4537.0,100.0,11.5,2.6,17.0,13.3,8.4,1.3,7.1,3.7,34.7,0.4
,,,,,,,16,富山県,,595371.0,76413.0,17069.0,106806.0,78727.0,46675.0,6346.0,24214.0,20399.0,217365.0,1357.0,100.0,12.8,2.9,17.9,13.2,7.8,1.1,4.1,3.4,36.5,0.2
,,,,,,,17,石川県,,616959.0,81839.0,18580.0,112078.0,90079.0,56300.0,9069.0,24328.0,21086.0,199573.0,4027.0,100.0,13.3,3.0,18.2,14.6,9.1,1.5,3.9,3.4,32.3,0.7
,,,,,,,18,福井県,,441747.0,53777.0,12757.0,77812.0,56166.0,36471.0,4887.0,21291.0,13111.0,164409.0,1066.0,100.0,12.2,2.9,17.6,12.7,8.3,1.1,4.8,3.0,37.2,0.2
,,,,,,,19,山梨県,,451558.0,55261.0,12425.0,78517.0,58073.0,43124.0,5252.0,40151.0,12263.0,144964.0,1528.0,100.0,12.2,2.8,17.4,12.9,9.6,1.2,8.9,2.7,32.1,0.3
,,,,,,,20,長野県,,1202771.0,139633.0,32244.0,197659.0,145518.0,104026.0,10499.0,131776.0,32643.0,404388.0,4385.0,100.0,11.6,2.7,16.4,12.1,8.6,0.9,11.0,2.7,33.6,0.4
,,,,,,,21,岐阜県,,1021685.0,117044.0,26819.0,174552.0,137150.0,90385.0,12067.0,40913.0,31124.0,389653.0,1978.0,100.0,11.5,2.6,17.1,13.4,8.8,1.2,4.0,3.0,38.1,0.2
,,,,,,,22,静岡県,,2014460.0,229023.0,49490.0,342893.0,264879.0,171626.0,29157.0,108981.0,69316.0,739307.0,9788.0,100.0,11.4,2.5,17.0,13.1,8.5,1.4,5.4,3.4,36.7,0.5
,,,,,,,23,愛知県,,3782272.0,465234.0,95373.0,711033.0,575963.0,313123.0,44819.0,108903.0,132181.0,1310517.0,25126.0,100.0,12.3,2.5,18.8,15.2,8.3,1.2,2.9,3.5,34.6,0.7
,,,,,,,24,三重県,,895263.0,104629.0,21720.0,156427.0,110487.0,76179.0,11605.0,47362.0,31546.0,331879.0,3429.0,100.0,11.7,2.4,17.5,12.3,8.5,1.3,5.3,3.5,37.1,0.4
,,,,,,,25,滋賀県,,628374.0,85368.0,15767.0,109007.0,75088.0,49000.0,8138.0,24739.0,18317.0,234690.0,8260.0,100.0,13.6,2.5,17.3,11.9,7.8,1.3,3.9,2.9,37.3,1.3
,,,,,,,26,京都府,,1254901.0,177426.0,34890.0,228539.0,205531.0,125457.0,23945.0,35690.0,42965.0,356991.0,23467.0,100.0,14.1,2.8,18.2,16.4,10.0,1.9,2.8,3.4,28.4,1.9
,,,,,,,27,大阪府,,4621881.0,624873.0,152846.0,997774.0,883572.0,404232.0,60043.0,23898.0,159441.0,1240297.0,74905.0,100.0,13.5,3.3,21.6,19.1,8.7,1.3,0.5,3.4,26.8,1.6
,,,,,,,28,兵庫県,,2350201.0,324100.0,65244.0,440656.0,345437.0,216970.0,37699.0,65187.0,82960.0,727644.0,44304.0,100.0,13.8,2.8,18.7,14.7,9.2,1.6,2.8,3.5,31.0,1.9
,,,,,,,29,奈良県,,498753.0,75499.0,13250.0,89137.0,74414.0,46348.0,7185.0,21052.0,14398.0,147922.0,9548.0,100.0,15.1,2.7,17.9,14.9,9.3,1.4,4.2,2.9,29.7,1.9
,,,,,,,30,和歌山県,,479710.0,59911.0,11801.0,81700.0,67314.0,43035.0,6245.0,52167.0,15822.0,138025.0,3690.0,100.0,12.5,2.5,17.0,14.0,9.0,1.3,10.9,3.3,28.8,0.8
,,,,,,,31,鳥取県,,320526.0,41156.0,9299.0,53467.0,39839.0,25787.0,5671.0,36509.0,10691.0,96500.0,1607.0,100.0,12.8,2.9,16.7,12.4,8.0,1.8,11.4,3.3,30.1,0.5
,,,,,,,32,島根県,,389084.0,51515.0,11155.0,67044.0,46862.0,32071.0,5960.0,41262.0,13129.0,118485.0,1601.0,100.0,13.2,2.9,17.2,12.0,8.2,1.5,10.6,3.4,30.5,0.4
,,,,,,,33,岡山県,,951004.0,125591.0,25110.0,165428.0,129605.0,75611.0,11039.0,62328.0,36666.0,312856.0,6770.0,100.0,13.2,2.6,17.4,13.6,8.0,1.2,6.6,3.9,32.9,0.7
,,,,,,,34,広島県,,1439611.0,194136.0,41442.0,275156.0,218658.0,120464.0,27829.0,65614.0,54960.0,425981.0,15371.0,100.0,13.5,2.9,19.1,15.2,8.4,1.9,4.6,3.8,29.6,1.1
,,,,,,,35,山口県,,739531.0,96526.0,19592.0,129938.0,99136.0,64031.0,14521.0,53687.0,28837.0,229836.0,3427.0,100.0,13.1,2.6,17.6,13.4,8.7,2.0,7.3,3.9,31.1,0.5
,,,,,,,36,徳島県,,388850.0,55724.0,10854.0,62168.0,49887.0,31637.0,5263.0,40320.0,13584.0,114292.0,5121.0,100.0,14.3,2.8,16.0,12.8,8.1,1.4,10.4,3.5,29.4,1.3
,,,,,,,37,香川県,,513387.0,67274.0,15752.0,97195.0,74239.0,40832.0,7091.0,37767.0,18853.0,152611.0,1773.0,100.0,13.1,3.1,18.9,14.5,8.0,1.4,7.4,3.7,29.7,0.3
,,,,,,,38,愛媛県,,710998.0,92314.0,18565.0,119972.0,96232.0,60327.0,8158.0,70563.0,28748.0,214489.0,1630.0,100.0,13.0,2.6,16.9,13.5,8.5,1.1,9.9,4.0,30.2,0.2
,,,,,,,39,高知県,,393032.0,55284.0,10443.0,64294.0,53747.0,37844.0,5569.0,49598.0,13802.0,100052.0,2399.0,100.0,14.1,2.7,16.4,13.7,9.6,1.4,12.6,3.5,25.5,0.6
,,,,,,,40,福岡県,,2327898.0,330108.0,64244.0,450153.0,404995.0,220565.0,40830.0,85745.0,92077.0,610627.0,28554.0,100.0,14.2,2.8,19.3,17.4,9.5,1.8,3.7,4.0,26.2,1.2
,,,,,,,41,佐賀県,,429807.0,55183.0,10890.0,71112.0,56679.0,37790.0,6481.0,49130.0,15029.0,126563.0,950.0,100.0,12.8,2.5,16.5,13.2,8.8,1.5,11.4,3.5,29.4,0.2
,,,,,,,42,長崎県,,699570.0,96285.0,18645.0,114864.0,97552.0,68836.0,18831.0,65377.0,27813.0,188670.0,2697.0,100.0,13.8,2.7,16.4,13.9,9.8,2.7,9.3,4.0,27.0,0.4
,,,,,,,43,熊本県,,881027.0,118798.0,22590.0,147369.0,118482.0,83093.0,14719.0,104962.0,30291.0,234417.0,6306.0,100.0,13.5,2.6,16.7,13.4,9.4,1.7,11.9,3.4,26.6,0.7
,,,,,,,44,大分県,,583148.0,78305.0,15679.0,98991.0,79717.0,53025.0,9419.0,55361.0,21355.0,167124.0,4172.0,100.0,13.4,2.7,17.0,13.7,9.1,1.6,9.5,3.7,28.7,0.7
,,,,,,,45,宮崎県,,566350.0,73128.0,14385.0,92466.0,72998.0,51684.0,9783.0,72363.0,19549.0,158491.0,1503.0,100.0,12.9,2.5,16.3,12.9,9.1,1.7,12.8,3.5,28.0,0.3
,,,,,,,46,鹿児島県,,827732.0,111748.0,20292.0,141583.0,106514.0,77392.0,12431.0,98531.0,32360.0,224010.0,2871.0,100.0,13.5,2.5,17.1,12.9,9.3,1.5,11.9,3.9,27.1,0.3
,,,,,,,47,沖縄県,,555708.0,81121.0,15470.0,102061.0,81726.0,64909.0,14464.0,34510.0,25213.0,131521.0,4713.0,100.0,14.6,2.8,18.4,14.7,11.7,2.6,6.2,4.5,23.7,0.8
