PAYMENT DATE,BUSINESS UNIT,PAYMENT TYPE,PAYEE,PAYMENT AMOUNT
2013-05-03 00:00:00,Non-Departmental GF L4,OTHER PROFESSIONAL SERVICES,"LEGENDS SALES & MARKETING, LLC",10833.33
2013-05-03 00:00:00,Non-Departmental GF L4,OTHER PROFESSIONAL SERVICES,"LEGENDS SALES & MARKETING, LLC",10833.33
2013-05-03 00:00:00,City Atty Office L4,POSTAGE & COURIERS,U S POSTAL SERVICE,5.8
2013-05-03 00:00:00,City Atty Office L4,ELECTRICITY,GEXA ENERGY,238.82
2013-05-03 00:00:00,Human Resources L4,POSTAGE & COURIERS,U S POSTAL SERVICE,6.06
2013-05-03 00:00:00,Human Resources L4,ELECTRICITY,GEXA ENERGY,384.39
2013-05-03 00:00:00,Muni Court Operations L4,POSTAGE & COURIERS,U S POSTAL SERVICE,1415.19
2013-05-03 00:00:00,Muni Court Operations L4,ELECTRICITY,GEXA ENERGY,3710.12
2013-05-03 00:00:00,Muni Court Judicial L4,OTHER PROFESSIONAL SERVICES,W. BRUCE WOODY,500
2013-05-03 00:00:00,Risk Admin L4,POSTAGE & COURIERS,U S POSTAL SERVICE,13.51
2013-05-03 00:00:00,Risk Admin L4,ELECTRICITY,GEXA ENERGY,33.3
2013-05-03 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,LLOYD GOSSELINK ROCHELLE &,2398.9
2013-05-03 00:00:00,Accounting L4,POSTAGE & COURIERS,U S POSTAL SERVICE,288.86
2013-05-03 00:00:00,Accounting L4,ELECTRICITY,GEXA ENERGY,202.66
2013-05-03 00:00:00,UCS and Rev Collection L4,POSTAGE & COURIERS,FEDERAL EXPRESS CORPORATION,5.92
2013-05-03 00:00:00,UCS and Rev Collection L4,POSTAGE & COURIERS,U S POSTAL SERVICE,1329.55
2013-05-03 00:00:00,UCS and Rev Collection L4,UNIFORMS & CLOTHING,KMC UNIFORMS INC.,125
2013-05-03 00:00:00,UCS and Rev Collection L4,ELECTRICITY,GEXA ENERGY,685.06
2013-05-03 00:00:00,Purchasing L4,POSTAGE & COURIERS,U S POSTAL SERVICE,3.04
2013-05-03 00:00:00,Purchasing L4,POSTAGE & COURIERS,U S POSTAL SERVICE,0
2013-05-03 00:00:00,Purchasing L4,ELECTRICITY,GEXA ENERGY,235.01
2013-05-03 00:00:00,General Services L4,ELECTRICITY,GEXA ENERGY,276.88
2013-05-03 00:00:00,Finance Admin L4,POSTAGE & COURIERS,U S POSTAL SERVICE,0.87
2013-05-03 00:00:00,Finance Admin L4,ELECTRICITY,GEXA ENERGY,150.33
2013-05-03 00:00:00,Budget MA L4,ELECTRICITY,GEXA ENERGY,165.56
2013-05-03 00:00:00,Information Technology L4,POSTAGE & COURIERS,U S POSTAL SERVICE,6.11
2013-05-03 00:00:00,Information Technology L4,OTHER PROFESSIONAL SERVICES,"PERCEPTIVE SOFTWARE, INC.",456.47
2013-05-03 00:00:00,Information Technology L4,ELECTRICITY,GEXA ENERGY,2208.48
2013-05-03 00:00:00,Facility Services L4,R/M SUP.-STRUCTURES,ENVIRONMENTAL SIGNAGE,110.54
2013-05-03 00:00:00,Facility Services L4,OTHER PROFESSIONAL SERVICES,THYSSENKRUPP ELEVATOR CORP,479.51
2013-05-03 00:00:00,Facility Services L4,ELECTRICITY,GEXA ENERGY,279.1
2013-05-03 00:00:00,Facility Services L4,ELECTRICITY,GEXA ENERGY,439.88
2013-05-03 00:00:00,Facility Services L4,ELECTRICITY,GEXA ENERGY,-0.02
2013-05-03 00:00:00,Marketing Services L4,POSTAGE & COURIERS,U S POSTAL SERVICE,6.82
2013-05-03 00:00:00,Marketing Services L4,ELECTRICITY,GEXA ENERGY,179.83
2013-05-03 00:00:00,Police Management Services,POSTAGE & COURIERS,U S POSTAL SERVICE,301.34000000000003
2013-05-03 00:00:00,Police Management Services,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,55.95
2013-05-03 00:00:00,Police Management Services,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,344.75
2013-05-03 00:00:00,Police Management Services,UNIFORMS & CLOTHING,"UNIFORMS, INC.",799.95
2013-05-03 00:00:00,Police Management Services,OTHER PROFESSIONAL SERVICES,"STANARD & ASSOCIATES, INC.",4772.25
2013-05-03 00:00:00,Police Management Services,ELECTRICITY,GEXA ENERGY,7358.97
2013-05-03 00:00:00,Police Operations L4,OFFICE SUPPLIES,"FONDREN FORENSICS, INC",150
2013-05-03 00:00:00,Police Operations L4,POSTAGE & COURIERS,U S POSTAL SERVICE,0.43
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,185.85
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,248.85
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,341.7
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,82.95
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,"UNIFORMS, INC.",799.95
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,165.9
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,66.95
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,248.85
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,66.95
2013-05-03 00:00:00,Police Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,452.65
2013-05-03 00:00:00,Police Operations L4,OTHER PROFESSIONAL SERVICES,"JOHN LEHMAN & ASSOCIATES, P.C.",125
2013-05-03 00:00:00,Police Operations L4,ELECTRICITY,GEXA ENERGY,2353.56
2013-05-03 00:00:00,Fire Operations L4,RETIREMT VOL. FIREMEN,"SKIPWORTH, JOHNNIE MRS.",50
2013-05-03 00:00:00,Fire Operations L4,POSTAGE & COURIERS,U S POSTAL SERVICE,25.19
2013-05-03 00:00:00,Fire Operations L4,UNIFORMS & CLOTHING,GST PUBLIC SAFETY SUPPLY,287.1
2013-05-03 00:00:00,Fire Operations L4,OTHER OPER. SUPPLIES,INDUSTRIAL ORGANIZATIONAL,4000
2013-05-03 00:00:00,Fire Operations L4,OTHER PROFESSIONAL SERVICES,EAST TEXAS MEDICAL CTR TYLER,500
2013-05-03 00:00:00,Fire Operations L4,ELECTRICITY,GEXA ENERGY,4667.18
2013-05-03 00:00:00,Fire Support Services,ELECTRICITY,GEXA ENERGY,516.65
2013-05-03 00:00:00,Environmental Services L4,POSTAGE & COURIERS,U S POSTAL SERVICE,1499.88
2013-05-03 00:00:00,Environmental Services L4,POSTAGE & COURIERS,UNITED PARCEL SERVICES,61.52
2013-05-03 00:00:00,Environmental Services L4,POSTAGE & COURIERS,UNITED PARCEL SERVICES,83.8
2013-05-03 00:00:00,Environmental Services L4,OTHER PROFESSIONAL SERVICES,EFFICIENCY TOOLS INC.,375
2013-05-03 00:00:00,Environmental Services L4,OTHER PROFESSIONAL SERVICES,"CHICAGO TITLE OF TEXAS, LLC",175
2013-05-03 00:00:00,Environmental Services L4,DALLAS COUNTY HEALTH,DALLAS CO. HEALTH & H.S. DEPT,1985.25
2013-05-03 00:00:00,Environmental Services L4,ELECTRICITY,GEXA ENERGY,993.33
2013-05-03 00:00:00,Animal Control L4,POSTAGE & COURIERS,U S POSTAL SERVICE,84.94
2013-05-03 00:00:00,Animal Control L4,ELECTRICITY,GEXA ENERGY,6881.89
2013-05-03 00:00:00,Parks Donations Fund-wide FL4,SENIOR CITIZENS LUNCHEONS,FIRST BAPTIST CHURCH,500
2013-05-03 00:00:00,Library L4,POSTAGE & COURIERS,U S POSTAL SERVICE,244.44
2013-05-03 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,"BAKER & TAYLOR, INC.",1029.46
2013-05-03 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,"BAKER & TAYLOR, INC.",299.69
2013-05-03 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,BRODART CO,96.64
2013-05-03 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,BRODART CO,590
2013-05-03 00:00:00,Library L4,RENTALS-ALL OTHERS,CINTAS CORPORATION,53.73
2013-05-03 00:00:00,Library L4,ELECTRICITY,GEXA ENERGY,10937
2013-05-03 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,666.38
2013-05-03 00:00:00,Leisure Services L4,POSTAGE & COURIERS,U S POSTAL SERVICE,2.67
2013-05-03 00:00:00,Leisure Services L4,ELECTRICITY,GEXA ENERGY,75.19
2013-05-03 00:00:00,Tennis Center L4,ELECTRICITY,GEXA ENERGY,1822.24
2013-05-03 00:00:00,Rosemeade Rec Center,ELECTRICITY,GEXA ENERGY,3929.71
2013-05-03 00:00:00,Crosby Rec Center,OTHER OPER. SUPPLIES,SAM'S CLUB DIRECT,272.64
2013-05-03 00:00:00,Crosby Rec Center,ELECTRICITY,GEXA ENERGY,2178.96
2013-05-03 00:00:00,Senior Center,POSTAGE & COURIERS,U S POSTAL SERVICE,3.03
2013-05-03 00:00:00,Senior Center,ELECTRICITY,GEXA ENERGY,2619.34
2013-05-03 00:00:00,Perry Museum,POSTAGE & COURIERS,U S POSTAL SERVICE,2.44
2013-05-03 00:00:00,Perry Museum,ELECTRICITY,GEXA ENERGY,371.9
2013-05-03 00:00:00,Parks Mntc Contract Svcs L4,POSTAGE & COURIERS,U S POSTAL SERVICE,2.37
2013-05-03 00:00:00,Parks Mntc Non-Cntrct Svcs L4,IRRIGATION SUPPLIES,"HORIZON DISTRIBUTORS, INC.",-9.24
2013-05-03 00:00:00,Parks Mntc Non-Cntrct Svcs L4,IRRIGATION SUPPLIES,"HORIZON DISTRIBUTORS, INC.",-70.88
2013-05-03 00:00:00,Parks Mntc Non-Cntrct Svcs L4,OTHER PROFESSIONAL SERVICES,PREMIER BUILDING MAINTENANCE,2690
2013-05-03 00:00:00,Parks Mntc Non-Cntrct Svcs L4,ELECTRICITY,GEXA ENERGY,6412.36
2013-05-03 00:00:00,Parks Mntc Non-Cntrct Svcs L4,R/M SVCS.-STRUCTURES,RICHARDSON READY ELECTRIC INC,194
2013-05-03 00:00:00,Athletics L4,RAW WATER USAGE,CITY OF DALLAS,1754.53
2013-05-03 00:00:00,Athletics L4,ELECTRICITY,GEXA ENERGY,22676.24
2013-05-03 00:00:00,Pol Conf Non-Fed Fund-wide FL4,BANK FEES TO BE ALLOC.,JP MORGAN CHASE BANK N.A.,-74.21000000000001
2013-05-03 00:00:00,Public Works Admin  L4,POSTAGE & COURIERS,U S POSTAL SERVICE,51.3
2013-05-03 00:00:00,Public Works Admin  L4,ELECTRICITY,GEXA ENERGY,4063.2
2013-05-03 00:00:00,Streets  L4,LANDSCAPE MATERIALS,REDI-MIX LLC,-4134
2013-05-03 00:00:00,Streets  L4,LANDSCAPE MATERIALS,"HORIZON DISTRIBUTORS, INC.",9.24
2013-05-03 00:00:00,Streets  L4,LANDSCAPE MATERIALS,REDI-MIX LLC,4134
2013-05-03 00:00:00,Streets  L4,LANDSCAPE MATERIALS,"HORIZON DISTRIBUTORS, INC.",70.88
2013-05-03 00:00:00,Streets  L4,CONCRETE,REDI-MIX LLC,3373.5
2013-05-03 00:00:00,Streets  L4,BASE MATERIALS,BIG CITY CRUSHED CONCRETE INC,662.03
2013-05-03 00:00:00,Streets  L4,BASE MATERIALS,BIG CITY CRUSHED CONCRETE INC,168.55
2013-05-03 00:00:00,Streets  L4,BASE MATERIALS,BIG CITY CRUSHED CONCRETE INC,868.4
2013-05-03 00:00:00,Streets  L4,BASE MATERIALS,BIG CITY CRUSHED CONCRETE INC,0.03
2013-05-03 00:00:00,Streets  L4,BASE MATERIALS,BIG CITY CRUSHED CONCRETE INC,103.55
2013-05-03 00:00:00,Streets  L4,BASE MATERIALS,BIG CITY CRUSHED CONCRETE INC,0.02
2013-05-03 00:00:00,Traffic Operations  L4,ELECTRICITY,GEXA ENERGY,85614.65
2013-05-03 00:00:00,Utility Pumping,ELECTRICITY,GEXA ENERGY,57787.09
2013-05-03 00:00:00,Water Distribution,R/M SUP.-WTR. & SEW.,ACT PIPE AND SUPPLY INC,-200
2013-05-03 00:00:00,Water Distribution,R/M SUP.-WTR. & SEW.,ACT PIPE AND SUPPLY INC,-5619.5
2013-05-03 00:00:00,Wastewater,ELECTRICITY,GEXA ENERGY,2680
2013-05-03 00:00:00,Meter Repair Services,R/M SUP.-WTR. METERS,ACT PIPE AND SUPPLY INC,200
2013-05-03 00:00:00,Meter Repair Services,ELECTRICITY,GEXA ENERGY,125.46
2013-05-03 00:00:00,Utility Replacement Program,R/M SUP.-WTR. & SEW.,ACT PIPE AND SUPPLY INC,5619.5
2013-05-03 00:00:00,Planning L4,POSTAGE & COURIERS,U S POSTAL SERVICE,31.46
2013-05-03 00:00:00,Planning L4,ELECTRICITY,GEXA ENERGY,158.9
2013-05-03 00:00:00,UD TOD L4,ELECTRICITY,GEXA ENERGY,50.43
2013-05-03 00:00:00,Economic Development L4,POSTAGE & COURIERS,U S POSTAL SERVICE,2.34
2013-05-03 00:00:00,Economic Development L4,ELECTRICITY,GEXA ENERGY,224.55
2013-05-03 00:00:00,Traffic Engineering L4,POSTAGE & COURIERS,U S POSTAL SERVICE,51.19
2013-05-03 00:00:00,Traffic Engineering L4,"WIRELESS, CELL PHONE",AT&T MOBILITY NATIONAL,96.36
2013-05-03 00:00:00,Traffic Engineering L4,ELECTRICITY,GEXA ENERGY,260.7
2013-05-03 00:00:00,Civil Engineering L4,POSTAGE & COURIERS,U S POSTAL SERVICE,36.1
2013-05-03 00:00:00,Civil Engineering L4,"WIRELESS, CELL PHONE",AT&T MOBILITY NATIONAL,100.35
2013-05-03 00:00:00,Civil Engineering L4,ELECTRICITY,GEXA ENERGY,780.2
2013-05-03 00:00:00,Civil Engineering L4,COMPUTER SOFTWARE,1ST SCRIBE INC.,500
2013-05-03 00:00:00,Building Inspection L4,POSTAGE & COURIERS,U S POSTAL SERVICE,23.1
2013-05-03 00:00:00,Building Inspection L4,ELECTRICITY,GEXA ENERGY,678.4
2013-05-03 00:00:00,Golf Operating L4,ELECTRICITY,GEXA ENERGY,8543.99
2013-05-03 00:00:00,Flt Operating L4,ELECTRICITY,GEXA ENERGY,2182.48
2013-05-03 00:00:00,Golf Fleet Repl Fund L4,MOBILE EQUIPMENT,"PROFESSIONAL TURF PRODUCTS, LP",6567.13
2013-05-03 00:00:00,Golf Fleet Repl Fund L4,MOBILE EQUIPMENT,"PROFESSIONAL TURF PRODUCTS, LP",13914.08
2013-05-03 00:00:00,EHD Clearing Fund FL4,BANK FEES TO BE ALLOC.,JP MORGAN CHASE BANK N.A.,68.60000000000001
2013-05-03 00:00:00,TOD Cap Proj L4,ENGINEERING SERVICES,TRANSYSTEMS CORPORATION,1140
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,BRODART CO,1137.3700000000001
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,GALE GROUP INC,28.79
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,MIDWEST TAPE LLC,2255.42
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,BRODART CO,368.36
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,BRODART CO,444.94
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,BRODART CO,1647.11
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,MIDWEST TAPE LLC,39.68
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,MIDWEST TAPE LLC,47.39
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,BRODART CO,-666.38
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,BRODART CO,993.62
2013-05-03 00:00:00,LIB GO 03 Cap Proj L4,LIB. BOOKS & FILMS,MIDWEST TAPE LLC,59.36
2013-05-03 00:00:00,Urban Desgn Spec Cap Proj L4,OTHER PROFESSIONAL SERVICES,TERRACON CONSULTANTS INC,1238
2013-05-03 00:00:00,Urban Desgn Spec Cap Proj L4,OTHER PROFESSIONAL SERVICES,TERRACON CONSULTANTS INC,2740.75
2013-05-03 00:00:00,Parks Consol Cap Proj L4,OTHER PROFESSIONAL SERVICES,TERRACON CONSULTANTS INC,700.5
2013-05-03 00:00:00,Streets Consol Cap Proj L4,OTHER PROFESSIONAL SERVICES,TERRACON CONSULTANTS INC,1278.25
2013-05-03 00:00:00,Streets Consol Cap Proj L4,OTHER PROFESSIONAL SERVICES,TERRACON CONSULTANTS INC,1391
2013-05-03 00:00:00,Streets Consol Cap Proj L4,OTHER PROFESSIONAL SERVICES,TERRACON CONSULTANTS INC,1473.25
2013-05-03 00:00:00,Streets Consol Cap Proj L4,OTHER PROFESSIONAL SERVICES,TERRACON CONSULTANTS INC,1457.5
2013-05-03 00:00:00,Gen Investment Pool FL4,BANK FEES TO BE ALLOC.,JP MORGAN CHASE BANK N.A.,3462.12
2013-05-06 00:00:00,Muni Court Operations L4,CREDIT CARD FEES,AMX FEES - MUN CT 446494,418.6
2013-05-06 00:00:00,UCS and Rev Collection L4,CREDIT CARD FEES,AMX FEES - UB446486,549.57
2013-05-06 00:00:00,UCS and Rev Collection L4,CREDIT CARD FEES,AMX FEES - COC ALRM784223,39.29
2013-05-06 00:00:00,UCS and Rev Collection L4,CREDIT CARD FEES,AMX FEES - UB421927,55.53
2013-05-06 00:00:00,Building Inspection L4,CREDIT CARD FEES,AMX FEE-BLDG INSP821943,159.62
2013-05-10 00:00:00,General Fund,A/P - OUTSTANDING CHECKS,ONE-TIME VENDOR,46.19
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,335
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,52
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,100
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,519
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,137
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,320
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,52
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,119
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,469
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,33
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,100
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,"MARSAW & ASSOCIATES, P.C.",602.1
2013-05-10 00:00:00,General Fund,A/P - CASH ESCROW REFUNDS,ONE-TIME VENDOR,110
2013-05-10 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,DENTON CO. SHERIFFS OFFICE,1000
2013-05-10 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF GRAND PRAIRIE,458
2013-05-10 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF IRVING,325
2013-05-10 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,COLLIN CO. SHERIFFS OFFICE,320
2013-05-10 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF COPPELL,219
2013-05-10 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,DENTON CO. SHERIFFS OFFICE,1000
