Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private ;  Mining ;,,,Original,A2712242R,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Wholesale trade ;,,,Original,A2712368W,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Retail trade ;,,,Original,A2712366T,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Accommodation and food services ;,,,Original,A2712342X,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Transport, postal and warehousing ;",,,Original,A2712348L,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Information media and telecommunications ;,,,Original,A2712358T,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Financial and insurance services ;,,,Original,A2712346J,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Rental, hiring and real estate services ;",,,Original,A2712374T,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
"Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Professional, scientific and technical services ;",,,Original,A2712350X,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Administrative and support services ;,,,Original,A2712362J,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Public administration and safety ;,,,Original,A2712364L,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Education and training ;,,,Original,A2712344C,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Health care and social assistance ;,,,Original,A2712354J,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Arts and recreation services ;,,,Original,A2712340V,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  Other services ;,,,Original,A2712370J,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  All industries ;,,,Original,A2712376W,1998-06-01 00:00:00,2010-06-01 00:00:00,13,Index Numbers,INDEX,Annual,6,,,,,,,,,,,,,,
