IRN,DISTRICT,COUNTY,COUNTY NUMBER,DISTRICT TYPE,CALCULATED OPPORTUNITY GRANT,CAPPED OPPORTUNITY GRANT,CALCULATED TARGETED ASSISTANCE,CAPPED TARGETED ASSISTANCE,CALCULATED K-3 LITERACY FUNDING,CAPPED K-3 LITERACY FUNDING,CALCULATED ECONOMIC DISADVANTAGED FUNDING,CAPPED ECONOMIC DISADVANTAGED FUNDING,CALCULATED LIMITED ENGLISH PROFICIENCY FUNDING,CAPPED LIMITED ENGLISH PROFICIENCY FUNDING,CALCULATED GIFTED EDUCATION FUNDING,CAPPED GIFTED EDUCATION FUNDING,CALCULATED TRANSPORTATION FUNDING,CAPPED TRANSPORTATION FUNDING,CALCULATED SPECIAL EDUCATION ADDITIONAL FUNDING,CAPPED SPECIAL EDUCATION ADDITIONAL FUNDING,CALCULATED CAREER TECH EDUCATION FUNDING,CAPPED CAREER TECH EDUCATION FUNDING,CALCULATED FUNDING BEFORE GUARANTEE,CAPPED FUNDING BEFORE GUARANTEE,TRANSITIONAL GUARANTEE BASE,TRANSITIONAL GUARANTEE,TOTAL CALCULATED STATE FUNDING,PRESCHOOL SPECIAL EDUCATION FUNDING,SPECIAL EDUCATION TRANSPORTATION FUNDING,TOTAL ADDITIONAL AID ITEMS,EDUCATION SERVICE CENTER TRANSFER,OPEN ENROLLMENT ADJUSTMENT,COMMUNITY SCHOOL TRANSFER,STEM SCHOOL TRANSFER,SCHOLARSHIP TRANSFER,OTHER ADJUSTMENTS,TOTAL TRANSFERS & ADJUSTMENTS,NET STATE FOUNDATION FUNDING,STATEWIDE TOTAL ADM,STATEWIDE FORMULA ADM,STATEWIDE ECONOMIC DISADVANTAGED RATIO,STATEWIDE MEDIAN INCOME,STATEWIDE 3 YEAR AVERAGE VALUATION,STATEWIDE 3 YEAR AVERAGE ADJUSTED VALUATION,STATEWIDE 3 YEAR FEDERAL GROSS INCOME,ADJUSTED TOTAL ADM,TOTAL ADM,TUITION KINDERGARTEN ADM,JOINTURE JVS ADM,FORMULA ADM,CATEGORY 1 SPECIAL EDUCATION ADM,CATEGORY 2 SPECIAL EDUCATION ADM,CATEGORY 3 SPECIAL EDUCATION ADM,CATEGORY 4 SPECIAL EDUCATION ADM,CATEGORY 5 SPECIAL EDUCATION ADM,CATEGORY 6 SPECIAL EDUCATION ADM,CATEGORY 1 CAREER TECH FTE,CATEGORY 2 CAREER TECH FTE,CATEGORY 3 CAREER TECH FTE,CATEGORY 4 CAREER TECH FTE,CATEGORY 5 CAREER TECH FTE,CATEGORY 1 LEP ADM,CATEGORY 2 LEP ADM,CATEGORY 3 LEP ADM,K-3 FORMULA ADM,K-3 E-SCHOOL FORMULA ADM,PRESCHOOL AUTISM SCHOLARSHIP ADM,BRICK & MORTAR & STEM SCHOOL ADM,E-SCHOOL FORMULA ADM,NET FORMULA ADM,JON PETERSON SCHOLARSHIP ADM,AUTISM SCHOLARSHIP ADM,EDCHOICE SCHOLARSHIP ADM,ECONOMIC DISADVANTAGED ADM,ECONOMIC DISADVANTAGED RATIO,3 YEAR AVERAGE FEDERAL GROSS INCOME,3 YEAR AVERAGE TOTAL REAL VALUATION,3 YEAR AVERAGE AGRICULTURAL REAL VALUATION,3 YEAR AVERAGE ADJSUTED TOTAL VALUATION,3 YEAR AVERAGE TOTAL VALUATION,EXEMPT PROPERTY VALUATION,POTENTIAL PROPERTY VALUATION,MEDIAN INCOME TY11,STATE SHARE INDEX,ECONIMC DISADVANTAGED INDEX,INCOMING OPEN ENROLLMENT ADM,OUTGOING OPEN ENROLLMENT ADM,RESIDENT COMMUNITY SCHOOL ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 1 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 2 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 3 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 4 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 5 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 6 ADM
43570,Bellaire Local SD,Belmont,7,1,5637568.23,4989785.31,1388604.1,1229047.01,79408.02,70283.67,288392.88,255255.19,2203.34,1950.17,69580.55,61585.41,2552821.19,2259490.11,881751.72,881751.72,8337.79,8337.79,10908667.82,9757486.38,9183516.59,0,9757486.38,203761.72,0,203761.72,-120628.83,-670950.44,-149761.63,0,-29887,53742.27,-917485.63,9043762.47,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1382,1382,0,57.36,1336.11,45,146.69,10,0,7,15,1.1,1.16,0,0,0.28,2,0,0,448.94,2.34,0,0,15.7,1318.91,1.5,0,0,765.49,0.553900145,155545270,101025773,11652977,112218120,112218120,26711320,138929440,25895,0.734445482,1.418862503,96.2,209.8,15.64,17,9,0,0,0,6
43588,Bellefontaine City SD,Logan,46,1,9417665.94,8620378.03,1804369.41,1651613.73,131259.84,120147.54,468628.86,428955.32,6377.43,5837.52,126602.85,115884.81,638095.77,584075.37,1350835.42,1350835.42,41256,41256,13985091.52,12918983.74,12159043.54,0,12918983.74,266672.35,24927.45,291599.8,-16824.08,-269247.14,-416974.28,0,-17500,-278100.22,-998645.72,12211937.82,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2663.46,2663.46,0,76.11,2602.57,42,243.61,18.8,0,11.6,32.3,3.07,0.44,0,7.89,24.79,0,3,9,805.8,9,0,5,64.82,2534,0,0,0,1405.38,0.527652002,288547376,261033437,7091057,270109173,270109173,42642270,312751443,25978,0.629869862,1.287574996,171.13,217.89,68.26,16,29,0,0,1,3
43596,Bellevue City SD,Huron,39,1,6412419.19,6229667.29,1173476.11,1140032.42,91375.43,88771.26,190430.05,185002.85,605.37,588.12,100651.35,97782.82,598568.44,581509.43,869560.05,869560.05,80803.1,80803.1,9517889.09,9273717.34,8728204.55,0,9273717.34,128295.43,25657.77,153953.2,-388457.6,-130270.98,-421644.9,0,-52500,-10257.91,-1003131.39,8424539.15,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2116.25,2116.25,0,52.47,2074.27,44,170.06,17.5,3,13.8,19.5,20.22,0,2.64,0.22,31.06,0,1,0,602.66,6.46,0,23.76,35.22,2020.23,0,1,0,889.9,0.420507974,270023437,244056760,37121670,252151050,252151050,29672550,281823600,30981,0.538104453,0.817759928,68.37,90.37,61.46,11,10,0,0,1,2
43604,Belpre City SD,Washington,84,1,3105366.97,1762329.21,284126,161244.57,51243.84,29081.43,252542.89,143320.81,0,0,59082.35,33529.87,226195.48,128368.37,444147.67,444147.67,2326.87,2326.87,4425032.07,2704348.8,2545269.46,0,2704348.8,82177.64,20110.12,102287.76,-446432.94,-198908.76,-276685.36,0,-17500,-10008.96,-949536.02,1857100.54,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1132.39,1132.39,0,57.4,1086.47,27,86.24,12.12,1,5,13,0.6,0.34,0,0,0.06,0,0,0,349.14,3.34,0,0,39.45,1047.02,0,0,0,646.54,0.570951704,164150738,144241097,4668943,151201293,151201293,13031920,164233213,26233,0.497513829,1.50756519,93.76,123,39.52,12,6,0,0,0,0
43612,Berea City SD,Cuyahoga,18,1,10808495.8,4148952.23,0,0,229731.26,88184.71,305100.1,117115.81,42352.81,16257.57,316750.65,121587.99,1832803.15,703540.33,2048777.18,2048777.18,22387.3,22387.3,15606398.25,7266803.12,6839344.1,0,7266803.12,363615.17,347047.47,710662.64,-43426.44,-70935,-1317844.8,0,-182985,107719.35,-1507471.89,6469993.87,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,6693.26,6693.26,0,218.91,6518.13,87,568.17,116.97,5,47,118.46,0,0,8.67,0,43.03,34,69.23,25.83,1887.79,5.89,1,49.37,129.16,6343.3,7.5,2.14,0,2251.29,0.336351793,1190905772,1348431600,0,1377537683,1377537683,230097500,1607635183,33476,0.288592861,0.523196522,0,12,177.87,23,44,4,0,0,6
43620,Bexley City SD,Franklin,25,1,2560785.43,2560785.43,0,0,74282.35,74282.35,3066.17,3066.17,5231.8,5231.8,108309.45,108309.45,150645.17,150645.17,307627.07,307627.07,4984.52,4984.52,3214931.96,3214931.96,3897030.08,682098.12,3897030.08,29297.19,19703.37,49000.56,-13925.02,-22980,-392828.83,-53159.67,-194733,-33859.86,-711486.38,3234544.26,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2199.89,2199.89,0,0,2199.89,25,125.21,7,0,1,37.93,0.94,0.84,0.4,1.47,9.03,3,19,0,667.92,0.36,4.62,27.1,11.05,2165.58,1,6.55,0,230.18,0.104632504,689032859,458892347,0,462507456,462507456,66848490,529355947,62943,0.202195313,0.050630311,0,4,35.45,6,1,0,0,0,0
43638,Bowling Green City SD,Wood,87,1,5825320.84,5095926.19,0,0,107710.08,94223.59,179975.31,157440.41,16666.52,14579.69,143419.9,125462.15,726723.43,635729.61,805660.13,805660.13,43452.25,43452.25,7848928.46,6972474.02,6562328.48,0,6972474.02,208429.36,47780.58,256209.94,-413870.09,-293860.76,-476865.37,0,-329594,-2982.08,-1517172.3,5711511.66,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3035.5,3035.5,0,129.39,2931.98,46.6,228.8,26.59,7,12.3,35.07,19.57,0.48,0,0.12,18.18,9.5,30.2,0,843.77,10.1,2,7.87,55.46,2849.84,19,3.77,0,1112.19,0.366394334,589453324,590563900,34511600,588192188,596667650,267822510,864490160,27981,0.345599152,0.620833084,24.72,81.24,68.99,23,20,2,1,0,0
43646,Brecksville-Broadview Height,Cuyahoga,18,1,2585684.47,2585684.47,0,0,88771.92,88771.92,3574.25,3574.25,8900.74,8900.74,194332.35,194332.35,1092245.32,1092245.32,309631.09,309631.09,8192.47,8192.47,4291332.61,4291332.61,4718537.5,427204.89,4718537.5,167615.98,218263.99,385879.97,-26557.12,0,-289816.87,0,-214310,-41673.51,-572357.5,4532059.97,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3990.38,4046.88,113,64.88,3938.47,39,232,18.37,0,20.7,51.43,14.41,0,0,0,0,9,47.9,14,892.2,7,0,7.58,33.27,3890.08,7.5,1.93,0,366.31,0.090516645,1191195572,986468780,363657,1009887916,1009887916,107026990,1116914907,47108,0.114276769,0.037890842,0,0,40.01,23,14,0,1,2,0
43653,Brooklyn City SD,Cuyahoga,18,1,2407839.57,195287.12,0,0,49167.04,3987.68,221110.88,17933.13,31622.22,2564.7,71172.1,5772.4,33051.4,2680.62,479683.46,479683.46,645.82,645.82,3294292.49,708554.93,666875.24,0,708554.93,89988.6,60501.41,150490.01,-9034.29,-92343,-569900.65,0,-58624,-54.64,-729956.58,129088.36,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1479.22,1479.22,0,58.5,1432.42,12.5,140.92,31.55,1,13.92,22.6,0.21,0,0.62,0,0,15,65.48,15.88,408.12,7,0,49.34,30.6,1363.31,0.5,1,0,736.7,0.498032747,221730823,300729087,0,318059803,318059803,20051830,338111633,28487,0.29259516,1.147078536,0,15.9,80.25,3,7,0,0,0,6
43661,Brunswick City SD,Medina,52,1,19607766.54,16347064.82,1454588.97,1212696.01,298973.64,249255.39,131179.9,109365.15,27141.56,22628.01,357695.9,298212.35,2114772.86,1763093.67,2053234.53,2053234.53,26076.79,26076.79,26071430.69,22081626.72,20782707.5,0,22081626.72,394306.33,216768.9,611075.23,-48825.27,-20055.5,-927314.06,0,-204032,-64822.01,-1265048.84,21427653.11,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,7560.17,7560.17,0,316.23,7307.18,99.8,458.88,36.85,4,31,65.46,0.53,10.38,2.22,0,0,8,31,15,2088.24,17.34,1.96,10,132.51,7163.21,3,2.92,0,1840.68,0.243470716,1177434039,1013374890,7583773,1026719596,1026719596,58177090,1084896687,38468,0.466951542,0.274138997,13,15,138.77,26,27,4,2,3,9
43679,Bryan City SD,Williams,86,1,5316885.77,3823042.42,560358.1,402918.71,88343.07,63522.02,140548.83,101059.94,3476.62,2499.83,92733.4,66678.83,376992.48,271071.88,778391.92,778391.92,8110.17,8110.17,7365840.36,5517295.72,5192748.9,0,5517295.72,150922.46,24481.95,175404.41,-12603.7,142087.55,-295729.12,0,-157500,191548.91,-132196.36,5560503.77,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1970.76,1970.76,0,92.6,1896.68,19,185.04,17.6,1,15,18,0.7,0,0,0,9.22,1,3,3,608,7,0,0,39.65,1857.03,0,0,0,767.87,0.389631411,290616156,260157000,19907820,264387993,264387993,44425190,308813183,27791,0.487947652,0.702077858,107.02,83.51,37.19,8,19,1,0,2,0
43687,Bucyrus City SD,Crawford,17,1,6885259.31,5487860.11,1363022.85,1086390.27,91134.08,72637.94,571472.53,455489.21,9910.01,7898.72,77264.75,61583.47,170545.8,135932.64,1493681,1493681,0,0,10662290.33,8801473.36,8283739.63,0,8801473.36,228236.73,40329.59,268566.32,-415355.13,-1009086.27,-942745.64,0,0,-84920.6,-2452107.64,6617932.04,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1690.45,1691.45,2,94.37,1614.95,42.67,235.89,28.77,1,23.42,15.8,0,0,0,0,0,2,7.87,2,524.74,14.94,0,8.87,97.72,1510.57,0,0,0,1121.53,0.663058323,163494444,128110900,359737,134837976,134837976,23724990,158562967,23984,0.742114961,2.033203346,88.98,270.01,121.61,19,20,0,0,2,1
43695,Cambridge City SD,Guernsey,30,1,8874929.52,8335296.69,1929619.42,1812290.48,130136.42,122223.58,726549.25,682372.02,3551.47,3335.52,109468.15,102812.03,740129.96,695126.96,1420256.87,1420256.87,124631.48,124631.48,14059272.54,13298345.63,12516090.01,0,13298345.63,365896.1,72995.99,438892.09,-984823.1,-460747.3,-650274.27,0,0,-6031.92,-2101876.59,11635361.13,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2382.96,2382.96,0,124.16,2283.63,88,242.16,32.8,1,25,13,0.88,37.77,0,0,0.98,2,2,0,766.95,3.95,0,4,89.9,2190.73,0,0,0,1513.21,0.635012757,245986022,199689197,11000510,220198646,220198646,50879320,271077967,23998,0.676470933,1.864842912,105,189.34,93.19,53,24,0,0,0,0
43703,Campbell City SD,Mahoning,50,1,7313879.07,6120976.48,2219401.39,1857414.31,82774.5,69273.88,961938.07,805044.8,36419.63,30479.54,69968.05,58556.18,571685.85,478443.19,1215607.53,1215607.53,57866.4,57866.4,12529540.49,10693662.31,10064623.35,0,10693662.31,48757.1,107241.69,155998.79,-592676.51,-587130,-708487.95,0,-93471,-41378.3,-2023143.76,8826517.34,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1450.08,1450.08,0,45.58,1413.61,20.4,143.91,25.4,1,20,8,0.24,0,29.14,0,5.94,3,27.97,6,418.76,1.76,0.93,53.17,39.51,1331.22,1,2.93,0,1184.71,0.816996304,112623038,67295777,45887,70052846,70052846,14560320,84613167,22319,0.9,3.086864297,0,102.8,84.04,6,1,0,0,0,1
