SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
51-4081,"Multiple Machine Tool Setters, Operators & Tenders, Metal & Plastic",MT OJT,28610,24180,30830,80,80,,2
51-4121,"Welders, Cutters, Solderers & Brazers",MT OJT,35580,27410,39660,620,560,-0.0968,13
51-4191,"Heat Treating Equipment Setters, Operators & Tenders, Metal & Plastic",MT OJT,40150,32230,44110,100,100,,2
51-8013,Power Plant Operators,LT OJT,,,,90,80,-0.11109999999999999,3
51-8031,Water & Wastewater Treatment Plant & System Operators,LT OJT,41330,26000,49000,120,120,,2
51-9061,"Inspectors, Testers, Sorters, Samplers & Weighers",MT OJT,35450,23630,41370,350,310,-0.1143,5
51-9111,Packaging & Filling Machine Operators & Tenders,MT OJT,31140,20820,36290,310,260,-0.1613,6
53-1021,"Supervisors - Helpers, Laborers & Material Movers",WK EXP,47850,32020,55770,40,40,,1
53-1031,Supervisors - Transportation & Vehicle Operators,WK EXP,52810,39160,59630,170,180,0.0588,4
53-3031,Driver/Sales Workers,ST OJT,29620,17180,35850,190,180,-0.0526,3
53-3032,Heavy & Tractor-Trailer Truck Drivers,WK EXP,37480,28130,42160,1840,1990,0.0815,48
53-3033,Light Truck or Delivery Services Drivers,ST OJT,28500,17010,34240,670,680,0.0149,14
53-7051,Industrial Truck & Tractor Operators,ST OJT,30550,22940,34350,490,460,-0.061200000000000004,12
53-7073,Wellhead Pumpers,MT OJT,,,,90,130,0.44439999999999996,8
