County,AEA,District,District Name,Dropouts by Grade Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,,Grade 7-12 Enrollment,Total Dropouts,Dropouts as Percent of Enrollment
97.0,12.0,270.0,ANTHON-OTO,0.0,0.0,0.0,0.0,2.0,7.0,,143.0,9.0,6.293706293706294
12.0,7.0,279.0,APLINGTON,0.0,0.0,0.0,0.0,0.0,0.0,,149.0,0.0,0.0
32.0,3.0,333.0,ARMSTRONG-RINGSTED,0.0,0.0,0.0,0.0,0.0,0.0,,224.0,0.0,0.0
24.0,12.0,355.0,AR-WE-VA,0.0,0.0,0.0,0.0,0.0,0.0,,214.0,0.0,0.0
15.0,13.0,387.0,ATLANTIC,0.0,0.0,1.0,7.0,1.0,3.0,,801.0,12.0,1.4981273408239701
5.0,11.0,414.0,AUDUBON,0.0,0.0,1.0,4.0,0.0,0.0,,383.0,5.0,1.3054830287206265
18.0,12.0,423.0,AURELIA,0.0,0.0,0.0,0.0,0.0,1.0,,190.0,1.0,0.5263157894736842
85.0,11.0,472.0,BALLARD,0.0,0.0,0.0,0.0,2.0,1.0,,593.0,3.0,0.5059021922428331
47.0,12.0,504.0,BATTLE CREEK-IDA GROVE,0.0,0.0,0.0,0.0,0.0,0.0,,427.0,0.0,0.0
50.0,11.0,513.0,BAXTER,0.0,0.0,0.0,0.0,0.0,2.0,,175.0,2.0,1.1428571428571428
38.0,6.0,540.0,BCLUW,0.0,0.0,0.0,1.0,0.0,8.0,,345.0,9.0,2.608695652173913
87.0,14.0,549.0,BEDFORD,0.0,0.0,2.0,0.0,0.0,1.0,,343.0,3.0,0.8746355685131195
6.0,10.0,576.0,BELLE PLAINE,0.0,0.0,0.0,1.0,2.0,2.0,,336.0,5.0,1.488095238095238
49.0,9.0,585.0,BELLEVUE,0.0,0.0,0.0,2.0,1.0,0.0,,326.0,3.0,0.9202453987730062
99.0,2.0,594.0,BELMOND-KLEMME,0.0,0.0,3.0,1.0,1.0,3.0,,447.0,8.0,1.7897091722595078
16.0,9.0,603.0,BENNETT,0.0,0.0,0.0,1.0,3.0,0.0,,118.0,4.0,3.389830508474576
6.0,10.0,609.0,BENTON,0.0,0.0,0.0,1.0,5.0,4.0,,759.0,10.0,1.3175230566534915
82.0,9.0,621.0,BETTENDORF,0.0,0.0,1.0,9.0,12.0,16.0,,2201.0,38.0,1.7264879600181735
77.0,11.0,720.0,BONDURANT-FARRAR,0.0,0.0,0.0,0.0,3.0,4.0,,445.0,7.0,1.5730337078651686
8.0,11.0,729.0,BOONE,0.0,0.0,0.0,9.0,6.0,5.0,,1281.0,20.0,1.56128024980484
84.0,4.0,747.0,BOYDEN-HULL,0.0,0.0,0.0,0.0,2.0,0.0,,266.0,2.0,0.7518796992481203
43.0,13.0,1917.0,BOYER VALLEY,0.0,0.0,0.0,1.0,2.0,2.0,,323.0,5.0,1.5479876160990713
79.0,6.0,846.0,BROOKLYN-GUERNSEY-MALCOM,0.0,0.0,0.0,1.0,0.0,0.0,,298.0,1.0,0.33557046979865773
29.0,16.0,882.0,BURLINGTON,0.0,0.0,27.0,31.0,31.0,11.0,,2207.0,100.0,4.531037607612143
55.0,3.0,900.0,BURT,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
15.0,13.0,914.0,C AND M,0.0,0.0,0.0,0.0,0.0,0.0,,128.0,0.0,0.0
35.0,2.0,916.0,CAL,0.0,0.0,0.0,0.0,1.0,0.0,,155.0,1.0,0.6451612903225806
23.0,9.0,918.0,CALAMUS-WHEATLAND,0.0,0.0,0.0,2.0,0.0,0.0,,222.0,2.0,0.9009009009009009
23.0,9.0,936.0,CAMANCHE,0.0,0.0,4.0,2.0,5.0,3.0,,450.0,14.0,3.111111111111111
90.0,15.0,977.0,CARDINAL,0.0,0.0,0.0,0.0,0.0,0.0,,311.0,0.0,0.0
91.0,11.0,981.0,CARLISLE,0.0,0.0,1.0,0.0,2.0,0.0,,587.0,3.0,0.5110732538330494
14.0,11.0,999.0,CARROLL,0.0,0.0,0.0,2.0,1.0,3.0,,895.0,6.0,0.6703910614525139
7.0,7.0,1044.0,CEDAR FALLS,0.0,0.0,0.0,2.0,4.0,12.0,,2305.0,18.0,0.7809110629067245
57.0,10.0,1053.0,CEDAR RAPIDS,0.0,5.0,41.0,58.0,68.0,40.0,,7143.0,212.0,2.9679406411871763
57.0,10.0,1062.0,CENTER POINT-URBANA,0.0,0.0,0.0,0.0,0.0,0.0,,471.0,0.0,0.0
4.0,15.0,1071.0,CENTERVILLE,0.0,0.0,0.0,0.0,4.0,6.0,,749.0,10.0,1.335113484646195
22.0,1.0,1080.0,CENTRAL,0.0,0.0,0.0,0.0,0.0,2.0,,347.0,2.0,0.5763688760806917
57.0,10.0,1089.0,CENTRAL CITY,0.0,0.0,0.0,0.0,1.0,0.0,,239.0,1.0,0.41841004184100417
23.0,9.0,1082.0,CENTRAL CLINTON,0.0,0.0,0.0,2.0,5.0,2.0,,821.0,9.0,1.0962241169305724
27.0,14.0,1093.0,CENTRAL DECATUR,0.0,1.0,0.0,3.0,2.0,2.0,,333.0,8.0,2.4024024024024024
56.0,16.0,1079.0,CENTRAL LEE,0.0,0.0,0.0,2.0,2.0,1.0,,579.0,5.0,0.8635578583765112
60.0,4.0,1095.0,CENTRAL LYON,0.0,0.0,0.0,0.0,2.0,0.0,,320.0,2.0,0.625
59.0,15.0,1107.0,CHARITON,0.0,0.0,0.0,0.0,4.0,6.0,,606.0,10.0,1.65016501650165
34.0,2.0,1116.0,CHARLES CITY,0.0,0.0,0.0,2.0,8.0,6.0,,945.0,16.0,1.6931216931216932
24.0,12.0,1134.0,CHARTER OAK-UTE,0.0,0.0,0.0,0.0,0.0,0.0,,157.0,0.0,0.0
18.0,12.0,1152.0,CHEROKEE,0.0,0.0,1.0,1.0,3.0,7.0,,601.0,12.0,1.9966722129783694
73.0,13.0,1197.0,CLARINDA COMMUNITY,0.0,0.0,0.0,4.0,4.0,1.0,,715.0,9.0,1.2587412587412588
99.0,5.0,1206.0,CLARION-GOLDFIELD,0.0,0.0,2.0,1.0,2.0,9.0,,427.0,14.0,3.278688524590164
20.0,14.0,1211.0,CLARKE,0.0,0.0,1.0,1.0,1.0,3.0,,665.0,6.0,0.9022556390977444
12.0,7.0,1215.0,CLARKSVILLE,0.0,0.0,0.0,1.0,1.0,0.0,,191.0,2.0,1.0471204188481675
21.0,3.0,1218.0,CLAY CENTRAL-EVERLY,0.0,0.0,0.0,0.0,0.0,1.0,,237.0,1.0,0.42194092827004215
52.0,10.0,1221.0,CLEAR CREEK-AMANA,0.0,0.0,1.0,0.0,0.0,0.0,,522.0,1.0,0.19157088122605362
17.0,2.0,1233.0,CLEAR LAKE,0.0,0.0,0.0,2.0,6.0,4.0,,726.0,12.0,1.6528925619834711
87.0,14.0,1224.0,CLEARFIELD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
23.0,9.0,1278.0,CLINTON,0.0,0.0,14.0,18.0,11.0,19.0,,2188.0,62.0,2.83363802559415
50.0,11.0,1332.0,COLFAX-MINGO,0.0,0.0,0.0,0.0,1.0,0.0,,406.0,1.0,0.24630541871921183
57.0,10.0,1337.0,COLLEGE,0.0,0.0,0.0,2.0,7.0,2.0,,1445.0,11.0,0.7612456747404844
85.0,11.0,1350.0,COLLINS-MAXWELL,0.0,0.0,0.0,1.0,0.0,0.0,,278.0,1.0,0.3597122302158274
85.0,11.0,1359.0,COLO-NESCO,0.0,0.0,0.0,0.0,0.0,1.0,,325.0,1.0,0.3076923076923077
58.0,9.0,1368.0,COLUMBUS,0.0,0.0,6.0,4.0,3.0,20.0,,404.0,33.0,8.16831683168317
14.0,11.0,1413.0,COON RAPIDS-BAYARD,0.0,0.0,0.0,0.0,0.0,0.0,,286.0,0.0,0.0
2.0,14.0,1431.0,CORNING,0.0,0.0,0.0,1.0,1.0,2.0,,346.0,4.0,1.1560693641618496
41.0,2.0,1449.0,CORWITH-WESLEY,0.0,0.0,0.0,0.0,0.0,0.0,,87.0,0.0,0.0
78.0,13.0,1476.0,COUNCIL BLUFFS,0.0,0.0,35.0,43.0,45.0,40.0,,4754.0,163.0,3.42869162810265
88.0,14.0,1503.0,CRESTON,0.0,0.0,0.0,0.0,4.0,28.0,,805.0,32.0,3.9751552795031055
25.0,11.0,1576.0,DALLAS CENTER-GRIMES,0.0,0.0,0.0,1.0,1.0,0.0,,615.0,2.0,0.3252032520325203
29.0,16.0,1602.0,DANVILLE,0.0,0.0,0.0,1.0,0.0,0.0,,277.0,1.0,0.36101083032490977
82.0,9.0,1611.0,DAVENPORT,1.0,0.0,39.0,39.0,40.0,45.0,,7623.0,164.0,2.1513839695657877
26.0,15.0,1619.0,DAVIS COUNTY,0.0,0.0,0.0,2.0,6.0,6.0,,600.0,14.0,2.3333333333333335
96.0,1.0,1638.0,DECORAH,0.0,0.0,0.0,2.0,5.0,3.0,,918.0,10.0,1.0893246187363834
48.0,10.0,1647.0,DEEP RIVER-MILLERSBURG,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
23.0,9.0,1675.0,DELWOOD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
24.0,12.0,1701.0,DENISON,0.0,0.0,0.0,4.0,3.0,0.0,,883.0,7.0,0.7927519818799547
9.0,7.0,1719.0,DENVER,0.0,0.0,0.0,0.0,0.0,3.0,,396.0,3.0,0.7575757575757576
77.0,11.0,1737.0,DES MOINES INDEPENDENT,4.0,9.0,182.0,123.0,117.0,54.0,,13339.0,489.0,3.665941974660769
25.0,11.0,1770.0,DEXFIELD,0.0,0.0,0.0,0.0,0.0,0.0,,135.0,0.0,0.0
80.0,14.0,1782.0,DIAGONAL,0.0,0.0,1.0,0.0,1.0,0.0,,71.0,2.0,2.8169014084507045
38.0,7.0,1791.0,DIKE-NEW HARTFORD,0.0,0.0,1.0,1.0,2.0,0.0,,403.0,4.0,0.9925558312655087
99.0,5.0,1854.0,DOWS,0.0,0.0,0.0,0.0,0.0,0.0,,67.0,0.0,0.0
31.0,1.0,1863.0,DUBUQUE,0.0,0.0,1.0,10.0,30.0,34.0,,4635.0,75.0,1.6181229773462782
7.0,7.0,1908.0,DUNKERTON,0.0,0.0,0.0,2.0,3.0,2.0,,286.0,7.0,2.4475524475524475
16.0,9.0,1926.0,DURANT,0.0,0.0,0.0,2.0,3.0,1.0,,307.0,6.0,1.9543973941368076
99.0,5.0,1944.0,EAGLE GROVE,0.0,0.0,1.0,2.0,2.0,1.0,,437.0,6.0,1.3729977116704806
61.0,11.0,1953.0,EARLHAM,0.0,0.0,0.0,0.0,1.0,2.0,,207.0,3.0,1.4492753623188406
10.0,7.0,1963.0,EAST BUCHANAN,0.0,0.0,0.0,0.0,2.0,0.0,,309.0,2.0,0.6472491909385114
49.0,9.0,1965.0,EAST CENTRAL,0.0,0.0,0.0,1.0,1.0,1.0,,241.0,3.0,1.2448132780082988
37.0,5.0,1967.0,EAST GREENE,0.0,0.0,0.0,0.0,0.0,0.0,,200.0,0.0,0.0
64.0,6.0,1968.0,EAST MARSHALL,0.0,0.0,3.0,2.0,8.0,1.0,,393.0,14.0,3.5623409669211195
67.0,12.0,1969.0,EAST MONONA,0.0,0.0,0.0,0.0,0.0,0.0,,29.0,0.0,0.0
88.0,14.0,1970.0,EAST UNION,0.0,0.0,0.0,1.0,5.0,0.0,,245.0,6.0,2.4489795918367347
3.0,1.0,1972.0,EASTERN ALLAMAKEE,0.0,0.0,0.0,1.0,1.0,2.0,,264.0,4.0,1.5151515151515151
90.0,15.0,657.0,EDDYVILLE-BLAKESBURG,0.0,0.0,0.0,0.0,0.0,12.0,,475.0,12.0,2.526315789473684
28.0,1.0,1989.0,EDGEWOOD-COLESBURG,0.0,0.0,0.0,0.0,0.0,0.0,,300.0,0.0,0.0
42.0,6.0,2007.0,ELDORA-NEW PROVIDENCE,0.0,0.0,0.0,5.0,5.0,2.0,,423.0,12.0,2.8368794326241136
83.0,13.0,2016.0,ELK HORN-KIMBALLTON,0.0,0.0,0.0,0.0,0.0,0.0,,154.0,0.0,0.0
74.0,3.0,2088.0,EMMETSBURG,0.0,0.0,0.0,0.0,2.0,0.0,,468.0,2.0,0.4273504273504274
48.0,10.0,2097.0,ENGLISH VALLEYS,0.0,0.0,0.0,2.0,0.0,0.0,,268.0,2.0,0.7462686567164178
73.0,13.0,2113.0,ESSEX,0.0,0.0,0.0,0.0,0.0,2.0,,129.0,2.0,1.550387596899225
32.0,3.0,2124.0,ESTHERVILLE LINCOLN,0.0,0.0,0.0,4.0,5.0,3.0,,719.0,12.0,1.6689847009735743
5.0,11.0,2151.0,EXIRA,0.0,0.0,0.0,0.0,0.0,0.0,,146.0,0.0,0.0
51.0,15.0,2169.0,FAIRFIELD,0.0,0.0,6.0,8.0,11.0,4.0,,995.0,29.0,2.9145728643216082
36.0,13.0,2205.0,FARRAGUT,0.0,0.0,0.0,0.0,0.0,0.0,,162.0,0.0,0.0
95.0,2.0,2295.0,FOREST CITY,0.0,0.0,0.0,4.0,2.0,4.0,,728.0,10.0,1.3736263736263736
94.0,5.0,2313.0,FORT DODGE,0.0,0.0,10.0,20.0,17.0,22.0,,1937.0,69.0,3.5622096024780587
56.0,16.0,2322.0,FORT MADISON,0.0,0.0,0.0,12.0,13.0,11.0,,1255.0,36.0,2.8685258964143427
89.0,15.0,2327.0,FOX VALLEY,0.0,0.0,0.0,0.0,1.0,0.0,,100.0,1.0,1.0
19.0,1.0,2349.0,FREDERICKSBURG,0.0,0.0,0.0,0.0,0.0,1.0,,212.0,1.0,0.4716981132075472
62.0,15.0,2367.0,FREMONT,0.0,0.0,0.0,0.0,0.0,0.0,,28.0,0.0,0.0
36.0,13.0,2369.0,FREMONT-MILLS,0.0,0.0,0.0,0.0,0.0,1.0,,238.0,1.0,0.42016806722689076
47.0,12.0,2376.0,GALVA-HOLSTEIN,0.0,0.0,0.0,0.0,0.0,1.0,,288.0,1.0,0.3472222222222222
22.0,1.0,2394.0,GARNAVILLO,0.0,0.0,0.0,0.0,0.0,0.0,,148.0,0.0,0.0
41.0,2.0,2403.0,GARNER-HAYFIELD,0.0,0.0,1.0,1.0,2.0,5.0,,437.0,9.0,2.059496567505721
60.0,4.0,2457.0,GEORGE,0.0,0.0,0.0,0.0,0.0,1.0,,164.0,1.0,0.6097560975609756
85.0,11.0,2466.0,GILBERT,0.0,0.0,0.0,0.0,0.0,0.0,,481.0,0.0,0.0
46.0,5.0,2493.0,GILMORE CITY-BRADGATE,0.0,0.0,0.0,0.0,0.0,0.0,,73.0,0.0,0.0
86.0,7.0,2502.0,GLADBROOK-REINBECK,0.0,0.0,0.0,0.0,0.0,0.0,,362.0,0.0,0.0
65.0,13.0,2511.0,GLENWOOD,0.0,0.0,0.0,1.0,7.0,8.0,,902.0,16.0,1.7738359201773837
14.0,11.0,2520.0,GLIDDEN-RALSTON,0.0,0.0,0.0,0.0,0.0,0.0,,188.0,0.0,0.0
86.0,6.0,2682.0,GMG,0.0,0.0,0.0,0.0,1.0,2.0,,217.0,3.0,1.3824884792626728
74.0,3.0,2556.0,GRAETTINGER,0.0,0.0,0.0,1.0,2.0,0.0,,142.0,3.0,2.112676056338028
8.0,11.0,2570.0,GRAND,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
12.0,2.0,2664.0,GREENE,0.0,0.0,0.0,0.0,0.0,0.0,,197.0,0.0,0.0
79.0,6.0,2709.0,GRINNELL-NEWBURG,0.0,0.0,1.0,4.0,0.0,1.0,,853.0,6.0,0.7033997655334115
15.0,13.0,2718.0,GRISWOLD,0.0,0.0,0.0,0.0,0.0,3.0,,333.0,3.0,0.9009009009009009
38.0,7.0,2727.0,GRUNDY CENTER,0.0,0.0,0.0,0.0,0.0,0.0,,366.0,0.0,0.0
39.0,11.0,2754.0,GUTHRIE CENTER,0.0,0.0,0.0,0.0,0.0,2.0,,237.0,2.0,0.8438818565400843
22.0,1.0,2763.0,GUTTENBERG,0.0,0.0,0.0,0.0,2.0,1.0,,291.0,3.0,1.0309278350515463
36.0,13.0,2772.0,HAMBURG,0.0,0.0,1.0,1.0,0.0,2.0,,155.0,4.0,2.5806451612903225
35.0,2.0,2781.0,HAMPTON-DUMONT,0.0,0.0,0.0,0.0,6.0,4.0,,604.0,10.0,1.6556291390728477
83.0,13.0,2826.0,HARLAN,0.0,0.0,1.0,4.0,10.0,5.0,,923.0,20.0,2.1668472372697725
89.0,15.0,2834.0,HARMONY,0.0,0.0,0.0,1.0,0.0,0.0,,260.0,1.0,0.38461538461538464
30.0,3.0,2846.0,HARRIS-LAKE PARK,0.0,0.0,0.0,0.0,1.0,5.0,,167.0,6.0,3.592814371257485
71.0,4.0,2862.0,HARTLEY-MELVIN-SANBORN,0.0,0.0,0.0,0.0,1.0,7.0,,463.0,8.0,1.7278617710583155
92.0,10.0,2977.0,HIGHLAND,0.0,0.0,0.0,1.0,1.0,1.0,,275.0,3.0,1.090909090909091
75.0,12.0,2988.0,HINTON,0.0,0.0,0.0,0.0,3.0,0.0,,333.0,3.0,0.9009009009009009
48.0,10.0,2766.0,H-L-V,0.0,0.0,0.0,0.0,0.0,0.0,,228.0,0.0,0.0
45.0,1.0,3029.0,HOWARD-WINNESHIEK,0.0,0.0,6.0,4.0,10.0,5.0,,824.0,25.0,3.033980582524272
42.0,6.0,3033.0,HUBBARD-RADCLIFFE,0.0,0.0,1.0,4.0,4.0,1.0,,266.0,10.0,3.7593984962406015
7.0,7.0,3042.0,HUDSON,0.0,0.0,0.0,1.0,2.0,3.0,,471.0,6.0,1.2738853503184715
46.0,5.0,3060.0,HUMBOLDT,0.0,0.0,1.0,0.0,1.0,3.0,,758.0,5.0,0.6596306068601583
83.0,13.0,3168.0,IKM,0.0,0.0,0.0,1.0,0.0,0.0,,268.0,1.0,0.3731343283582089
10.0,7.0,3105.0,INDEPENDENCE,0.0,0.0,0.0,3.0,0.0,2.0,,805.0,5.0,0.6211180124223602
91.0,11.0,3114.0,INDIANOLA,0.0,0.0,3.0,11.0,8.0,6.0,,1582.0,28.0,1.7699115044247788
61.0,11.0,3119.0,INTERSTATE 35,0.0,0.0,1.0,0.0,2.0,2.0,,353.0,5.0,1.41643059490085
52.0,10.0,3141.0,IOWA CITY,0.0,0.0,4.0,12.0,14.0,13.0,,4715.0,43.0,0.911983032873807
42.0,6.0,3150.0,IOWA FALLS,0.0,0.0,0.0,0.0,0.0,0.0,,582.0,0.0,0.0
48.0,10.0,3154.0,IOWA VALLEY,0.0,0.0,0.0,0.0,0.0,0.0,,294.0,0.0,0.0
9.0,7.0,3186.0,JANESVILLE CONSOLIDATED,0.0,0.0,0.0,0.0,0.0,0.0,,150.0,0.0,0.0
37.0,5.0,3195.0,JEFFERSON-SCRANTON,0.0,0.0,2.0,1.0,6.0,5.0,,734.0,14.0,1.9073569482288828
10.0,7.0,3204.0,JESUP,0.0,0.0,0.0,0.0,4.0,2.0,,459.0,6.0,1.3071895424836601
77.0,11.0,3231.0,JOHNSTON,0.0,0.0,0.0,1.0,0.0,4.0,,1724.0,5.0,0.2900232018561485
56.0,16.0,3312.0,KEOKUK,0.0,1.0,3.0,7.0,6.0,5.0,,1001.0,22.0,2.197802197802198
54.0,15.0,3330.0,KEOTA,0.0,0.0,0.0,0.0,0.0,0.0,,175.0,0.0,0.0
75.0,12.0,3348.0,KINGSLEY-PIERSON,0.0,0.0,0.0,0.0,2.0,2.0,,260.0,4.0,1.5384615384615385
63.0,11.0,3375.0,KNOXVILLE,0.0,0.0,2.0,5.0,10.0,6.0,,960.0,23.0,2.3958333333333335
95.0,2.0,3420.0,LAKE MILLS,0.0,0.0,0.0,2.0,3.0,1.0,,369.0,6.0,1.6260162601626018
27.0,14.0,3465.0,LAMONI,0.0,0.0,1.0,1.0,2.0,3.0,,201.0,7.0,3.482587064676617
76.0,5.0,3537.0,LAURENS-MARATHON,0.0,0.0,0.0,0.0,0.0,0.0,,266.0,0.0,0.0
97.0,12.0,3555.0,LAWTON-BRONSON,0.0,0.0,0.0,0.0,0.0,1.0,,304.0,1.0,0.3289473684210526
75.0,12.0,3600.0,LE MARS,0.0,0.0,1.0,3.0,1.0,3.0,,1069.0,8.0,0.7483629560336763
87.0,14.0,3609.0,LENOX,0.0,0.0,0.0,0.0,3.0,1.0,,226.0,4.0,1.7699115044247788
78.0,13.0,3645.0,LEWIS CENTRAL,0.0,0.0,6.0,9.0,7.0,8.0,,1317.0,30.0,2.277904328018223
93.0,15.0,3705.0,LINEVILLE-CLIO,0.0,0.0,0.0,0.0,1.0,0.0,,70.0,1.0,1.4285714285714286
57.0,10.0,3715.0,LINN-MAR,0.0,0.0,0.0,1.0,1.0,1.0,,1998.0,3.0,0.15015015015015015
57.0,10.0,3744.0,LISBON,0.0,0.0,0.0,1.0,1.0,1.0,,273.0,3.0,1.098901098901099
60.0,4.0,3771.0,LITTLE ROCK,0.0,0.0,0.0,0.0,0.0,0.0,,76.0,0.0,0.0
43.0,13.0,3798.0,LOGAN-MAGNOLIA,0.0,0.0,0.0,0.0,0.0,1.0,,355.0,1.0,0.28169014084507044
52.0,10.0,3816.0,LONE TREE,0.0,0.0,0.0,0.0,0.0,0.0,,217.0,0.0,0.0
58.0,9.0,3841.0,LOUISA-MUSCATINE,0.0,0.0,2.0,6.0,2.0,2.0,,472.0,12.0,2.5423728813559325
55.0,3.0,3897.0,LUVERNE,0.0,0.0,0.0,0.0,0.0,0.0,,52.0,0.0,0.0
50.0,11.0,3906.0,LYNNVILLE-SULLY,0.0,0.0,0.0,0.0,1.0,0.0,,261.0,1.0,0.38314176245210724
8.0,11.0,3942.0,MADRID,0.0,0.0,1.0,0.0,3.0,4.0,,302.0,8.0,2.6490066225165565
65.0,13.0,3978.0,MALVERN,0.0,0.0,0.0,2.0,3.0,0.0,,183.0,5.0,2.73224043715847
14.0,11.0,4014.0,MANNING,0.0,0.0,0.0,1.0,1.0,1.0,,272.0,3.0,1.1029411764705883
13.0,5.0,4023.0,MANSON NORTHWEST WEBSTER,0.0,0.0,0.0,1.0,0.0,4.0,,400.0,5.0,1.25
67.0,12.0,4033.0,MAPLE VALLEY,0.0,0.0,0.0,0.0,2.0,7.0,,271.0,9.0,3.3210332103321036
49.0,9.0,4041.0,MAQUOKETA,0.0,0.0,2.0,4.0,3.0,8.0,,845.0,17.0,2.0118343195266273
28.0,1.0,4043.0,MAQUOKETA VALLEY,0.0,0.0,0.0,2.0,4.0,2.0,,527.0,8.0,1.5180265654648957
18.0,4.0,4068.0,MARCUS-MERIDEN-CLEGHORN,0.0,0.0,0.0,0.0,0.0,0.0,,315.0,0.0,0.0
57.0,10.0,4086.0,MARION INDEPENDENT,0.0,0.0,1.0,1.0,0.0,4.0,,765.0,6.0,0.7843137254901961
64.0,6.0,4104.0,MARSHALLTOWN,0.0,0.0,4.0,6.0,7.0,12.0,,2375.0,29.0,1.2210526315789474
91.0,11.0,4122.0,MARTENSDALE-ST MARYS,0.0,0.0,0.0,0.0,1.0,0.0,,240.0,1.0,0.4166666666666667
17.0,2.0,4131.0,MASON CITY,0.0,0.0,16.0,14.0,14.0,3.0,,1965.0,47.0,2.391857506361323
29.0,16.0,4203.0,MEDIAPOLIS,0.0,0.0,0.0,0.0,1.0,0.0,,454.0,1.0,0.22026431718061676
63.0,11.0,4212.0,MELCHER-DALLAS,0.0,0.0,0.0,0.0,0.0,1.0,,201.0,1.0,0.4975124378109453
17.0,2.0,4266.0,MESERVEY-THORNTON,0.0,0.0,0.0,0.0,2.0,2.0,,91.0,4.0,4.395604395604396
22.0,1.0,4419.0,MFL MARMAC,0.0,0.0,0.0,2.0,1.0,0.0,,531.0,3.0,0.5649717514124294
53.0,10.0,4269.0,MIDLAND,0.0,0.0,0.0,3.0,2.0,1.0,,381.0,6.0,1.574803149606299
92.0,10.0,4271.0,MID-PRAIRIE,0.0,0.0,0.0,1.0,0.0,0.0,,518.0,1.0,0.19305019305019305
43.0,13.0,4356.0,MISSOURI VALLEY,0.0,0.0,0.0,1.0,2.0,4.0,,459.0,7.0,1.5250544662309369
84.0,4.0,4149.0,MOC-FLOYD VALLEY,0.0,0.0,0.0,1.0,2.0,0.0,,681.0,3.0,0.4405286343612335
79.0,6.0,4437.0,MONTEZUMA,0.0,0.0,0.0,2.0,3.0,3.0,,313.0,8.0,2.5559105431309903
53.0,10.0,4446.0,MONTICELLO,0.0,0.0,1.0,4.0,2.0,2.0,,546.0,9.0,1.6483516483516485
4.0,15.0,4491.0,MORAVIA,0.0,0.0,0.0,0.0,3.0,0.0,,191.0,3.0,1.5706806282722512
27.0,14.0,4505.0,MORMON TRAIL,0.0,0.0,3.0,2.0,4.0,5.0,,166.0,14.0,8.433734939759036
58.0,16.0,4509.0,MORNING SUN,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,0.0,0.0
4.0,15.0,4518.0,MOULTON-UDELL,0.0,0.0,0.0,0.0,0.0,0.0,,143.0,0.0,0.0
80.0,14.0,4527.0,MOUNT AYR,0.0,0.0,0.0,1.0,2.0,1.0,,435.0,4.0,0.9195402298850575
44.0,16.0,4536.0,MOUNT PLEASANT,0.0,0.0,0.0,1.0,1.0,1.0,,982.0,3.0,0.30549898167006106
57.0,10.0,4554.0,MOUNT VERNON,0.0,0.0,0.0,1.0,3.0,3.0,,559.0,7.0,1.2522361359570662
