Order of Difficulty (easy to hard),Location,Test / Session,Item No.,Point for CR Item,Item Type,Content Standard/ Subcontent Area,Benchmark,Benchmark Descriptor,DOK
87,646.91,G5 MA S1,22,,MC,CS 1 SA 1,1.5a,"Develop, test, and explain conjectures about properties of whole numbers and commonly-used fractions and decimals.",DOK 2
88,647.02,G5 MA S3,63,2 of 3,CR,CS 2 SA 2,2.2a,"Solve problems by representing and analyzing patterns using words, tables, and graphs.",DOK 3
89,647.21,G5 MA S3,52,2 of 2,CR,CS 2 SA 2,2.3a,Describe how a change in one quantity results in a change in another quantity.,DOK 2
90,654.61,G5 MA S1,20,3 of 3,CR,CS 1 SA 1,1.1c,Demonstrate the meaning of square numbers using pictorial or concrete materials.,DOK 3
91,655.46,G5 MA S1,10,3 of 3,CR,CS 3,3.1c,"Read, interpret, and draw conclusions from various displays of data.",DOK 3
92,661.03,G5 MA S3,69,4 of 4,CR,CS 3 SA 3,3.1b,"Organize, construct, and interpret displays of data including tables, charts, pictographs, line plots, bar graphs, and line graphs.",DOK 3
93,674.18,G5 MA S1,3,,MC,CS 4/5,5.1a,"Determine the appropriate unit of measure (metric and US customary) when estimating distance, capacity, and weight.",DOK 1
94,690.73,G5 MA S1,23,4 of 4,CR,CS 2 SA 2,2.1a,"Represent, describe, and analyze geometric and numeric patterns (whole numbers).",DOK 3
95,709.97,G5 MA S3,63,3 of 3,CR,CS 2 SA 2,2.2a,"Solve problems by representing and analyzing patterns using words, tables, and graphs.",DOK 3
96,715.22,G5 MA S2,31,,MC,CS 4/5,5.3b,"Select the appropriate scale for a given problem (for example, using the appropriate scale when setting up a graph).",DOK 1
