,Total,Fieldwork Month Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Quarter Q1,Q2,Q3,Intervention Type Telephone,Face To Face (F2fF),Service Type Telephone Advice,Telephone Information,F2F Advice,Age Under 19,20-24,25-49,50 or over,Prime Contractor Next Step,EM,E of E,London,NE,NW Econ Sol,NW GMCP Mersey,NW GMCP Cumbria,SE,SW CSW,SW Tribal,WM,Y & H,Gender Male,Female,Employment status Work,Learning,Unemployed,Other,Prior quals <L2,L2+,Ethnicity White British,Non-White British,Disability Yes,No,Fieldwork Month Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,NEET 18-24 JSA,18-24 JSA/IB/IS,18-24 NEET,Longit Yes
ECDL,52,20,*-,1,1,11,9,10,20,*3,*29,*5,*47,1,*4,*47,1,*1,31,*18,*5,6,0,6,3,0,0,4,9,6,1,5,6,15,18,*5,*1,*41,5,12,28,33,18,5,35,20,*-,1,1,11,9,10,1,1,*3,11
,4%,4%,0%,1%,1%,5%,4%,5%,4%,1%,5%,1%,5%,2%,1%,5%,1%,*%,4%,10%,1%,5%,0%,7%,5%,0%,0%,7%,7%,7%,2%,4%,6%,3%,3%,1%,1%,5%,4%,4%,3%,4%,3%,3%,3%,4%,0%,1%,1%,5%,4%,5%,1%,1%,1%,5%
"A levels, vocational A levels or AS levels",39,15,0,3,3,4,9,6,15,5,19,11,28,3,8,28,*8,9,20,3,11,1,1,1,1,1,1,1,5,4,4,3,4,14,11,14,5,16,4,5,26,21,18,3,27,15,0,3,3,4,9,6,3,4,7,9
,3%,3%,0%,2%,2%,2%,4%,3%,3%,2%,3%,3%,3%,5%,2%,3%,8%,3%,2%,1%,3%,1%,2%,1%,3%,2%,2%,2%,4%,4%,5%,2%,4%,3%,2%,3%,4%,2%,3%,2%,3%,3%,3%,2%,3%,3%,0%,2%,2%,2%,4%,3%,2%,3%,3%,4%
BTEC National,37,12,*7,2,2,4,6,4,12,11,14,11,25,1,10,25,*6,*14,*14,2,11,1,3,1,0,3,3,*4,1,1,3,3,4,17,10,*4,6,24,3,6,26,18,18,4,28,12,*7,2,2,4,6,4,*11,*11,*15,5
,3%,2%,7%,2%,2%,2%,3%,2%,2%,3%,2%,3%,3%,2%,3%,3%,7%,5%,2%,1%,3%,1%,3%,1%,0%,4%,5%,7%,1%,1%,4%,2%,4%,3%,2%,1%,4%,3%,2%,2%,3%,2%,3%,2%,3%,2%,7%,2%,2%,2%,3%,2%,10%,8%,7%,2%
Intermediate City and Guilds,28,12,0,1,*5,6,4,*-,12,6,10,7,22,1,5,22,1,6,19,2,7,3,4,3,0,1,3,1,3,1,1,1,1,13,11,*2,1,18,*8,7,17,18,10,6,18,12,0,1,*5,6,4,*-,3,3,6,4
,2%,2%,0%,1%,4%,3%,2%,0%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,1%,2%,2%,5%,3%,0%,2%,5%,2%,2%,1%,2%,1%,1%,3%,2%,*%,1%,2%,6%,3%,2%,2%,2%,3%,2%,2%,0%,1%,4%,3%,2%,0%,2%,2%,3%,2%
Accounting qualification (AAT/Sage),23,6,0,0,1,6,6,4,6,*1,*15,4,19,*,3,19,0,*1,16,6,4,*5,1,1,0,*4,1,3,0,0,3,1,0,*3,10,3,2,*17,0,4,11,11,12,3,14,6,0,0,1,6,6,4,0,0,1,6
,2%,1%,0%,0%,1%,3%,3%,2%,1%,*%,2%,1%,2%,*%,1%,2%,0%,*%,2%,3%,1%,4%,2%,1%,0%,6%,2%,5%,0%,0%,3%,1%,0%,1%,2%,1%,1%,2%,0%,1%,1%,1%,2%,1%,1%,1%,0%,0%,1%,3%,3%,2%,0%,0%,*%,3%
Advanced City and Guilds,22,9,0,*,0,3,3,*6,9,**,12,5,16,2,3,16,1,6,13,1,5,0,3,0,3,0,3,0,3,3,1,1,1,7,5,7,*,11,3,2,12,13,8,0,16,9,0,*,0,3,3,*6,4,4,5,6
,2%,2%,0%,*%,0%,1%,1%,3%,2%,*%,2%,1%,2%,3%,1%,2%,1%,2%,2%,1%,1%,0%,3%,0%,5%,0%,5%,0%,2%,3%,2%,1%,1%,1%,1%,2%,*%,2%,2%,1%,1%,2%,1%,0%,2%,2%,0%,*%,0%,1%,1%,3%,4%,3%,3%,3%
Teaching qualification,18,9,0,0,*8,0,1,0,9,*8,*1,5,13,2,3,13,0,4,11,3,5,0,0,1,1,0,0,1,*6,0,3,0,0,5,*13,*11,2,*4,1,1,*17,*15,*3,2,16,9,0,0,*8,0,1,0,1,3,3,0
,1%,2%,0%,0%,7%,0%,*%,0%,2%,2%,*%,1%,1%,2%,1%,1%,0%,1%,1%,2%,1%,0%,0%,1%,3%,0%,0%,3%,5%,0%,4%,0%,0%,1%,2%,3%,1%,1%,1%,*%,2%,2%,*%,1%,2%,2%,0%,0%,7%,0%,*%,0%,1%,2%,1%,0%
BTEC First,14,*-,2,*4,3,3,2,1,*-,*9,6,3,11,1,2,11,2,2,9,1,3,3,0,1,1,0,0,*3,0,1,1,0,1,5,6,3,1,10,1,0,*13,7,7,0,13,*-,2,*4,3,3,2,1,3,3,3,2
,1%,0%,2%,4%,2%,2%,1%,*%,0%,3%,1%,1%,1%,1%,1%,1%,2%,1%,1%,1%,1%,2%,0%,1%,3%,0%,0%,5%,0%,1%,2%,0%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,1%,0%,1%,0%,2%,4%,2%,2%,1%,*%,2%,2%,2%,1%
Foundation degree/access course,8,2,0,0,1,2,3,1,2,1,6,3,5,1,2,5,0,3,5,0,3,0,0,0,0,1,1,0,1,0,1,0,0,3,1,4,0,*1,*3,1,6,5,3,1,5,2,0,0,1,2,3,1,0,0,1,1
,1%,*%,0%,0%,1%,1%,1%,1%,*%,*%,1%,1%,*%,1%,1%,*%,0%,1%,1%,0%,1%,0%,0%,0%,0%,2%,2%,0%,1%,0%,2%,0%,0%,1%,*%,1%,0%,*%,2%,*%,1%,1%,*%,1%,*%,*%,0%,0%,1%,1%,1%,1%,0%,0%,*%,1%
Foundation GNVQ,6,3,0,1,1,1,0,0,3,2,1,2,4,1,1,4,0,1,4,1,2,0,0,0,0,1,0,*1,0,1,0,0,0,2,4,2,*,2,1,3,3,5,1,0,6,3,0,1,1,1,0,0,0,0,0,0
,*%,1%,0%,1%,1%,1%,0%,0%,1%,1%,*%,*%,*%,1%,*%,*%,0%,*%,*%,1%,*%,0%,0%,0%,0%,2%,0%,3%,0%,1%,0%,0%,0%,*%,1%,1%,*%,*%,1%,1%,*%,1%,*%,0%,1%,1%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%
BTEC general certificate,4,2,0,1,0,0,*,1,2,1,1,2,3,*,1,3,*,1,2,1,2,0,*1,0,0,0,0,0,1,0,0,0,0,1,2,1,*,3,0,*3,*1,3,2,0,3,2,0,1,0,0,*,1,0,0,0,1
,*%,*%,0%,1%,0%,0%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,*%,1%,*%,0%,2%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,*%,*%,*%,*%,*%,0%,1%,*%,*%,*%,0%,*%,*%,0%,1%,0%,0%,*%,*%,0%,0%,0%,*%
Intermediate GNVQ,3,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,*1,*1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,1,1,1,0,3,0,0,0,0,3,0,0,0,0,0,0
,*%,0%,0%,0%,0%,1%,0%,0%,0%,0%,*%,0%,*%,0%,0%,*%,0%,0%,*%,0%,0%,0%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,*%,0%,0%,*%,0%,*%,*%,*%,*%,0%,*%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%
Advanced GNVQ,1,*,0,0,0,1,0,0,*,0,1,1,0,*,1,0,0,1,0,*,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*,0,0,1,0,0,*,1,0,*,1,*,0,0,0,1,0,0,*1,*1,1,0
,*%,*%,0%,0%,0%,*%,0%,0%,*%,0%,*%,*%,0%,*%,*%,0%,0%,*%,0%,*%,*%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,*%,*%,0%,0%,*%,0%,0%,*%,*%,0%,*%,*%,*%,0%,0%,0%,*%,0%,0%,1%,1%,*%,0%
Other,216,*30,*2,*5,18,*68,38,*55,*30,*25,*161,*46,*169,8,*39,*169,*7,*28,136,*45,*48,*9,9,15,9,*16,*19,9,15,13,15,19,20,66,*57,56,*11,*132,16,40,*120,122,93,36,*133,*30,*2,*5,18,*68,38,*55,13,15,23,*46
,15%,6%,2%,4%,15%,32%,19%,29%,6%,8%,27%,11%,17%,11%,11%,17%,8%,9%,16%,23%,11%,7%,12%,16%,18%,25%,35%,17%,12%,14%,21%,17%,21%,14%,10%,14%,8%,17%,13%,14%,14%,14%,16%,19%,13%,6%,2%,4%,15%,32%,19%,29%,11%,11%,11%,21%
Don't know,113,42,*15,10,*4,11,18,12,42,29,42,*15,*98,*3,*12,*98,11,27,58,17,*15,*24,10,11,4,*-,3,4,9,9,4,14,6,35,47,*22,10,*76,6,*41,*48,60,53,13,79,42,*15,10,*4,11,18,12,*20,*21,*25,20
,8%,8%,15%,9%,3%,5%,9%,7%,8%,9%,7%,4%,10%,4%,4%,10%,12%,9%,7%,9%,4%,20%,13%,12%,7%,0%,5%,7%,7%,10%,5%,12%,7%,7%,9%,5%,7%,10%,5%,14%,5%,7%,9%,7%,8%,8%,15%,9%,3%,5%,9%,7%,17%,15%,12%,9%
