Year,Upper Tier Local Authority,"Number of
offenders
in cohort","Number of
re-offenders","Number of
re-offences","Proportion of
offenders who
re-offend (%)","Average
number of
re-offences
per re-offender","Average
number of
re-offences
per offender"
,Havering,"1,476",324,807,22.0,2.49,0.55
,Herefordshire,"1,338",328,893,24.5,2.72,0.67
,Hertfordshire,"7,031","1,604","4,619",22.8,2.88,0.66
,Hillingdon,"1,911",422,"1,240",22.1,2.94,0.65
,Hounslow,"2,367",531,"1,675",22.4,3.15,0.71
,Isle of Anglesey,592,149,420,25.2,2.82,0.71
,Isle of Wight,977,234,598,24.0,2.56,0.61
,Isles of Scilly,9,2,6,*,*,*
,Islington,"2,053",635,"1,796",30.9,2.83,0.87
,Kensington and Chelsea,"1,188",296,809,24.9,2.73,0.68
,Kent,"10,172","2,423","6,722",23.8,2.77,0.66
,"Kingston upon Hull, City of","3,342","1,065","3,402",31.9,3.19,1.02
,Kingston upon Thames,980,192,463,19.6,2.41,0.47
,Kirklees,"3,547",985,"2,823",27.8,2.87,0.80
,Knowsley,"1,528",432,"1,310",28.3,3.03,0.86
,Lambeth,"3,438",940,"2,616",27.3,2.78,0.76
,Lancashire,"10,389","2,932","8,686",28.2,2.96,0.84
,Leeds,"9,246","2,565","7,570",27.7,2.95,0.82
,Leicester,"3,942","1,028","2,893",26.1,2.81,0.73
,Leicestershire,"3,780",821,"2,219",21.7,2.70,0.59
,Lewisham,"3,026",830,"2,284",27.4,2.75,0.75
,Lincolnshire,"5,099","1,320","3,708",25.9,2.81,0.73
,Liverpool,"5,102","1,496","4,545",29.3,3.04,0.89
,Luton,"2,165",511,"1,679",23.6,3.29,0.78
,Manchester,"6,584","1,858","5,787",28.2,3.11,0.88
,Medway,"2,267",564,"1,644",24.9,2.91,0.73
,Merthyr Tydfil,588,183,675,31.1,3.69,1.15
,Merton,"1,297",288,801,22.2,2.78,0.62
,Middlesbrough,"2,022",657,"2,426",32.5,3.69,1.20
,Milton Keynes,"2,322",584,"1,627",25.2,2.79,0.70
,Monmouthshire,593,144,411,24.3,2.85,0.69
,Neath Port Talbot,"1,042",230,747,22.1,3.25,0.72
,Newcastle-upon Tyne,"4,346","1,495","5,196",34.4,3.48,1.20
,Newham,"3,749","1,051","3,103",28.0,2.95,0.83
,Newport,"1,681",527,"1,825",31.4,3.46,1.09
,Norfolk,"6,092","1,631","4,729",26.8,2.90,0.78
,North East Lincolnshire,"1,805",525,"1,555",29.1,2.96,0.86
,North Lincolnshire,"1,464",374,"1,083",25.5,2.90,0.74
,North Somerset,"1,397",393,"1,349",28.1,3.43,0.97
,North Tyneside,"2,201",719,"2,280",32.7,3.17,1.04
,North Yorkshire,"3,546",831,"2,382",23.4,2.87,0.67
,Northamptonshire,"5,711","1,413","3,868",24.7,2.74,0.68
,Northumberland,"3,099",937,"2,587",30.2,2.76,0.83
,Nottingham,"4,620","1,478","5,041",32.0,3.41,1.09
,Nottinghamshire,"6,407","1,703","5,017",26.6,2.95,0.78
,Oldham,"2,112",581,"1,652",27.5,2.84,0.78
,Oxfordshire,"4,603","1,144","3,142",24.9,2.75,0.68
,Pembrokeshire,"1,183",277,731,23.4,2.64,0.62
,Peterborough,"2,068",643,"2,050",31.1,3.19,0.99
,Plymouth,"2,951",756,"2,166",25.6,2.87,0.73
,Poole,"1,102",266,790,24.1,2.97,0.72
,Portsmouth,"1,914",494,"1,566",25.8,3.17,0.82
,Powys,897,197,518,22.0,2.63,0.58
,Reading,"1,699",489,"1,443",28.8,2.95,0.85
,Redbridge,"1,924",473,"1,372",24.6,2.90,0.71
,Redcar and Cleveland,"1,456",414,"1,402",28.4,3.39,0.96
,"Rhondda, Cynon, Taff","1,941",531,"1,679",27.4,3.16,0.87
,Richmond upon Thames,742,156,498,21.0,3.19,0.67
,Rochdale,"2,071",559,"1,817",27.0,3.25,0.88
,Rotherham,"2,436",706,"1,840",29.0,2.61,0.76
,Rutland,169,34,109,20,3,1
,Salford,"2,536",724,"2,064",28.5,2.85,0.81
